Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[age]	Characteristics[developmental stage]	Characteristics[cell line]	Characteristics[cell type]	Characteristics[sex]	Characteristics[disease]	Characteristics[biological replicate]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[collision energy]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value
PXD010690-Sample 1	Homo sapiens	Brain	not available	not available	not applicable	not available	not available	not available	1	whole organism	run 11	proteomic profiling by mass spectrometry	QExHF03291.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/09/PXD010690/QExHF03291.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	HCD	24% NCE	27% NCE	30% NCE	5 ppm	0.5 Da	not available
PXD010690-Sample 1	Homo sapiens	Brain	not available	not available	not applicable	not available	not available	not available	1	whole organism	run 12	proteomic profiling by mass spectrometry	QExHF03293.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/09/PXD010690/QExHF03293.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	HCD	24% NCE	27% NCE	30% NCE	5 ppm	0.5 Da	not available
PXD010690-Sample 1	Homo sapiens	Brain	not available	not available	not applicable	not available	not available	not available	1	whole organism	run 13	proteomic profiling by mass spectrometry	QExHF03297.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/09/PXD010690/QExHF03297.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	HCD	24% NCE	27% NCE	30% NCE	5 ppm	0.5 Da	not available
PXD010690-Sample 1	Homo sapiens	Brain	not available	not available	not applicable	not available	not available	not available	1	whole organism	run 14	proteomic profiling by mass spectrometry	QExHF03299.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/09/PXD010690/QExHF03299.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	HCD	24% NCE	27% NCE	30% NCE	5 ppm	0.5 Da	not available
PXD010690-Sample 1	Homo sapiens	Brain	not available	not available	not applicable	not available	not available	not available	1	whole organism	run 15	proteomic profiling by mass spectrometry	QExHF03301.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/09/PXD010690/QExHF03301.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	HCD	24% NCE	27% NCE	30% NCE	5 ppm	0.5 Da	not available
PXD010690-Sample 1	Homo sapiens	Brain	not available	not available	not applicable	not available	not available	not available	1	whole organism	run 16	proteomic profiling by mass spectrometry	QExHF03303.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/09/PXD010690/QExHF03303.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	HCD	24% NCE	27% NCE	30% NCE	5 ppm	0.5 Da	not available
PXD010690-Sample 1	Homo sapiens	Brain	not available	not available	not applicable	not available	not available	not available	1	whole organism	run 17	proteomic profiling by mass spectrometry	QExHF03305.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/09/PXD010690/QExHF03305.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	HCD	24% NCE	27% NCE	30% NCE	5 ppm	0.5 Da	not available
PXD010690-Sample 1	Homo sapiens	Brain	not available	not available	not applicable	not available	not available	not available	1	whole organism	run 18	proteomic profiling by mass spectrometry	QExHF03307.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/09/PXD010690/QExHF03307.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	HCD	24% NCE	27% NCE	30% NCE	5 ppm	0.5 Da	not available
PXD010690-Sample 1	Homo sapiens	Brain	not available	not available	not applicable	not available	not available	not available	1	whole organism	run 19	proteomic profiling by mass spectrometry	QExHF03657.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/09/PXD010690/QExHF03657.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	HCD	24% NCE	27% NCE	30% NCE	5 ppm	0.5 Da	not available
PXD010690-Sample 1	Homo sapiens	Brain	not available	not available	not applicable	not available	not available	not available	1	whole organism	run 20	proteomic profiling by mass spectrometry	QExHF03659.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/09/PXD010690/QExHF03659.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	HCD	24% NCE	27% NCE	30% NCE	5 ppm	0.5 Da	not available
PXD010690-Sample 1	Homo sapiens	Brain	not available	not available	not applicable	not available	not available	not available	1	whole organism	run 21	proteomic profiling by mass spectrometry	QExHF03661.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/09/PXD010690/QExHF03661.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	HCD	24% NCE	27% NCE	30% NCE	5 ppm	0.5 Da	not available
PXD010690-Sample 1	Homo sapiens	Brain	not available	not available	not applicable	not available	not available	not available	1	whole organism	run 22	proteomic profiling by mass spectrometry	QExHF03663.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/09/PXD010690/QExHF03663.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	HCD	24% NCE	27% NCE	30% NCE	5 ppm	0.5 Da	not available
PXD010690-Sample 1	Homo sapiens	Brain	not available	not available	not applicable	not available	not available	not available	1	whole organism	run 23	proteomic profiling by mass spectrometry	QExHF03665.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/09/PXD010690/QExHF03665.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	HCD	24% NCE	27% NCE	30% NCE	5 ppm	0.5 Da	not available
PXD010690-Sample 1	Homo sapiens	Brain	not available	not available	not applicable	not available	not available	not available	1	whole organism	run 24	proteomic profiling by mass spectrometry	QExHF03667.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/09/PXD010690/QExHF03667.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	HCD	24% NCE	27% NCE	30% NCE	5 ppm	0.5 Da	not available
PXD010690-Sample 1	Homo sapiens	Brain	not available	not available	not applicable	not available	not available	not available	1	whole organism	run 25	proteomic profiling by mass spectrometry	QExHF03671.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/09/PXD010690/QExHF03671.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	HCD	24% NCE	27% NCE	30% NCE	5 ppm	0.5 Da	not available
PXD010690-Sample 1	Homo sapiens	Brain	not available	not available	not applicable	not available	not available	not available	1	whole organism	run 26	proteomic profiling by mass spectrometry	QExHF03673.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/09/PXD010690/QExHF03673.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	HCD	24% NCE	27% NCE	30% NCE	5 ppm	0.5 Da	not available
PXD010690-Sample 1	Homo sapiens	Brain	not available	not available	not applicable	not available	not available	not available	1	whole organism	run 27	proteomic profiling by mass spectrometry	QExHF03675.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/09/PXD010690/QExHF03675.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	HCD	24% NCE	27% NCE	30% NCE	5 ppm	0.5 Da	not available
PXD010690-Sample 1	Homo sapiens	Brain	not available	not available	not applicable	not available	not available	not available	1	whole organism	run 28	proteomic profiling by mass spectrometry	QExHF03677.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/09/PXD010690/QExHF03677.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	HCD	24% NCE	27% NCE	30% NCE	5 ppm	0.5 Da	not available
PXD010690-Sample 1	Homo sapiens	Brain	not available	not available	not applicable	not available	not available	not available	1	whole organism	run 29	proteomic profiling by mass spectrometry	QExHF03679.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/09/PXD010690/QExHF03679.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	HCD	24% NCE	27% NCE	30% NCE	5 ppm	0.5 Da	not available
PXD010690-Sample 1	Homo sapiens	Brain	not available	not available	not applicable	not available	not available	not available	1	whole organism	run 30	proteomic profiling by mass spectrometry	QExHF03681.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/09/PXD010690/QExHF03681.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	HCD	24% NCE	27% NCE	30% NCE	5 ppm	0.5 Da	not available
PXD010690-Sample 1	Homo sapiens	Brain	not available	not available	not applicable	not available	not available	not available	1	whole organism	run 31	proteomic profiling by mass spectrometry	QExHF03685.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/09/PXD010690/QExHF03685.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	HCD	24% NCE	27% NCE	30% NCE	5 ppm	0.5 Da	not available
PXD010690-Sample 1	Homo sapiens	Brain	not available	not available	not applicable	not available	not available	not available	1	whole organism	run 32	proteomic profiling by mass spectrometry	QExHF03687.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/09/PXD010690/QExHF03687.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	HCD	24% NCE	27% NCE	30% NCE	5 ppm	0.5 Da	not available
PXD010690-Sample 1	Homo sapiens	Brain	not available	not available	not applicable	not available	not available	not available	1	whole organism	run 33	proteomic profiling by mass spectrometry	QExHF03689.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/09/PXD010690/QExHF03689.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	HCD	24% NCE	27% NCE	30% NCE	5 ppm	0.5 Da	not available
PXD010690-Sample 1	Homo sapiens	Brain	not available	not available	not applicable	not available	not available	not available	1	whole organism	run 34	proteomic profiling by mass spectrometry	QExHF03691.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/09/PXD010690/QExHF03691.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	HCD	24% NCE	27% NCE	30% NCE	5 ppm	0.5 Da	not available
PXD010690-Sample 1	Homo sapiens	Brain	not available	not available	not applicable	not available	not available	not available	1	whole organism	run 35	proteomic profiling by mass spectrometry	QExHF03693.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/09/PXD010690/QExHF03693.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	HCD	24% NCE	27% NCE	30% NCE	5 ppm	0.5 Da	not available
PXD010690-Sample 1	Homo sapiens	Brain	not available	not available	not applicable	not available	not available	not available	1	whole organism	run 36	proteomic profiling by mass spectrometry	QExHF03695.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/09/PXD010690/QExHF03695.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	HCD	24% NCE	27% NCE	30% NCE	5 ppm	0.5 Da	not available
PXD010690-Sample 1	Homo sapiens	Brain	not available	not available	not applicable	not available	not available	not available	1	whole organism	run 37	proteomic profiling by mass spectrometry	QExHF03699.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/09/PXD010690/QExHF03699.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	HCD	24% NCE	27% NCE	30% NCE	5 ppm	0.5 Da	not available
PXD010690-Sample 1	Homo sapiens	Brain	not available	not available	not applicable	not available	not available	not available	1	whole organism	run 38	proteomic profiling by mass spectrometry	QExHF03701.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/09/PXD010690/QExHF03701.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	HCD	24% NCE	27% NCE	30% NCE	5 ppm	0.5 Da	not available
PXD010690-Sample 1	Homo sapiens	Brain	not available	not available	not applicable	not available	not available	not available	1	whole organism	run 39	proteomic profiling by mass spectrometry	QExHF03703.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/09/PXD010690/QExHF03703.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	HCD	24% NCE	27% NCE	30% NCE	5 ppm	0.5 Da	not available
PXD010690-Sample 1	Homo sapiens	Brain	not available	not available	not applicable	not available	not available	not available	1	whole organism	run 40	proteomic profiling by mass spectrometry	QExHF03705.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/09/PXD010690/QExHF03705.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	HCD	24% NCE	27% NCE	30% NCE	5 ppm	0.5 Da	not available
