source name	characteristics[organism]	characteristics[organism part]	characteristics[compound]	characteristics[duration]	characteristics[age]	characteristics[cell type]	characteristics[enrichment process]	characteristics[biological replicate]	characteristics[disease]	assay name	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[fractionation method]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	factor value[compound]	factor value[duration]
PXD013868-Sample 1	Arabidopsis thaliana	seed	DMSO	16h	not available	plant cell	no enrichment	1	normal	run 11	3542_BF2_041564_S00_U11_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD013868/3542_BF2_041564_S00_U11_R1.raw	1	11	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	High-pH reversed-phase chromatography (hpHRP)	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	20 ppm	5 ppm	DMSO	16h
PXD013868-Sample 1	Arabidopsis thaliana	seed	DMSO	16h	not available	plant cell	no enrichment	1	normal	run 12	3542_BE2_041564_S00_U12_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD013868/3542_BE2_041564_S00_U12_R1.raw	1	12	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	High-pH reversed-phase chromatography (hpHRP)	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	20 ppm	5 ppm	DMSO	16h
PXD013868-Sample 1	Arabidopsis thaliana	seed	DMSO	16h	not available	plant cell	no enrichment	1	normal	run 13	3542_BD2_041564_S00_U13_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD013868/3542_BD2_041564_S00_U13_R1.raw	1	13	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	High-pH reversed-phase chromatography (hpHRP)	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	20 ppm	5 ppm	DMSO	16h
PXD013868-Sample 1	Arabidopsis thaliana	seed	DMSO	16h	not available	plant cell	no enrichment	1	normal	run 14	3542_BC2_041564_S00_U14_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD013868/3542_BC2_041564_S00_U14_R1.raw	1	14	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	High-pH reversed-phase chromatography (hpHRP)	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	20 ppm	5 ppm	DMSO	16h
PXD013868-Sample 1	Arabidopsis thaliana	seed	DMSO	16h	not available	plant cell	no enrichment	1	normal	run 15	3542_BB2_041564_S00_U15_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD013868/3542_BB2_041564_S00_U15_R1.raw	1	15	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	High-pH reversed-phase chromatography (hpHRP)	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	20 ppm	5 ppm	DMSO	16h
PXD013868-Sample 1	Arabidopsis thaliana	seed	DMSO	16h	not available	plant cell	no enrichment	1	normal	run 16	3542_BA2_041564_S00_U16_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD013868/3542_BA2_041564_S00_U16_R1.raw	1	16	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	High-pH reversed-phase chromatography (hpHRP)	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	20 ppm	5 ppm	DMSO	16h
PXD013868-Sample 1	Arabidopsis thaliana	seed	DMSO	16h	not available	plant cell	no enrichment	1	normal	run 17	3542_BA3_041564_S00_U17_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD013868/3542_BA3_041564_S00_U17_R1.raw	1	17	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	High-pH reversed-phase chromatography (hpHRP)	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	20 ppm	5 ppm	DMSO	16h
PXD013868-Sample 1	Arabidopsis thaliana	seed	DMSO	16h	not available	plant cell	no enrichment	1	normal	run 18	3542_BB3_041564_S00_U18_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD013868/3542_BB3_041564_S00_U18_R1.raw	1	18	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	High-pH reversed-phase chromatography (hpHRP)	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	20 ppm	5 ppm	DMSO	16h
PXD013868-Sample 1	Arabidopsis thaliana	seed	DMSO	16h	not available	plant cell	no enrichment	1	normal	run 19	3542_BC3_041564_S00_U19_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD013868/3542_BC3_041564_S00_U19_R1.raw	1	19	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	High-pH reversed-phase chromatography (hpHRP)	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	20 ppm	5 ppm	DMSO	16h
PXD013868-Sample 1	Arabidopsis thaliana	seed	DMSO	16h	not available	plant cell	no enrichment	1	normal	run 20	3542_BD3_041564_S00_U20_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD013868/3542_BD3_041564_S00_U20_R1.raw	1	20	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	High-pH reversed-phase chromatography (hpHRP)	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	20 ppm	5 ppm	DMSO	16h
PXD013868-Sample 1	Arabidopsis thaliana	seed	DMSO	16h	not available	plant cell	no enrichment	1	normal	run 21	3542_BE3_041564_S00_U21_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD013868/3542_BE3_041564_S00_U21_R1.raw	1	21	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	High-pH reversed-phase chromatography (hpHRP)	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	20 ppm	5 ppm	DMSO	16h
PXD013868-Sample 1	Arabidopsis thaliana	seed	DMSO	16h	not available	plant cell	no enrichment	1	normal	run 22	3542_BF3_041564_S00_U22_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD013868/3542_BF3_041564_S00_U22_R1.raw	1	22	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	High-pH reversed-phase chromatography (hpHRP)	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	20 ppm	5 ppm	DMSO	16h
PXD013868-Sample 1	Arabidopsis thaliana	seed	DMSO	16h	not available	plant cell	no enrichment	1	normal	run 23	3542_BG3_041564_S00_U23_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD013868/3542_BG3_041564_S00_U23_R1.raw	1	23	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	High-pH reversed-phase chromatography (hpHRP)	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	20 ppm	5 ppm	DMSO	16h
PXD013868-Sample 1	Arabidopsis thaliana	seed	DMSO	16h	not available	plant cell	no enrichment	1	normal	run 24	3542_BH3_041564_S00_U24_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD013868/3542_BH3_041564_S00_U24_R1.raw	1	24	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	High-pH reversed-phase chromatography (hpHRP)	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	20 ppm	5 ppm	DMSO	16h
PXD013868-Sample 1	Arabidopsis thaliana	seed	DMSO	16h	not available	plant cell	no enrichment	1	normal	run 25	3542_BH4_041564_S00_U25_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD013868/3542_BH4_041564_S00_U25_R1.raw	1	25	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	High-pH reversed-phase chromatography (hpHRP)	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	20 ppm	5 ppm	DMSO	16h
PXD013868-Sample 1	Arabidopsis thaliana	seed	DMSO	16h	not available	plant cell	no enrichment	1	normal	run 26	3542_BG4_041564_S00_U26_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD013868/3542_BG4_041564_S00_U26_R1.raw	1	26	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	High-pH reversed-phase chromatography (hpHRP)	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	20 ppm	5 ppm	DMSO	16h
PXD013868-Sample 1	Arabidopsis thaliana	seed	DMSO	16h	not available	plant cell	no enrichment	1	normal	run 27	3542_BF4_041564_S00_U27_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD013868/3542_BF4_041564_S00_U27_R1.raw	1	27	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	High-pH reversed-phase chromatography (hpHRP)	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	20 ppm	5 ppm	DMSO	16h
PXD013868-Sample 1	Arabidopsis thaliana	seed	DMSO	16h	not available	plant cell	no enrichment	1	normal	run 28	3542_BE4_041564_S00_U28_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD013868/3542_BE4_041564_S00_U28_R1.raw	1	28	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	High-pH reversed-phase chromatography (hpHRP)	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	20 ppm	5 ppm	DMSO	16h
PXD013868-Sample 1	Arabidopsis thaliana	seed	DMSO	16h	not available	plant cell	no enrichment	1	normal	run 29	3542_BD4_041564_S00_U29_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD013868/3542_BD4_041564_S00_U29_R1.raw	1	29	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	High-pH reversed-phase chromatography (hpHRP)	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	20 ppm	5 ppm	DMSO	16h
PXD013868-Sample 1	Arabidopsis thaliana	seed	DMSO	16h	not available	plant cell	no enrichment	1	normal	run 30	3542_BC4_041564_S00_U30_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD013868/3542_BC4_041564_S00_U30_R1.raw	1	30	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	High-pH reversed-phase chromatography (hpHRP)	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	20 ppm	5 ppm	DMSO	16h
PXD013868-Sample 1	Arabidopsis thaliana	seed	DMSO	16h	not available	plant cell	no enrichment	1	normal	run 31	3542_BB4_041564_S00_U31_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD013868/3542_BB4_041564_S00_U31_R1.raw	1	31	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	High-pH reversed-phase chromatography (hpHRP)	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	20 ppm	5 ppm	DMSO	16h
PXD013868-Sample 1	Arabidopsis thaliana	seed	DMSO	16h	not available	plant cell	no enrichment	1	normal	run 32	3542_BA4_041564_S00_U32_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD013868/3542_BA4_041564_S00_U32_R1.raw	1	32	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	High-pH reversed-phase chromatography (hpHRP)	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	20 ppm	5 ppm	DMSO	16h
PXD013868-Sample 1	Arabidopsis thaliana	seed	DMSO	16h	not available	plant cell	no enrichment	1	normal	run 33	3542_BA5_041564_S00_U33_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD013868/3542_BA5_041564_S00_U33_R1.raw	1	33	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	High-pH reversed-phase chromatography (hpHRP)	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	20 ppm	5 ppm	DMSO	16h
PXD013868-Sample 1	Arabidopsis thaliana	seed	DMSO	16h	not available	plant cell	no enrichment	1	normal	run 34	3542_BB5_041564_S00_U34_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD013868/3542_BB5_041564_S00_U34_R1.raw	1	34	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	High-pH reversed-phase chromatography (hpHRP)	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	20 ppm	5 ppm	DMSO	16h
PXD013868-Sample 1	Arabidopsis thaliana	seed	DMSO	16h	not available	plant cell	no enrichment	1	normal	run 35	3542_BC5_041564_S00_U35_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD013868/3542_BC5_041564_S00_U35_R1.raw	1	35	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	High-pH reversed-phase chromatography (hpHRP)	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	20 ppm	5 ppm	DMSO	16h
PXD013868-Sample 1	Arabidopsis thaliana	seed	DMSO	16h	not available	plant cell	no enrichment	1	normal	run 36	3542_BD5_041564_S00_U36_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD013868/3542_BD5_041564_S00_U36_R1.raw	1	36	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	High-pH reversed-phase chromatography (hpHRP)	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	20 ppm	5 ppm	DMSO	16h
PXD013868-Sample 1	Arabidopsis thaliana	seed	DMSO	16h	not available	plant cell	no enrichment	1	normal	run 37	3542_BE5_041564_S00_U37_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD013868/3542_BE5_041564_S00_U37_R1.raw	1	37	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	High-pH reversed-phase chromatography (hpHRP)	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	20 ppm	5 ppm	DMSO	16h
PXD013868-Sample 1	Arabidopsis thaliana	seed	DMSO	16h	not available	plant cell	no enrichment	1	normal	run 38	3542_BF5_041564_S00_U38_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD013868/3542_BF5_041564_S00_U38_R1.raw	1	38	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	High-pH reversed-phase chromatography (hpHRP)	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	20 ppm	5 ppm	DMSO	16h
