source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[ancestry category]	characteristics[age]	characteristics[developmental stage]	characteristics[sex]	characteristics[cell type]	characteristics[biological replicate]	assay name	Technology Type	comment[label]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	factor value[organism part]
PXD002179-Sample-1	Homo sapiens	Testis	normal	not available	not available	not available	male	not available	1	ms_run 39	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	11	1	CHPP_Testis_SDS_1011.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002179/CHPP_Testis_SDS_1011.raw	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	0.6 Da	10 ppm	Testis
PXD002179-Sample-1	Homo sapiens	Testis	normal	not available	not available	not available	male	not available	1	ms_run 40	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	12	1	CHPP_Testis_SDS_1012.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002179/CHPP_Testis_SDS_1012.raw	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	0.6 Da	10 ppm	Testis
PXD002179-Sample-1	Homo sapiens	Testis	normal	not available	not available	not available	male	not available	1	ms_run 41	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	13	1	CHPP_Testis_SDS_1013.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002179/CHPP_Testis_SDS_1013.raw	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	0.6 Da	10 ppm	Testis
PXD002179-Sample-1	Homo sapiens	Testis	normal	not available	not available	not available	male	not available	1	ms_run 42	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	14	1	CHPP_Testis_SDS_1014.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002179/CHPP_Testis_SDS_1014.raw	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	0.6 Da	10 ppm	Testis
PXD002179-Sample-1	Homo sapiens	Testis	normal	not available	not available	not available	male	not available	1	ms_run 43	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	15	1	CHPP_Testis_SDS_1015.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002179/CHPP_Testis_SDS_1015.raw	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	0.6 Da	10 ppm	Testis
PXD002179-Sample-1	Homo sapiens	Testis	normal	not available	not available	not available	male	not available	1	ms_run 44	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	16	1	CHPP_Testis_SDS_1016.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002179/CHPP_Testis_SDS_1016.raw	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	0.6 Da	10 ppm	Testis
PXD002179-Sample-1	Homo sapiens	Testis	normal	not available	not available	not available	male	not available	1	ms_run 45	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	17	1	CHPP_Testis_SDS_1017.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002179/CHPP_Testis_SDS_1017.raw	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	0.6 Da	10 ppm	Testis
PXD002179-Sample-1	Homo sapiens	Testis	normal	not available	not available	not available	male	not available	1	ms_run 46	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	18	1	CHPP_Testis_SDS_1018.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002179/CHPP_Testis_SDS_1018.raw	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	0.6 Da	10 ppm	Testis
PXD002179-Sample-1	Homo sapiens	Testis	normal	not available	not available	not available	male	not available	1	ms_run 47	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	19	1	CHPP_Testis_SDS_1019.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002179/CHPP_Testis_SDS_1019.raw	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	0.6 Da	10 ppm	Testis
PXD002179-Sample-1	Homo sapiens	Testis	normal	not available	not available	not available	male	not available	1	ms_run 48	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20	1	CHPP_Testis_SDS_1020.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002179/CHPP_Testis_SDS_1020.raw	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	0.6 Da	10 ppm	Testis
PXD002179-Sample-1	Homo sapiens	Testis	normal	not available	not available	not available	male	not available	1	ms_run 49	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	21	1	CHPP_Testis_SDS_1021.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002179/CHPP_Testis_SDS_1021.raw	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	0.6 Da	10 ppm	Testis
PXD002179-Sample-1	Homo sapiens	Testis	normal	not available	not available	not available	male	not available	1	ms_run 50	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	22	1	CHPP_Testis_SDS_1022.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002179/CHPP_Testis_SDS_1022.raw	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	0.6 Da	10 ppm	Testis
PXD002179-Sample-1	Homo sapiens	Testis	normal	not available	not available	not available	male	not available	1	ms_run 51	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	23	1	CHPP_Testis_SDS_1023.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002179/CHPP_Testis_SDS_1023.raw	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	0.6 Da	10 ppm	Testis
PXD002179-Sample-1	Homo sapiens	Testis	normal	not available	not available	not available	male	not available	1	ms_run 52	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	24	1	CHPP_Testis_SDS_1024.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002179/CHPP_Testis_SDS_1024.raw	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	0.6 Da	10 ppm	Testis
PXD002179-Sample-1	Homo sapiens	Testis	normal	not available	not available	not available	male	not available	1	ms_run 53	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	25	1	CHPP_Testis_SDS_1025.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002179/CHPP_Testis_SDS_1025.raw	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	0.6 Da	10 ppm	Testis
PXD002179-Sample-1	Homo sapiens	Testis	normal	not available	not available	not available	male	not available	1	ms_run 54	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	26	1	CHPP_Testis_SDS_1026.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002179/CHPP_Testis_SDS_1026.raw	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	0.6 Da	10 ppm	Testis
PXD002179-Sample-1	Homo sapiens	Testis	normal	not available	not available	not available	male	not available	1	ms_run 55	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	27	1	CHPP_Testis_SDS_1027.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002179/CHPP_Testis_SDS_1027.raw	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	0.6 Da	10 ppm	Testis
PXD002179-Sample-1	Homo sapiens	Testis	normal	not available	not available	not available	male	not available	1	ms_run 56	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	28	1	CHPP_Testis_SDS_1028.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002179/CHPP_Testis_SDS_1028.raw	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	0.6 Da	10 ppm	Testis
PXD002179-Sample-1	Homo sapiens	Testis	normal	not available	not available	not available	male	not available	1	ms_run 85	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	2	CHPP_TESTIS_Tricine_1001.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002179/CHPP_TESTIS_Tricine_1001.raw	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	0.6 Da	10 ppm	Testis
PXD002179-Sample-1	Homo sapiens	Testis	normal	not available	not available	not available	male	not available	1	ms_run 86	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	2	2	CHPP_TESTIS_Tricine_1002.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002179/CHPP_TESTIS_Tricine_1002.raw	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	0.6 Da	10 ppm	Testis
PXD002179-Sample-1	Homo sapiens	Testis	normal	not available	not available	not available	male	not available	1	ms_run 87	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	3	2	CHPP_TESTIS_Tricine_1003.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002179/CHPP_TESTIS_Tricine_1003.raw	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	0.6 Da	10 ppm	Testis
PXD002179-Sample-1	Homo sapiens	Testis	normal	not available	not available	not available	male	not available	1	ms_run 88	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	4	2	CHPP_TESTIS_Tricine_1004.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002179/CHPP_TESTIS_Tricine_1004.raw	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	0.6 Da	10 ppm	Testis
PXD002179-Sample-1	Homo sapiens	Testis	normal	not available	not available	not available	male	not available	1	ms_run 89	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	5	2	CHPP_TESTIS_Tricine_1005.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002179/CHPP_TESTIS_Tricine_1005.raw	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	0.6 Da	10 ppm	Testis
PXD002179-Sample-1	Homo sapiens	Testis	normal	not available	not available	not available	male	not available	1	ms_run 90	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	6	2	CHPP_TESTIS_Tricine_1006.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002179/CHPP_TESTIS_Tricine_1006.raw	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	0.6 Da	10 ppm	Testis
PXD002179-Sample-1	Homo sapiens	Testis	normal	not available	not available	not available	male	not available	1	ms_run 91	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	7	2	CHPP_TESTIS_Tricine_1007.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002179/CHPP_TESTIS_Tricine_1007.raw	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	0.6 Da	10 ppm	Testis
PXD002179-Sample-1	Homo sapiens	Testis	normal	not available	not available	not available	male	not available	1	ms_run 92	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	8	2	CHPP_TESTIS_Tricine_1008.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002179/CHPP_TESTIS_Tricine_1008.raw	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	0.6 Da	10 ppm	Testis
PXD002179-Sample-1	Homo sapiens	Testis	normal	not available	not available	not available	male	not available	1	ms_run 93	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	9	2	CHPP_TESTIS_Tricine_1009.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002179/CHPP_TESTIS_Tricine_1009.raw	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	0.6 Da	10 ppm	Testis
PXD002179-Sample-1	Homo sapiens	Testis	normal	not available	not available	not available	male	not available	1	ms_run 94	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	10	2	CHPP_Testis_tricine_1010.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002179/CHPP_Testis_tricine_1010.raw	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	0.6 Da	10 ppm	Testis
PXD002179-Sample-1	Homo sapiens	Testis	normal	not available	not available	not available	male	not available	1	ms_run 95	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	11	2	CHPP_TESTIS_Tricine_1011.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002179/CHPP_TESTIS_Tricine_1011.raw	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	0.6 Da	10 ppm	Testis
PXD002179-Sample-1	Homo sapiens	Testis	normal	not available	not available	not available	male	not available	1	ms_run 96	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	12	2	CHPP_TESTIS_Tricine_1012.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002179/CHPP_TESTIS_Tricine_1012.raw	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	0.6 Da	10 ppm	Testis
