Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[cell line]	Characteristics[developmental stage]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	Characteristics[disease]	Characteristics[biological replicate]	assay name	comment[fraction identifier]	comment[label]	comment[instrument]	comment[file uri]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[data file]	Material Type	sampleChecksum	sampleAccession
PXD003668-Sample 11	Homo sapiens	not available	IOSE7576	not available	not available	not available	not available	not available	not available	2	run 11	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20130315_EXQ4_FaCo_SA_CL_IOSE7675_B.RAW	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20130315_EXQ4_FaCo_SA_CL_IOSE7675_B.RAW	cell	9b8cd9ba0b609bcbfab3e729d9f8f9d58ef8e77e701ba33fee258ba34aa4e817	SAMEA7711853
PXD003668-Sample 12	Homo sapiens	not available	IOSE7576	not available	not available	not available	not available	not available	not available	3	run 12	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20130315_EXQ4_FaCo_SA_CL_IOSE7576_C.RAW	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20130315_EXQ4_FaCo_SA_CL_IOSE7576_C.RAW	cell	d12841323d5f4160e053831eb0ad7f4d64c1be8da41081aeca9502bd80647229	SAMEA7711854
PXD003668-Sample 13	Homo sapiens	not available	SKOV3IP1	not available	not available	not available	not available	not available	not available	1	run 13	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20130315_EXQ4_FaCo_SA_CL_SKOV3IP1_A.RAW	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20130315_EXQ4_FaCo_SA_CL_SKOV3IP1_A.RAW	cell	c92ff1092596ec44f74e2fb5126bbd1835ed34acb5672df65a3abc65082a6c7f	SAMEA7711855
PXD003668-Sample 14	Homo sapiens	not available	SKOV3IP1	not available	not available	not available	not available	not available	not available	2	run 14	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20130315_EXQ4_FaCo_SA_CL_SKOV3IP1_B.RAW	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20130315_EXQ4_FaCo_SA_CL_SKOV3IP1_B.RAW	cell	da9889a3e7775a25c1170be21614646a8a99d4b891b7cdfdd109fd0b94cb2a0a	SAMEA7711856
PXD003668-Sample 15	Homo sapiens	not available	SKOV3IP1	not available	not available	not available	not available	not available	not available	3	run 15	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20130315_EXQ4_FaCo_SA_CL_SKOV3IP1_C.RAW	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20130315_EXQ4_FaCo_SA_CL_SKOV3IP1_C.RAW	cell	352a1b84595968b5cf26a0b04690cc413be88e1703fd9250e15e9275bc97acab	SAMEA7711857
PXD003668-Sample 16	Homo sapiens	not available	A2780CP70	not available	not available	not available	not available	not available	not available	1	run 16	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20130607_EXQ4_FaCo_SA_CL_A2780CP70_A.RAW	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20130607_EXQ4_FaCo_SA_CL_A2780CP70_A.RAW	cell	899c2576a541477db625e3982fac87a44bbf3bc14339db3bcc16a48892154bd3	SAMEA7711858
PXD003668-Sample 17	Homo sapiens	not available	A2780CP70	not available	not available	not available	not available	not available	not available	2	run 17	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20130607_EXQ4_FaCo_SA_CL_A2780CP70_B.RAW	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20130607_EXQ4_FaCo_SA_CL_A2780CP70_B.RAW	cell	1207213d75683f131ca3d9eb8d3cfd2b70c24ee70b0deb6d1c71d94cb571c5bb	SAMEA7711859
PXD003668-Sample 18	Homo sapiens	not available	A2780CP70	not available	not available	not available	not available	not available	not available	3	run 18	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20130607_EXQ4_FaCo_SA_CL_A2780CP70_C.RAW	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20130607_EXQ4_FaCo_SA_CL_A2780CP70_C.RAW	cell	23d33fff3d5c0a0eefec8428dadd417dc96d8d14ae257d35cc08e75667a37aa8	SAMEA7711860
PXD003668-Sample 19	Homo sapiens	not available	A2780	not available	not available	not available	not available	not available	not available	1	run 19	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20130607_EXQ4_FaCo_SA_CL_A2780_A.raw	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20130607_EXQ4_FaCo_SA_CL_A2780_A.raw	cell	511e11c256c6fdabebefab7d17d54d327cf7f55ea89b7175f95eee0f70c9cfb7	SAMEA7711861
PXD003668-Sample 20	Homo sapiens	not available	A2780	not available	not available	not available	not available	not available	not available	2	run 20	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20130607_EXQ4_FaCo_SA_CL_A2780_B.raw	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20130607_EXQ4_FaCo_SA_CL_A2780_B.raw	cell	b7dbe1f3df4d3ab6fee4660dd4ab8f8fc195bf392b108a9689e5f880dec22f7f	SAMEA7711862
PXD003668-Sample 21	Homo sapiens	not available	A2780	not available	not available	not available	not available	not available	not available	3	run 21	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20130619_EXQ4_FaCo_SA_CL_A2780_C.raw	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20130619_EXQ4_FaCo_SA_CL_A2780_C.raw	cell	b6a89c3d6271eeed37480d98cec09993f6f5900cb7d2130b31be14d0e9835070	SAMEA7711863
PXD003668-Sample 22	Homo sapiens	not available	IOSE397	not available	not available	not available	not available	not available	not available	1	run 22	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20130809_EXQ3_FaCo_SA_CL_IOSE397_A.RAW	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20130809_EXQ3_FaCo_SA_CL_IOSE397_A.RAW	cell	d05792488bebb1c7f4a6defd28d246597c0b91f6cfd48859d8a82b6e0ce402be	SAMEA7711864
PXD003668-Sample 23	Homo sapiens	not available	IOSE397	not available	not available	not available	not available	not available	not available	2	run 23	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20130809_EXQ3_FaCo_SA_CL_IOSE397_B.RAW	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20130809_EXQ3_FaCo_SA_CL_IOSE397_B.RAW	cell	473e4e19658a3851cd1849804e48ee709460a7c93c53368270ab37e92723109d	SAMEA7711865
PXD003668-Sample 24	Homo sapiens	not available	IOSE397	not available	not available	not available	not available	not available	not available	3	run 24	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20140115_EXQ6_FaCo_SA_CL_IOSE397_C.RAW	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20140115_EXQ6_FaCo_SA_CL_IOSE397_C.RAW	cell	9cee74d487466a7e2905bbf76cd1691440938c53a9cf5763df9402e48d4bc5ca	SAMEA7711866
PXD003668-Sample 25	Homo sapiens	not available	ME180C13	not available	not available	not available	not available	not available	not available	1	run 25	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20131018_EXQ3_FaCo_SA_CL_ME180C13_A.RAW	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20131018_EXQ3_FaCo_SA_CL_ME180C13_A.RAW	cell	d21b0909e2983522f5b47d96b862bce03dcbdc1f534a7236007dbef63861407e	SAMEA7711867
PXD003668-Sample 26	Homo sapiens	not available	ME180C13	not available	not available	not available	not available	not available	not available	2	run 26	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20131018_EXQ3_FaCo_SA_CL_ME180C13_B.RAW	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20131018_EXQ3_FaCo_SA_CL_ME180C13_B.RAW	cell	d90c444ca3c9d7755c6d22e13847b5442e45ba57eaa932e12af7d632e6baaf1c	SAMEA7711868
PXD003668-Sample 27	Homo sapiens	not available	ME180C13	not available	not available	not available	not available	not available	not available	3	run 27	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20131018_EXQ3_FaCo_SA_CL_ME180C13_C.RAW	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20131018_EXQ3_FaCo_SA_CL_ME180C13_C.RAW	cell	0c1862881b942f7d6e24be38519be7b667200bd52cd68570a40f711fe6b5ec04	SAMEA7711869
PXD003668-Sample 28	Homo sapiens	not available	TOV112D	not available	not available	not available	not available	not available	not available	1	run 28	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20131018_EXQ3_FaCo_SA_CL_TOV112D_A.RAW	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20131018_EXQ3_FaCo_SA_CL_TOV112D_A.RAW	cell	f6f9e7e22c14c42765a0258a28844294bc227a17cb506804e77ad65afe4c390b	SAMEA7711870
PXD003668-Sample 29	Homo sapiens	not available	TOV112D	not available	not available	not available	not available	not available	not available	2	run 29	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20131018_EXQ3_FaCo_SA_CL_TOV112D_B.RAW	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20131018_EXQ3_FaCo_SA_CL_TOV112D_B.RAW	cell	6177238d67aa782fd0eb5a1f58d64c4d20c878c4698b78f4bed46f282779b7d0	SAMEA7711871
PXD003668-Sample 30	Homo sapiens	not available	TOV112D	not available	not available	not available	not available	not available	not available	3	run 30	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20131025_EXQ3_FaCo_SA_CL_TOV112D_C.RAW	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20131025_EXQ3_FaCo_SA_CL_TOV112D_C.RAW	cell	3959e9cf7f5fc39f31348363d97b7eab5de4a37809ed1fe01dc2a1fd1e859e40	SAMEA7711872
PXD003668-Sample 31	Homo sapiens	not available	ME180	not available	not available	not available	not available	not available	not available	1	run 31	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20131021_EXQ3_FaCo_SA_CL_ME180_A.RAW	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20131021_EXQ3_FaCo_SA_CL_ME180_A.RAW	cell	961623c988863261d53e9343081a914aa58fc453a9ffcfc60b0c78d74423a7f9	SAMEA7711873
PXD003668-Sample 32	Homo sapiens	not available	ME180	not available	not available	not available	not available	not available	not available	2	run 32	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20131021_EXQ3_FaCo_SA_CL_ME180_B.RAW	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20131021_EXQ3_FaCo_SA_CL_ME180_B.RAW	cell	f9674392b0093760981481adf86c15dc839caf21531dc94f9ff6c24d2d5a40da	SAMEA7711874
