source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[developmental stage]	characteristics[disease]	characteristics[ancestry category]	characteristics[sex]	characteristics[age]	characteristics[biological replicate]	assay name	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[cell line]
PXD002224-Sample-1	Homo sapiens	lung	not available	A549	not applicable	Non-small cell lung carcinoma	not applicable	male	not applicable	1	run 11	baby_A549_F5_01162014_1.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002224/baby_A549_F5_01162014_1.wiff.scan	1	5	AC=MS:1002038;NT=label free sample	NT=TripleTOF 5600;AC=MS:1000932	AC=MS:1001313;NT=Trypsin/P	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.1 Da	A549
PXD002224-Sample-1	Homo sapiens	lung	not available	A549	not applicable	Non-small cell lung carcinoma	not applicable	male	not applicable	1	run 12	baby_A549_F5_01162014_2.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002224/baby_A549_F5_01162014_2.wiff.scan	1	5	AC=MS:1002038;NT=label free sample	NT=TripleTOF 5600;AC=MS:1000932	AC=MS:1001313;NT=Trypsin/P	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.1 Da	A549
PXD002224-Sample-1	Homo sapiens	lung	not available	A549	not applicable	Non-small cell lung carcinoma	not applicable	male	not applicable	1	run 13	baby_A549_F6_01162014_1.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002224/baby_A549_F6_01162014_1.wiff.scan	1	6	AC=MS:1002038;NT=label free sample	NT=TripleTOF 5600;AC=MS:1000932	AC=MS:1001313;NT=Trypsin/P	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.1 Da	A549
PXD002224-Sample-1	Homo sapiens	lung	not available	A549	not applicable	Non-small cell lung carcinoma	not applicable	male	not applicable	1	run 14	baby_A549_F6_01162014_2.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002224/baby_A549_F6_01162014_2.wiff.scan	1	6	AC=MS:1002038;NT=label free sample	NT=TripleTOF 5600;AC=MS:1000932	AC=MS:1001313;NT=Trypsin/P	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.1 Da	A549
PXD002224-Sample-2	Homo sapiens	lung	not available	CL25	not applicable	Non-small cell lung carcinoma	not applicable	male	not applicable	1	run 15	CL25_F4_03172014_1.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002224/CL25_F4_03172014_1.wiff.scan	1	4	AC=MS:1002038;NT=label free sample	NT=TripleTOF 5600;AC=MS:1000932	AC=MS:1001313;NT=Trypsin/P	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.1 Da	CL25
PXD002224-Sample-2	Homo sapiens	lung	not available	CL25	not applicable	Non-small cell lung carcinoma	not applicable	male	not applicable	1	run 16	CL25_F4_03172014_2.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002224/CL25_F4_03172014_2.wiff.scan	1	4	AC=MS:1002038;NT=label free sample	NT=TripleTOF 5600;AC=MS:1000932	AC=MS:1001313;NT=Trypsin/P	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.1 Da	CL25
PXD002224-Sample-2	Homo sapiens	lung	not available	CL25	not applicable	Non-small cell lung carcinoma	not applicable	male	not applicable	1	run 17	CL25_F5_03172014_1.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002224/CL25_F5_03172014_1.wiff.scan	1	5	AC=MS:1002038;NT=label free sample	NT=TripleTOF 5600;AC=MS:1000932	AC=MS:1001313;NT=Trypsin/P	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.1 Da	CL25
PXD002224-Sample-2	Homo sapiens	lung	not available	CL25	not applicable	Non-small cell lung carcinoma	not applicable	male	not applicable	1	run 18	CL25_F5_03172014_2.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002224/CL25_F5_03172014_2.wiff.scan	1	5	AC=MS:1002038;NT=label free sample	NT=TripleTOF 5600;AC=MS:1000932	AC=MS:1001313;NT=Trypsin/P	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.1 Da	CL25
PXD002224-Sample-2	Homo sapiens	lung	not available	CL25	not applicable	Non-small cell lung carcinoma	not applicable	male	not applicable	1	run 19	CL25_F6_03172014_1.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002224/CL25_F6_03172014_1.wiff.scan	1	6	AC=MS:1002038;NT=label free sample	NT=TripleTOF 5600;AC=MS:1000932	AC=MS:1001313;NT=Trypsin/P	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.1 Da	CL25
PXD002224-Sample-2	Homo sapiens	lung	not available	CL25	not applicable	Non-small cell lung carcinoma	not applicable	male	not applicable	1	run 20	CL25_F6_03172014_2.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002224/CL25_F6_03172014_2.wiff.scan	1	6	AC=MS:1002038;NT=label free sample	NT=TripleTOF 5600;AC=MS:1000932	AC=MS:1001313;NT=Trypsin/P	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.1 Da	CL25
PXD002224-Sample-2	Homo sapiens	lung	not available	CL25	not applicable	Non-small cell lung carcinoma	not applicable	male	not applicable	1	run 21	CL25_FTwash_03172014_1.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002224/CL25_FTwash_03172014_1.wiff.scan	1	7	AC=MS:1002038;NT=label free sample	NT=TripleTOF 5600;AC=MS:1000932	AC=MS:1001313;NT=Trypsin/P	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.1 Da	CL25
PXD002224-Sample-2	Homo sapiens	lung	not available	CL25	not applicable	Non-small cell lung carcinoma	not applicable	male	not applicable	1	run 22	CL25_FTwash_03172014_2.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002224/CL25_FTwash_03172014_2.wiff.scan	1	7	AC=MS:1002038;NT=label free sample	NT=TripleTOF 5600;AC=MS:1000932	AC=MS:1001313;NT=Trypsin/P	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.1 Da	CL25
PXD002224-Sample-2	Homo sapiens	lung	not available	CL25	not applicable	Non-small cell lung carcinoma	not applicable	male	not applicable	1	run 23	baby_CL25_F1_03172014_1.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002224/baby_CL25_F1_03172014_1.wiff.scan	1	1	AC=MS:1002038;NT=label free sample	NT=TripleTOF 5600;AC=MS:1000932	AC=MS:1001313;NT=Trypsin/P	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.1 Da	CL25
PXD002224-Sample-2	Homo sapiens	lung	not available	CL25	not applicable	Non-small cell lung carcinoma	not applicable	male	not applicable	1	run 24	baby_CL25_F1_03172014_2.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002224/baby_CL25_F1_03172014_2.wiff.scan	1	1	AC=MS:1002038;NT=label free sample	NT=TripleTOF 5600;AC=MS:1000932	AC=MS:1001313;NT=Trypsin/P	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.1 Da	CL25
PXD002224-Sample-2	Homo sapiens	lung	not available	CL25	not applicable	Non-small cell lung carcinoma	not applicable	male	not applicable	1	run 25	baby_CL25_F2_03172014_1.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002224/baby_CL25_F2_03172014_1.wiff.scan	1	2	AC=MS:1002038;NT=label free sample	NT=TripleTOF 5600;AC=MS:1000932	AC=MS:1001313;NT=Trypsin/P	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.1 Da	CL25
PXD002224-Sample-2	Homo sapiens	lung	not available	CL25	not applicable	Non-small cell lung carcinoma	not applicable	male	not applicable	1	run 26	baby_CL25_F2_03172014_2.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002224/baby_CL25_F2_03172014_2.wiff.scan	1	2	AC=MS:1002038;NT=label free sample	NT=TripleTOF 5600;AC=MS:1000932	AC=MS:1001313;NT=Trypsin/P	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.1 Da	CL25
PXD002224-Sample-2	Homo sapiens	lung	not available	CL25	not applicable	Non-small cell lung carcinoma	not applicable	male	not applicable	1	run 27	baby_CL25_F3_03172014_1.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002224/baby_CL25_F3_03172014_1.wiff.scan	1	3	AC=MS:1002038;NT=label free sample	NT=TripleTOF 5600;AC=MS:1000932	AC=MS:1001313;NT=Trypsin/P	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.1 Da	CL25
PXD002224-Sample-2	Homo sapiens	lung	not available	CL25	not applicable	Non-small cell lung carcinoma	not applicable	male	not applicable	1	run 28	baby_CL25_F3_03172014_2.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002224/baby_CL25_F3_03172014_2.wiff.scan	1	3	AC=MS:1002038;NT=label free sample	NT=TripleTOF 5600;AC=MS:1000932	AC=MS:1001313;NT=Trypsin/P	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.1 Da	CL25
PXD002224-Sample-3	Homo sapiens	lung	not available	CL83	not applicable	Non-small cell lung carcinoma	not applicable	male	not applicable	1	run 29	baby_CL83_F1_01082014_1.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002224/baby_CL83_F1_01082014_1.wiff.scan	1	1	AC=MS:1002038;NT=label free sample	NT=TripleTOF 5600;AC=MS:1000932	AC=MS:1001313;NT=Trypsin/P	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.1 Da	CL83
PXD002224-Sample-3	Homo sapiens	lung	not available	CL83	not applicable	Non-small cell lung carcinoma	not applicable	male	not applicable	1	run 30	baby_CL83_F1_01082014_2.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002224/baby_CL83_F1_01082014_2.wiff.scan	1	1	AC=MS:1002038;NT=label free sample	NT=TripleTOF 5600;AC=MS:1000932	AC=MS:1001313;NT=Trypsin/P	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.1 Da	CL83
PXD002224-Sample-3	Homo sapiens	lung	not available	CL83	not applicable	Non-small cell lung carcinoma	not applicable	male	not applicable	1	run 31	baby_CL83_F2_01082014_1.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002224/baby_CL83_F2_01082014_1.wiff.scan	1	2	AC=MS:1002038;NT=label free sample	NT=TripleTOF 5600;AC=MS:1000932	AC=MS:1001313;NT=Trypsin/P	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.1 Da	CL83
PXD002224-Sample-3	Homo sapiens	lung	not available	CL83	not applicable	Non-small cell lung carcinoma	not applicable	male	not applicable	1	run 32	baby_CL83_F2_01082014_2.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002224/baby_CL83_F2_01082014_2.wiff.scan	1	2	AC=MS:1002038;NT=label free sample	NT=TripleTOF 5600;AC=MS:1000932	AC=MS:1001313;NT=Trypsin/P	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.1 Da	CL83
PXD002224-Sample-3	Homo sapiens	lung	not available	CL83	not applicable	Non-small cell lung carcinoma	not applicable	male	not applicable	1	run 33	baby_CL83_F3_01082014_1.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002224/baby_CL83_F3_01082014_1.wiff.scan	1	3	AC=MS:1002038;NT=label free sample	NT=TripleTOF 5600;AC=MS:1000932	AC=MS:1001313;NT=Trypsin/P	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.1 Da	CL83
PXD002224-Sample-3	Homo sapiens	lung	not available	CL83	not applicable	Non-small cell lung carcinoma	not applicable	male	not applicable	1	run 34	baby_CL83_F3_01082014_2.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002224/baby_CL83_F3_01082014_2.wiff.scan	1	3	AC=MS:1002038;NT=label free sample	NT=TripleTOF 5600;AC=MS:1000932	AC=MS:1001313;NT=Trypsin/P	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.1 Da	CL83
PXD002224-Sample-3	Homo sapiens	lung	not available	CL83	not applicable	Non-small cell lung carcinoma	not applicable	male	not applicable	1	run 35	baby_CL83_F4_01082014_1.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002224/baby_CL83_F4_01082014_1.wiff.scan	1	4	AC=MS:1002038;NT=label free sample	NT=TripleTOF 5600;AC=MS:1000932	AC=MS:1001313;NT=Trypsin/P	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.1 Da	CL83
PXD002224-Sample-3	Homo sapiens	lung	not available	CL83	not applicable	Non-small cell lung carcinoma	not applicable	male	not applicable	1	run 36	baby_CL83_F4_01082014_2.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002224/baby_CL83_F4_01082014_2.wiff.scan	1	4	AC=MS:1002038;NT=label free sample	NT=TripleTOF 5600;AC=MS:1000932	AC=MS:1001313;NT=Trypsin/P	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.1 Da	CL83
PXD002224-Sample-3	Homo sapiens	lung	not available	CL83	not applicable	Non-small cell lung carcinoma	not applicable	male	not applicable	1	run 37	baby_CL83_F5_01082014_1.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002224/baby_CL83_F5_01082014_1.wiff.scan	1	5	AC=MS:1002038;NT=label free sample	NT=TripleTOF 5600;AC=MS:1000932	AC=MS:1001313;NT=Trypsin/P	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.1 Da	CL83
PXD002224-Sample-3	Homo sapiens	lung	not available	CL83	not applicable	Non-small cell lung carcinoma	not applicable	male	not applicable	1	run 38	baby_CL83_F5_01082014_2.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002224/baby_CL83_F5_01082014_2.wiff.scan	1	5	AC=MS:1002038;NT=label free sample	NT=TripleTOF 5600;AC=MS:1000932	AC=MS:1001313;NT=Trypsin/P	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.1 Da	CL83
