source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[developmental stage]	characteristics[disease]	characteristics[ancestry category]	characteristics[sex]	characteristics[age]	characteristics[biological replicate]	assay name	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[disease]
MSV000083969-Sample-1	Homo sapiens	lung	not available	not available	not available	lung cancer	not available	not available	not available	1	run 11	LC11.mzML	ftp://massive.ucsd.edu/MSV000083969/ccms_peak/RAW/LC11.mzML	1	11	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=CID;AC=PRIDE:0000591	not available	10 ppm	not available	lung cancer
MSV000083969-Sample-1	Homo sapiens	lung	not available	not available	not available	lung cancer	not available	not available	not available	1	run 12	LC12.mzML	ftp://massive.ucsd.edu/MSV000083969/ccms_peak/RAW/LC12.mzML	1	12	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=CID;AC=PRIDE:0000591	not available	10 ppm	not available	lung cancer
MSV000083969-Sample-2	Homo sapiens	lung	not available	not available	not available	normal	not available	not available	not available	1	run 13	N1.mzML	ftp://massive.ucsd.edu/MSV000083969/ccms_peak/RAW/N1.mzML	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=CID;AC=PRIDE:0000591	not available	10 ppm	not available	normal
MSV000083969-Sample-2	Homo sapiens	lung	not available	not available	not available	normal	not available	not available	not available	1	run 14	N2.mzML	ftp://massive.ucsd.edu/MSV000083969/ccms_peak/RAW/N2.mzML	1	2	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=CID;AC=PRIDE:0000591	not available	10 ppm	not available	normal
MSV000083969-Sample-2	Homo sapiens	lung	not available	not available	not available	normal	not available	not available	not available	1	run 15	N3.mzML	ftp://massive.ucsd.edu/MSV000083969/ccms_peak/RAW/N3.mzML	1	3	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=CID;AC=PRIDE:0000591	not available	10 ppm	not available	normal
MSV000083969-Sample-2	Homo sapiens	lung	not available	not available	not available	normal	not available	not available	not available	1	run 16	N4.mzML	ftp://massive.ucsd.edu/MSV000083969/ccms_peak/RAW/N4.mzML	1	4	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=CID;AC=PRIDE:0000591	not available	10 ppm	not available	normal
MSV000083969-Sample-2	Homo sapiens	lung	not available	not available	not available	normal	not available	not available	not available	1	run 17	N5.mzML	ftp://massive.ucsd.edu/MSV000083969/ccms_peak/RAW/N5.mzML	1	5	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=CID;AC=PRIDE:0000591	not available	10 ppm	not available	normal
MSV000083969-Sample-2	Homo sapiens	lung	not available	not available	not available	normal	not available	not available	not available	1	run 18	N6.mzML	ftp://massive.ucsd.edu/MSV000083969/ccms_peak/RAW/N6.mzML	1	6	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=CID;AC=PRIDE:0000591	not available	10 ppm	not available	normal
MSV000083969-Sample-2	Homo sapiens	lung	not available	not available	not available	normal	not available	not available	not available	1	run 19	N7.mzML	ftp://massive.ucsd.edu/MSV000083969/ccms_peak/RAW/N7.mzML	1	7	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=CID;AC=PRIDE:0000591	not available	10 ppm	not available	normal
MSV000083969-Sample-2	Homo sapiens	lung	not available	not available	not available	normal	not available	not available	not available	1	run 20	N8.mzML	ftp://massive.ucsd.edu/MSV000083969/ccms_peak/RAW/N8.mzML	1	8	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=CID;AC=PRIDE:0000591	not available	10 ppm	not available	normal
MSV000083969-Sample-2	Homo sapiens	lung	not available	not available	not available	normal	not available	not available	not available	1	run 21	N9.mzML	ftp://massive.ucsd.edu/MSV000083969/ccms_peak/RAW/N9.mzML	1	9	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=CID;AC=PRIDE:0000591	not available	10 ppm	not available	normal
MSV000083969-Sample-2	Homo sapiens	lung	not available	not available	not available	normal	not available	not available	not available	1	run 22	N10.mzML	ftp://massive.ucsd.edu/MSV000083969/ccms_peak/RAW/N10.mzML	1	10	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=CID;AC=PRIDE:0000591	not available	10 ppm	not available	normal
MSV000083969-Sample-2	Homo sapiens	lung	not available	not available	not available	normal	not available	not available	not available	1	run 23	N11.mzML	ftp://massive.ucsd.edu/MSV000083969/ccms_peak/RAW/N11.mzML	1	11	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=CID;AC=PRIDE:0000591	not available	10 ppm	not available	normal
MSV000083969-Sample-2	Homo sapiens	lung	not available	not available	not available	normal	not available	not available	not available	1	run 24	N12.mzML	ftp://massive.ucsd.edu/MSV000083969/ccms_peak/RAW/N12.mzML	1	12	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=CID;AC=PRIDE:0000591	not available	10 ppm	not available	normal
