source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[developmental stage]	characteristics[cell line]	characteristics[cell type]	characteristics[sex]	characteristics[ancestry category]	characteristics[disease]	characteristics[biological replicate]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism]
PXD014877-Sample-6	Chlamydomonas reinhardtii	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	run 11	proteomic profiling by mass spectrometry	20180828_QX1_JoMu_SA_Easy12-7_uPAC_500ng_Creinhardi_fraction6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD014877/20180828_QX1_JoMu_SA_Easy12-7_uPAC_500ng_Creinhardi_fraction6.raw	1	6	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	7 ppm	20 ppm	Chlamydomonas reinhardtii
PXD014877-Sample-6	Chlamydomonas reinhardtii	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	run 12	proteomic profiling by mass spectrometry	20180901_QX2_JoMu_SA_LC12_7_Creinhardi-F7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD014877/20180901_QX2_JoMu_SA_LC12_7_Creinhardi-F7.raw	1	7	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	7 ppm	20 ppm	Chlamydomonas reinhardtii
PXD014877-Sample-6	Chlamydomonas reinhardtii	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	run 13	proteomic profiling by mass spectrometry	20180901_QX2_JoMu_SA_LC12_7_Creinhardi-F8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD014877/20180901_QX2_JoMu_SA_LC12_7_Creinhardi-F8.raw	1	8	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	7 ppm	20 ppm	Chlamydomonas reinhardtii
PXD014877-Sample-7	Dictyostelium discoideum	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	run 14	proteomic profiling by mass spectrometry	20180831_QX2_JoMu_SA_LC12_7_Dictostelium.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD014877/20180831_QX2_JoMu_SA_LC12_7_Dictostelium.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	7 ppm	20 ppm	Dictyostelium discoideum
PXD014877-Sample-8	Halobacterium	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	run 15	proteomic profiling by mass spectrometry	20180831_QX2_JoMu_SA_LC12_7_Halobacterium.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD014877/20180831_QX2_JoMu_SA_LC12_7_Halobacterium.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	7 ppm	20 ppm	Halobacterium
PXD014877-Sample-9	Fusarium oxysporum	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	run 16	proteomic profiling by mass spectrometry	20180901_QX2_JoMu_SA_LC12_7_Foxisporium_Pallet.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD014877/20180901_QX2_JoMu_SA_LC12_7_Foxisporium_Pallet.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	7 ppm	20 ppm	Fusarium oxysporum
PXD014877-Sample-10	Fusarium oxysporum	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	run 17	proteomic profiling by mass spectrometry	20180901_QX2_JoMu_SA_LC12_7_Foxisporium_supernatant.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD014877/20180901_QX2_JoMu_SA_LC12_7_Foxisporium_supernatant.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	7 ppm	20 ppm	Fusarium oxysporum
PXD014877-Sample-11	Fusarium oxysporum	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	run 18	proteomic profiling by mass spectrometry	20180902_QX2_JoMu_SA_LC12_7_Foxisporium_Pellet_highload.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD014877/20180902_QX2_JoMu_SA_LC12_7_Foxisporium_Pellet_highload.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	7 ppm	20 ppm	Fusarium oxysporum
PXD014877-Sample-12	Thalassiosira pseudonana	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	run 19	proteomic profiling by mass spectrometry	20180903_QX4_JoMu_SA_EASY12-7_uPAC_500ng_Tpseudonana-f1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD014877/20180903_QX4_JoMu_SA_EASY12-7_uPAC_500ng_Tpseudonana-f1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	7 ppm	20 ppm	Thalassiosira pseudonana
PXD014877-Sample-12	Thalassiosira pseudonana	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	run 20	proteomic profiling by mass spectrometry	20180903_QX4_JoMu_SA_EASY12-7_uPAC_500ng_Tpseudonana-f2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD014877/20180903_QX4_JoMu_SA_EASY12-7_uPAC_500ng_Tpseudonana-f2.raw	1	2	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	7 ppm	20 ppm	Thalassiosira pseudonana
PXD014877-Sample-12	Thalassiosira pseudonana	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	run 21	proteomic profiling by mass spectrometry	20180903_QX4_JoMu_SA_EASY12-7_uPAC_500ng_Tpseudonana-f3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD014877/20180903_QX4_JoMu_SA_EASY12-7_uPAC_500ng_Tpseudonana-f3.raw	1	3	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	7 ppm	20 ppm	Thalassiosira pseudonana
PXD014877-Sample-12	Thalassiosira pseudonana	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	run 22	proteomic profiling by mass spectrometry	20180903_QX4_JoMu_SA_EASY12-7_uPAC_500ng_Tpseudonana-f4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD014877/20180903_QX4_JoMu_SA_EASY12-7_uPAC_500ng_Tpseudonana-f4.raw	1	4	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	7 ppm	20 ppm	Thalassiosira pseudonana
PXD014877-Sample-12	Thalassiosira pseudonana	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	run 23	proteomic profiling by mass spectrometry	20180903_QX4_JoMu_SA_EASY12-7_uPAC_500ng_Tpseudonana-f5_180905041541.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD014877/20180903_QX4_JoMu_SA_EASY12-7_uPAC_500ng_Tpseudonana-f5_180905041541.raw	1	5	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	7 ppm	20 ppm	Thalassiosira pseudonana
PXD014877-Sample-12	Thalassiosira pseudonana	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	run 24	proteomic profiling by mass spectrometry	20180903_QX4_JoMu_SA_EASY12-7_uPAC_500ng_Tpseudonana-f6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD014877/20180903_QX4_JoMu_SA_EASY12-7_uPAC_500ng_Tpseudonana-f6.raw	1	6	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	7 ppm	20 ppm	Thalassiosira pseudonana
PXD014877-Sample-12	Thalassiosira pseudonana	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	run 25	proteomic profiling by mass spectrometry	20180903_QX4_JoMu_SA_EASY12-7_uPAC_500ng_Tpseudonana-f7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD014877/20180903_QX4_JoMu_SA_EASY12-7_uPAC_500ng_Tpseudonana-f7.raw	1	7	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	7 ppm	20 ppm	Thalassiosira pseudonana
PXD014877-Sample-12	Thalassiosira pseudonana	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	run 26	proteomic profiling by mass spectrometry	20180903_QX4_JoMu_SA_EASY12-7_uPAC_500ng_Tpseudonana-f8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD014877/20180903_QX4_JoMu_SA_EASY12-7_uPAC_500ng_Tpseudonana-f8.raw	1	8	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	7 ppm	20 ppm	Thalassiosira pseudonana
PXD014877-Sample-13	Arabidopsis	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	run 27	proteomic profiling by mass spectrometry	20180905_QX4_JoMu_SA_EASY12-7_uPAC_500ng_ArabidopsisiRT-F5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD014877/20180905_QX4_JoMu_SA_EASY12-7_uPAC_500ng_ArabidopsisiRT-F5.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	7 ppm	20 ppm	Arabidopsis
PXD014877-Sample-13	Arabidopsis	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	run 28	proteomic profiling by mass spectrometry	20180905_QX4_JoMu_SA_EASY12-7_uPAC_500ng_ArabidopsisiRT-F6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD014877/20180905_QX4_JoMu_SA_EASY12-7_uPAC_500ng_ArabidopsisiRT-F6.raw	1	2	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	7 ppm	20 ppm	Arabidopsis
PXD014877-Sample-13	Arabidopsis	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	run 29	proteomic profiling by mass spectrometry	20180905_QX4_JoMu_SA_EASY12-7_uPAC_500ng_ArabidopsisiRT-F7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD014877/20180905_QX4_JoMu_SA_EASY12-7_uPAC_500ng_ArabidopsisiRT-F7.raw	1	3	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	7 ppm	20 ppm	Arabidopsis
PXD014877-Sample-13	Arabidopsis	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	run 30	proteomic profiling by mass spectrometry	20180905_QX4_JoMu_SA_EASY12-7_uPAC_500ng_ArabidopsisiRT-F8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD014877/20180905_QX4_JoMu_SA_EASY12-7_uPAC_500ng_ArabidopsisiRT-F8.raw	1	4	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	7 ppm	20 ppm	Arabidopsis
PXD014877-Sample-13	Arabidopsis	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	run 31	proteomic profiling by mass spectrometry	20180906_QX4_JoMu_SA_EASY12-7_uPAC_500ng_ArabidopsisiRT-F1_highload.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD014877/20180906_QX4_JoMu_SA_EASY12-7_uPAC_500ng_ArabidopsisiRT-F1_highload.raw	1	5	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	7 ppm	20 ppm	Arabidopsis
