Modification	Mass Shift	dataset01_PSMs	dataset01_percent_PSMs
Unannotated mass-shift -4.3232	-4.3232	11	0.0070
Unannotated mass-shift 41.9194	41.9194	11	0.0070
Propionate labeling reagent light form (N-term & K)/Acrolein addition +56	56.026215	11	0.0070
Deletion of E	-129.04258728027344	10	0.0060
Unannotated mass-shift 302.0760	302.076	10	0.0060
carboxyethyl/Dihydroxy methylglyoxal adduct/Ethoxyformylation	72.021129	10	0.0060
N-ethyl iodoacetamide-d0/Bu fragment of BuUrBu crosslinker	85.052764	10	0.0060
Unannotated mass-shift 346.1650	346.165	10	0.0060
DiMethyl-C13HD2	34.063117	10	0.0060
Pyrrolidone from Proline	-27.994915	10	0.0060
