source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[sex]	characteristics[age]	characteristics[cell type]	characteristics[ancestry category]	characteristics[biological replicate]	material type	assay name	technology type	comment[label]	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[precursor mass tolerance]	comment[MS1 scan range]	comment[MS2 scan range]	comment[fragment mass tolerance]	factor value[disease]
PXD010912-Sample-11	Homo sapiens	Liver	normal	not available	not available	not available	not available	11	Human liver S9 fractions	run 11	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	HLS9_DIA11.mzML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD010912/HLS9_DIA11.wiff	1	1	AC=MS:1001251;NT=Trypsin	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	5 ppm	400-1250	100-1500	10 ppm	normal
PXD010912-Sample-12	Homo sapiens	Liver	normal	not available	not available	not available	not available	12	Human liver S9 fractions	run 12	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	HLS9_DIA12.mzML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD010912/HLS9_DIA12.wiff	1	1	AC=MS:1001251;NT=Trypsin	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	5 ppm	400-1250	100-1500	10 ppm	normal
PXD010912-Sample-13	Homo sapiens	Liver	normal	not available	not available	not available	not available	13	Human liver S9 fractions	run 13	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	HLS9_DIA13.mzML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD010912/HLS9_DIA13.wiff	1	1	AC=MS:1001251;NT=Trypsin	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	5 ppm	400-1250	100-1500	10 ppm	normal
PXD010912-Sample-14	Homo sapiens	Liver	normal	not available	not available	not available	not available	14	Human liver S9 fractions	run 14	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	HLS9_DIA14.mzML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD010912/HLS9_DIA14.wiff	1	1	AC=MS:1001251;NT=Trypsin	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	5 ppm	400-1250	100-1500	10 ppm	normal
PXD010912-Sample-15	Homo sapiens	Liver	normal	not available	not available	not available	not available	15	Human liver S9 fractions	run 15	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	HLS9_DIA15.mzML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD010912/HLS9_DIA15.wiff	1	1	AC=MS:1001251;NT=Trypsin	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	5 ppm	400-1250	100-1500	10 ppm	normal
PXD010912-Sample-16	Homo sapiens	Liver	normal	not available	not available	not available	not available	16	Human liver S9 fractions	run 16	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	HLS9_DIA16.mzML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD010912/HLS9_DIA16.wiff	1	1	AC=MS:1001251;NT=Trypsin	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	5 ppm	400-1250	100-1500	10 ppm	normal
PXD010912-Sample-17	Homo sapiens	Liver	normal	not available	not available	not available	not available	17	Human liver S9 fractions	run 17	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	HLS9_DIA17.mzML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD010912/HLS9_DIA17.wiff	1	1	AC=MS:1001251;NT=Trypsin	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	5 ppm	400-1250	100-1500	10 ppm	normal
PXD010912-Sample-18	Homo sapiens	Liver	normal	not available	not available	not available	not available	18	Human liver S9 fractions	run 18	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	HLS9_DIA18.mzML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD010912/HLS9_DIA18.wiff	1	1	AC=MS:1001251;NT=Trypsin	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	5 ppm	400-1250	100-1500	10 ppm	normal
PXD010912-Sample-19	Homo sapiens	Liver	normal	not available	not available	not available	not available	19	Human liver S9 fractions	run 19	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	HLS9_DIA19.mzML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD010912/HLS9_DIA19.wiff	1	1	AC=MS:1001251;NT=Trypsin	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	5 ppm	400-1250	100-1500	10 ppm	normal
PXD010912-Sample-20	Homo sapiens	Liver	normal	not available	not available	not available	not available	20	Human liver S9 fractions	run 20	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	HLS9_DIA20.mzML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD010912/HLS9_DIA20.wiff	1	1	AC=MS:1001251;NT=Trypsin	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	5 ppm	400-1250	100-1500	10 ppm	normal
PXD010912-Sample-21	Homo sapiens	Liver	normal	not available	not available	not available	not available	21	Human liver S9 fractions	run 21	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	HLS9_DIA21.mzML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD010912/HLS9_DIA21.wiff	1	1	AC=MS:1001251;NT=Trypsin	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	5 ppm	400-1250	100-1500	10 ppm	normal
PXD010912-Sample-22	Homo sapiens	Liver	normal	not available	not available	not available	not available	22	Human liver S9 fractions	run 22	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	HLS9_DIA22.mzML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD010912/HLS9_DIA22.wiff	1	1	AC=MS:1001251;NT=Trypsin	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	5 ppm	400-1250	100-1500	10 ppm	normal
PXD010912-Sample-23	Homo sapiens	Liver	normal	not available	not available	not available	not available	23	Human liver S9 fractions	run 23	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	HLS9_DIA23.mzML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD010912/HLS9_DIA23.wiff	1	1	AC=MS:1001251;NT=Trypsin	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	5 ppm	400-1250	100-1500	10 ppm	normal
PXD010912-Sample-24	Homo sapiens	Liver	normal	not available	not available	not available	not available	24	Human liver S9 fractions	run 24	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	HLS9_DIA24.mzML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD010912/HLS9_DIA24.wiff	1	1	AC=MS:1001251;NT=Trypsin	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	5 ppm	400-1250	100-1500	10 ppm	normal
PXD010912-Sample-25	Homo sapiens	Liver	normal	not available	not available	not available	not available	25	Human liver S9 fractions	run 25	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	HLS9_DIA25.mzML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD010912/HLS9_DIA25.wiff	1	1	AC=MS:1001251;NT=Trypsin	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	5 ppm	400-1250	100-1500	10 ppm	normal
PXD010912-Sample-26	Homo sapiens	Liver	normal	not available	not available	not available	not available	26	Human liver S9 fractions	run 26	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	HLS9_DIA26.mzML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD010912/HLS9_DIA26.wiff	1	1	AC=MS:1001251;NT=Trypsin	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	5 ppm	400-1250	100-1500	10 ppm	normal
PXD010912-Sample-27	Homo sapiens	Liver	normal	not available	not available	not available	not available	27	Human liver S9 fractions	run 27	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	HLS9_DIA27.mzML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD010912/HLS9_DIA27.wiff	1	1	AC=MS:1001251;NT=Trypsin	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	5 ppm	400-1250	100-1500	10 ppm	normal
PXD010912-Sample-28	Homo sapiens	Liver	normal	not available	not available	not available	not available	28	Human liver S9 fractions	run 28	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	HLS9_DIA28.mzML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD010912/HLS9_DIA28.wiff	1	1	AC=MS:1001251;NT=Trypsin	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	5 ppm	400-1250	100-1500	10 ppm	normal
PXD010912-Sample-29	Homo sapiens	Liver	normal	not available	not available	not available	not available	29	Human liver S9 fractions	run 29	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	HLS9_DIA29.mzML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD010912/HLS9_DIA29.wiff	1	1	AC=MS:1001251;NT=Trypsin	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	5 ppm	400-1250	100-1500	10 ppm	normal
PXD010912-Sample-30	Homo sapiens	Liver	normal	not available	not available	not available	not available	30	Human liver S9 fractions	run 30	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	HLS9_DIA30.mzML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD010912/HLS9_DIA30.wiff	1	1	AC=MS:1001251;NT=Trypsin	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	5 ppm	400-1250	100-1500	10 ppm	normal
PXD010912-Sample-31	Homo sapiens	Liver	normal	not available	not available	not available	not available	31	Human liver S9 fractions	run 31	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	HLS9_DIA31.mzML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD010912/HLS9_DIA31.wiff	1	1	AC=MS:1001251;NT=Trypsin	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	5 ppm	400-1250	100-1500	10 ppm	normal
PXD010912-Sample-32	Homo sapiens	Liver	normal	not available	not available	not available	not available	32	Human liver S9 fractions	run 32	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	HLS9_DIA32.mzML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD010912/HLS9_DIA32.wiff	1	1	AC=MS:1001251;NT=Trypsin	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	5 ppm	400-1250	100-1500	10 ppm	normal
PXD010912-Sample-33	Homo sapiens	Liver	normal	not available	not available	not available	not available	33	Human liver S9 fractions	run 33	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	HLS9_DIA33.mzML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD010912/HLS9_DIA33.wiff	1	1	AC=MS:1001251;NT=Trypsin	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	5 ppm	400-1250	100-1500	10 ppm	normal
PXD010912-Sample-34	Homo sapiens	Liver	normal	not available	not available	not available	not available	34	Human liver S9 fractions	run 34	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	HLS9_DIA34.mzML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD010912/HLS9_DIA34.wiff	1	1	AC=MS:1001251;NT=Trypsin	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	5 ppm	400-1250	100-1500	10 ppm	normal
PXD010912-Sample-35	Homo sapiens	Liver	normal	not available	not available	not available	not available	35	Human liver S9 fractions	run 35	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	HLS9_DIA35.mzML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD010912/HLS9_DIA35.wiff	1	1	AC=MS:1001251;NT=Trypsin	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	5 ppm	400-1250	100-1500	10 ppm	normal
PXD010912-Sample-36	Homo sapiens	Liver	normal	not available	not available	not available	not available	36	Human liver S9 fractions	run 36	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	HLS9_DIA36.mzML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD010912/HLS9_DIA36.wiff	1	1	AC=MS:1001251;NT=Trypsin	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	5 ppm	400-1250	100-1500	10 ppm	normal
PXD010912-Sample-37	Homo sapiens	Liver	pool1	not available	not available	not available	not available	1	Human liver S9 fractions	run 37	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	HLS9_DIA_Pool1.mzML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD010912/HLS9_DIA_Pool1.wiff	1	1	AC=MS:1001251;NT=Trypsin	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	5 ppm	400-1250	100-1500	10 ppm	pool1
