Comentarios										Esto esta bien?	Con las fracciones que?		No se si hay	Esto esta bien?		Esto o blood.zip			Puede ser FX?		Duda	"Esto + Oxidation (M);Acetyl (Protein N-term)?"	LysC lo quito?				
PXD011749 20180821_QX1_PhGe_SA_LC12-14_WholeBlood_F14	Homo sapiens	Blood	not available	not available	not applicable	not applicable	not available	Healthy	Alive	21	14	Tissue	Run 21	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Blood_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Blood_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	NT=Carbamidomethyl	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_WholeBlood_F15	Homo sapiens	Blood	not available	not available	not applicable	not applicable	not available	Healthy	Alive	21	15	Tissue	Run 21	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Blood_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Blood_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	NT=Carbamidomethyl	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_WholeBlood_F16	Homo sapiens	Blood	not available	not available	not applicable	not applicable	not available	Healthy	Alive	21	16	Tissue	Run 21	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Blood_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Blood_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	NT=Carbamidomethyl	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_WholeBlood_F17	Homo sapiens	Blood	not available	not available	not applicable	not applicable	not available	Healthy	Alive	21	17	Tissue	Run 21	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Blood_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Blood_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	NT=Carbamidomethyl	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_WholeBlood_F18	Homo sapiens	Blood	not available	not available	not applicable	not applicable	not available	Healthy	Alive	21	18	Tissue	Run 21	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Blood_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Blood_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	NT=Carbamidomethyl	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_WholeBlood_F19	Homo sapiens	Blood	not available	not available	not applicable	not applicable	not available	Healthy	Alive	21	19	Tissue	Run 21	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Blood_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Blood_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	NT=Carbamidomethyl	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_WholeBlood_F20	Homo sapiens	Blood	not available	not available	not applicable	not applicable	not available	Healthy	Alive	21	20	Tissue	Run 21	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Blood_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Blood_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	NT=Carbamidomethyl	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_WholeBlood_F21	Homo sapiens	Blood	not available	not available	not applicable	not applicable	not available	Healthy	Alive	21	21	Tissue	Run 21	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Blood_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Blood_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	NT=Carbamidomethyl	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_WholeBlood_F22	Homo sapiens	Blood	not available	not available	not applicable	not applicable	not available	Healthy	Alive	21	22	Tissue	Run 21	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Blood_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Blood_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	NT=Carbamidomethyl	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_WholeBlood_F23	Homo sapiens	Blood	not available	not available	not applicable	not applicable	not available	Healthy	Alive	21	23	Tissue	Run 21	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Blood_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Blood_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	NT=Carbamidomethyl	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_WholeBlood_F24	Homo sapiens	Blood	not available	not available	not applicable	not applicable	not available	Healthy	Alive	21	24	Tissue	Run 21	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Blood_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Blood_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	NT=Carbamidomethyl	NT=Trypsin and LysC				Alive
																											
																											
																											
