pxd	doi	sdrf url	msstats url	method	samples	run	features	peptides	proteins
PXD013231-DDA	10.1074/mcp.ra118.001288	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD013231.1/pipeline_info/PXD013231.sdrf.tsv	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD013231.1/proteomicslfq/PXD013231-DDA.sdrf_openms_design_msstats_in.csv	DDA	7	105	228374	8295	536
PXD013231-DIA	10.1074/mcp.ra118.001288	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD013231.2/diannconvert/PXD013231.sdrf.tsv	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD013231.2/diannconvert/PXD013231-DIA.sdrf_openms_design_msstats_in.csv	DIA	1552	1549	11207421	7875	538
PXD017052-DDA	10.1371/journal.pone.0282821	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD017052.1/pipeline_info/PXD017052.sdrf.tsv	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD017052.1/proteomicslfq/PXD017052-DDA.sdrf_openms_design_msstats_in.csv	DDA	38	114	343259	10206	1269
PXD017052-DIA	10.1371/journal.pone.0282821	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD017052.2/diannconvert/PXD017052.sdrf.tsv	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD017052.2/diannconvert/PXD017052-DIA.sdrf_openms_design_msstats_in.csv	DIA	3140	3140	43764850	28712	3184
PXD017834-LFQ	10.3389/fonc.2020.543997	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD017834.1/pipeline_info/PXD017834.sdrf.tsv	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD017834.1/proteomicslfq/PXD017834-LFQ.sdrf_openms_design_msstats_in.csv	DDA	3	9	24581	2140	166
PXD017834-TMT	10.3389/fonc.2020.543997	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD017834.2/pipeline_info/PXD017834.sdrf.tsv	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD017834.2/msstatsconverter/PXD017834-TMT.sdrf_openms_design_msstats_in.csv	TMT	6	18	457187	4230	292
PXD019817	10.3389/fimmu.2020.578505	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD019817/pipeline_info/PXD019817.sdrf.tsv	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD019817/proteomicslfq/PXD019817.sdrf_openms_design_msstats_in.csv	DDA	98	98	196889	2686	238
PXD020727	10.3390/ijms21165903	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD020727/pipeline_info/PXD020727.sdrf.tsv	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD020727/proteomicslfq/PXD020727.sdrf_openms_design_msstats_in.csv	DDA	42	41	73830	5121	627
PXD022469	10.1021/acs.jproteome.0c00670	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD022469/pipeline_info/PXD022469.sdrf.tsv	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD022469/proteomicslfq/PXD022469.sdrf_openms_design_msstats_in.csv	DDA	16	384	886167	15870	893
PXD023650	10.1021/acs.analchem.1c00257	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD023650/pipeline_info/PXD023650.sdrf.tsv	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD023650/proteomicslfq/PXD023650.sdrf_openms_design_msstats_in.csv	DDA	1	48	92294	28069	2751
PXD027125	NOT FOUND except	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD027125/pipeline_info/PXD027125.sdrf.tsv	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD027125/proteomicslfq/PXD027125.sdrf_openms_design_msstats_in.csv	DDA	45	44	65053	1696	324
PXD029009	10.1371/journal.pdig.0000007	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD029009/diannconvert/PXD029009.sdrf.tsv	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD029009/diannconvert/PXD029009.sdrf_openms_design_msstats_in.csv	DIA	366	366	797030	1925	187
PXD030598	10.1186/s12014-022-09345-1	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD030598/diannconvert/PXD030598.sdrf.tsv	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD030598/diannconvert/PXD030598.sdrf_openms_design_msstats_in.csv	DIA	435	870	3217165	3928	446
PXD036609	10.1128/spectrum.01270-22	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD036609/diannconvert/PXD036609.sdrf.tsv	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD036609/diannconvert/PXD036609.sdrf_openms_design_msstats_in.csv	DIA	27	27	195672	9416	897
PXD037340-DDA	10.1002/PMIC.202200039	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD037340.1/pipeline_info/PXD037340.sdrf.tsv	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD037340.1/proteomicslfq/PXD037340-DDA.sdrf_openms_design_msstats_in.csv	DDA	6	18	145547	12064	1431
PXD037682	10.1016/j.immuni.2022.11.007	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD037682/diannconvert/PXD037682.sdrf.tsv	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD037682/diannconvert/PXD037682.sdrf_openms_design_msstats_in.csv	DIA	60	60	179688	2123	193
PXD038526	NOT FOUND except	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD038526/diannconvert/PXD038526.sdrf.tsv	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD038526/diannconvert/PXD038526.sdrf_openms_design_msstats_in.csv	DIA	50	50	144322	2069	185
PXD038669-DDA	10.1021/jasms.3c00022	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD038669.1/pipeline_info/PXD038669.sdrf.tsv	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD038669.1/proteomicslfq/PXD038669-DDA.sdrf_openms_design_msstats_in.csv	DDA	1	9	23152	1952	183
PXD038669-DIA	10.1021/jasms.3c00022	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD038669.2/diannconvert/PXD038669.sdrf.tsv	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD038669.2/diannconvert/PXD038669-DIA.sdrf_openms_design_msstats_in.csv	DIA	31	144	566616	4182	435
PXD038674	10.3390/cancers15020350	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD038674/pipeline_info/PXD038674.sdrf.tsv	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD038674/proteomicslfq/PXD038674.sdrf_openms_design_msstats_in.csv	DDA	16	48	331463	11166	1218
PXD039023	NOT FOUND except	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD039023/diannconvert/PXD039023.sdrf.tsv	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD039023/diannconvert/PXD039023.sdrf_openms_design_msstats_in.csv	DIA	886	879	2826986	2636	204
PXD040438	10.1038/s41467-023-37269-3	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD040438/pipeline_info/PXD040438.sdrf.tsv	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD040438/proteomicslfq/PXD040438.sdrf_openms_design_msstats_in.csv	DDA	24	24	80621	3961	383
