Esto estaba dentro del .raw SerumVSPlasma, pero luego pone liver etc																																																		
Raw file	Experiment	Enzyme	Enzyme mode	Enzyme first search	Enzyme mode first search	Use enzyme first search	Variable modifications	Multi modifications	Variable modifications first search	Use variable modifications first search	Requantify	Multiplicity	Max. missed cleavages	Labels0	LC-MS run type	Time-dependent recalibration	MS	MS/MS	MS3	MS/MS Submitted	MS/MS Submitted (SIL)	MS/MS Submitted (ISO)	MS/MS Submitted (PEAK)	MS/MS Identified	MS/MS Identified (SIL)	MS/MS Identified (ISO)	MS/MS Identified (PEAK)	MS/MS Identified [%]	MS/MS Identified (SIL) [%]	MS/MS Identified (ISO) [%]	MS/MS Identified (PEAK) [%]	Peptide Sequences Identified	Peaks	Peaks Sequenced	Peaks Sequenced [%]	Peaks Repeatedly Sequenced	Peaks Repeatedly Sequenced [%]	Isotope Patterns	Isotope Patterns Sequenced	Isotope Patterns Sequenced (z>1)	Isotope Patterns Sequenced [%]	Isotope Patterns Sequenced (z>1) [%]	Isotope Patterns Repeatedly Sequenced	Isotope Patterns Repeatedly Sequenced [%]	Recalibrated	Av. Absolute Mass Deviation [ppm]	Mass Standard Deviation [ppm]	Av. Absolute Mass Deviation [mDa]	Mass Standard Deviation [mDa]	Label free norm param
20170405_QEp2_PhGe_SA_LC12-14_Liver_Human_1_F14	Library5_F14	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		Standard		4214	21011	0	26218	15804	0	10414	1938	1803	0	135	7.39	11.41	NaN	1.3	1187	219518	18431	8.4	554	3.01	36905	14564	14197	39.46	45.45	1081	7.42	+	0.71008	0.98472	0.50954	0.75873	
20170405_QEp2_PhGe_SA_LC12-14_Liver_Human_1_F15	Library5_F15	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		Standard		4251	22503	0	27982	17024	0	10958	2148	2013	0	135	7.68	11.82	NaN	1.23	1349	243196	19877	8.17	593	2.98	40467	15718	15312	38.84	44.39	1154	7.34	+	0.70827	0.96269	0.51201	0.74487	
20170405_QEp2_PhGe_SA_LC12-14_Liver_Human_1_F16	Library5_F16	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		Standard		4510	22802	0	28396	17208	0	11188	2115	2008	0	107	7.45	11.67	NaN	0.96	1355	260498	20235	7.77	561	2.77	42208	15911	15486	37.7	42.61	1160	7.29	+	0.66783	0.91519	0.49384	0.72494	
20170405_QEp2_PhGe_SA_LC12-14_Liver_Human_1_F17	Library5_F17	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		Standard		3666	21142	0	26374	15910	0	10464	1937	1841	0	96	7.34	11.57	NaN	0.92	1252	239869	18583	7.75	600	3.23	39699	14658	14253	36.92	42.68	1082	7.38	+	0.66543	0.91095	0.47847	0.70077	
20170405_QEp2_PhGe_SA_LC12-14_Liver_Human_1_F18	Library5_F18	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		Standard		4239	22351	0	27645	17057	0	10588	1887	1779	0	108	6.83	10.43	NaN	1.02	1233	247956	19822	7.99	645	3.25	40927	15694	15286	38.35	43.31	1212	7.72	+	0.70608	0.95752	0.51586	0.7725	
20170405_QEp2_PhGe_SA_LC12-14_Liver_Human_1_F19	Library5_F19	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		Standard		4297	26159	0	32974	19344	0	13630	2111	1941	0	170	6.4	10.03	NaN	1.25	1249	269973	22981	8.51	635	2.76	46201	17994	17468	38.95	44.02	1170	6.5	+	0.68772	0.93175	0.48131	0.68378	
20170405_QEp2_PhGe_SA_LC12-14_Liver_Human_1_F20	Library5_F20	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		Standard		3932	25835	0	32240	19430	0	12810	2234	2081	0	153	6.93	10.71	NaN	1.19	1344	264200	22776	8.62	627	2.75	46873	18010	17530	38.42	43.88	1217	6.76	+	0.67526	0.92052	0.47282	0.68748	
20170405_QEp2_PhGe_SA_LC12-14_Liver_Human_1_F21	Library5_F21	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		Standard		4051	24795	0	30893	18697	0	12196	2373	2232	0	141	7.68	11.94	NaN	1.16	1369	240082	21753	9.06	625	2.87	43709	17332	16833	39.65	45.37	1199	6.92	+	0.6584	0.92696	0.45543	0.66837	
20170405_QEp2_PhGe_SA_LC12-14_Liver_Human_1_F22	Library5_F22	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		Standard		4060	22722	0	28684	16760	0	11924	2071	1925	0	146	7.22	11.49	NaN	1.22	1300	216131	19750	9.14	577	2.92	38687	15562	15117	40.23	46.73	1028	6.61	+	0.69199	0.94396	0.48204	0.69582	
20170405_QEp2_PhGe_SA_LC12-14_Liver_Human_1_F23	Library5_F23	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		Standard		3913	25157	0	31148	19166	0	11982	2546	2375	0	171	8.17	12.39	NaN	1.43	1512	244881	22306	9.11	560	2.51	44495	17826	17316	40.06	46.05	1164	6.53	+	0.66404	0.91607	0.47734	0.69592	
20170405_QEp2_PhGe_SA_LC12-14_Liver_Human_1_F24	Library5_F24	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		Standard		4381	25242	0	31241	19243	0	11998	2302	2209	0	93	7.37	11.48	NaN	0.78	1404	252886	22419	8.87	600	2.68	45342	17972	17439	39.64	45.45	1095	6.09	+	0.63634	0.8635	0.45202	0.64918	
20170405_QEp2_PhGe_SA_LC12-14_Liver_Human_2_F1	Library6_F1	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		Standard		5081	24000	0	30483	17517	0	12966	1932	1805	0	127	6.34	10.3	NaN	0.98	1239	249954	20847	8.34	597	2.86	42163	16138	15653	38.28	44.12	1173	7.27	+	0.67751	0.91378	0.46631	0.66757	
20170405_QEp2_PhGe_SA_LC12-14_Liver_Human_2_F2	Library6_F2	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		Standard		4699	24443	0	30640	18246	0	12394	1774	1692	0	82	5.79	9.27	NaN	0.66	1104	255318	21583	8.45	594	2.75	43393	16949	16489	39.06	44.8	1147	6.77	+	0.67166	0.91209	0.45299	0.65171	
20170405_QEp2_PhGe_SA_LC12-14_Liver_Human_2_F3	Library6_F3	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		Standard		4731	25751	0	32450	19052	0	13398	1905	1834	0	71	5.87	9.63	NaN	0.53	1190	272286	22649	8.32	592	2.61	45240	17656	17215	39.03	45.09	1229	6.96	+	0.70437	0.95721	0.47545	0.67898	
20170405_QEp2_PhGe_SA_LC12-14_Liver_Human_2_F4	Library6_F4	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		Standard		4674	25295	0	31563	19027	0	12536	1994	1885	0	109	6.32	9.91	NaN	0.87	1269	275120	22379	8.13	547	2.44	45740	17713	17280	38.73	44.64	1174	6.63	+	0.71432	0.96803	0.4977	0.72515	
20170405_QEp2_PhGe_SA_LC12-14_Liver_Human_2_F5	Library6_F5	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		Standard		4678	22581	0	27751	17411	0	10340	1951	1903	0	48	7.03	10.93	NaN	0.46	1139	262232	20268	7.73	625	3.08	41178	16081	15626	39.05	46.62	1168	7.26	+	0.72069	1.0035	0.49483	0.74174	
20170405_QEp2_PhGe_SA_LC12-14_Liver_Human_2_F6	Library6_F6	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		Standard		5391	23033	0	28563	17503	0	11060	1873	1727	0	146	6.56	9.87	NaN	1.32	1137	265601	20363	7.67	546	2.68	40637	16151	15753	39.74	46.3	1206	7.47	+	0.72856	0.99753	0.51184	0.75738	
20170405_QEp2_PhGe_SA_LC12-14_Liver_Human_2_F7	Library6_F7	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		Standard		5259	24292	0	30219	18365	0	11854	1824	1726	0	98	6.04	9.4	NaN	0.83	1185	301683	21412	7.1	556	2.6	45079	16998	16574	37.71	43.85	1225	7.21	+	0.6915	0.94903	0.48351	0.7044	
20170405_QEp2_PhGe_SA_LC12-14_Liver_Human_2_F8	Library6_F8	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		Standard		6110	23595	0	29950	17240	0	12710	1817	1715	0	102	6.07	9.95	NaN	0.8	1122	314031	20623	6.57	601	2.91	45044	15802	15421	35.08	40.09	1292	8.18	+	0.69843	0.94071	0.4827	0.70011	
20170405_QEp2_PhGe_SA_LC12-14_Liver_Human_2_F9	Library6_F9	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		Standard		5393	23161	0	28889	17433	0	11456	1698	1622	0	76	5.88	9.3	NaN	0.66	1046	307050	20483	6.67	557	2.72	45567	16081	15702	35.29	40.38	1196	7.44	+	0.67327	0.92721	0.4649	0.68418	
20170405_QEp2_PhGe_SA_LC12-14_Liver_Human_2_F10	Library6_F10	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		Standard		4809	24108	0	29822	18394	0	11428	2496	2352	0	144	8.37	12.79	NaN	1.26	1569	254947	21336	8.37	522	2.45	43215	17096	16603	39.56	45.95	1145	6.7	+	0.67385	0.93797	0.49324	0.74082	
20170405_QEp2_PhGe_SA_LC12-14_Liver_Human_2_F11	Library6_F11	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		Standard		3944	23769	0	29518	18020	0	11498	1945	1859	0	86	6.59	10.32	NaN	0.75	1255	267239	21042	7.87	557	2.65	45789	16779	16350	36.64	42.88	1103	6.57	+	0.67779	0.92142	0.47727	0.70149	
20170405_QEp2_PhGe_SA_LC12-14_Liver_Human_2_F12	Library6_F12	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		Standard		3601	23994	0	30178	17810	0	12368	2059	1920	0	139	6.82	10.78	NaN	1.12	1290	253784	20928	8.25	538	2.57	44260	16592	16095	37.49	43.54	1073	6.47	+	0.70961	0.96168	0.50023	0.71649	
20170405_QEp2_PhGe_SA_LC12-14_Liver_Human_2_F13	Library6_F13	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		Standard		3963	23650	0	29306	17994	0	11312	2074	1973	0	101	7.08	10.96	NaN	0.89	1310	252603	20901	8.27	525	2.51	45311	16778	16345	37.03	43.02	1067	6.36	+	0.71574	0.9745	0.49786	0.71683	
20170405_QEp2_PhGe_SA_LC12-14_Liver_Human_2_F14	Library6_F14	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		Standard		3865	23985	0	29715	18255	0	11460	1955	1871	0	84	6.58	10.25	NaN	0.73	1246	258088	21142	8.19	513	2.43	45588	16986	16552	37.26	42.9	1107	6.52	+	0.7135	0.97188	0.5089	0.74582	
20170405_QEp2_PhGe_SA_LC12-14_Liver_Human_2_F15	Library6_F15	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		Standard		4446	24839	0	31126	18552	0	12574	2185	2058	0	127	7.02	11.09	NaN	1.01	1424	267003	21853	8.18	569	2.6	45363	17202	16739	37.92	43.6	1208	7.02	+	0.70481	0.94954	0.51356	0.74491	
20170405_QEp2_PhGe_SA_LC12-14_Liver_Human_2_F16	Library6_F16	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		Standard		4219	24082	0	29810	18354	0	11456	2100	2001	0	99	7.04	10.9	NaN	0.86	1410	277652	21271	7.66	576	2.71	47186	17089	16627	36.22	41.57	1132	6.62	+	0.69512	0.95473	0.50361	0.74156	
20170405_QEp2_PhGe_SA_LC12-14_Liver_Human_2_F17	Library6_F17	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		Standard		3783	23326	0	28983	17669	0	11314	1873	1794	0	79	6.46	10.15	NaN	0.7	1283	259515	20509	7.9	559	2.73	46260	16457	15966	35.58	41.08	1034	6.28	+	0.69822	0.95178	0.49773	0.72393	
20170405_QEp2_PhGe_SA_LC12-14_Liver_Human_2_F18	Library6_F18	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		Standard		3495	22494	0	27585	17403	0	10182	1783	1726	0	57	6.46	9.92	NaN	0.56	1231	248985	19928	8	543	2.72	44906	16309	15843	36.32	42	973	5.97	+	0.71772	0.95843	0.50194	0.7118	
20170405_QEp2_PhGe_SA_LC12-14_Liver_Human_2_F19	Library6_F19	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		Standard		3601	24451	0	30375	18527	0	11848	2033	1922	0	111	6.69	10.37	NaN	0.94	1324	257632	21511	8.35	570	2.65	46372	17282	16791	37.27	42.39	1075	6.22	+	0.7198	0.99719	0.51367	0.76425	
20170405_QEp2_PhGe_SA_LC12-14_Liver_Human_2_F20	Library6_F20	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		Standard		3554	24078	0	30078	18078	0	12000	2178	2053	0	125	7.24	11.36	NaN	1.04	1256	255405	21120	8.27	586	2.77	44318	16851	16309	38.02	43.47	1102	6.54	+	0.69332	0.93143	0.49992	0.72844	
20170405_QEp2_PhGe_SA_LC12-14_Liver_Human_2_F21	Library6_F21	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		Standard		3151	19980	0	24748	15212	0	9536	1900	1804	0	96	7.68	11.86	NaN	1.01	1184	201203	17538	8.72	559	3.19	35930	14118	13723	39.29	45.42	935	6.62	+	0.65783	0.893	0.45257	0.65341	
20170405_QEp2_PhGe_SA_LC12-14_Liver_Human_2_F22	Library6_F22	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		Standard		3290	18013	0	22548	13478	0	9070	1558	1476	0	82	6.91	10.95	NaN	0.9	1054	202834	15781	7.78	467	2.96	34179	12641	12230	36.98	43.09	739	5.85	+	0.72221	0.95947	0.48928	0.67314	
20170405_QEp2_PhGe_SA_LC12-14_Liver_Human_2_F23	Library6_F23	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		Standard		2844	20337	0	25529	15145	0	10384	1930	1820	0	110	7.56	12.02	NaN	1.06	1266	204155	17804	8.72	539	3.03	35898	14147	13628	39.41	45.92	881	6.23	+	0.67819	0.91896	0.49955	0.73003	
20170405_QEp2_PhGe_SA_LC12-14_Liver_Human_2_F24	Library6_F24	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		Standard		3303	18910	0	23422	14398	0	9024	1668	1585	0	83	7.12	11.01	NaN	0.92	1077	220395	16707	7.58	544	3.26	37732	13399	12899	35.51	41.9	856	6.39	+	0.65465	0.89958	0.45265	0.64707	
20170405_QEp2_PhGe_SA_LC12-14_Liver_Human_3_F1_	Library7_F1	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		Standard		3721	20022	0	25495	14549	0	10946	1442	1356	0	86	5.66	9.32	NaN	0.79	924	231182	17443	7.55	576	3.3	37013	13394	12952	36.19	43.32	995	7.43	+	0.72298	0.9831	0.47543	0.68898	
20170405_QEp2_PhGe_SA_LC12-14_Liver_Human_3_F2	Library7_F2	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		Standard		4142	20299	0	25777	14821	0	10956	1452	1367	0	85	5.63	9.22	NaN	0.78	885	239705	17790	7.42	540	3.04	37085	13678	13178	36.88	43.3	978	7.15	+	0.69052	0.91259	0.45946	0.65656	
20170405_QEp2_PhGe_SA_LC12-14_Liver_Human_3_F3	Library7_F3	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		Standard		4097	20193	0	25437	14949	0	10488	1521	1427	0	94	5.98	9.55	NaN	0.9	934	250554	17748	7.08	527	2.97	38314	13891	13478	36.26	42.29	908	6.54	+	0.71729	0.97544	0.48609	0.70989	
20170405_QEp2_PhGe_SA_LC12-14_Liver_Human_3_F4	Library7_F4	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		Standard		3622	20538	0	25492	15584	0	9908	1458	1370	0	88	5.72	8.79	NaN	0.89	930	252245	18218	7.22	513	2.82	39252	14549	14056	37.07	43.13	923	6.34	+	0.70053	0.94125	0.48719	0.69033	
20170405_QEp2_PhGe_SA_LC12-14_Liver_Human_3_F5	Library7_F5	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		Standard		4214	20680	0	25879	15481	0	10398	1686	1571	0	115	6.51	10.15	NaN	1.11	1055	246212	18291	7.43	521	2.85	38842	14397	13985	37.07	43.2	958	6.65	+	0.66933	0.91245	0.45435	0.65109	
20170405_QEp2_PhGe_SA_LC12-14_Liver_Human_3_F6	Library7_F6	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		Standard		3919	20205	0	25126	15284	0	9842	1636	1572	0	64	6.51	10.29	NaN	0.65	991	244283	17764	7.27	509	2.87	37040	14164	13762	38.24	44.08	961	6.78	+	0.72711	0.9806	0.50806	0.74075	
20170405_QEp2_PhGe_SA_LC12-14_Liver_Human_3_F7	Library7_F7	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		Standard		4246	20649	0	25570	15728	0	9842	1578	1524	0	54	6.17	9.69	NaN	0.55	989	276979	18273	6.6	531	2.91	39527	14578	14222	36.88	42.93	1022	7.01	+	0.71292	0.9795	0.49776	0.72819	
20170405_QEp2_PhGe_SA_LC12-14_Liver_Human_3_F8	Library7_F8	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		Standard		4769	18721	0	23429	14013	0	9416	1466	1400	0	66	6.26	9.99	NaN	0.7	927	292624	16440	5.62	510	3.1	39114	12917	12571	33.02	38.72	963	7.46	+	0.67165	0.92562	0.46624	0.67087	
20170405_QEp2_PhGe_SA_LC12-14_Liver_Human_3_F9	Library7_F9	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		Standard		4116	17888	0	22400	13376	0	9024	1457	1374	0	83	6.5	10.27	NaN	0.92	857	264329	15575	5.89	433	2.78	36945	12362	12006	33.46	39.44	853	6.9	+	0.74031	1.0023	0.50295	0.70841	
20170405_QEp2_PhGe_SA_LC12-14_Liver_Human_3_F10	Library7_F10	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		Standard		3957	17754	0	21885	13623	0	8262	1444	1384	0	60	6.6	10.16	NaN	0.73	921	274595	15613	5.69	429	2.75	38262	12724	12426	33.25	39.21	788	6.19	+	0.67449	0.92654	0.49074	0.72389	
20170405_QEp2_PhGe_SA_LC12-14_Liver_Human_3_F11	Library7_F11	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		Standard		2802	18283	0	22707	13859	0	8848	1479	1430	0	49	6.51	10.32	NaN	0.55	942	226958	16129	7.11	469	2.91	37882	12942	12449	34.16	39.72	786	6.07	+	0.71511	1.0014	0.51243	0.76005	
20170405_QEp2_PhGe_SA_LC12-14_Liver_Human_3_F12	Library7_F12	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		Standard		2852	20356	0	25637	15075	0	10562	1864	1777	0	87	7.27	11.79	NaN	0.82	1114	229211	17772	7.75	544	3.06	38883	13937	13374	35.84	41.61	942	6.76	+	0.69326	0.93618	0.49581	0.70711	
20170405_QEp2_PhGe_SA_LC12-14_Liver_Human_3_F13	Library7_F13	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		Standard		3061	20230	0	25172	15288	0	9884	1837	1739	0	98	7.3	11.37	NaN	0.99	1138	223205	17706	7.93	523	2.95	38790	14210	13804	36.63	42.66	935	6.58	+	0.68203	0.93819	0.47734	0.69958	
20170405_QEp2_PhGe_SA_LC12-14_Liver_Human_3_F14	Library7_F14	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		Standard		2959	18889	0	23420	14358	0	9062	1623	1539	0	84	6.93	10.72	NaN	0.93	1051	219403	16606	7.57	491	2.96	37029	13361	12949	36.08	42.57	860	6.44	+	0.65075	0.9063	0.46406	0.70062	
