		Esto onology esta bien?																									
PXD011749 20180821_QX1_PhGe_SA_LC12-14_Dilution_Plasma_H5_Ind_9	Homo sapiens	blood plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	12	12	Tissue	Run 12	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Plasma_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Plasma_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	"NT=Carbamidomethyl, Oxidation (M);Acetyl (Protein N-term)"	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_Dilution_Plasma_H6_Ind_10	Homo sapiens	blood plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	13	13	Tissue	Run 13	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Plasma_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Plasma_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	"NT=Carbamidomethyl, Oxidation (M);Acetyl (Protein N-term)"	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_Dilution_Plasma_H7_Ind_11	Homo sapiens	blood plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	14	14	Tissue	Run 14	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Plasma_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Plasma_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	"NT=Carbamidomethyl, Oxidation (M);Acetyl (Protein N-term)"	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_Dilution_Plasma_H8_Ind_12	Homo sapiens	blood plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	15	15	Tissue	Run 15	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Plasma_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Plasma_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	"NT=Carbamidomethyl, Oxidation (M);Acetyl (Protein N-term)"	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_Dilution_Plasma_H9_Ind_13	Homo sapiens	blood plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	16	16	Tissue	Run 16	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Plasma_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Plasma_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	"NT=Carbamidomethyl, Oxidation (M);Acetyl (Protein N-term)"	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_Dilution_Plasma_H10_Ind_14	Homo sapiens	blood plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	17	17	Tissue	Run 17	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Plasma_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Plasma_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	"NT=Carbamidomethyl, Oxidation (M);Acetyl (Protein N-term)"	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_Dilution_Plasma_H11_Ind_15	Homo sapiens	blood plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	18	18	Tissue	Run 18	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Plasma_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Plasma_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	"NT=Carbamidomethyl, Oxidation (M);Acetyl (Protein N-term)"	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_Dilution_Plasma_H12_Ind_16_180730093935	Homo sapiens	blood plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	19	19	Tissue	Run 19	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Plasma_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Plasma_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	"NT=Carbamidomethyl, Oxidation (M);Acetyl (Protein N-term)"	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_Dilution_Plasma_H3_Ind_7_180810182335	Homo sapiens	blood plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	20	20	Tissue	Run 20	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Plasma_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Plasma_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	"NT=Carbamidomethyl, Oxidation (M);Acetyl (Protein N-term)"	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_Plasma_F1	Homo sapiens	blood plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	21	1	Tissue	Run 21	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Plasma_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Plasma_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	"NT=Carbamidomethyl, Oxidation (M);Acetyl (Protein N-term)"	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_Plasma_F2	Homo sapiens	blood plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	21	2	Tissue	Run 21	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Plasma_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Plasma_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	"NT=Carbamidomethyl, Oxidation (M);Acetyl (Protein N-term)"	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_Plasma_F3	Homo sapiens	blood plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	21	3	Tissue	Run 21	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Plasma_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Plasma_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	"NT=Carbamidomethyl, Oxidation (M);Acetyl (Protein N-term)"	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_Plasma_F4	Homo sapiens	blood plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	21	4	Tissue	Run 21	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Plasma_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Plasma_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	"NT=Carbamidomethyl, Oxidation (M);Acetyl (Protein N-term)"	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_Plasma_F5	Homo sapiens	blood plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	21	5	Tissue	Run 21	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Plasma_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Plasma_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	"NT=Carbamidomethyl, Oxidation (M);Acetyl (Protein N-term)"	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_Plasma_F6	Homo sapiens	blood plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	21	6	Tissue	Run 21	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Plasma_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Plasma_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	"NT=Carbamidomethyl, Oxidation (M);Acetyl (Protein N-term)"	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_Plasma_F7	Homo sapiens	blood plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	21	7	Tissue	Run 21	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Plasma_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Plasma_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	"NT=Carbamidomethyl, Oxidation (M);Acetyl (Protein N-term)"	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_Plasma_F8	Homo sapiens	blood plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	21	8	Tissue	Run 21	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Plasma_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Plasma_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	"NT=Carbamidomethyl, Oxidation (M);Acetyl (Protein N-term)"	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_Plasma_F9	Homo sapiens	blood plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	21	9	Tissue	Run 21	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Plasma_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Plasma_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	"NT=Carbamidomethyl, Oxidation (M);Acetyl (Protein N-term)"	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_Plasma_F10	Homo sapiens	blood plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	21	10	Tissue	Run 21	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Plasma_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Plasma_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	"NT=Carbamidomethyl, Oxidation (M);Acetyl (Protein N-term)"	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_Plasma_F11	Homo sapiens	blood plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	21	11	Tissue	Run 21	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Plasma_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Plasma_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	"NT=Carbamidomethyl, Oxidation (M);Acetyl (Protein N-term)"	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_Plasma_F12	Homo sapiens	blood plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	21	12	Tissue	Run 21	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Plasma_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Plasma_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	"NT=Carbamidomethyl, Oxidation (M);Acetyl (Protein N-term)"	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_Plasma_F13	Homo sapiens	blood plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	21	13	Tissue	Run 21	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Plasma_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Plasma_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	"NT=Carbamidomethyl, Oxidation (M);Acetyl (Protein N-term)"	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_Plasma_F14	Homo sapiens	blood plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	21	14	Tissue	Run 21	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Plasma_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Plasma_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	"NT=Carbamidomethyl, Oxidation (M);Acetyl (Protein N-term)"	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_Plasma_F15	Homo sapiens	blood plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	21	15	Tissue	Run 21	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Plasma_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Plasma_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	"NT=Carbamidomethyl, Oxidation (M);Acetyl (Protein N-term)"	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_Plasma_F16	Homo sapiens	blood plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	21	16	Tissue	Run 21	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Plasma_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Plasma_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	"NT=Carbamidomethyl, Oxidation (M);Acetyl (Protein N-term)"	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_Plasma_F17	Homo sapiens	blood plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	21	17	Tissue	Run 21	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Plasma_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Plasma_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	"NT=Carbamidomethyl, Oxidation (M);Acetyl (Protein N-term)"	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_Plasma_F18	Homo sapiens	blood plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	21	18	Tissue	Run 21	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Plasma_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Plasma_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	"NT=Carbamidomethyl, Oxidation (M);Acetyl (Protein N-term)"	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_Plasma_F19	Homo sapiens	blood plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	21	19	Tissue	Run 21	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Plasma_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Plasma_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	"NT=Carbamidomethyl, Oxidation (M);Acetyl (Protein N-term)"	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_Plasma_F20	Homo sapiens	blood plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	21	20	Tissue	Run 21	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Plasma_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Plasma_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	"NT=Carbamidomethyl, Oxidation (M);Acetyl (Protein N-term)"	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_Plasma_F21	Homo sapiens	blood plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	21	21	Tissue	Run 21	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Plasma_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Plasma_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	"NT=Carbamidomethyl, Oxidation (M);Acetyl (Protein N-term)"	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_Plasma_F22	Homo sapiens	blood plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	21	22	Tissue	Run 21	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Plasma_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Plasma_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	"NT=Carbamidomethyl, Oxidation (M);Acetyl (Protein N-term)"	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_Plasma_F23	Homo sapiens	blood plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	21	23	Tissue	Run 21	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Plasma_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Plasma_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	"NT=Carbamidomethyl, Oxidation (M);Acetyl (Protein N-term)"	NT=Trypsin and LysC				Alive
PXD011749 20180821_QX1_PhGe_SA_LC12-14_Plasma_F24	Homo sapiens	blood plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	21	24	Tissue	Run 21	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Plasma_20Ind_combined.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD011749/Plasma_20Ind_combined.raw	1	1	NT=label free sample	EASY-nLC 1000 or 1200 ultra-high-pressure system, Q Exactive HF Orbitrap	"NT=Carbamidomethyl, Oxidation (M);Acetyl (Protein N-term)"	NT=Trypsin and LysC				Alive
