										Triplicados	Vuelvo a empezar?																
20141201_qEp2_LC11_PhGe_SA_4_49_75_1	Homo sapiens	Blood	not available	not available	Erythrocyte	blood cell	not available	Healthy	Alive	1	21	Tissue	e_SA_4_49_75_1	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_10Fingers.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_10Different.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
20141201_qEp2_LC11_PhGe_SA_4_49_75_2	Homo sapiens	Blood	not available	not available	Erythrocyte	blood cell	not available	Healthy	Alive	1	21	Tissue	e_SA_4_49_75_2	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_10Fingers.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_10Different.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
20141201_qEp2_LC11_PhGe_SA_4_49_75_3	Homo sapiens	Blood	not available	not available	Erythrocyte	blood cell	not available	Healthy	Alive	1	21	Tissue	e_SA_4_49_75_3	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_10Fingers.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_10Different.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
20141201_qEp2_LC11_PhGe_SA_4_49_100_1	Homo sapiens	Blood	not available	not available	Erythrocyte	blood cell	not available	Healthy	Alive	1	21	Tissue	e_SA_4_49_100_1	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_10Fingers.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_10Different.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
20141201_qEp2_LC11_PhGe_SA_4_49_100_2	Homo sapiens	Blood	not available	not available	Erythrocyte	blood cell	not available	Healthy	Alive	1	21	Tissue	e_SA_4_49_100_2	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_10Fingers.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_10Different.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
20141201_qEp2_LC11_PhGe_SA_4_49_100_3	Homo sapiens	Blood	not available	not available	Erythrocyte	blood cell	not available	Healthy	Alive	1	21	Tissue	e_SA_4_49_100_3	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_10Fingers.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_10Different.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
20141201_qEp2_LC11_PhGe_SA_4_49_1000_1	Homo sapiens	Blood	not available	not available	Erythrocyte	blood cell	not available	Healthy	Alive	1	21	Tissue	e_SA_4_49_1000_1	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_10Fingers.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_10Different.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
20141201_qEp2_LC11_PhGe_SA_4_49_1000_2	Homo sapiens	Blood	not available	not available	Erythrocyte	blood cell	not available	Healthy	Alive	1	21	Tissue	e_SA_4_49_1000_2	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_10Fingers.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_10Different.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
20141201_qEp2_LC11_PhGe_SA_4_49_1000_3	Homo sapiens	Blood	not available	not available	Erythrocyte	blood cell	not available	Healthy	Alive	1	21	Tissue	e_SA_4_49_1000_3	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_10Fingers.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_10Different.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
20141201_qEp2_LC11_PhGe_SA_4_49_10000_1	Homo sapiens	Blood	not available	not available	Erythrocyte	blood cell	not available	Healthy	Alive	1	21	Tissue	e_SA_4_49_10000_1	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_10Fingers.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_10Different.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
20141201_qEp2_LC11_PhGe_SA_4_49_10000_2	Homo sapiens	Blood	not available	not available	Erythrocyte	blood cell	not available	Healthy	Alive	1	21	Tissue	e_SA_4_49_10000_2	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_10Fingers.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_10Different.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
20141201_qEp2_LC11_PhGe_SA_4_49_10000_3	Homo sapiens	Blood	not available	not available	Erythrocyte	blood cell	not available	Healthy	Alive	1	21	Tissue	e_SA_4_49_10000_3	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_10Fingers.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_10Different.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
20141201_qEp2_LC11_PhGe_SA_4_49_100000_1	Homo sapiens	Blood	not available	not available	Erythrocyte	blood cell	not available	Healthy	Alive	1	21	Tissue	e_SA_4_49_100000_1	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_10Fingers.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_10Different.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
20141201_qEp2_LC11_PhGe_SA_4_49_100000_2	Homo sapiens	Blood	not available	not available	Erythrocyte	blood cell	not available	Healthy	Alive	1	21	Tissue	e_SA_4_49_100000_2	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_10Fingers.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_10Different.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
20141201_qEp2_LC11_PhGe_SA_4_49_100000_3	Homo sapiens	Blood	not available	not available	Erythrocyte	blood cell	not available	Healthy	Alive	1	21	Tissue	e_SA_4_49_100000_3	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_10Fingers.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_10Different.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
20141201_qEp2_LC11_PhGe_SA_4_49_Plasma_1	Homo sapiens	Blood	not available	not available	Erythrocyte	blood cell	not available	Healthy	Alive	1	21	Tissue	e_SA_4_49_Plasma_1	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_10Fingers.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_10Different.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
20141201_qEp2_LC11_PhGe_SA_4_49_Plasma_2	Homo sapiens	Blood	not available	not available	Erythrocyte	blood cell	not available	Healthy	Alive	1	21	Tissue	e_SA_4_49_Plasma_2	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_10Fingers.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_10Different.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
20141201_qEp2_LC11_PhGe_SA_4_49_Plasma_3	Homo sapiens	Blood	not available	not available	Erythrocyte	blood cell	not available	Healthy	Alive	1	21	Tissue	e_SA_4_49_Plasma_3	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_10Fingers.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_10Different.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
20141201_qEp2_LC11_PhGe_SA_4_49_RBC_2	Homo sapiens	Blood	not available	not available	Erythrocyte	blood cell	not available	Healthy	Alive	1	21	Tissue	e_SA_4_49_RBC_2	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_10Fingers.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_10Different.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
20141201_qEp2_LC11_PhGe_SA_4_49_RBC_3	Homo sapiens	Blood	not available	not available	Erythrocyte	blood cell	not available	Healthy	Alive	1	21	Tissue	e_SA_4_49_RBC_3	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_10Fingers.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_10Different.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
20141201_qEp2_LC11_PhGe_SA_4_49_RBC_4	Homo sapiens	Blood	not available	not available	Erythrocyte	blood cell	not available	Healthy	Alive	1	21	Tissue	e_SA_4_49_RBC_4	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_10Fingers.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_10Different.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
20141201_qEp2_LC11_PhGe_SA_4_49_Vollblut_1	Homo sapiens	Blood	not available	not available	Erythrocyte	blood cell	not available	Healthy	Alive	1	21	Tissue	e_SA_4_49_Vollblut_1	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_10Fingers.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_10Different.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
20141201_qEp2_LC11_PhGe_SA_4_49_Vollblut_2	Homo sapiens	Blood	not available	not available	Erythrocyte	blood cell	not available	Healthy	Alive	1	21	Tissue	e_SA_4_49_Vollblut_2	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_10Fingers.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_10Different.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
20141201_qEp2_LC11_PhGe_SA_4_49_Vollblut_3	Homo sapiens	Blood	not available	not available	Erythrocyte	blood cell	not available	Healthy	Alive	1	21	Tissue	e_SA_4_49_Vollblut_3	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_10Fingers.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_10Different.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
