Comentarios								No lo tengo claro, no especifica que sean healthy													Duda						
source name	Organism	Organism part	Age	Developmental stage	Cell line	Cell type	Sex	Disease	Prognosis	Biological replicate	Individual	Material Type	Assay name	Technology type	Proteomics data acquisition method	Data file	File uri	Technical replicate	comment[fraction identifier]	Label	Instrument	Modification parameters	Cleavage agent details	m/z acquisition range	Precursor mass tolerance	Fragment mass tolerance]	Prognosis
20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc17	Homo sapiens	Plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	17	1	Tissue	20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc17	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc17.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009348/20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc17.raw	1	17	NT=label free sample		"NT=Carbamidomethyl; Oxidation methionine; N-terminal modification; acetylation"	NT=Trypsin, LysC				Alive
20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc18	Homo sapiens	Plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	18	1	Tissue	20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc18	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc18.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009348/20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc18.raw	1	18	NT=label free sample		"NT=Carbamidomethyl; Oxidation methionine; N-terminal modification; acetylation"	NT=Trypsin, LysC				Alive
20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc19	Homo sapiens	Plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	19	1	Tissue	20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc19	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc19.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009348/20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc19.raw	1	19	NT=label free sample		"NT=Carbamidomethyl; Oxidation methionine; N-terminal modification; acetylation"	NT=Trypsin, LysC				Alive
20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc20	Homo sapiens	Plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	20	1	Tissue	20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc20	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc20.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009348/20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc20.raw	1	20	NT=label free sample		"NT=Carbamidomethyl; Oxidation methionine; N-terminal modification; acetylation"	NT=Trypsin, LysC				Alive
20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc21	Homo sapiens	Plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	21	1	Tissue	20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc21	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc21.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009348/20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc21.raw	1	21	NT=label free sample		"NT=Carbamidomethyl; Oxidation methionine; N-terminal modification; acetylation"	NT=Trypsin, LysC				Alive
20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc22	Homo sapiens	Plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	22	1	Tissue	20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc22	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc22.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009348/20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc22.raw	1	22	NT=label free sample		"NT=Carbamidomethyl; Oxidation methionine; N-terminal modification; acetylation"	NT=Trypsin, LysC				Alive
20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc23	Homo sapiens	Plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	23	1	Tissue	20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc23	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc23.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009348/20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc23.raw	1	23	NT=label free sample		"NT=Carbamidomethyl; Oxidation methionine; N-terminal modification; acetylation"	NT=Trypsin, LysC				Alive
20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc24	Homo sapiens	Plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	24	1	Tissue	20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc24	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc24.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009348/20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc24.raw	1	24	NT=label free sample		"NT=Carbamidomethyl; Oxidation methionine; N-terminal modification; acetylation"	NT=Trypsin, LysC				Alive
20161006_QEp2_PhGe_SA_LC12-14_Top6Top14Depl_Library3_24Frac_Frac1	Homo sapiens	Plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	25	2	Tissue	20161006_QEp2_PhGe_SA_LC12-14_Top6Top14Depl_Library3_24Frac_Frac1	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	20161006_QEp2_PhGe_SA_LC12-14_Top6Top14Depl_Library3_24Frac_Frac1.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009348/20161006_QEp2_PhGe_SA_LC12-14_Top6Top14Depl_Library3_24Frac_Frac1.raw	1	1	NT=label free sample		"NT=Carbamidomethyl; Oxidation methionine; N-terminal modification; acetylation"	NT=Trypsin, LysC				Alive
20161006_QEp2_PhGe_SA_LC12-14_Top6Top14Depl_Library3_24Frac_Frac2	Homo sapiens	Plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	26	2	Tissue	20161006_QEp2_PhGe_SA_LC12-14_Top6Top14Depl_Library3_24Frac_Frac2	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	20161006_QEp2_PhGe_SA_LC12-14_Top6Top14Depl_Library3_24Frac_Frac2.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009348/20161006_QEp2_PhGe_SA_LC12-14_Top6Top14Depl_Library3_24Frac_Frac2.raw	1	2	NT=label free sample		"NT=Carbamidomethyl; Oxidation methionine; N-terminal modification; acetylation"	NT=Trypsin, LysC				Alive
20161006_QEp2_PhGe_SA_LC12-14_Top6Top14Depl_Library3_24Frac_Frac3	Homo sapiens	Plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	27	2	Tissue	20161006_QEp2_PhGe_SA_LC12-14_Top6Top14Depl_Library3_24Frac_Frac3	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	20161006_QEp2_PhGe_SA_LC12-14_Top6Top14Depl_Library3_24Frac_Frac3.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009348/20161006_QEp2_PhGe_SA_LC12-14_Top6Top14Depl_Library3_24Frac_Frac3.raw	1	3	NT=label free sample		"NT=Carbamidomethyl; Oxidation methionine; N-terminal modification; acetylation"	NT=Trypsin, LysC				Alive
20161006_QEp2_PhGe_SA_LC12-14_Top6Top14Depl_Library3_24Frac_Frac4	Homo sapiens	Plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	28	2	Tissue	20161006_QEp2_PhGe_SA_LC12-14_Top6Top14Depl_Library3_24Frac_Frac4	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	20161006_QEp2_PhGe_SA_LC12-14_Top6Top14Depl_Library3_24Frac_Frac4.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009348/20161006_QEp2_PhGe_SA_LC12-14_Top6Top14Depl_Library3_24Frac_Frac4.raw	1	4	NT=label free sample		"NT=Carbamidomethyl; Oxidation methionine; N-terminal modification; acetylation"	NT=Trypsin, LysC				Alive
20161006_QEp2_PhGe_SA_LC12-14_Top6Top14Depl_Library3_24Frac_Frac5	Homo sapiens	Plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	29	2	Tissue	20161006_QEp2_PhGe_SA_LC12-14_Top6Top14Depl_Library3_24Frac_Frac5	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	20161006_QEp2_PhGe_SA_LC12-14_Top6Top14Depl_Library3_24Frac_Frac5.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009348/20161006_QEp2_PhGe_SA_LC12-14_Top6Top14Depl_Library3_24Frac_Frac5.raw	1	5	NT=label free sample		"NT=Carbamidomethyl; Oxidation methionine; N-terminal modification; acetylation"	NT=Trypsin, LysC				Alive
20161006_QEp2_PhGe_SA_LC12-14_Top6Top14Depl_Library3_24Frac_Frac6	Homo sapiens	Plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	30	2	Tissue	20161006_QEp2_PhGe_SA_LC12-14_Top6Top14Depl_Library3_24Frac_Frac6	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	20161006_QEp2_PhGe_SA_LC12-14_Top6Top14Depl_Library3_24Frac_Frac6.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009348/20161006_QEp2_PhGe_SA_LC12-14_Top6Top14Depl_Library3_24Frac_Frac6.raw	1	6	NT=label free sample		"NT=Carbamidomethyl; Oxidation methionine; N-terminal modification; acetylation"	NT=Trypsin, LysC				Alive
20161006_QEp2_PhGe_SA_LC12-14_Top6Top14Depl_Library3_24Frac_Frac7	Homo sapiens	Plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	31	2	Tissue	20161006_QEp2_PhGe_SA_LC12-14_Top6Top14Depl_Library3_24Frac_Frac7	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	20161006_QEp2_PhGe_SA_LC12-14_Top6Top14Depl_Library3_24Frac_Frac7.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009348/20161006_QEp2_PhGe_SA_LC12-14_Top6Top14Depl_Library3_24Frac_Frac7.raw	1	7	NT=label free sample		"NT=Carbamidomethyl; Oxidation methionine; N-terminal modification; acetylation"	NT=Trypsin, LysC				Alive
20161006_QEp2_PhGe_SA_LC12-14_Top6Top14Depl_Library3_24Frac_Frac8	Homo sapiens	Plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	32	2	Tissue	20161006_QEp2_PhGe_SA_LC12-14_Top6Top14Depl_Library3_24Frac_Frac8	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	20161006_QEp2_PhGe_SA_LC12-14_Top6Top14Depl_Library3_24Frac_Frac8.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009348/20161006_QEp2_PhGe_SA_LC12-14_Top6Top14Depl_Library3_24Frac_Frac8.raw	1	8	NT=label free sample		"NT=Carbamidomethyl; Oxidation methionine; N-terminal modification; acetylation"	NT=Trypsin, LysC				Alive
20161006_QEp2_PhGe_SA_LC12-14_Top6Top14Depl_Library3_24Frac_Frac9	Homo sapiens	Plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	33	2	Tissue	20161006_QEp2_PhGe_SA_LC12-14_Top6Top14Depl_Library3_24Frac_Frac9	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	20161006_QEp2_PhGe_SA_LC12-14_Top6Top14Depl_Library3_24Frac_Frac9.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009348/20161006_QEp2_PhGe_SA_LC12-14_Top6Top14Depl_Library3_24Frac_Frac9.raw	1	9	NT=label free sample		"NT=Carbamidomethyl; Oxidation methionine; N-terminal modification; acetylation"	NT=Trypsin, LysC				Alive
20161006_QEp2_PhGe_SA_LC12-14_Top6Top14Depl_Library3_24Frac_Frac10	Homo sapiens	Plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	34	2	Tissue	20161006_QEp2_PhGe_SA_LC12-14_Top6Top14Depl_Library3_24Frac_Frac10	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	20161006_QEp2_PhGe_SA_LC12-14_Top6Top14Depl_Library3_24Frac_Frac10.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009348/20161006_QEp2_PhGe_SA_LC12-14_Top6Top14Depl_Library3_24Frac_Frac10.raw	1	10	NT=label free sample		"NT=Carbamidomethyl; Oxidation methionine; N-terminal modification; acetylation"	NT=Trypsin, LysC				Alive
20161006_QEp2_PhGe_SA_LC12-14_Top6Top14Depl_Library3_24Frac_Frac11	Homo sapiens	Plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	35	2	Tissue	20161006_QEp2_PhGe_SA_LC12-14_Top6Top14Depl_Library3_24Frac_Frac11	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	20161006_QEp2_PhGe_SA_LC12-14_Top6Top14Depl_Library3_24Frac_Frac11.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009348/20161006_QEp2_PhGe_SA_LC12-14_Top6Top14Depl_Library3_24Frac_Frac11.raw	1	11	NT=label free sample		"NT=Carbamidomethyl; Oxidation methionine; N-terminal modification; acetylation"	NT=Trypsin, LysC				Alive
20161006_QEp2_PhGe_SA_LC12-14_Top6Top14Depl_Library3_24Frac_Frac12	Homo sapiens	Plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	36	2	Tissue	20161006_QEp2_PhGe_SA_LC12-14_Top6Top14Depl_Library3_24Frac_Frac12	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	20161006_QEp2_PhGe_SA_LC12-14_Top6Top14Depl_Library3_24Frac_Frac12.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009348/20161006_QEp2_PhGe_SA_LC12-14_Top6Top14Depl_Library3_24Frac_Frac12.raw	1	12	NT=label free sample		"NT=Carbamidomethyl; Oxidation methionine; N-terminal modification; acetylation"	NT=Trypsin, LysC				Alive
