source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[developmental stage]	characteristics[cell line]	characteristics[cell type]	characteristics[sex]	characteristics[ancestry category]	characteristics[disease]	characteristics[batch]	characteristics[biological replicate]	Material Type	assay name	comment[data file]	comment[file uri]	technology type	comment[proteomics data acquisition method]	comment[label]	comment[fraction identifier]	comment[technical replicate]	comment[instrument]	comment[instrument identifier]	comment[cleavage agent details]	comment[modification parameters].2	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[MS1 scan range]	comment[MS2 scan range]	factor value[cell line]
PXD030304-Sample 2	Homo sapiens	Bladder	not available	not available	5637	not available	not available	not available	Bladder Carcinoma	P03	1	cell	run 11	190522_6649_0088k_00bec_m04_s_1.wiff	190522_6649_0088k_00bec_m04_s_1.wiff	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	1	3	NT=TripleTOF 6600;AC=MS:1002533	M04	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	40 ppm	400m/z-1250m/z	100m/z-2000m/z	5637
PXD030304-Sample 2	Homo sapiens	Bladder	not available	not available	5637	not available	not available	not available	Bladder Carcinoma	P03	1	cell	run 12	190524_6649_007zy_00bgt_m04_s_1.wiff	190524_6649_007zy_00bgt_m04_s_1.wiff	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	1	4	NT=TripleTOF 6600;AC=MS:1002533	M04	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	40 ppm	400m/z-1250m/z	100m/z-2000m/z	5637
PXD030304-Sample 2	Homo sapiens	Bladder	not available	not available	5637	not available	not available	not available	Bladder Carcinoma	P03	1	cell	run 13	190529_6649_007zy_00bl8_m03_s_1.wiff	190529_6649_007zy_00bl8_m03_s_1.wiff	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	1	5	NT=TripleTOF 6600;AC=MS:1002533	M02	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	40 ppm	400m/z-1250m/z	100m/z-2000m/z	5637
PXD030304-Sample 2	Homo sapiens	Bladder	not available	not available	5637	not available	not available	not available	Bladder Carcinoma	P03	1	cell	run 14	190715_6649_0083y_00exq_m03_s_1.wiff	190715_6649_0083y_00exq_m03_s_1.wiff	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	1	6	NT=TripleTOF 6600;AC=MS:1002533	M03	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	40 ppm	400m/z-1250m/z	100m/z-2000m/z	5637
PXD030304-Sample 3	Homo sapiens	Lung	not available	not available	201T	not available	not available	not available	Non-Small Cell Lung Carcinoma	P04	1	cell	run 15	191005_b43-t1-13_00dlf_00jcq_m01_s_1.wiff	191005_b43-t1-13_00dlf_00jcq_m01_s_1.wiff	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	1	1	NT=TripleTOF 6600;AC=MS:1002533	M01	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	40 ppm	400m/z-1250m/z	100m/z-2000m/z	201T
PXD030304-Sample 3	Homo sapiens	Lung	not available	not available	201T	not available	not available	not available	Non-Small Cell Lung Carcinoma	P04	1	cell	run 16	191006_b45-t1-13_00dmb_00jd7_m01_s_1.wiff	191006_b45-t1-13_00dmb_00jd7_m01_s_1.wiff	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	1	2	NT=TripleTOF 6600;AC=MS:1002533	M04	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	40 ppm	400m/z-1250m/z	100m/z-2000m/z	201T
PXD030304-Sample 3	Homo sapiens	Lung	not available	not available	201T	not available	not available	not available	Non-Small Cell Lung Carcinoma	P04	1	cell	run 17	191008_b45-t2-13_00dmb_00jep_m03_s_1.wiff	191008_b45-t2-13_00dmb_00jep_m03_s_1.wiff	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	1	3	NT=TripleTOF 6600;AC=MS:1002533	M03	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	40 ppm	400m/z-1250m/z	100m/z-2000m/z	201T
PXD030304-Sample 3	Homo sapiens	Lung	not available	not available	201T	not available	not available	not available	Non-Small Cell Lung Carcinoma	P04	1	cell	run 18	191008_b47-t1-13_00dn7_00jfo_m01_s_1.wiff	191008_b47-t1-13_00dn7_00jfo_m01_s_1.wiff	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	1	4	NT=TripleTOF 6600;AC=MS:1002533	M03	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	40 ppm	400m/z-1250m/z	100m/z-2000m/z	201T
PXD030304-Sample 3	Homo sapiens	Lung	not available	not available	201T	not available	not available	not available	Non-Small Cell Lung Carcinoma	P04	1	cell	run 19	191009_b43-t2-13_00dlf_00jg8_m03_s_1.wiff	191009_b43-t2-13_00dlf_00jg8_m03_s_1.wiff	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	1	5	NT=TripleTOF 6600;AC=MS:1002533	M02	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	40 ppm	400m/z-1250m/z	100m/z-2000m/z	201T
PXD030304-Sample 3	Homo sapiens	Lung	not available	not available	201T	not available	not available	not available	Non-Small Cell Lung Carcinoma	P04	1	cell	run 20	191017_b47-t3-13_00dn7_00kak_m04_s_1.wiff	191017_b47-t3-13_00dn7_00kak_m04_s_1.wiff	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	1	6	NT=TripleTOF 6600;AC=MS:1002533	M04	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	40 ppm	400m/z-1250m/z	100m/z-2000m/z	201T
PXD030304-Sample 4	Homo sapiens	Prostate	not available	not available	22RV1	not available	not available	not available	Prostate Carcinoma	P04	1	cell	run 21	190905_b14-t1-10_00bb7_00hzt_m02_s_1.wiff	190905_b14-t1-10_00bb7_00hzt_m02_s_1.wiff	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	1	1	NT=TripleTOF 6600;AC=MS:1002533	M01	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	40 ppm	400m/z-1250m/z	100m/z-2000m/z	22RV1
PXD030304-Sample 4	Homo sapiens	Prostate	not available	not available	22RV1	not available	not available	not available	Prostate Carcinoma	P04	1	cell	run 22	190906_b18-t1-10_00da8_00i25_m02_s_1.wiff	190906_b18-t1-10_00da8_00i25_m02_s_1.wiff	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	1	2	NT=TripleTOF 6600;AC=MS:1002533	M02	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	40 ppm	400m/z-1250m/z	100m/z-2000m/z	22RV1
PXD030304-Sample 4	Homo sapiens	Prostate	not available	not available	22RV1	not available	not available	not available	Prostate Carcinoma	P04	1	cell	run 23	190909_b16-t1-10_00bc3_00i5i_m01_s_1.wiff	190909_b16-t1-10_00bc3_00i5i_m01_s_1.wiff	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	1	3	NT=TripleTOF 6600;AC=MS:1002533	M06	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	40 ppm	400m/z-1250m/z	100m/z-2000m/z	22RV1
PXD030304-Sample 4	Homo sapiens	Prostate	not available	not available	22RV1	not available	not available	not available	Prostate Carcinoma	P04	1	cell	run 24	191014_b14-t2-10_00bb7_00jnz_m05_s_1.wiff	191014_b14-t2-10_00bb7_00jnz_m05_s_1.wiff	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	1	4	NT=TripleTOF 6600;AC=MS:1002533	M05	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	40 ppm	400m/z-1250m/z	100m/z-2000m/z	22RV1
PXD030304-Sample 4	Homo sapiens	Prostate	not available	not available	22RV1	not available	not available	not available	Prostate Carcinoma	P04	1	cell	run 25	191028_b18-t3-10_00da8_00l86_m01_s_1.wiff	191028_b18-t3-10_00da8_00l86_m01_s_1.wiff	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	1	5	NT=TripleTOF 6600;AC=MS:1002533	M04	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	40 ppm	400m/z-1250m/z	100m/z-2000m/z	22RV1
PXD030304-Sample 4	Homo sapiens	Prostate	not available	not available	22RV1	not available	not available	not available	Prostate Carcinoma	P05	1	cell	run 26	191122_b16-t3-10_00bc3_00n0f_m03_s_1.wiff	191122_b16-t3-10_00bc3_00n0f_m03_s_1.wiff	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	1	6	NT=TripleTOF 6600;AC=MS:1002533	M06	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	40 ppm	400m/z-1250m/z	100m/z-2000m/z	22RV1
PXD030304-Sample 5	Homo sapiens	Stomach	not available	not available	23132-87	not available	not available	not available	Gastric Carcinoma	P03	1	cell	run 27	190130_8940_004tg_008o5_m06_s_1.wiff	190130_8940_004tg_008o5_m06_s_1.wiff	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	1	1	NT=TripleTOF 6600;AC=MS:1002533	M04	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	40 ppm	400m/z-1250m/z	100m/z-2000m/z	23132-87
PXD030304-Sample 5	Homo sapiens	Stomach	not available	not available	23132-87	not available	not available	not available	Gastric Carcinoma	P03	1	cell	run 28	190201_8940_004uc_008qd_m06_s_1.wiff	190201_8940_004uc_008qd_m06_s_1.wiff	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	1	2	NT=TripleTOF 6600;AC=MS:1002533	M04	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	40 ppm	400m/z-1250m/z	100m/z-2000m/z	23132-87
PXD030304-Sample 5	Homo sapiens	Stomach	not available	not available	23132-87	not available	not available	not available	Gastric Carcinoma	P03	1	cell	run 29	190204_8940_004tg_008rb_m04_s_1.wiff	190204_8940_004tg_008rb_m04_s_1.wiff	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	1	3	NT=TripleTOF 6600;AC=MS:1002533	M04	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	40 ppm	400m/z-1250m/z	100m/z-2000m/z	23132-87
PXD030304-Sample 5	Homo sapiens	Stomach	not available	not available	23132-87	not available	not available	not available	Gastric Carcinoma	P03	1	cell	run 30	190206_8940_004uc_008sw_m04_s_1.wiff	190206_8940_004uc_008sw_m04_s_1.wiff	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	1	4	NT=TripleTOF 6600;AC=MS:1002533	M04	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	40 ppm	400m/z-1250m/z	100m/z-2000m/z	23132-87
PXD030304-Sample 5	Homo sapiens	Stomach	not available	not available	23132-87	not available	not available	not available	Gastric Carcinoma	P03	1	cell	run 31	190404_8940_0053g_00a7i_m06_s_1.wiff	190404_8940_0053g_00a7i_m06_s_1.wiff	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	1	5	NT=TripleTOF 6600;AC=MS:1002533	M06	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	40 ppm	400m/z-1250m/z	100m/z-2000m/z	23132-87
PXD030304-Sample 5	Homo sapiens	Stomach	not available	not available	23132-87	not available	not available	not available	Gastric Carcinoma	P03	1	cell	run 32	190629_8940_0053g_00e9y_m02_s_1.wiff	190629_8940_0053g_00e9y_m02_s_1.wiff	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	1	6	NT=TripleTOF 6600;AC=MS:1002533	M02	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	40 ppm	400m/z-1250m/z	100m/z-2000m/z	23132-87
PXD030304-Sample 6	Homo sapiens	Central Nervous System	not available	not available	42-MG-BA	not available	not available	not available	Glioblastoma	P03	1	cell	run 33	190121_2446_004oj_00870_m06_s_1.wiff	190121_2446_004oj_00870_m06_s_1.wiff	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	1	1	NT=TripleTOF 6600;AC=MS:1002533	M06	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	40 ppm	400m/z-1250m/z	100m/z-2000m/z	42-MG-BA
PXD030304-Sample 6	Homo sapiens	Central Nervous System	not available	not available	42-MG-BA	not available	not available	not available	Glioblastoma	P03	1	cell	run 34	190123_2446_004qf_0089h_m06_s_1.wiff	190123_2446_004qf_0089h_m06_s_1.wiff	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	1	2	NT=TripleTOF 6600;AC=MS:1002533	M06	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	40 ppm	400m/z-1250m/z	100m/z-2000m/z	42-MG-BA
PXD030304-Sample 6	Homo sapiens	Central Nervous System	not available	not available	42-MG-BA	not available	not available	not available	Glioblastoma	P03	1	cell	run 35	190125_2446_004qf_008jc_m04_s_1.wiff	190125_2446_004qf_008jc_m04_s_1.wiff	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	1	3	NT=TripleTOF 6600;AC=MS:1002533	M06	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	40 ppm	400m/z-1250m/z	100m/z-2000m/z	42-MG-BA
PXD030304-Sample 6	Homo sapiens	Central Nervous System	not available	not available	42-MG-BA	not available	not available	not available	Glioblastoma	P03	1	cell	run 36	190126_2446_004rb_008lh_m06_s_1.wiff	190126_2446_004rb_008lh_m06_s_1.wiff	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	1	4	NT=TripleTOF 6600;AC=MS:1002533	M06	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	40 ppm	400m/z-1250m/z	100m/z-2000m/z	42-MG-BA
PXD030304-Sample 6	Homo sapiens	Central Nervous System	not available	not available	42-MG-BA	not available	not available	not available	Glioblastoma	P03	1	cell	run 37	190129_2446_004rb_008nr_m04_s_1.wiff	190129_2446_004rb_008nr_m04_s_1.wiff	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	1	5	NT=TripleTOF 6600;AC=MS:1002533	M06	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	40 ppm	400m/z-1250m/z	100m/z-2000m/z	42-MG-BA
PXD030304-Sample 6	Homo sapiens	Central Nervous System	not available	not available	42-MG-BA	not available	not available	not available	Glioblastoma	P03	1	cell	run 38	190628_2446_004oj_00e9m_m02_s_1.wiff	190628_2446_004oj_00e9m_m02_s_1.wiff	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	1	6	NT=TripleTOF 6600;AC=MS:1002533	M01	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	40 ppm	400m/z-1250m/z	100m/z-2000m/z	42-MG-BA
PXD030304-Sample 7	Homo sapiens	Skin	not available	not available	451Lu	not available	not available	not available	Melanoma	P04	1	cell	run 39	190902_b9-t1-9_00b8y_00hqy_m01_s_1.wiff	190902_b9-t1-9_00b8y_00hqy_m01_s_1.wiff	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	1	1	NT=TripleTOF 6600;AC=MS:1002533	M01	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	40 ppm	400m/z-1250m/z	100m/z-2000m/z	451Lu
PXD030304-Sample 7	Homo sapiens	Skin	not available	not available	451Lu	not available	not available	not available	Melanoma	P04	1	cell	run 40	190916_b11-t1-9_00b9u_00i3z_m04_s_1.wiff	190916_b11-t1-9_00b9u_00i3z_m04_s_1.wiff	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	1	2	NT=TripleTOF 6600;AC=MS:1002533	M04	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	40 ppm	400m/z-1250m/z	100m/z-2000m/z	451Lu
PXD030304-Sample 7	Homo sapiens	Skin	not available	not available	451Lu	not available	not available	not available	Melanoma	P04	1	cell	run 41	190923_b11-t2-9_00b9u_00iq1_m05_s_1.wiff	190923_b11-t2-9_00b9u_00iq1_m05_s_1.wiff	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	1	3	NT=TripleTOF 6600;AC=MS:1002533	M06	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	40 ppm	400m/z-1250m/z	100m/z-2000m/z	451Lu
PXD030304-Sample 7	Homo sapiens	Skin	not available	not available	451Lu	not available	not available	not available	Melanoma	P04	1	cell	run 42	190923_b7-t2-9_00b82_00iba_m05_s_1.wiff	190923_b7-t2-9_00b82_00iba_m05_s_1.wiff	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	1	4	NT=TripleTOF 6600;AC=MS:1002533	M06	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	40 ppm	400m/z-1250m/z	100m/z-2000m/z	451Lu
