source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[strain]	characteristics[developmental stage]	characteristics[cell line]	characteristics[sex]	characteristics[disease]	characteristics[mass]	characteristics[spiked compound]	characteristics[biological replicate]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD001224-Sample-1	Homo sapiens 	Retina	not available	not available	not available	not applicable	not available	not available	not available	not available	1	whole organism	run 11	proteomic profiling by mass spectrometry	2509_8.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2014/11/PXD001242/2509_8.raw	1	8	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	"NT=Phospho;TA=S,T,Y;MT=Variable;AC=UNIMOD:21"	"NT=Deamidated;TA=N,Q;MT=Variable;AC=UNIMOD:7"	AC=MS:1001910;NT=LTQ Orbitrap Elite	not available	1 Da	Retina
PXD001224-Sample-1	Homo sapiens 	Retina	not available	not available	not available	not applicable	not available	not available	not available	not available	1	whole organism	run 12	proteomic profiling by mass spectrometry	2509_9.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2014/11/PXD001242/2509_9.raw	1	9	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	"NT=Phospho;TA=S,T,Y;MT=Variable;AC=UNIMOD:21"	"NT=Deamidated;TA=N,Q;MT=Variable;AC=UNIMOD:7"	AC=MS:1001910;NT=LTQ Orbitrap Elite	not available	1 Da	Retina
PXD001224-Sample-2	Homo sapiens 	Retina	not available	not available	not available	not applicable	not available	not available	not available	not available	1	whole organism	run 13	proteomic profiling by mass spectrometry	2521_1.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2014/11/PXD001242/2521_1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	"NT=Phospho;TA=S,T,Y;MT=Variable;AC=UNIMOD:21"	"NT=Deamidated;TA=N,Q;MT=Variable;AC=UNIMOD:7"	AC=MS:1001910;NT=LTQ Orbitrap Elite	not available	1 Da	Retina
PXD001224-Sample-2	Homo sapiens 	Retina	not available	not available	not available	not applicable	not available	not available	not available	not available	1	whole organism	run 14	proteomic profiling by mass spectrometry	2521_10.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2014/11/PXD001242/2521_10.raw	1	10	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	"NT=Phospho;TA=S,T,Y;MT=Variable;AC=UNIMOD:21"	"NT=Deamidated;TA=N,Q;MT=Variable;AC=UNIMOD:7"	AC=MS:1001910;NT=LTQ Orbitrap Elite	not available	1 Da	Retina
PXD001224-Sample-2	Homo sapiens 	Retina	not available	not available	not available	not applicable	not available	not available	not available	not available	1	whole organism	run 15	proteomic profiling by mass spectrometry	2521_11.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2014/11/PXD001242/2521_11.raw	1	11	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	"NT=Phospho;TA=S,T,Y;MT=Variable;AC=UNIMOD:21"	"NT=Deamidated;TA=N,Q;MT=Variable;AC=UNIMOD:7"	AC=MS:1001910;NT=LTQ Orbitrap Elite	not available	1 Da	Retina
PXD001224-Sample-2	Homo sapiens 	Retina	not available	not available	not available	not applicable	not available	not available	not available	not available	1	whole organism	run 16	proteomic profiling by mass spectrometry	2521_12.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2014/11/PXD001242/2521_12.raw	1	12	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	"NT=Phospho;TA=S,T,Y;MT=Variable;AC=UNIMOD:21"	"NT=Deamidated;TA=N,Q;MT=Variable;AC=UNIMOD:7"	AC=MS:1001910;NT=LTQ Orbitrap Elite	not available	1 Da	Retina
PXD001224-Sample-2	Homo sapiens 	Retina	not available	not available	not available	not applicable	not available	not available	not available	not available	1	whole organism	run 17	proteomic profiling by mass spectrometry	2521_2.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2014/11/PXD001242/2521_2.raw	1	2	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	"NT=Phospho;TA=S,T,Y;MT=Variable;AC=UNIMOD:21"	"NT=Deamidated;TA=N,Q;MT=Variable;AC=UNIMOD:7"	AC=MS:1001910;NT=LTQ Orbitrap Elite	not available	1 Da	Retina
PXD001224-Sample-2	Homo sapiens 	Retina	not available	not available	not available	not applicable	not available	not available	not available	not available	1	whole organism	run 18	proteomic profiling by mass spectrometry	2521_3.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2014/11/PXD001242/2521_3.raw	1	3	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	"NT=Phospho;TA=S,T,Y;MT=Variable;AC=UNIMOD:21"	"NT=Deamidated;TA=N,Q;MT=Variable;AC=UNIMOD:7"	AC=MS:1001910;NT=LTQ Orbitrap Elite	not available	1 Da	Retina
PXD001224-Sample-2	Homo sapiens 	Retina	not available	not available	not available	not applicable	not available	not available	not available	not available	1	whole organism	run 19	proteomic profiling by mass spectrometry	2521_4.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2014/11/PXD001242/2521_4.raw	1	4	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	"NT=Phospho;TA=S,T,Y;MT=Variable;AC=UNIMOD:21"	"NT=Deamidated;TA=N,Q;MT=Variable;AC=UNIMOD:7"	AC=MS:1001910;NT=LTQ Orbitrap Elite	not available	1 Da	Retina
PXD001224-Sample-2	Homo sapiens 	Retina	not available	not available	not available	not applicable	not available	not available	not available	not available	1	whole organism	run 20	proteomic profiling by mass spectrometry	2521_5.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2014/11/PXD001242/2521_5.raw	1	5	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	"NT=Phospho;TA=S,T,Y;MT=Variable;AC=UNIMOD:21"	"NT=Deamidated;TA=N,Q;MT=Variable;AC=UNIMOD:7"	AC=MS:1001910;NT=LTQ Orbitrap Elite	not available	1 Da	Retina
PXD001224-Sample-2	Homo sapiens 	Retina	not available	not available	not available	not applicable	not available	not available	not available	not available	1	whole organism	run 21	proteomic profiling by mass spectrometry	2521_6.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2014/11/PXD001242/2521_6.raw	1	6	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	"NT=Phospho;TA=S,T,Y;MT=Variable;AC=UNIMOD:21"	"NT=Deamidated;TA=N,Q;MT=Variable;AC=UNIMOD:7"	AC=MS:1001910;NT=LTQ Orbitrap Elite	not available	1 Da	Retina
PXD001224-Sample-2	Homo sapiens 	Retina	not available	not available	not available	not applicable	not available	not available	not available	not available	1	whole organism	run 22	proteomic profiling by mass spectrometry	2521_7.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2014/11/PXD001242/2521_7.raw	1	7	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	"NT=Phospho;TA=S,T,Y;MT=Variable;AC=UNIMOD:21"	"NT=Deamidated;TA=N,Q;MT=Variable;AC=UNIMOD:7"	AC=MS:1001910;NT=LTQ Orbitrap Elite	not available	1 Da	Retina
PXD001224-Sample-2	Homo sapiens 	Retina	not available	not available	not available	not applicable	not available	not available	not available	not available	1	whole organism	run 23	proteomic profiling by mass spectrometry	2521_8.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2014/11/PXD001242/2521_8.raw	1	8	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	"NT=Phospho;TA=S,T,Y;MT=Variable;AC=UNIMOD:21"	"NT=Deamidated;TA=N,Q;MT=Variable;AC=UNIMOD:7"	AC=MS:1001910;NT=LTQ Orbitrap Elite	not available	1 Da	Retina
PXD001224-Sample-2	Homo sapiens 	Retina	not available	not available	not available	not applicable	not available	not available	not available	not available	1	whole organism	run 24	proteomic profiling by mass spectrometry	2521_9.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2014/11/PXD001242/2521_9.raw	1	9	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	"NT=Phospho;TA=S,T,Y;MT=Variable;AC=UNIMOD:21"	"NT=Deamidated;TA=N,Q;MT=Variable;AC=UNIMOD:7"	AC=MS:1001910;NT=LTQ Orbitrap Elite	not available	1 Da	Retina
PXD001224-Sample-3	Homo sapiens 	Retina	not available	not available	not available	not applicable	not available	not available	not available	not available	1	whole organism	run 25	proteomic profiling by mass spectrometry	3081_1.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2014/11/PXD001242/3081_1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	"NT=Phospho;TA=S,T,Y;MT=Variable;AC=UNIMOD:21"	"NT=Deamidated;TA=N,Q;MT=Variable;AC=UNIMOD:7"	AC=MS:1001910;NT=LTQ Orbitrap Elite	not available	1 Da	Retina
PXD001224-Sample-3	Homo sapiens 	Retina	not available	not available	not available	not applicable	not available	not available	not available	not available	1	whole organism	run 26	proteomic profiling by mass spectrometry	3081_10.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2014/11/PXD001242/3081_10.raw	1	10	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	"NT=Phospho;TA=S,T,Y;MT=Variable;AC=UNIMOD:21"	"NT=Deamidated;TA=N,Q;MT=Variable;AC=UNIMOD:7"	AC=MS:1001910;NT=LTQ Orbitrap Elite	not available	1 Da	Retina
PXD001224-Sample-3	Homo sapiens 	Retina	not available	not available	not available	not applicable	not available	not available	not available	not available	1	whole organism	run 27	proteomic profiling by mass spectrometry	3081_11.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2014/11/PXD001242/3081_11.raw	1	11	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	"NT=Phospho;TA=S,T,Y;MT=Variable;AC=UNIMOD:21"	"NT=Deamidated;TA=N,Q;MT=Variable;AC=UNIMOD:7"	AC=MS:1001910;NT=LTQ Orbitrap Elite	not available	1 Da	Retina
PXD001224-Sample-3	Homo sapiens 	Retina	not available	not available	not available	not applicable	not available	not available	not available	not available	1	whole organism	run 28	proteomic profiling by mass spectrometry	3081_12.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2014/11/PXD001242/3081_12.raw	1	12	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	"NT=Phospho;TA=S,T,Y;MT=Variable;AC=UNIMOD:21"	"NT=Deamidated;TA=N,Q;MT=Variable;AC=UNIMOD:7"	AC=MS:1001910;NT=LTQ Orbitrap Elite	not available	1 Da	Retina
PXD001224-Sample-3	Homo sapiens 	Retina	not available	not available	not available	not applicable	not available	not available	not available	not available	1	whole organism	run 29	proteomic profiling by mass spectrometry	3081_2.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2014/11/PXD001242/3081_2.raw	1	2	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	"NT=Phospho;TA=S,T,Y;MT=Variable;AC=UNIMOD:21"	"NT=Deamidated;TA=N,Q;MT=Variable;AC=UNIMOD:7"	AC=MS:1001910;NT=LTQ Orbitrap Elite	not available	1 Da	Retina
PXD001224-Sample-3	Homo sapiens 	Retina	not available	not available	not available	not applicable	not available	not available	not available	not available	1	whole organism	run 30	proteomic profiling by mass spectrometry	3081_3.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2014/11/PXD001242/3081_3.raw	1	3	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	"NT=Phospho;TA=S,T,Y;MT=Variable;AC=UNIMOD:21"	"NT=Deamidated;TA=N,Q;MT=Variable;AC=UNIMOD:7"	AC=MS:1001910;NT=LTQ Orbitrap Elite	not available	1 Da	Retina
PXD001224-Sample-3	Homo sapiens 	Retina	not available	not available	not available	not applicable	not available	not available	not available	not available	1	whole organism	run 31	proteomic profiling by mass spectrometry	3081_4.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2014/11/PXD001242/3081_4.raw	1	4	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	"NT=Phospho;TA=S,T,Y;MT=Variable;AC=UNIMOD:21"	"NT=Deamidated;TA=N,Q;MT=Variable;AC=UNIMOD:7"	AC=MS:1001910;NT=LTQ Orbitrap Elite	not available	1 Da	Retina
PXD001224-Sample-3	Homo sapiens 	Retina	not available	not available	not available	not applicable	not available	not available	not available	not available	1	whole organism	run 32	proteomic profiling by mass spectrometry	3081_5.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2014/11/PXD001242/3081_5.raw	1	5	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	"NT=Phospho;TA=S,T,Y;MT=Variable;AC=UNIMOD:21"	"NT=Deamidated;TA=N,Q;MT=Variable;AC=UNIMOD:7"	AC=MS:1001910;NT=LTQ Orbitrap Elite	not available	1 Da	Retina
PXD001224-Sample-3	Homo sapiens 	Retina	not available	not available	not available	not applicable	not available	not available	not available	not available	1	whole organism	run 33	proteomic profiling by mass spectrometry	3081_6.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2014/11/PXD001242/3081_6.raw	1	6	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	"NT=Phospho;TA=S,T,Y;MT=Variable;AC=UNIMOD:21"	"NT=Deamidated;TA=N,Q;MT=Variable;AC=UNIMOD:7"	AC=MS:1001910;NT=LTQ Orbitrap Elite	not available	1 Da	Retina
PXD001224-Sample-3	Homo sapiens 	Retina	not available	not available	not available	not applicable	not available	not available	not available	not available	1	whole organism	run 34	proteomic profiling by mass spectrometry	3081_7.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2014/11/PXD001242/3081_7.raw	1	7	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	"NT=Phospho;TA=S,T,Y;MT=Variable;AC=UNIMOD:21"	"NT=Deamidated;TA=N,Q;MT=Variable;AC=UNIMOD:7"	AC=MS:1001910;NT=LTQ Orbitrap Elite	not available	1 Da	Retina
PXD001224-Sample-3	Homo sapiens 	Retina	not available	not available	not available	not applicable	not available	not available	not available	not available	1	whole organism	run 35	proteomic profiling by mass spectrometry	3081_8.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2014/11/PXD001242/3081_8.raw	1	8	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	"NT=Phospho;TA=S,T,Y;MT=Variable;AC=UNIMOD:21"	"NT=Deamidated;TA=N,Q;MT=Variable;AC=UNIMOD:7"	AC=MS:1001910;NT=LTQ Orbitrap Elite	not available	1 Da	Retina
PXD001224-Sample-3	Homo sapiens 	Retina	not available	not available	not available	not applicable	not available	not available	not available	not available	1	whole organism	run 36	proteomic profiling by mass spectrometry	3081_9.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2014/11/PXD001242/3081_9.raw	1	9	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	"NT=Phospho;TA=S,T,Y;MT=Variable;AC=UNIMOD:21"	"NT=Deamidated;TA=N,Q;MT=Variable;AC=UNIMOD:7"	AC=MS:1001910;NT=LTQ Orbitrap Elite	not available	1 Da	Retina
