Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[age]	Characteristics[strain]	Characteristics[developmental stage]	Characteristics[cell line]	Characteristics[sample type]	Characteristics[cell type]	Characteristics[sex]	Characteristics[disease]	Characteristics[biological replicate]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Factor Value[organism]
PXD031829-Sample-11	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	not available	1	not available	run 11	proteomic profiling by mass spectrometry	20200714_coreQEP2_NiKr_LC12-19_SA_Orbi3564_phospho_Sample5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD031829/20200714_coreQEP2_NiKr_LC12-19_SA_Orbi3564_phospho_Sample5.raw	1	5	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;PP=S,T,Y;MT=Variable"	NT=Gly->Lys;AC=UNIMOD:1106;PP=K;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	28% NCE	4.5 ppm	20 ppm	Homo sapiens
PXD031829-Sample-12	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	not available	1	not available	run 12	proteomic profiling by mass spectrometry	20200714_coreQEP2_NiKr_LC12-19_SA_Orbi3564_phospho_Sample6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD031829/20200714_coreQEP2_NiKr_LC12-19_SA_Orbi3564_phospho_Sample6.raw	1	6	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;PP=S,T,Y;MT=Variable"	NT=Gly->Lys;AC=UNIMOD:1106;PP=K;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	28% NCE	4.5 ppm	20 ppm	Homo sapiens
PXD031829-Sample-13	Mus musculus	not available	not available	not available	not available	not available	not available	not available	not available	not available	1	not available	run 13	proteomic profiling by mass spectrometry	20190729_coreQEP1_NiKr_LC12-19_SA_Orbi3283Sample01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD031829/20190729_coreQEP1_NiKr_LC12-19_SA_Orbi3283Sample01.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;PP=S,T,Y;MT=Variable"	NT=Gly->Lys;AC=UNIMOD:1106;PP=K;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	28% NCE	4.5 ppm	20 ppm	Mus musculus
PXD031829-Sample-14	Mus musculus	not available	not available	not available	not available	not available	not available	not available	not available	not available	1	not available	run 14	proteomic profiling by mass spectrometry	20190729_coreQEP1_NiKr_LC12-19_SA_Orbi3283Sample02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD031829/20190729_coreQEP1_NiKr_LC12-19_SA_Orbi3283Sample02.raw	1	2	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;PP=S,T,Y;MT=Variable"	NT=Gly->Lys;AC=UNIMOD:1106;PP=K;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	28% NCE	4.5 ppm	20 ppm	Mus musculus
PXD031829-Sample-15	Mus musculus	not available	not available	not available	not available	not available	not available	not available	not available	not available	1	not available	run 15	proteomic profiling by mass spectrometry	20190729_coreQEP1_NiKr_LC12-19_SA_Orbi3283Sample03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD031829/20190729_coreQEP1_NiKr_LC12-19_SA_Orbi3283Sample03.raw	1	3	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;PP=S,T,Y;MT=Variable"	NT=Gly->Lys;AC=UNIMOD:1106;PP=K;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	28% NCE	4.5 ppm	20 ppm	Mus musculus
PXD031829-Sample-16	Mus musculus	not available	not available	not available	not available	not available	not available	not available	not available	not available	1	not available	run 16	proteomic profiling by mass spectrometry	20190729_coreQEP1_NiKr_LC12-19_SA_Orbi3283Sample04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD031829/20190729_coreQEP1_NiKr_LC12-19_SA_Orbi3283Sample04.raw	1	4	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;PP=S,T,Y;MT=Variable"	NT=Gly->Lys;AC=UNIMOD:1106;PP=K;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	28% NCE	4.5 ppm	20 ppm	Mus musculus
PXD031829-Sample-17	Mus musculus	not available	not available	not available	not available	not available	not available	not available	not available	not available	1	not available	run 17	proteomic profiling by mass spectrometry	20190729_coreQEP1_NiKr_LC12-19_SA_Orbi3283Sample05.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD031829/20190729_coreQEP1_NiKr_LC12-19_SA_Orbi3283Sample05.raw	1	5	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;PP=S,T,Y;MT=Variable"	NT=Gly->Lys;AC=UNIMOD:1106;PP=K;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	28% NCE	4.5 ppm	20 ppm	Mus musculus
PXD031829-Sample-18	Mus musculus	not available	not available	not available	not available	not available	not available	not available	not available	not available	1	not available	run 18	proteomic profiling by mass spectrometry	20190729_coreQEP1_NiKr_LC12-19_SA_Orbi3283Sample06.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD031829/20190729_coreQEP1_NiKr_LC12-19_SA_Orbi3283Sample06.raw	1	6	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;PP=S,T,Y;MT=Variable"	NT=Gly->Lys;AC=UNIMOD:1106;PP=K;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	28% NCE	4.5 ppm	20 ppm	Mus musculus
PXD031829-Sample-19	Mus musculus	not available	not available	not available	not available	not available	not available	not available	not available	not available	1	not available	run 19	proteomic profiling by mass spectrometry	20190729_coreQEP1_NiKr_LC12-19_SA_Orbi3283Sample07.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD031829/20190729_coreQEP1_NiKr_LC12-19_SA_Orbi3283Sample07.raw	1	7	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;PP=S,T,Y;MT=Variable"	NT=Gly->Lys;AC=UNIMOD:1106;PP=K;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	28% NCE	4.5 ppm	20 ppm	Mus musculus
PXD031829-Sample-20	Mus musculus	not available	not available	not available	not available	not available	not available	not available	not available	not available	1	not available	run 20	proteomic profiling by mass spectrometry	20190729_coreQEP1_NiKr_LC12-19_SA_Orbi3283Sample08.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD031829/20190729_coreQEP1_NiKr_LC12-19_SA_Orbi3283Sample08.raw	1	8	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;PP=S,T,Y;MT=Variable"	NT=Gly->Lys;AC=UNIMOD:1106;PP=K;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	28% NCE	4.5 ppm	20 ppm	Mus musculus
PXD031829-Sample-21	Mus musculus	not available	not available	not available	not available	not available	not available	not available	not available	not available	1	not available	run 21	proteomic profiling by mass spectrometry	20190729_coreQEP1_NiKr_LC12-19_SA_Orbi3283Sample09.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD031829/20190729_coreQEP1_NiKr_LC12-19_SA_Orbi3283Sample09.raw	1	9	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;PP=S,T,Y;MT=Variable"	NT=Gly->Lys;AC=UNIMOD:1106;PP=K;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	28% NCE	4.5 ppm	20 ppm	Mus musculus
PXD031829-Sample-22	Mus musculus	not available	not available	not available	not available	not available	not available	not available	not available	not available	1	not available	run 22	proteomic profiling by mass spectrometry	20190729_coreQEP1_NiKr_LC12-19_SA_Orbi3283Sample10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD031829/20190729_coreQEP1_NiKr_LC12-19_SA_Orbi3283Sample10.raw	1	10	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;PP=S,T,Y;MT=Variable"	NT=Gly->Lys;AC=UNIMOD:1106;PP=K;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	28% NCE	4.5 ppm	20 ppm	Mus musculus
PXD031829-Sample-23	Mus musculus	not available	not available	not available	not available	not available	not available	not available	not available	not available	1	not available	run 23	proteomic profiling by mass spectrometry	20190729_coreQEP1_NiKr_LC12-19_SA_Orbi3283Sample11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD031829/20190729_coreQEP1_NiKr_LC12-19_SA_Orbi3283Sample11.raw	1	11	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;PP=S,T,Y;MT=Variable"	NT=Gly->Lys;AC=UNIMOD:1106;PP=K;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	28% NCE	4.5 ppm	20 ppm	Mus musculus
PXD031829-Sample-24	Mus musculus	not available	not available	not available	not available	not available	not available	not available	not available	not available	1	not available	run 24	proteomic profiling by mass spectrometry	20190729_coreQEP1_NiKr_LC12-19_SA_Orbi3283Sample12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD031829/20190729_coreQEP1_NiKr_LC12-19_SA_Orbi3283Sample12.raw	1	12	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;PP=S,T,Y;MT=Variable"	NT=Gly->Lys;AC=UNIMOD:1106;PP=K;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	28% NCE	4.5 ppm	20 ppm	Mus musculus
PXD031829-Sample-25	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	not available	1	not available	run 25	proteomic profiling by mass spectrometry	20191009_coreQEP2_NiKr_LC12-19_SA_Orbi3322Blank.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD031829/20191009_coreQEP2_NiKr_LC12-19_SA_Orbi3322Blank.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;PP=S,T,Y;MT=Variable"	NT=Gly->Lys;AC=UNIMOD:1106;PP=K;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	28% NCE	4.5 ppm	20 ppm	Homo sapiens
PXD031829-Sample-26	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	not available	1	not available	run 26	proteomic profiling by mass spectrometry	20191009_coreQEP2_NiKr_LC12-19_SA_Orbi3322Sample01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD031829/20191009_coreQEP2_NiKr_LC12-19_SA_Orbi3322Sample01.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;PP=S,T,Y;MT=Variable"	NT=Gly->Lys;AC=UNIMOD:1106;PP=K;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	28% NCE	4.5 ppm	20 ppm	Homo sapiens
PXD031829-Sample-27	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	not available	1	not available	run 27	proteomic profiling by mass spectrometry	20191009_coreQEP2_NiKr_LC12-19_SA_Orbi3322Sample02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD031829/20191009_coreQEP2_NiKr_LC12-19_SA_Orbi3322Sample02.raw	1	2	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;PP=S,T,Y;MT=Variable"	NT=Gly->Lys;AC=UNIMOD:1106;PP=K;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	28% NCE	4.5 ppm	20 ppm	Homo sapiens
