Plex Dataset Name,Run Metadata ID,Number of Fractions,itraq_114,itraq_115,itraq_116,itraq_117
OSCC-P49,Oral Squamous Cell Carcinoma Study - Proteome-28,44,"Refmix-P29
Not Reported","OSCC_49
Solid Tissue Normal","OSCC_49
Primary Tumor","not available
not available"
OSCC-P50,Oral Squamous Cell Carcinoma Study - Proteome-34,44,"Refmix-P29
Not Reported","OSCC_50
Solid Tissue Normal","OSCC_50
Primary Tumor","not available
not available"
OSCC-P51,Oral Squamous Cell Carcinoma Study - Proteome-11,44,"Refmix-P29
Not Reported","OSCC_51
Solid Tissue Normal","OSCC_51
Primary Tumor","not available
not available"
OSCC-P56,Oral Squamous Cell Carcinoma Study - Proteome-6,44,"Refmix-P29
Not Reported","OSCC_56
Solid Tissue Normal","OSCC_56
Primary Tumor","not available
not available"
OSCC-P57,Oral Squamous Cell Carcinoma Study - Proteome-15,44,"Refmix-P29
Not Reported","OSCC_57
Solid Tissue Normal","OSCC_57
Primary Tumor","not available
not available"
OSCC-P58,Oral Squamous Cell Carcinoma Study - Proteome-29,44,"Refmix-P29
Not Reported","OSCC_58
Solid Tissue Normal","OSCC_58
Primary Tumor","not available
not available"
OSCC-P59,Oral Squamous Cell Carcinoma Study - Proteome-38,44,"Refmix-P29
Not Reported","OSCC_59
Solid Tissue Normal","OSCC_59
Primary Tumor","not available
not available"
OSCC-P61,Oral Squamous Cell Carcinoma Study - Proteome-22,44,"Refmix-P29
Not Reported","OSCC_61
Solid Tissue Normal","OSCC_61
Primary Tumor","not available
not available"
OSCC-P62,Oral Squamous Cell Carcinoma Study - Proteome-33,44,"Refmix-P29
Not Reported","OSCC_62
Solid Tissue Normal","OSCC_62
Primary Tumor","not available
not available"
OSCC-P63,Oral Squamous Cell Carcinoma Study - Proteome-31,44,"Refmix-P29
Not Reported","OSCC_63
Solid Tissue Normal","OSCC_63
Primary Tumor","not available
not available"
OSCC-P64,Oral Squamous Cell Carcinoma Study - Proteome-17,44,"Refmix-P29
Not Reported","OSCC_64
Solid Tissue Normal","OSCC_64
Primary Tumor","not available
not available"
