Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[age]	Characteristics[developmental stage]	Characteristics[cell line]	Characteristics[cell type]	Characteristics[sex]	Characteristics[disease]	characteristics[time]	characteristics[treatment]	Characteristics[biological replicate]	Characteristics[enrichment process]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[treatment]	factor value[time]	factor value[enrichment process]
Sample 5	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	0	control	5	enrichment of phosphorylated Protein	whole organism	run 11	proteomic profiling by mass spectrometry	OR9_20121214_EDG_PG_phosJurkat_0min_B2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR9_20121214_EDG_PG_phosJurkat_0min_B2.raw	2	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	control	0	enrichment of phosphorylated Protein
Sample 6	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	0	control	6	enrichment of phosphorylated Protein	whole organism	run 12	proteomic profiling by mass spectrometry	OR9_20121214_EDG_PG_phosJurkat_0min_B3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR9_20121214_EDG_PG_phosJurkat_0min_B3.raw	2	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	control	0	enrichment of phosphorylated Protein
Sample 7	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	0	control	7	enrichment of phosphorylated Protein	whole organism	run 13	proteomic profiling by mass spectrometry	OR8_121123_EDG_PG_phosJurkat_0min_C1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR8_121123_EDG_PG_phosJurkat_0min_C1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	control	0	enrichment of phosphorylated Protein
Sample 8	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	0	control	8	enrichment of phosphorylated Protein	whole organism	run 14	proteomic profiling by mass spectrometry	OR8_121123_EDG_PG_phosJurkat_0min_C2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR8_121123_EDG_PG_phosJurkat_0min_C2.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	control	0	enrichment of phosphorylated Protein
Sample 9	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	0	control	9	enrichment of phosphorylated Protein	whole organism	run 15	proteomic profiling by mass spectrometry	OR8_121123_EDG_PG_phosJurkat_0min_C3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR8_121123_EDG_PG_phosJurkat_0min_C3.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	control	0	enrichment of phosphorylated Protein
Sample 7	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	0	control	7	enrichment of phosphorylated Protein	whole organism	run 16	proteomic profiling by mass spectrometry	OR9_20121214_EDG_PG_phosJurkat_0min_C1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR9_20121214_EDG_PG_phosJurkat_0min_C1.raw	2	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	control	0	enrichment of phosphorylated Protein
Sample 8	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	0	control	8	enrichment of phosphorylated Protein	whole organism	run 17	proteomic profiling by mass spectrometry	OR9_20121214_EDG_PG_phosJurkat_0min_C2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR9_20121214_EDG_PG_phosJurkat_0min_C2.raw	2	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	control	0	enrichment of phosphorylated Protein
Sample 9	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	0	control	9	enrichment of phosphorylated Protein	whole organism	run 18	proteomic profiling by mass spectrometry	OR9_20121214_EDG_PG_phosJurkat_0min_C3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR9_20121214_EDG_PG_phosJurkat_0min_C3.raw	2	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	control	0	enrichment of phosphorylated Protein
Sample 10	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	10	PGE2	1	enrichment of phosphorylated Protein	whole organism	run 19	proteomic profiling by mass spectrometry	OR8_121123_EDG_PG_phosJurkat_10min_A1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR8_121123_EDG_PG_phosJurkat_10min_A1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	10	enrichment of phosphorylated Protein
Sample 11	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	10	PGE2	2	enrichment of phosphorylated Protein	whole organism	run 20	proteomic profiling by mass spectrometry	OR8_121123_EDG_PG_phosJurkat_10min_A2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR8_121123_EDG_PG_phosJurkat_10min_A2.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	10	enrichment of phosphorylated Protein
Sample 12	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	10	PGE2	3	enrichment of phosphorylated Protein	whole organism	run 21	proteomic profiling by mass spectrometry	OR8_121123_EDG_PG_phosJurkat_10min_A3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR8_121123_EDG_PG_phosJurkat_10min_A3.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	10	enrichment of phosphorylated Protein
Sample 10	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	10	PGE2	1	enrichment of phosphorylated Protein	whole organism	run 22	proteomic profiling by mass spectrometry	OR9_20121214_EDG_PG_phosJurkat_10min_A1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR9_20121214_EDG_PG_phosJurkat_10min_A1.raw	2	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	10	enrichment of phosphorylated Protein
Sample 11	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	10	PGE2	2	enrichment of phosphorylated Protein	whole organism	run 23	proteomic profiling by mass spectrometry	OR9_20121214_EDG_PG_phosJurkat_10min_A2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR9_20121214_EDG_PG_phosJurkat_10min_A2.raw	2	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	10	enrichment of phosphorylated Protein
Sample 12	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	10	PGE2	3	enrichment of phosphorylated Protein	whole organism	run 24	proteomic profiling by mass spectrometry	OR9_20121214_EDG_PG_phosJurkat_10min_A3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR9_20121214_EDG_PG_phosJurkat_10min_A3.raw	2	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	10	enrichment of phosphorylated Protein
Sample 13	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	10	PGE2	4	enrichment of phosphorylated Protein	whole organism	run 25	proteomic profiling by mass spectrometry	OR8_121123_EDG_PG_phosJurkat_10min_B1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR8_121123_EDG_PG_phosJurkat_10min_B1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	10	enrichment of phosphorylated Protein
Sample 14	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	10	PGE2	5	enrichment of phosphorylated Protein	whole organism	run 26	proteomic profiling by mass spectrometry	OR8_121123_EDG_PG_phosJurkat_10min_B2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR8_121123_EDG_PG_phosJurkat_10min_B2.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	10	enrichment of phosphorylated Protein
Sample 15	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	10	PGE2	6	enrichment of phosphorylated Protein	whole organism	run 27	proteomic profiling by mass spectrometry	OR8_121123_EDG_PG_phosJurkat_10min_B3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR8_121123_EDG_PG_phosJurkat_10min_B3.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	10	enrichment of phosphorylated Protein
Sample 13	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	10	PGE2	4	enrichment of phosphorylated Protein	whole organism	run 28	proteomic profiling by mass spectrometry	OR9_20121214_EDG_PG_phosJurkat_10min_B1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR9_20121214_EDG_PG_phosJurkat_10min_B1.raw	2	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	10	enrichment of phosphorylated Protein
Sample 14	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	10	PGE2	5	enrichment of phosphorylated Protein	whole organism	run 29	proteomic profiling by mass spectrometry	OR9_20121214_EDG_PG_phosJurkat_10min_B2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR9_20121214_EDG_PG_phosJurkat_10min_B2.raw	2	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	10	enrichment of phosphorylated Protein
Sample 15	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	10	PGE2	6	enrichment of phosphorylated Protein	whole organism	run 30	proteomic profiling by mass spectrometry	OR9_20121214_EDG_PG_phosJurkat_10min_B3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR9_20121214_EDG_PG_phosJurkat_10min_B3.raw	2	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	10	enrichment of phosphorylated Protein
