source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[sex]	characteristics[cell type]	"characteristics[cell line]	"	characteristics[disease]	characteristics[biological replicate]	Material Type	technology type	assay name	comment[technical replicate]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD003028-sample-20	Homo sapiens	Saliva	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run20	1	20150414_QEp1_LC7_NiGr_SA_Saliva_2m.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_2m.raw	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	4.5 ppm	0.5 Da	Saliva
PXD003028-sample-21	Homo sapiens	Saliva	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run21	1	20150414_QEp1_LC7_NiGr_SA_Saliva_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_3.raw	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	4.5 ppm	0.5 Da	Saliva
PXD003028-sample-22	Homo sapiens	Saliva	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run22	1	20150414_QEp1_LC7_NiGr_SA_Saliva_3_fractionated1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_3_fractionated1.raw	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	4.5 ppm	0.5 Da	Saliva
PXD003028-sample-23	Homo sapiens	Saliva	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run23	1	20150414_QEp1_LC7_NiGr_SA_Saliva_3_fractionated2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_3_fractionated2.raw	2	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	4.5 ppm	0.5 Da	Saliva
PXD003028-sample-24	Homo sapiens	Saliva	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run24	1	20150414_QEp1_LC7_NiGr_SA_Saliva_3_fractionated3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_3_fractionated3.raw	3	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	4.5 ppm	0.5 Da	Saliva
PXD003028-sample-25	Homo sapiens	Saliva	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run25	1	20150414_QEp1_LC7_NiGr_SA_Saliva_3_fractionated4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_3_fractionated4.raw	4	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	4.5 ppm	0.5 Da	Saliva
PXD003028-sample-26	Homo sapiens	Saliva	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run26	1	20150414_QEp1_LC7_NiGr_SA_Saliva_3_fractionated5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_3_fractionated5.raw	5	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	4.5 ppm	0.5 Da	Saliva
PXD003028-sample-27	Homo sapiens	Saliva	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run27	1	20150414_QEp1_LC7_NiGr_SA_Saliva_3_fractionated6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_3_fractionated6.raw	6	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	4.5 ppm	0.5 Da	Saliva
PXD003028-sample-28	Homo sapiens	Saliva	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run28	1	20150414_QEp1_LC7_NiGr_SA_Saliva_3_fractionated7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_3_fractionated7.raw	7	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	4.5 ppm	0.5 Da	Saliva
PXD003028-sample-29	Homo sapiens	Saliva	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run29	1	20150414_QEp1_LC7_NiGr_SA_Saliva_3_fractionated8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_3_fractionated8.raw	8	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	4.5 ppm	0.5 Da	Saliva
PXD003028-sample-30	Homo sapiens	Saliva	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run30	1	20150414_QEp1_LC7_NiGr_SA_Saliva_3m.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_3m.raw	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	4.5 ppm	0.5 Da	Saliva
PXD003028-sample-31	Homo sapiens	Saliva	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run31	1	20150414_QEp1_LC7_NiGr_SA_Saliva_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_4.raw	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	4.5 ppm	0.5 Da	Saliva
PXD003028-sample-32	Homo sapiens	Saliva	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run32	1	20150414_QEp1_LC7_NiGr_SA_Saliva_4m.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_4m.raw	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	4.5 ppm	0.5 Da	Saliva
PXD003028-sample-33	Homo sapiens	Saliva	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run33	1	20150414_QEp1_LC7_NiGr_SA_Saliva_5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_5.raw	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	4.5 ppm	0.5 Da	Saliva
PXD003028-sample-34	Homo sapiens	Saliva	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run34	1	20150414_QEp1_LC7_NiGr_SA_Saliva_5_fractionated1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_5_fractionated1.raw	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	4.5 ppm	0.5 Da	Saliva
PXD003028-sample-35	Homo sapiens	Saliva	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run35	1	20150414_QEp1_LC7_NiGr_SA_Saliva_5_fractionated2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_5_fractionated2.raw	2	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	4.5 ppm	0.5 Da	Saliva
