source name	characteristics[organism]	characteristics[organism part]	characteristics[ancestry category]	characteristics[age]	characteristics[developmental stage]	characteristics[sex]	characteristics[cell line]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	material type	Assay Name	comment[fraction identifier]	comment[technical replicate]	comment[file uri]	comment[instrument]	comment[MS2 analyzer type]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[data file]	factor value[organism part]
PXD019123-Sample-32	Homo sapiens	kidney	not available	not available	not available	not available	not available	normal	not available	5	tissue	run 42	3	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/chRCC_K4_F3.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	20 ppm	0.05 Da	chRCC_K4_F3.raw	kidney
PXD019123-Sample-33	Homo sapiens	kidney	not available	not available	not available	not available	not available	normal	not available	6	tissue	run 43	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/chRCC_K5_F1.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	20 ppm	0.05 Da	chRCC_K5_F1.raw	kidney
PXD019123-Sample-33	Homo sapiens	kidney	not available	not available	not available	not available	not available	normal	not available	6	tissue	run 44	2	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/chRCC_K5_F2.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	20 ppm	0.05 Da	chRCC_K5_F2.raw	kidney
PXD019123-Sample-33	Homo sapiens	kidney	not available	not available	not available	not available	not available	normal	not available	6	tissue	run 45	3	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/chRCC_K5_F3.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	20 ppm	0.05 Da	chRCC_K5_F3.raw	kidney
PXD019123-Sample-34	Homo sapiens	kidney	not available	not available	not available	not available	not available	normal	not available	7	tissue	run 46	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/chRCC_K7_F1.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	20 ppm	0.05 Da	chRCC_K7_F1.raw	kidney
PXD019123-Sample-34	Homo sapiens	kidney	not available	not available	not available	not available	not available	normal	not available	7	tissue	run 47	2	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/chRCC_K7_F2.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	20 ppm	0.05 Da	chRCC_K7_F2.raw	kidney
PXD019123-Sample-34	Homo sapiens	kidney	not available	not available	not available	not available	not available	normal	not available	7	tissue	run 48	3	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/chRCC_K7_F3.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	20 ppm	0.05 Da	chRCC_K7_F3.raw	kidney
PXD019123-Sample-35	Homo sapiens	kidney	not available	not available	not available	not available	not available	normal	not available	8	tissue	run 49	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/chRCC_K8_F1.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	20 ppm	0.05 Da	chRCC_K8_F1.raw	kidney
PXD019123-Sample-35	Homo sapiens	kidney	not available	not available	not available	not available	not available	normal	not available	8	tissue	run 50	2	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/chRCC_K8_F2.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	20 ppm	0.05 Da	chRCC_K8_F2.raw	kidney
PXD019123-Sample-35	Homo sapiens	kidney	not available	not available	not available	not available	not available	normal	not available	8	tissue	run 51	3	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/chRCC_K8_F3.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	20 ppm	0.05 Da	chRCC_K8_F3.raw	kidney
PXD019123-Sample-36	Homo sapiens	kidney	not available	not available	not available	not available	not available	normal	not available	9	tissue	run 52	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/chRCC_K9_F1.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	20 ppm	0.05 Da	chRCC_K9_F1.raw	kidney
PXD019123-Sample-36	Homo sapiens	kidney	not available	not available	not available	not available	not available	normal	not available	9	tissue	run 53	2	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/chRCC_K9_F2.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	20 ppm	0.05 Da	chRCC_K9_F2.raw	kidney
PXD019123-Sample-36	Homo sapiens	kidney	not available	not available	not available	not available	not available	normal	not available	9	tissue	run 54	3	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/chRCC_K9_F3.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	20 ppm	0.05 Da	chRCC_K9_F3.raw	kidney
