source name	characteristics[organism]	characteristics[organism part]	characteristics[individual]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[disease]	characteristics[depletion]	characteristics[biological replicate]	characteristics[sampling time]	assay name	Technology type	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[fractionation method]	comment[label]	comment[technical replicate]	comment[cleavage agent details]	comment[instrument]	comment[separation]	comment[modification parameter]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD038669-DIA-Sample-6	Homo sapiens	blood plasma	not available	not applicable	not available	not available	not available	not available	normal	no depletion	6	not applicable	220729_60SPD_DIA_Quant_Desalt_Plasma_2_FixVol_01	proteomic profiling by mass spectrometry	220729_60SPD_DIA_Quant_Desalt_Plasma_2_FixVol_01.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD038669/220729_60SPD_DIA_Quant_Desalt_Plasma_2_FixVol_01.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1003094; NT=Orbitrap Exploris 240	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	NT=Data-Independent Acquisition;AC=PRIDE:0000450	not available	20 ppm	10 ppm	blood plasma
PXD038669-DIA-Sample-6	Homo sapiens	blood plasma	not available	not applicable	not available	not available	not available	not available	normal	no depletion	6	not applicable	220729_60SPD_DIA_Quant_Desalt_Plasma_2_FixVol_02	proteomic profiling by mass spectrometry	220729_60SPD_DIA_Quant_Desalt_Plasma_2_FixVol_02.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD038669/220729_60SPD_DIA_Quant_Desalt_Plasma_2_FixVol_02.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	2	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1003094; NT=Orbitrap Exploris 240	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	NT=Data-Independent Acquisition;AC=PRIDE:0000450	not available	20 ppm	10 ppm	blood plasma
PXD038669-DIA-Sample-7	Homo sapiens	blood serum	not available	not applicable	not available	not available	not available	not available	normal	no depletion	7	not applicable	220729_60SPD_DIA_Quant_Desalt_Serum_1_FixVol_01	proteomic profiling by mass spectrometry	220729_60SPD_DIA_Quant_Desalt_Serum_1_FixVol_01.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD038669/220729_60SPD_DIA_Quant_Desalt_Serum_1_FixVol_01.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1003094; NT=Orbitrap Exploris 240	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	NT=Data-Independent Acquisition;AC=PRIDE:0000450	not available	20 ppm	10 ppm	blood serum
PXD038669-DIA-Sample-7	Homo sapiens	blood serum	not available	not applicable	not available	not available	not available	not available	normal	no depletion	7	not applicable	220729_60SPD_DIA_Quant_Desalt_Serum_1_FixVol_02	proteomic profiling by mass spectrometry	220729_60SPD_DIA_Quant_Desalt_Serum_1_FixVol_02.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD038669/220729_60SPD_DIA_Quant_Desalt_Serum_1_FixVol_02.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	2	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1003094; NT=Orbitrap Exploris 240	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	NT=Data-Independent Acquisition;AC=PRIDE:0000450	not available	20 ppm	10 ppm	blood serum
PXD038669-DIA-Sample-8	Homo sapiens	blood serum	not available	not applicable	not available	not available	not available	not available	normal	no depletion	8	not applicable	220729_60SPD_DIA_Quant_Desalt_Serum_2_FixVol_01	proteomic profiling by mass spectrometry	220729_60SPD_DIA_Quant_Desalt_Serum_2_FixVol_01.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD038669/220729_60SPD_DIA_Quant_Desalt_Serum_2_FixVol_01.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1003094; NT=Orbitrap Exploris 240	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	NT=Data-Independent Acquisition;AC=PRIDE:0000450	not available	20 ppm	10 ppm	blood serum
PXD038669-DIA-Sample-8	Homo sapiens	blood serum	not available	not applicable	not available	not available	not available	not available	normal	no depletion	8	not applicable	220729_60SPD_DIA_Quant_Desalt_Serum_2_FixVol_02	proteomic profiling by mass spectrometry	220729_60SPD_DIA_Quant_Desalt_Serum_2_FixVol_02.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD038669/220729_60SPD_DIA_Quant_Desalt_Serum_2_FixVol_02.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	2	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1003094; NT=Orbitrap Exploris 240	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	NT=Data-Independent Acquisition;AC=PRIDE:0000450	not available	20 ppm	10 ppm	blood serum
PXD038669-DIA-Sample-9	Homo sapiens	blood plasma	not available	not applicable	not available	not available	not available	not available	normal	no depletion	9	not applicable	220729_60SPD_DIA_Quant_OffDesalt_HighOxy_Plasma_1_FixVol_01	proteomic profiling by mass spectrometry	220729_60SPD_DIA_Quant_OffDesalt_HighOxy_Plasma_1_FixVol_01.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD038669/220729_60SPD_DIA_Quant_OffDesalt_HighOxy_Plasma_1_FixVol_01.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1003094; NT=Orbitrap Exploris 240	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	NT=Data-Independent Acquisition;AC=PRIDE:0000450	not available	20 ppm	10 ppm	blood plasma
PXD038669-DIA-Sample-9	Homo sapiens	blood plasma	not available	not applicable	not available	not available	not available	not available	normal	no depletion	9	not applicable	220729_60SPD_DIA_Quant_OffDesalt_HighOxy_Plasma_1_FixVol_02	proteomic profiling by mass spectrometry	220729_60SPD_DIA_Quant_OffDesalt_HighOxy_Plasma_1_FixVol_02.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD038669/220729_60SPD_DIA_Quant_OffDesalt_HighOxy_Plasma_1_FixVol_02.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	2	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1003094; NT=Orbitrap Exploris 240	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	NT=Data-Independent Acquisition;AC=PRIDE:0000450	not available	20 ppm	10 ppm	blood plasma
PXD038669-DIA-Sample-10	Homo sapiens	blood plasma	not available	not applicable	not available	not available	not available	not available	normal	no depletion	10	not applicable	220729_60SPD_DIA_Quant_OffDesalt_HighOxy_Plasma_2_FixVol_01	proteomic profiling by mass spectrometry	220729_60SPD_DIA_Quant_OffDesalt_HighOxy_Plasma_2_FixVol_01.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD038669/220729_60SPD_DIA_Quant_OffDesalt_HighOxy_Plasma_2_FixVol_01.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1003094; NT=Orbitrap Exploris 240	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	NT=Data-Independent Acquisition;AC=PRIDE:0000450	not available	20 ppm	10 ppm	blood plasma
PXD038669-DIA-Sample-10	Homo sapiens	blood plasma	not available	not applicable	not available	not available	not available	not available	normal	no depletion	10	not applicable	220729_60SPD_DIA_Quant_OffDesalt_HighOxy_Plasma_2_FixVol_02	proteomic profiling by mass spectrometry	220729_60SPD_DIA_Quant_OffDesalt_HighOxy_Plasma_2_FixVol_02.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD038669/220729_60SPD_DIA_Quant_OffDesalt_HighOxy_Plasma_2_FixVol_02.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	2	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1003094; NT=Orbitrap Exploris 240	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	NT=Data-Independent Acquisition;AC=PRIDE:0000450	not available	20 ppm	10 ppm	blood plasma
PXD038669-DIA-Sample-11	Homo sapiens	blood plasma	not available	not applicable	not available	not available	not available	not available	normal	no depletion	11	not applicable	220729_60SPD_DIA_Quant_OffDesalt_LowOxy_Plasma_1_FixVol_01	proteomic profiling by mass spectrometry	220729_60SPD_DIA_Quant_OffDesalt_LowOxy_Plasma_1_FixVol_01.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD038669/220729_60SPD_DIA_Quant_OffDesalt_LowOxy_Plasma_1_FixVol_01.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1003094; NT=Orbitrap Exploris 240	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	NT=Data-Independent Acquisition;AC=PRIDE:0000450	not available	20 ppm	10 ppm	blood plasma
PXD038669-DIA-Sample-11	Homo sapiens	blood plasma	not available	not applicable	not available	not available	not available	not available	normal	no depletion	11	not applicable	220729_60SPD_DIA_Quant_OffDesalt_LowOxy_Plasma_1_FixVol_02	proteomic profiling by mass spectrometry	220729_60SPD_DIA_Quant_OffDesalt_LowOxy_Plasma_1_FixVol_02.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD038669/220729_60SPD_DIA_Quant_OffDesalt_LowOxy_Plasma_1_FixVol_02.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	2	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1003094; NT=Orbitrap Exploris 240	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	NT=Data-Independent Acquisition;AC=PRIDE:0000450	not available	20 ppm	10 ppm	blood plasma
PXD038669-DIA-Sample-12	Homo sapiens	blood plasma	not available	not applicable	not available	not available	not available	not available	normal	no depletion	12	not applicable	220729_60SPD_DIA_Quant_OffDesalt_LowOxy_Plasma_2_FixVol_01	proteomic profiling by mass spectrometry	220729_60SPD_DIA_Quant_OffDesalt_LowOxy_Plasma_2_FixVol_01.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD038669/220729_60SPD_DIA_Quant_OffDesalt_LowOxy_Plasma_2_FixVol_01.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1003094; NT=Orbitrap Exploris 240	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	NT=Data-Independent Acquisition;AC=PRIDE:0000450	not available	20 ppm	10 ppm	blood plasma
PXD038669-DIA-Sample-12	Homo sapiens	blood plasma	not available	not applicable	not available	not available	not available	not available	normal	no depletion	12	not applicable	220729_60SPD_DIA_Quant_OffDesalt_LowOxy_Plasma_2_FixVol_02	proteomic profiling by mass spectrometry	220729_60SPD_DIA_Quant_OffDesalt_LowOxy_Plasma_2_FixVol_02.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD038669/220729_60SPD_DIA_Quant_OffDesalt_LowOxy_Plasma_2_FixVol_02.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	2	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1003094; NT=Orbitrap Exploris 240	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	NT=Data-Independent Acquisition;AC=PRIDE:0000450	not available	20 ppm	10 ppm	blood plasma
PXD038669-DIA-Sample-13	Homo sapiens	blood plasma	not available	not applicable	not available	not available	not available	not available	normal	no depletion	13	not applicable	220729_60SPD_DIA_Quant_OffDesalt_Plasma_1_FixVol_01	proteomic profiling by mass spectrometry	220729_60SPD_DIA_Quant_OffDesalt_Plasma_1_FixVol_01.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD038669/220729_60SPD_DIA_Quant_OffDesalt_Plasma_1_FixVol_01.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1003094; NT=Orbitrap Exploris 240	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	NT=Data-Independent Acquisition;AC=PRIDE:0000450	not available	20 ppm	10 ppm	blood plasma
PXD038669-DIA-Sample-13	Homo sapiens	blood plasma	not available	not applicable	not available	not available	not available	not available	normal	no depletion	13	not applicable	220729_60SPD_DIA_Quant_OffDesalt_Plasma_1_FixVol_02	proteomic profiling by mass spectrometry	220729_60SPD_DIA_Quant_OffDesalt_Plasma_1_FixVol_02.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD038669/220729_60SPD_DIA_Quant_OffDesalt_Plasma_1_FixVol_02.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	2	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1003094; NT=Orbitrap Exploris 240	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	NT=Data-Independent Acquisition;AC=PRIDE:0000450	not available	20 ppm	10 ppm	blood plasma
PXD038669-DIA-Sample-14	Homo sapiens	blood plasma	not available	not applicable	not available	not available	not available	not available	normal	no depletion	14	not applicable	220729_60SPD_DIA_Quant_OffDesalt_Plasma_2_FixVol_01	proteomic profiling by mass spectrometry	220729_60SPD_DIA_Quant_OffDesalt_Plasma_2_FixVol_01.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD038669/220729_60SPD_DIA_Quant_OffDesalt_Plasma_2_FixVol_01.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1003094; NT=Orbitrap Exploris 240	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	NT=Data-Independent Acquisition;AC=PRIDE:0000450	not available	20 ppm	10 ppm	blood plasma
PXD038669-DIA-Sample-14	Homo sapiens	blood plasma	not available	not applicable	not available	not available	not available	not available	normal	no depletion	14	not applicable	220729_60SPD_DIA_Quant_OffDesalt_Plasma_2_FixVol_02	proteomic profiling by mass spectrometry	220729_60SPD_DIA_Quant_OffDesalt_Plasma_2_FixVol_02.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD038669/220729_60SPD_DIA_Quant_OffDesalt_Plasma_2_FixVol_02.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	2	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1003094; NT=Orbitrap Exploris 240	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	NT=Data-Independent Acquisition;AC=PRIDE:0000450	not available	20 ppm	10 ppm	blood plasma
