source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[developmental stage]	characteristics[cell type]	characteristics[sex]	characteristics[disease]	characteristics[individual]	Material Type	assay name	Characteristics[biological replicate]	technology type	comment[file uri]	comment[data file]	comment[fraction identifier]	comment[technical replicate]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[modification parameters]	factor value[modification parameters]	factor value[modification parameters]
PXD015872-Sample-11	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	cell	run 11	2	proteomic profiling by mass spectrometry	THP1_DML_R2_SCX_5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD015872/THP1_DML_R2_SCX_5.raw	5	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Met-loss+Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:766	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Deamidated;MT=Variable;TA=Q;AC=UNIMOD:7	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Dimethyl;TA=N-term;MT=Variable;AC=UNIMOD:36	NT=Dimethyl:2H(4);TA=N-term;MT=Variable;AC=UNIMOD:199	NT=Dimethyl:2H(6)13C(2);TA=N-term;MT=Variable;AC=UNIMOD:330	30% HCD	10 ppm	0.02 Da	NT=Dimethyl;TA=N-term;MT=Variable;AC=UNIMOD:36	NT=Dimethyl:2H(4);TA=N-term;MT=Variable;AC=UNIMOD:199	NT=Dimethyl:2H(6)13C(2);TA=N-term;MT=Variable;AC=UNIMOD:330
PXD015872-Sample-12	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	cell	run 12	2	proteomic profiling by mass spectrometry	THP1_DML_R2_SCX_6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD015872/THP1_DML_R2_SCX_6.raw	6	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Met-loss+Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:766	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Deamidated;MT=Variable;TA=Q;AC=UNIMOD:7	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Dimethyl;TA=N-term;MT=Variable;AC=UNIMOD:36	NT=Dimethyl:2H(4);TA=N-term;MT=Variable;AC=UNIMOD:199	NT=Dimethyl:2H(6)13C(2);TA=N-term;MT=Variable;AC=UNIMOD:330	30% HCD	10 ppm	0.02 Da	NT=Dimethyl;TA=N-term;MT=Variable;AC=UNIMOD:36	NT=Dimethyl:2H(4);TA=N-term;MT=Variable;AC=UNIMOD:199	NT=Dimethyl:2H(6)13C(2);TA=N-term;MT=Variable;AC=UNIMOD:330
PXD015872-Sample-13	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	cell	run 13	3	proteomic profiling by mass spectrometry	THP1_DML_R3_SCX_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD015872/THP1_DML_R3_SCX_1.raw	1	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Met-loss+Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:766	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Deamidated;MT=Variable;TA=Q;AC=UNIMOD:7	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Dimethyl;TA=N-term;MT=Variable;AC=UNIMOD:36	NT=Dimethyl:2H(4);TA=N-term;MT=Variable;AC=UNIMOD:199	NT=Dimethyl:2H(6)13C(2);TA=N-term;MT=Variable;AC=UNIMOD:330	30% HCD	10 ppm	0.02 Da	NT=Dimethyl;TA=N-term;MT=Variable;AC=UNIMOD:36	NT=Dimethyl:2H(4);TA=N-term;MT=Variable;AC=UNIMOD:199	NT=Dimethyl:2H(6)13C(2);TA=N-term;MT=Variable;AC=UNIMOD:330
PXD015872-Sample-14	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	cell	run 14	3	proteomic profiling by mass spectrometry	THP1_DML_R3_SCX_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD015872/THP1_DML_R3_SCX_2.raw	2	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Met-loss+Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:766	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Deamidated;MT=Variable;TA=Q;AC=UNIMOD:7	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Dimethyl;TA=N-term;MT=Variable;AC=UNIMOD:36	NT=Dimethyl:2H(4);TA=N-term;MT=Variable;AC=UNIMOD:199	NT=Dimethyl:2H(6)13C(2);TA=N-term;MT=Variable;AC=UNIMOD:330	30% HCD	10 ppm	0.02 Da	NT=Dimethyl;TA=N-term;MT=Variable;AC=UNIMOD:36	NT=Dimethyl:2H(4);TA=N-term;MT=Variable;AC=UNIMOD:199	NT=Dimethyl:2H(6)13C(2);TA=N-term;MT=Variable;AC=UNIMOD:330
PXD015872-Sample-15	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	cell	run 15	3	proteomic profiling by mass spectrometry	THP1_DML_R3_SCX_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD015872/THP1_DML_R3_SCX_3.raw	3	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Met-loss+Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:766	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Deamidated;MT=Variable;TA=Q;AC=UNIMOD:7	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Dimethyl;TA=N-term;MT=Variable;AC=UNIMOD:36	NT=Dimethyl:2H(4);TA=N-term;MT=Variable;AC=UNIMOD:199	NT=Dimethyl:2H(6)13C(2);TA=N-term;MT=Variable;AC=UNIMOD:330	30% HCD	10 ppm	0.02 Da	NT=Dimethyl;TA=N-term;MT=Variable;AC=UNIMOD:36	NT=Dimethyl:2H(4);TA=N-term;MT=Variable;AC=UNIMOD:199	NT=Dimethyl:2H(6)13C(2);TA=N-term;MT=Variable;AC=UNIMOD:330
PXD015872-Sample-16	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	cell	run 16	3	proteomic profiling by mass spectrometry	THP1_DML_R3_SCX_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD015872/THP1_DML_R3_SCX_4.raw	4	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Met-loss+Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:766	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Deamidated;MT=Variable;TA=Q;AC=UNIMOD:7	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Dimethyl;TA=N-term;MT=Variable;AC=UNIMOD:36	NT=Dimethyl:2H(4);TA=N-term;MT=Variable;AC=UNIMOD:199	NT=Dimethyl:2H(6)13C(2);TA=N-term;MT=Variable;AC=UNIMOD:330	30% HCD	10 ppm	0.02 Da	NT=Dimethyl;TA=N-term;MT=Variable;AC=UNIMOD:36	NT=Dimethyl:2H(4);TA=N-term;MT=Variable;AC=UNIMOD:199	NT=Dimethyl:2H(6)13C(2);TA=N-term;MT=Variable;AC=UNIMOD:330
PXD015872-Sample-17	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	cell	run 17	3	proteomic profiling by mass spectrometry	THP1_DML_R3_SCX_5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD015872/THP1_DML_R3_SCX_5.raw	5	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Met-loss+Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:766	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Deamidated;MT=Variable;TA=Q;AC=UNIMOD:7	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Dimethyl;TA=N-term;MT=Variable;AC=UNIMOD:36	NT=Dimethyl:2H(4);TA=N-term;MT=Variable;AC=UNIMOD:199	NT=Dimethyl:2H(6)13C(2);TA=N-term;MT=Variable;AC=UNIMOD:330	30% HCD	10 ppm	0.02 Da	NT=Dimethyl;TA=N-term;MT=Variable;AC=UNIMOD:36	NT=Dimethyl:2H(4);TA=N-term;MT=Variable;AC=UNIMOD:199	NT=Dimethyl:2H(6)13C(2);TA=N-term;MT=Variable;AC=UNIMOD:330
PXD015872-Sample-18	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	cell	run 18	3	proteomic profiling by mass spectrometry	THP1_DML_R3_SCX_6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD015872/THP1_DML_R3_SCX_6.raw	6	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Met-loss+Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:766	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Deamidated;MT=Variable;TA=Q;AC=UNIMOD:7	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Dimethyl;TA=N-term;MT=Variable;AC=UNIMOD:36	NT=Dimethyl:2H(4);TA=N-term;MT=Variable;AC=UNIMOD:199	NT=Dimethyl:2H(6)13C(2);TA=N-term;MT=Variable;AC=UNIMOD:330	30% HCD	10 ppm	0.02 Da	NT=Dimethyl;TA=N-term;MT=Variable;AC=UNIMOD:36	NT=Dimethyl:2H(4);TA=N-term;MT=Variable;AC=UNIMOD:199	NT=Dimethyl:2H(6)13C(2);TA=N-term;MT=Variable;AC=UNIMOD:330
PXD015872-Sample-19	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	cell	run 19	4	proteomic profiling by mass spectrometry	THP1_DML_R4_SCX_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD015872/THP1_DML_R4_SCX_1.raw	1	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Met-loss+Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:766	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Deamidated;MT=Variable;TA=Q;AC=UNIMOD:7	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Dimethyl;TA=N-term;MT=Variable;AC=UNIMOD:36	NT=Dimethyl:2H(4);TA=N-term;MT=Variable;AC=UNIMOD:199	NT=Dimethyl:2H(6)13C(2);TA=N-term;MT=Variable;AC=UNIMOD:330	30% HCD	10 ppm	0.02 Da	NT=Dimethyl;TA=N-term;MT=Variable;AC=UNIMOD:36	NT=Dimethyl:2H(4);TA=N-term;MT=Variable;AC=UNIMOD:199	NT=Dimethyl:2H(6)13C(2);TA=N-term;MT=Variable;AC=UNIMOD:330
PXD015872-Sample-20	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	cell	run 20	4	proteomic profiling by mass spectrometry	THP1_DML_R4_SCX_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD015872/THP1_DML_R4_SCX_2.raw	2	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Met-loss+Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:766	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Deamidated;MT=Variable;TA=Q;AC=UNIMOD:7	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Dimethyl;TA=N-term;MT=Variable;AC=UNIMOD:36	NT=Dimethyl:2H(4);TA=N-term;MT=Variable;AC=UNIMOD:199	NT=Dimethyl:2H(6)13C(2);TA=N-term;MT=Variable;AC=UNIMOD:330	30% HCD	10 ppm	0.02 Da	NT=Dimethyl;TA=N-term;MT=Variable;AC=UNIMOD:36	NT=Dimethyl:2H(4);TA=N-term;MT=Variable;AC=UNIMOD:199	NT=Dimethyl:2H(6)13C(2);TA=N-term;MT=Variable;AC=UNIMOD:330
PXD015872-Sample-21	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	cell	run 21	4	proteomic profiling by mass spectrometry	THP1_DML_R4_SCX_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD015872/THP1_DML_R4_SCX_3.raw	3	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Met-loss+Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:766	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Deamidated;MT=Variable;TA=Q;AC=UNIMOD:7	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Dimethyl;TA=N-term;MT=Variable;AC=UNIMOD:36	NT=Dimethyl:2H(4);TA=N-term;MT=Variable;AC=UNIMOD:199	NT=Dimethyl:2H(6)13C(2);TA=N-term;MT=Variable;AC=UNIMOD:330	30% HCD	10 ppm	0.02 Da	NT=Dimethyl;TA=N-term;MT=Variable;AC=UNIMOD:36	NT=Dimethyl:2H(4);TA=N-term;MT=Variable;AC=UNIMOD:199	NT=Dimethyl:2H(6)13C(2);TA=N-term;MT=Variable;AC=UNIMOD:330
PXD015872-Sample-22	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	cell	run 22	4	proteomic profiling by mass spectrometry	THP1_DML_R4_SCX_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD015872/THP1_DML_R4_SCX_4.raw	4	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Met-loss+Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:766	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Deamidated;MT=Variable;TA=Q;AC=UNIMOD:7	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Dimethyl;TA=N-term;MT=Variable;AC=UNIMOD:36	NT=Dimethyl:2H(4);TA=N-term;MT=Variable;AC=UNIMOD:199	NT=Dimethyl:2H(6)13C(2);TA=N-term;MT=Variable;AC=UNIMOD:330	30% HCD	10 ppm	0.02 Da	NT=Dimethyl;TA=N-term;MT=Variable;AC=UNIMOD:36	NT=Dimethyl:2H(4);TA=N-term;MT=Variable;AC=UNIMOD:199	NT=Dimethyl:2H(6)13C(2);TA=N-term;MT=Variable;AC=UNIMOD:330
PXD015872-Sample-23	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	cell	run 23	4	proteomic profiling by mass spectrometry	THP1_DML_R4_SCX_5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD015872/THP1_DML_R4_SCX_5.raw	5	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Met-loss+Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:766	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Deamidated;MT=Variable;TA=Q;AC=UNIMOD:7	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Dimethyl;TA=N-term;MT=Variable;AC=UNIMOD:36	NT=Dimethyl:2H(4);TA=N-term;MT=Variable;AC=UNIMOD:199	NT=Dimethyl:2H(6)13C(2);TA=N-term;MT=Variable;AC=UNIMOD:330	30% HCD	10 ppm	0.02 Da	NT=Dimethyl;TA=N-term;MT=Variable;AC=UNIMOD:36	NT=Dimethyl:2H(4);TA=N-term;MT=Variable;AC=UNIMOD:199	NT=Dimethyl:2H(6)13C(2);TA=N-term;MT=Variable;AC=UNIMOD:330
PXD015872-Sample-24	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	cell	run 24	4	proteomic profiling by mass spectrometry	THP1_DML_R4_SCX_6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD015872/THP1_DML_R4_SCX_6.raw	6	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Met-loss+Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:766	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Deamidated;MT=Variable;TA=Q;AC=UNIMOD:7	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Dimethyl;TA=N-term;MT=Variable;AC=UNIMOD:36	NT=Dimethyl:2H(4);TA=N-term;MT=Variable;AC=UNIMOD:199	NT=Dimethyl:2H(6)13C(2);TA=N-term;MT=Variable;AC=UNIMOD:330	30% HCD	10 ppm	0.02 Da	NT=Dimethyl;TA=N-term;MT=Variable;AC=UNIMOD:36	NT=Dimethyl:2H(4);TA=N-term;MT=Variable;AC=UNIMOD:199	NT=Dimethyl:2H(6)13C(2);TA=N-term;MT=Variable;AC=UNIMOD:330
