source name	characteristics[organism]	characteristics[organism part]	characteristics[organism part]	characteristics[age]	characteristics[developmental stage]	characteristics[biological replicate]	characteristics[sex]	characteristics[ancestry category]	characteristics[cell type]	characteristics[disease]	characteristics[individual]	assay name	Technology Type	comment[data file]	comment[label]	comment[fraction identifier]	comment[technical replicate]	comment[instrument]	comment[file uri]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD012636-Sample-2	Homo sapiens	heart	left ventricle	not available	not available	2	not available	not available	heart cell	normal	not available	run 11	proteomic profiling by mass spectrometry	20151127_QE3_UPLC8_NL_Human_Heart_130_Left_Ventricle_01.raw	NT=label free sample	1	1	NT=Q Exactive;AC=MS:1001911	http://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD012636/20151127_QE3_UPLC8_NL_Human_Heart_130_Left_Ventricle_01.raw	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Gln->pyro-Glu;TA=E;AC=UNIMOD:27;PP=Any N-term;MT=variable	NT=Gln->pyro-Glu;TA=Q;AC=UNIMOD:28;PP=Any N-term;MT=variable	30 ppm	0.05 Da	heart
PXD012636-Sample-2	Homo sapiens	heart	left ventricle	not available	not available	2	not available	not available	heart cell	normal	not available	run 12	proteomic profiling by mass spectrometry	20151127_QE3_UPLC8_NL_Human_Heart_130_Left_Ventricle_02.raw	NT=label free sample	2	1	NT=Q Exactive;AC=MS:1001911	http://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD012636/20151127_QE3_UPLC8_NL_Human_Heart_130_Left_Ventricle_02.raw	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Gln->pyro-Glu;TA=E;AC=UNIMOD:27;PP=Any N-term;MT=variable	NT=Gln->pyro-Glu;TA=Q;AC=UNIMOD:28;PP=Any N-term;MT=variable	30 ppm	0.05 Da	heart
PXD012636-Sample-2	Homo sapiens	heart	left ventricle	not available	not available	2	not available	not available	heart cell	normal	not available	run 13	proteomic profiling by mass spectrometry	20151127_QE3_UPLC8_NL_Human_Heart_130_Left_Ventricle_03.raw	NT=label free sample	3	1	NT=Q Exactive;AC=MS:1001911	http://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD012636/20151127_QE3_UPLC8_NL_Human_Heart_130_Left_Ventricle_03.raw	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Gln->pyro-Glu;TA=E;AC=UNIMOD:27;PP=Any N-term;MT=variable	NT=Gln->pyro-Glu;TA=Q;AC=UNIMOD:28;PP=Any N-term;MT=variable	30 ppm	0.05 Da	heart
PXD012636-Sample-2	Homo sapiens	heart	left ventricle	not available	not available	2	not available	not available	heart cell	normal	not available	run 14	proteomic profiling by mass spectrometry	20151127_QE3_UPLC8_NL_Human_Heart_130_Left_Ventricle_04.raw	NT=label free sample	4	1	NT=Q Exactive;AC=MS:1001911	http://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD012636/20151127_QE3_UPLC8_NL_Human_Heart_130_Left_Ventricle_04.raw	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Gln->pyro-Glu;TA=E;AC=UNIMOD:27;PP=Any N-term;MT=variable	NT=Gln->pyro-Glu;TA=Q;AC=UNIMOD:28;PP=Any N-term;MT=variable	30 ppm	0.05 Da	heart
PXD012636-Sample-2	Homo sapiens	heart	left ventricle	not available	not available	2	not available	not available	heart cell	normal	not available	run 15	proteomic profiling by mass spectrometry	20151127_QE3_UPLC8_NL_Human_Heart_130_Left_Ventricle_05.raw	NT=label free sample	5	1	NT=Q Exactive;AC=MS:1001911	http://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD012636/20151127_QE3_UPLC8_NL_Human_Heart_130_Left_Ventricle_05.raw	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Gln->pyro-Glu;TA=E;AC=UNIMOD:27;PP=Any N-term;MT=variable	NT=Gln->pyro-Glu;TA=Q;AC=UNIMOD:28;PP=Any N-term;MT=variable	30 ppm	0.05 Da	heart
PXD012636-Sample-2	Homo sapiens	heart	left ventricle	not available	not available	2	not available	not available	heart cell	normal	not available	run 16	proteomic profiling by mass spectrometry	20151127_QE3_UPLC8_NL_Human_Heart_130_Left_Ventricle_06.raw	NT=label free sample	6	1	NT=Q Exactive;AC=MS:1001911	http://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD012636/20151127_QE3_UPLC8_NL_Human_Heart_130_Left_Ventricle_06.raw	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Gln->pyro-Glu;TA=E;AC=UNIMOD:27;PP=Any N-term;MT=variable	NT=Gln->pyro-Glu;TA=Q;AC=UNIMOD:28;PP=Any N-term;MT=variable	30 ppm	0.05 Da	heart
PXD012636-Sample-2	Homo sapiens	heart	left ventricle	not available	not available	2	not available	not available	heart cell	normal	not available	run 17	proteomic profiling by mass spectrometry	20151127_QE3_UPLC8_NL_Human_Heart_130_Left_Ventricle_07.raw	NT=label free sample	7	1	NT=Q Exactive;AC=MS:1001911	http://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD012636/20151127_QE3_UPLC8_NL_Human_Heart_130_Left_Ventricle_07.raw	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Gln->pyro-Glu;TA=E;AC=UNIMOD:27;PP=Any N-term;MT=variable	NT=Gln->pyro-Glu;TA=Q;AC=UNIMOD:28;PP=Any N-term;MT=variable	30 ppm	0.05 Da	heart
PXD012636-Sample-2	Homo sapiens	heart	left ventricle	not available	not available	2	not available	not available	heart cell	normal	not available	run 18	proteomic profiling by mass spectrometry	20151127_QE3_UPLC8_NL_Human_Heart_130_Left_Ventricle_08.raw	NT=label free sample	8	1	NT=Q Exactive;AC=MS:1001911	http://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD012636/20151127_QE3_UPLC8_NL_Human_Heart_130_Left_Ventricle_08.raw	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Gln->pyro-Glu;TA=E;AC=UNIMOD:27;PP=Any N-term;MT=variable	NT=Gln->pyro-Glu;TA=Q;AC=UNIMOD:28;PP=Any N-term;MT=variable	30 ppm	0.05 Da	heart
PXD012636-Sample-2	Homo sapiens	heart	left ventricle	not available	not available	2	not available	not available	heart cell	normal	not available	run 19	proteomic profiling by mass spectrometry	20151127_QE3_UPLC8_NL_Human_Heart_130_Left_Ventricle_09.raw	NT=label free sample	9	1	NT=Q Exactive;AC=MS:1001911	http://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD012636/20151127_QE3_UPLC8_NL_Human_Heart_130_Left_Ventricle_09.raw	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Gln->pyro-Glu;TA=E;AC=UNIMOD:27;PP=Any N-term;MT=variable	NT=Gln->pyro-Glu;TA=Q;AC=UNIMOD:28;PP=Any N-term;MT=variable	30 ppm	0.05 Da	heart
PXD012636-Sample-2	Homo sapiens	heart	left ventricle	not available	not available	2	not available	not available	heart cell	normal	not available	run 20	proteomic profiling by mass spectrometry	20151127_QE3_UPLC8_NL_Human_Heart_130_Left_Ventricle_10.raw	NT=label free sample	10	1	NT=Q Exactive;AC=MS:1001911	http://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD012636/20151127_QE3_UPLC8_NL_Human_Heart_130_Left_Ventricle_10.raw	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Gln->pyro-Glu;TA=E;AC=UNIMOD:27;PP=Any N-term;MT=variable	NT=Gln->pyro-Glu;TA=Q;AC=UNIMOD:28;PP=Any N-term;MT=variable	30 ppm	0.05 Da	heart
PXD012636-Sample-3	Homo sapiens	heart	right atrium	not available	not available	3	not available	not available	heart cell	normal	not available	run 21	proteomic profiling by mass spectrometry	20151127_QE3_UPLC8_NL_Human_Heart_130_Right_Atrium_01.raw	NT=label free sample	1	1	NT=Q Exactive;AC=MS:1001911	http://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD012636/20151127_QE3_UPLC8_NL_Human_Heart_130_Right_Atrium_01.raw	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Gln->pyro-Glu;TA=E;AC=UNIMOD:27;PP=Any N-term;MT=variable	NT=Gln->pyro-Glu;TA=Q;AC=UNIMOD:28;PP=Any N-term;MT=variable	30 ppm	0.05 Da	heart
PXD012636-Sample-3	Homo sapiens	heart	right atrium	not available	not available	3	not available	not available	heart cell	normal	not available	run 22	proteomic profiling by mass spectrometry	20151127_QE3_UPLC8_NL_Human_Heart_130_Right_Atrium_02.raw	NT=label free sample	2	1	NT=Q Exactive;AC=MS:1001911	http://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD012636/20151127_QE3_UPLC8_NL_Human_Heart_130_Right_Atrium_02.raw	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Gln->pyro-Glu;TA=E;AC=UNIMOD:27;PP=Any N-term;MT=variable	NT=Gln->pyro-Glu;TA=Q;AC=UNIMOD:28;PP=Any N-term;MT=variable	30 ppm	0.05 Da	heart
PXD012636-Sample-3	Homo sapiens	heart	right atrium	not available	not available	3	not available	not available	heart cell	normal	not available	run 23	proteomic profiling by mass spectrometry	20151127_QE3_UPLC8_NL_Human_Heart_130_Right_Atrium_03.raw	NT=label free sample	3	1	NT=Q Exactive;AC=MS:1001911	http://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD012636/20151127_QE3_UPLC8_NL_Human_Heart_130_Right_Atrium_03.raw	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Gln->pyro-Glu;TA=E;AC=UNIMOD:27;PP=Any N-term;MT=variable	NT=Gln->pyro-Glu;TA=Q;AC=UNIMOD:28;PP=Any N-term;MT=variable	30 ppm	0.05 Da	heart
PXD012636-Sample-3	Homo sapiens	heart	right atrium	not available	not available	3	not available	not available	heart cell	normal	not available	run 24	proteomic profiling by mass spectrometry	20151127_QE3_UPLC8_NL_Human_Heart_130_Right_Atrium_04.raw	NT=label free sample	4	1	NT=Q Exactive;AC=MS:1001911	http://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD012636/20151127_QE3_UPLC8_NL_Human_Heart_130_Right_Atrium_04.raw	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Gln->pyro-Glu;TA=E;AC=UNIMOD:27;PP=Any N-term;MT=variable	NT=Gln->pyro-Glu;TA=Q;AC=UNIMOD:28;PP=Any N-term;MT=variable	30 ppm	0.05 Da	heart
PXD012636-Sample-3	Homo sapiens	heart	right atrium	not available	not available	3	not available	not available	heart cell	normal	not available	run 25	proteomic profiling by mass spectrometry	20151127_QE3_UPLC8_NL_Human_Heart_130_Right_Atrium_05.raw	NT=label free sample	5	1	NT=Q Exactive;AC=MS:1001911	http://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD012636/20151127_QE3_UPLC8_NL_Human_Heart_130_Right_Atrium_05.raw	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Gln->pyro-Glu;TA=E;AC=UNIMOD:27;PP=Any N-term;MT=variable	NT=Gln->pyro-Glu;TA=Q;AC=UNIMOD:28;PP=Any N-term;MT=variable	30 ppm	0.05 Da	heart
PXD012636-Sample-3	Homo sapiens	heart	right atrium	not available	not available	3	not available	not available	heart cell	normal	not available	run 26	proteomic profiling by mass spectrometry	20151127_QE3_UPLC8_NL_Human_Heart_130_Right_Atrium_06.raw	NT=label free sample	6	1	NT=Q Exactive;AC=MS:1001911	http://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD012636/20151127_QE3_UPLC8_NL_Human_Heart_130_Right_Atrium_06.raw	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Gln->pyro-Glu;TA=E;AC=UNIMOD:27;PP=Any N-term;MT=variable	NT=Gln->pyro-Glu;TA=Q;AC=UNIMOD:28;PP=Any N-term;MT=variable	30 ppm	0.05 Da	heart
PXD012636-Sample-3	Homo sapiens	heart	right atrium	not available	not available	3	not available	not available	heart cell	normal	not available	run 27	proteomic profiling by mass spectrometry	20151127_QE3_UPLC8_NL_Human_Heart_130_Right_Atrium_07.raw	NT=label free sample	7	1	NT=Q Exactive;AC=MS:1001911	http://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD012636/20151127_QE3_UPLC8_NL_Human_Heart_130_Right_Atrium_07.raw	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Gln->pyro-Glu;TA=E;AC=UNIMOD:27;PP=Any N-term;MT=variable	NT=Gln->pyro-Glu;TA=Q;AC=UNIMOD:28;PP=Any N-term;MT=variable	30 ppm	0.05 Da	heart
PXD012636-Sample-3	Homo sapiens	heart	right atrium	not available	not available	3	not available	not available	heart cell	normal	not available	run 28	proteomic profiling by mass spectrometry	20151127_QE3_UPLC8_NL_Human_Heart_130_Right_Atrium_08.raw	NT=label free sample	8	1	NT=Q Exactive;AC=MS:1001911	http://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD012636/20151127_QE3_UPLC8_NL_Human_Heart_130_Right_Atrium_08.raw	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Gln->pyro-Glu;TA=E;AC=UNIMOD:27;PP=Any N-term;MT=variable	NT=Gln->pyro-Glu;TA=Q;AC=UNIMOD:28;PP=Any N-term;MT=variable	30 ppm	0.05 Da	heart
PXD012636-Sample-3	Homo sapiens	heart	right atrium	not available	not available	3	not available	not available	heart cell	normal	not available	run 29	proteomic profiling by mass spectrometry	20151127_QE3_UPLC8_NL_Human_Heart_130_Right_Atrium_09.raw	NT=label free sample	9	1	NT=Q Exactive;AC=MS:1001911	http://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD012636/20151127_QE3_UPLC8_NL_Human_Heart_130_Right_Atrium_09.raw	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Gln->pyro-Glu;TA=E;AC=UNIMOD:27;PP=Any N-term;MT=variable	NT=Gln->pyro-Glu;TA=Q;AC=UNIMOD:28;PP=Any N-term;MT=variable	30 ppm	0.05 Da	heart
