source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[sex]	characteristics[cell type]	"characteristics[cell line]	"	characteristics[disease]	characteristics[biological replicate]	Material Type	technology type	assay name	comment[technical replicate]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD022011-sample-11	Homo sapiens	Platelet	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run11	1	qExHF01_09195.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD022011/qExHF01_09195.raw	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	27% NCE	10 ppm	0.02 Da	Platelet
PXD022011-sample-12	Homo sapiens	Platelet	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run12	1	qExHF01_09196.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD022011/qExHF01_09196.raw	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	27% NCE	10 ppm	0.02 Da	Platelet
PXD022011-sample-13	Homo sapiens	Platelet	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run13	1	qExHF01_09197.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD022011/qExHF01_09197.raw	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	27% NCE	10 ppm	0.02 Da	Platelet
PXD022011-sample-14	Homo sapiens	Platelet	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run14	1	qExHF01_09198.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD022011/qExHF01_09198.raw	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	27% NCE	10 ppm	0.02 Da	Platelet
PXD022011-sample-15	Homo sapiens	Platelet	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run15	1	qExHF01_09199.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD022011/qExHF01_09199.raw	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	27% NCE	10 ppm	0.02 Da	Platelet
PXD022011-sample-16	Homo sapiens	Platelet	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run16	1	qExHF01_09200.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD022011/qExHF01_09200.raw	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	27% NCE	10 ppm	0.02 Da	Platelet
PXD022011-sample-17	Homo sapiens	Platelet	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run17	1	qExHF01_09201.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD022011/qExHF01_09201.raw	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	27% NCE	10 ppm	0.02 Da	Platelet
PXD022011-sample-18	Homo sapiens	Platelet	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run18	1	qExHF01_09202.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD022011/qExHF01_09202.raw	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	27% NCE	10 ppm	0.02 Da	Platelet
PXD022011-sample-19	Homo sapiens	Platelet	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run19	1	qExHF01_09203.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD022011/qExHF01_09203.raw	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	27% NCE	10 ppm	0.02 Da	Platelet
PXD022011-sample-20	Homo sapiens	Platelet	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run20	1	qExHF01_09204.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD022011/qExHF01_09204.raw	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	27% NCE	10 ppm	0.02 Da	Platelet
PXD022011-sample-21	Homo sapiens	Platelet	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run21	1	qExHF01_09206.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD022011/qExHF01_09206.raw	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	27% NCE	10 ppm	0.02 Da	Platelet
PXD022011-sample-22	Homo sapiens	Platelet	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run22	1	qExHF01_09207.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD022011/qExHF01_09207.raw	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	27% NCE	10 ppm	0.02 Da	Platelet
PXD022011-sample-23	Homo sapiens	Platelet	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run23	1	qExHF01_09208.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD022011/qExHF01_09208.raw	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	27% NCE	10 ppm	0.02 Da	Platelet
PXD022011-sample-24	Homo sapiens	Platelet	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run24	1	qExHF01_09209.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD022011/qExHF01_09209.raw	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	27% NCE	10 ppm	0.02 Da	Platelet
PXD022011-sample-25	Homo sapiens	Platelet	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run25	1	qExHF01_09210.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD022011/qExHF01_09210.raw	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	27% NCE	10 ppm	0.02 Da	Platelet
PXD022011-sample-26	Homo sapiens	Platelet	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run26	1	qExHF01_09211.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD022011/qExHF01_09211.raw	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	27% NCE	10 ppm	0.02 Da	Platelet
PXD022011-sample-27	Homo sapiens	Platelet	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run27	1	qExHF01_09212.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD022011/qExHF01_09212.raw	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	27% NCE	10 ppm	0.02 Da	Platelet
PXD022011-sample-28	Homo sapiens	Platelet	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run28	1	qExHF01_09213.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD022011/qExHF01_09213.raw	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	27% NCE	10 ppm	0.02 Da	Platelet
PXD022011-sample-29	Homo sapiens	Platelet	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run29	1	qExHF01_09214.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD022011/qExHF01_09214.raw	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	27% NCE	10 ppm	0.02 Da	Platelet
PXD022011-sample-30	Homo sapiens	Platelet	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run30	1	qExHF01_09215.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD022011/qExHF01_09215.raw	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	27% NCE	10 ppm	0.02 Da	Platelet
