source name	characteristics[organism]	characteristics[organism part]	characteristics[organism part]	characteristics[age]	characteristics[sex]	characteristics[cell type]	characteristics[developmental stage]	characteristics[ancestry category]	characteristics[disease]	characteristics[individual]	characteristics[biological replicate]	Material Type	assay name	Technology Type	comment[label]	comment[file uri]	comment[instrument]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD005736-Sample-1	Homo sapiens	heart	cardiomyocytes	not available	not available	not available	not available	not available	not available	not available	1	tissue	run 28	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	http://ftp.ebi.ac.uk/pride-archive/2017/11/PXD005736/20160906_QEplus_BenP_3DMyoBundle_CandMM_F8.raw	NT=Q Exactive;AC=MS:1001911	8	1	20160906_QEplus_BenP_3DMyoBundle_CandMM_F8.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	30 ppm	0.05 Da	heart
PXD005736-Sample-1	Homo sapiens	heart	cardiomyocytes	not available	not available	not available	not available	not available	not available	not available	1	tissue	run 29	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	http://ftp.ebi.ac.uk/pride-archive/2017/11/PXD005736/20160906_QEplus_BenP_3DMyoBundle_CandMM_F9.raw	NT=Q Exactive;AC=MS:1001911	9	1	20160906_QEplus_BenP_3DMyoBundle_CandMM_F9.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	30 ppm	0.05 Da	heart
PXD005736-Sample-2	Homo sapiens	heart	cardiomyocytes	not available	not available	not available	not available	not available	not available	not available	2	tissue	run 30	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	http://ftp.ebi.ac.uk/pride-archive/2017/11/PXD005736/20160906_QEplus_BenP_cardiac_F1.raw	NT=Q Exactive;AC=MS:1001911	1	1	20160906_QEplus_BenP_cardiac_F1.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	30 ppm	0.05 Da	heart
PXD005736-Sample-2	Homo sapiens	heart	cardiomyocytes	not available	not available	not available	not available	not available	not available	not available	2	tissue	run 31	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	http://ftp.ebi.ac.uk/pride-archive/2017/11/PXD005736/20160906_QEplus_BenP_cardiac_F10.raw	NT=Q Exactive;AC=MS:1001911	10	1	20160906_QEplus_BenP_cardiac_F10.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	30 ppm	0.05 Da	heart
PXD005736-Sample-2	Homo sapiens	heart	cardiomyocytes	not available	not available	not available	not available	not available	not available	not available	2	tissue	run 32	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	http://ftp.ebi.ac.uk/pride-archive/2017/11/PXD005736/20160906_QEplus_BenP_cardiac_F11.raw	NT=Q Exactive;AC=MS:1001911	11	1	20160906_QEplus_BenP_cardiac_F11.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	30 ppm	0.05 Da	heart
PXD005736-Sample-2	Homo sapiens	heart	cardiomyocytes	not available	not available	not available	not available	not available	not available	not available	2	tissue	run 33	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	http://ftp.ebi.ac.uk/pride-archive/2017/11/PXD005736/20160906_QEplus_BenP_cardiac_F12.raw	NT=Q Exactive;AC=MS:1001911	12	1	20160906_QEplus_BenP_cardiac_F12.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	30 ppm	0.05 Da	heart
PXD005736-Sample-2	Homo sapiens	heart	cardiomyocytes	not available	not available	not available	not available	not available	not available	not available	2	tissue	run 34	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	http://ftp.ebi.ac.uk/pride-archive/2017/11/PXD005736/20160906_QEplus_BenP_cardiac_F2.raw	NT=Q Exactive;AC=MS:1001911	2	1	20160906_QEplus_BenP_cardiac_F2.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	30 ppm	0.05 Da	heart
PXD005736-Sample-2	Homo sapiens	heart	cardiomyocytes	not available	not available	not available	not available	not available	not available	not available	2	tissue	run 35	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	http://ftp.ebi.ac.uk/pride-archive/2017/11/PXD005736/20160906_QEplus_BenP_cardiac_F3.raw	NT=Q Exactive;AC=MS:1001911	3	1	20160906_QEplus_BenP_cardiac_F3.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	30 ppm	0.05 Da	heart
PXD005736-Sample-2	Homo sapiens	heart	cardiomyocytes	not available	not available	not available	not available	not available	not available	not available	2	tissue	run 36	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	http://ftp.ebi.ac.uk/pride-archive/2017/11/PXD005736/20160906_QEplus_BenP_cardiac_F4.raw	NT=Q Exactive;AC=MS:1001911	4	1	20160906_QEplus_BenP_cardiac_F4.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	30 ppm	0.05 Da	heart
PXD005736-Sample-2	Homo sapiens	heart	cardiomyocytes	not available	not available	not available	not available	not available	not available	not available	2	tissue	run 37	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	http://ftp.ebi.ac.uk/pride-archive/2017/11/PXD005736/20160906_QEplus_BenP_cardiac_F5.raw	NT=Q Exactive;AC=MS:1001911	5	1	20160906_QEplus_BenP_cardiac_F5.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	30 ppm	0.05 Da	heart
PXD005736-Sample-2	Homo sapiens	heart	cardiomyocytes	not available	not available	not available	not available	not available	not available	not available	2	tissue	run 38	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	http://ftp.ebi.ac.uk/pride-archive/2017/11/PXD005736/20160906_QEplus_BenP_cardiac_F6.raw	NT=Q Exactive;AC=MS:1001911	6	1	20160906_QEplus_BenP_cardiac_F6.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	30 ppm	0.05 Da	heart
PXD005736-Sample-2	Homo sapiens	heart	cardiomyocytes	not available	not available	not available	not available	not available	not available	not available	2	tissue	run 39	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	http://ftp.ebi.ac.uk/pride-archive/2017/11/PXD005736/20160906_QEplus_BenP_cardiac_F7.raw	NT=Q Exactive;AC=MS:1001911	7	1	20160906_QEplus_BenP_cardiac_F7.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	30 ppm	0.05 Da	heart
PXD005736-Sample-2	Homo sapiens	heart	cardiomyocytes	not available	not available	not available	not available	not available	not available	not available	2	tissue	run 40	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	http://ftp.ebi.ac.uk/pride-archive/2017/11/PXD005736/20160906_QEplus_BenP_cardiac_F8.raw	NT=Q Exactive;AC=MS:1001911	8	1	20160906_QEplus_BenP_cardiac_F8.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	30 ppm	0.05 Da	heart
PXD005736-Sample-2	Homo sapiens	heart	cardiomyocytes	not available	not available	not available	not available	not available	not available	not available	2	tissue	run 41	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	http://ftp.ebi.ac.uk/pride-archive/2017/11/PXD005736/20160906_QEplus_BenP_cardiac_F9.raw	NT=Q Exactive;AC=MS:1001911	9	1	20160906_QEplus_BenP_cardiac_F9.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	30 ppm	0.05 Da	heart
