source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[disease]	characteristics[biological replicate]	characteristics[depletion]	assay name	Technology Type	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[proteomics data acquisition method]	comment[label]	comment[technical replicate]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD009348-Sample-1	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	1	depletion	run 11	proteomic profiling by mass spectrometer	20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD009348/20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc11.raw	11	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=variable	7 ppm	20 ppm	Blood Plasma
PXD009348-Sample-1	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	1	depletion	run 12	proteomic profiling by mass spectrometer	20161008_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD009348/20161008_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc12.raw	12	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=variable	7 ppm	20 ppm	Blood Plasma
PXD009348-Sample-1	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	1	depletion	run 13	proteomic profiling by mass spectrometer	20161008_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc13.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD009348/20161008_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc13.raw	13	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=variable	7 ppm	20 ppm	Blood Plasma
PXD009348-Sample-1	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	1	depletion	run 14	proteomic profiling by mass spectrometer	20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc14.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD009348/20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc14.raw	14	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=variable	7 ppm	20 ppm	Blood Plasma
PXD009348-Sample-1	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	1	depletion	run 15	proteomic profiling by mass spectrometer	20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc15.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD009348/20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc15.raw	15	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=variable	7 ppm	20 ppm	Blood Plasma
PXD009348-Sample-1	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	1	depletion	run 16	proteomic profiling by mass spectrometer	20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc16.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD009348/20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc16.raw	16	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=variable	7 ppm	20 ppm	Blood Plasma
PXD009348-Sample-1	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	1	depletion	run 17	proteomic profiling by mass spectrometer	20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc17.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD009348/20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc17.raw	17	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=variable	7 ppm	20 ppm	Blood Plasma
PXD009348-Sample-1	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	1	depletion	run 18	proteomic profiling by mass spectrometer	20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc18.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD009348/20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc18.raw	18	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=variable	7 ppm	20 ppm	Blood Plasma
PXD009348-Sample-1	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	1	depletion	run 19	proteomic profiling by mass spectrometer	20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc19.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD009348/20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc19.raw	19	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=variable	7 ppm	20 ppm	Blood Plasma
PXD009348-Sample-1	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	1	depletion	run 20	proteomic profiling by mass spectrometer	20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc20.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD009348/20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc20.raw	20	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=variable	7 ppm	20 ppm	Blood Plasma
PXD009348-Sample-1	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	1	depletion	run 21	proteomic profiling by mass spectrometer	20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc21.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD009348/20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc21.raw	21	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=variable	7 ppm	20 ppm	Blood Plasma
PXD009348-Sample-1	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	1	depletion	run 22	proteomic profiling by mass spectrometer	20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc22.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD009348/20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc22.raw	22	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=variable	7 ppm	20 ppm	Blood Plasma
PXD009348-Sample-1	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	1	depletion	run 23	proteomic profiling by mass spectrometer	20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc23.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD009348/20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc23.raw	23	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=variable	7 ppm	20 ppm	Blood Plasma
PXD009348-Sample-1	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	1	depletion	run 24	proteomic profiling by mass spectrometer	20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc24.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD009348/20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Library1_24Frc_Frc24.raw	24	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=variable	7 ppm	20 ppm	Blood Plasma
PXD009348-Sample-2	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	1	depletion	run 25	proteomic profiling by mass spectrometer	20161006_QEp2_PhGe_SA_LC12-14_Top6Top14Depl_Library3_24Frac_Frac1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD009348/20161006_QEp2_PhGe_SA_LC12-14_Top6Top14Depl_Library3_24Frac_Frac1.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=variable	7 ppm	20 ppm	Blood Plasma
PXD009348-Sample-2	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	1	depletion	run 26	proteomic profiling by mass spectrometer	20161006_QEp2_PhGe_SA_LC12-14_Top6Top14Depl_Library3_24Frac_Frac2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD009348/20161006_QEp2_PhGe_SA_LC12-14_Top6Top14Depl_Library3_24Frac_Frac2.raw	2	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=variable	7 ppm	20 ppm	Blood Plasma
PXD009348-Sample-2	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	1	depletion	run 27	proteomic profiling by mass spectrometer	20161006_QEp2_PhGe_SA_LC12-14_Top6Top14Depl_Library3_24Frac_Frac3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD009348/20161006_QEp2_PhGe_SA_LC12-14_Top6Top14Depl_Library3_24Frac_Frac3.raw	3	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=variable	7 ppm	20 ppm	Blood Plasma
PXD009348-Sample-2	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	1	depletion	run 28	proteomic profiling by mass spectrometer	20161006_QEp2_PhGe_SA_LC12-14_Top6Top14Depl_Library3_24Frac_Frac4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD009348/20161006_QEp2_PhGe_SA_LC12-14_Top6Top14Depl_Library3_24Frac_Frac4.raw	4	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=variable	7 ppm	20 ppm	Blood Plasma
PXD009348-Sample-2	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	1	depletion	run 29	proteomic profiling by mass spectrometer	20161006_QEp2_PhGe_SA_LC12-14_Top6Top14Depl_Library3_24Frac_Frac5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD009348/20161006_QEp2_PhGe_SA_LC12-14_Top6Top14Depl_Library3_24Frac_Frac5.raw	5	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=variable	7 ppm	20 ppm	Blood Plasma
PXD009348-Sample-2	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	1	depletion	run 30	proteomic profiling by mass spectrometer	20161006_QEp2_PhGe_SA_LC12-14_Top6Top14Depl_Library3_24Frac_Frac6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD009348/20161006_QEp2_PhGe_SA_LC12-14_Top6Top14Depl_Library3_24Frac_Frac6.raw	6	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=variable	7 ppm	20 ppm	Blood Plasma
PXD009348-Sample-2	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	1	depletion	run 31	proteomic profiling by mass spectrometer	20161006_QEp2_PhGe_SA_LC12-14_Top6Top14Depl_Library3_24Frac_Frac7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD009348/20161006_QEp2_PhGe_SA_LC12-14_Top6Top14Depl_Library3_24Frac_Frac7.raw	7	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=variable	7 ppm	20 ppm	Blood Plasma
