source name	characteristics[organism]	characteristics[organism part]	characteristics[individual]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[disease]	characteristics[depletion]	characteristics[biological replicate]	characteristics[sampling time]	assay name	Technology type	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[technical replicate]	comment[cleavage agent details]	comment[MS2 mass analyzer]	comment[instrument]	comment[modification parameter]	comment[modification parameter]	comment[modification parameter]	comment[dissociation method]	comment[proteomics data acquisition method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD037340-Sample-4	Homo sapiens	blood plasma	4	not applicable	not available	not available	not available	not available	Normal	non depleted	4	not applicable	20220507_EXPL2_Evo7_OOE_DIA21min_InS_M_01_0500uL_b_020	proteomic profiling by mass spectrometer	20220507_EXPL2_Evo7_OOE_DIA21min_InS_M_01_0500uL_b_020.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD037340/20220507_EXPL2_Evo7_OOE_DIA21min_InS_M_01_0500uL_b_020	1	AC=MS:1002038;NT=label free sample	2	NT=Trypsin; AC=MS:1001251	MS:1003094; NT=Orbitrap Exploris 240	MS:1003094; NT=Orbitrap Exploris 240	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	NT=Data-Independent Acquisition;AC=PRIDE:0000450	27 NCE	20 ppm	0.02 Da	blood plasma
PXD037340-Sample-4	Homo sapiens	blood plasma	4	not applicable	not available	not available	not available	not available	Normal	non depleted	4	not applicable	20220507_EXPL2_Evo7_OOE_DIA21min_InS_M_01_0500uL_c_036	proteomic profiling by mass spectrometer	20220507_EXPL2_Evo7_OOE_DIA21min_InS_M_01_0500uL_c_036.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD037340/20220507_EXPL2_Evo7_OOE_DIA21min_InS_M_01_0500uL_c_036	1	AC=MS:1002038;NT=label free sample	3	NT=Trypsin; AC=MS:1001251	MS:1003094; NT=Orbitrap Exploris 240	MS:1003094; NT=Orbitrap Exploris 240	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	NT=Data-Independent Acquisition;AC=PRIDE:0000450	27 NCE	20 ppm	0.02 Da	blood plasma
PXD037340-Sample-5	Homo sapiens	blood plasma	5	not applicable	not available	not available	not available	not available	Normal	non depleted	5	not applicable	20220507_EXPL2_Evo7_OOE_DIA21min_InS_M_02_0500uL_a_009	proteomic profiling by mass spectrometer	20220507_EXPL2_Evo7_OOE_DIA21min_InS_M_02_0500uL_a_009.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD037340/20220507_EXPL2_Evo7_OOE_DIA21min_InS_M_02_0500uL_a_009	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251	MS:1003094; NT=Orbitrap Exploris 240	MS:1003094; NT=Orbitrap Exploris 240	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	NT=Data-Independent Acquisition;AC=PRIDE:0000450	27 NCE	20 ppm	0.02 Da	blood plasma
PXD037340-Sample-5	Homo sapiens	blood plasma	5	not applicable	not available	not available	not available	not available	Normal	non depleted	5	not applicable	20220507_EXPL2_Evo7_OOE_DIA21min_InS_M_02_0500uL_b_025	proteomic profiling by mass spectrometer	20220507_EXPL2_Evo7_OOE_DIA21min_InS_M_02_0500uL_b_025.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD037340/20220507_EXPL2_Evo7_OOE_DIA21min_InS_M_02_0500uL_b_025	1	AC=MS:1002038;NT=label free sample	2	NT=Trypsin; AC=MS:1001251	MS:1003094; NT=Orbitrap Exploris 240	MS:1003094; NT=Orbitrap Exploris 240	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	NT=Data-Independent Acquisition;AC=PRIDE:0000450	27 NCE	20 ppm	0.02 Da	blood plasma
PXD037340-Sample-5	Homo sapiens	blood plasma	5	not applicable	not available	not available	not available	not available	Normal	non depleted	5	not applicable	20220507_EXPL2_Evo7_OOE_DIA21min_InS_M_02_0500uL_c_041	proteomic profiling by mass spectrometer	20220507_EXPL2_Evo7_OOE_DIA21min_InS_M_02_0500uL_c_041.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD037340/20220507_EXPL2_Evo7_OOE_DIA21min_InS_M_02_0500uL_c_041	1	AC=MS:1002038;NT=label free sample	3	NT=Trypsin; AC=MS:1001251	MS:1003094; NT=Orbitrap Exploris 240	MS:1003094; NT=Orbitrap Exploris 240	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	NT=Data-Independent Acquisition;AC=PRIDE:0000450	27 NCE	20 ppm	0.02 Da	blood plasma
PXD037340-Sample-6	Homo sapiens	blood plasma	6	not applicable	not available	not available	not available	not available	Normal	non depleted	6	not applicable	20220507_EXPL2_Evo7_OOE_DIA21min_InS_M_03_0500uL_a_014	proteomic profiling by mass spectrometer	20220507_EXPL2_Evo7_OOE_DIA21min_InS_M_03_0500uL_a_014.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD037340/20220507_EXPL2_Evo7_OOE_DIA21min_InS_M_03_0500uL_a_014	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251	MS:1003094; NT=Orbitrap Exploris 240	MS:1003094; NT=Orbitrap Exploris 240	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	NT=Data-Independent Acquisition;AC=PRIDE:0000450	27 NCE	20 ppm	0.02 Da	blood plasma
PXD037340-Sample-6	Homo sapiens	blood plasma	6	not applicable	not available	not available	not available	not available	Normal	non depleted	6	not applicable	20220507_EXPL2_Evo7_OOE_DIA21min_InS_M_03_0500uL_b_030	proteomic profiling by mass spectrometer	20220507_EXPL2_Evo7_OOE_DIA21min_InS_M_03_0500uL_b_030.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD037340/20220507_EXPL2_Evo7_OOE_DIA21min_InS_M_03_0500uL_b_030	1	AC=MS:1002038;NT=label free sample	2	NT=Trypsin; AC=MS:1001251	MS:1003094; NT=Orbitrap Exploris 240	MS:1003094; NT=Orbitrap Exploris 240	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	NT=Data-Independent Acquisition;AC=PRIDE:0000450	27 NCE	20 ppm	0.02 Da	blood plasma
PXD037340-Sample-6	Homo sapiens	blood plasma	6	not applicable	not available	not available	not available	not available	Normal	non depleted	6	not applicable	20220507_EXPL2_Evo7_OOE_DIA21min_InS_M_03_0500uL_c_046	proteomic profiling by mass spectrometer	20220507_EXPL2_Evo7_OOE_DIA21min_InS_M_03_0500uL_c_046.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD037340/20220507_EXPL2_Evo7_OOE_DIA21min_InS_M_03_0500uL_c_046	1	AC=MS:1002038;NT=label free sample	3	NT=Trypsin; AC=MS:1001251	MS:1003094; NT=Orbitrap Exploris 240	MS:1003094; NT=Orbitrap Exploris 240	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	NT=Data-Independent Acquisition;AC=PRIDE:0000450	27 NCE	20 ppm	0.02 Da	blood plasma
PXD037340-Sample-7	Homo sapiens	blood plasma	7	not applicable	not available	not available	not available	not available	Normal	non depleted	7	not applicable	20220508_EXPL2_Evo7_OOE_DIA21min_Dir_R_01_5uL_a_001	proteomic profiling by mass spectrometer	20220508_EXPL2_Evo7_OOE_DIA21min_Dir_R_01_5uL_a_001.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD037340/20220508_EXPL2_Evo7_OOE_DIA21min_Dir_R_01_5uL_a_001	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251	MS:1003094; NT=Orbitrap Exploris 240	MS:1003094; NT=Orbitrap Exploris 240	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	NT=Data-Independent Acquisition;AC=PRIDE:0000450	27 NCE	20 ppm	0.02 Da	blood plasma
PXD037340-Sample-7	Homo sapiens	blood plasma	7	not applicable	not available	not available	not available	not available	Normal	non depleted	7	not applicable	20220508_EXPL2_Evo7_OOE_DIA21min_Dir_R_01_5uL_b_011	proteomic profiling by mass spectrometer	20220508_EXPL2_Evo7_OOE_DIA21min_Dir_R_01_5uL_b_011.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD037340/20220508_EXPL2_Evo7_OOE_DIA21min_Dir_R_01_5uL_b_011	1	AC=MS:1002038;NT=label free sample	2	NT=Trypsin; AC=MS:1001251	MS:1003094; NT=Orbitrap Exploris 240	MS:1003094; NT=Orbitrap Exploris 240	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	NT=Data-Independent Acquisition;AC=PRIDE:0000450	27 NCE	20 ppm	0.02 Da	blood plasma
PXD037340-Sample-7	Homo sapiens	blood plasma	7	not applicable	not available	not available	not available	not available	Normal	non depleted	7	not applicable	20220508_EXPL2_Evo7_OOE_DIA21min_Dir_R_01_5uL_c_021	proteomic profiling by mass spectrometer	20220508_EXPL2_Evo7_OOE_DIA21min_Dir_R_01_5uL_c_021.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD037340/20220508_EXPL2_Evo7_OOE_DIA21min_Dir_R_01_5uL_c_021	1	AC=MS:1002038;NT=label free sample	3	NT=Trypsin; AC=MS:1001251	MS:1003094; NT=Orbitrap Exploris 240	MS:1003094; NT=Orbitrap Exploris 240	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	NT=Data-Independent Acquisition;AC=PRIDE:0000450	27 NCE	20 ppm	0.02 Da	blood plasma
PXD037340-Sample-8	Homo sapiens	blood plasma	8	not applicable	not available	not available	not available	not available	Normal	non depleted	8	not applicable	20220508_EXPL2_Evo7_OOE_DIA21min_Dir_R_02_5uL_a_004	proteomic profiling by mass spectrometer	20220508_EXPL2_Evo7_OOE_DIA21min_Dir_R_02_5uL_a_004.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD037340/20220508_EXPL2_Evo7_OOE_DIA21min_Dir_R_02_5uL_a_004	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251	MS:1003094; NT=Orbitrap Exploris 240	MS:1003094; NT=Orbitrap Exploris 240	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	NT=Data-Independent Acquisition;AC=PRIDE:0000450	27 NCE	20 ppm	0.02 Da	blood plasma
PXD037340-Sample-8	Homo sapiens	blood plasma	8	not applicable	not available	not available	not available	not available	Normal	non depleted	8	not applicable	20220508_EXPL2_Evo7_OOE_DIA21min_Dir_R_02_5uL_b_014	proteomic profiling by mass spectrometer	20220508_EXPL2_Evo7_OOE_DIA21min_Dir_R_02_5uL_b_014.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD037340/20220508_EXPL2_Evo7_OOE_DIA21min_Dir_R_02_5uL_b_014	1	AC=MS:1002038;NT=label free sample	2	NT=Trypsin; AC=MS:1001251	MS:1003094; NT=Orbitrap Exploris 240	MS:1003094; NT=Orbitrap Exploris 240	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	NT=Data-Independent Acquisition;AC=PRIDE:0000450	27 NCE	20 ppm	0.02 Da	blood plasma
PXD037340-Sample-8	Homo sapiens	blood plasma	8	not applicable	not available	not available	not available	not available	Normal	non depleted	8	not applicable	20220508_EXPL2_Evo7_OOE_DIA21min_Dir_R_02_5uL_c_024	proteomic profiling by mass spectrometer	20220508_EXPL2_Evo7_OOE_DIA21min_Dir_R_02_5uL_c_024.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD037340/20220508_EXPL2_Evo7_OOE_DIA21min_Dir_R_02_5uL_c_024	1	AC=MS:1002038;NT=label free sample	3	NT=Trypsin; AC=MS:1001251	MS:1003094; NT=Orbitrap Exploris 240	MS:1003094; NT=Orbitrap Exploris 240	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	NT=Data-Independent Acquisition;AC=PRIDE:0000450	27 NCE	20 ppm	0.02 Da	blood plasma
PXD037340-Sample-9	Homo sapiens	blood plasma	9	not applicable	not available	not available	not available	not available	Normal	non depleted	9	not applicable	20220508_EXPL2_Evo7_OOE_DIA21min_Dir_R_03_5uL_a_007	proteomic profiling by mass spectrometer	20220508_EXPL2_Evo7_OOE_DIA21min_Dir_R_03_5uL_a_007.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD037340/20220508_EXPL2_Evo7_OOE_DIA21min_Dir_R_03_5uL_a_007	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251	MS:1003094; NT=Orbitrap Exploris 240	MS:1003094; NT=Orbitrap Exploris 240	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	NT=Data-Independent Acquisition;AC=PRIDE:0000450	27 NCE	20 ppm	0.02 Da	blood plasma
PXD037340-Sample-9	Homo sapiens	blood plasma	9	not applicable	not available	not available	not available	not available	Normal	non depleted	9	not applicable	20220508_EXPL2_Evo7_OOE_DIA21min_Dir_R_03_5uL_b_017	proteomic profiling by mass spectrometer	20220508_EXPL2_Evo7_OOE_DIA21min_Dir_R_03_5uL_b_017.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD037340/20220508_EXPL2_Evo7_OOE_DIA21min_Dir_R_03_5uL_b_017	1	AC=MS:1002038;NT=label free sample	2	NT=Trypsin; AC=MS:1001251	MS:1003094; NT=Orbitrap Exploris 240	MS:1003094; NT=Orbitrap Exploris 240	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	NT=Data-Independent Acquisition;AC=PRIDE:0000450	27 NCE	20 ppm	0.02 Da	blood plasma
PXD037340-Sample-9	Homo sapiens	blood plasma	9	not applicable	not available	not available	not available	not available	Normal	non depleted	9	not applicable	20220508_EXPL2_Evo7_OOE_DIA21min_Dir_R_03_5uL_c_027	proteomic profiling by mass spectrometer	20220508_EXPL2_Evo7_OOE_DIA21min_Dir_R_03_5uL_c_027.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD037340/20220508_EXPL2_Evo7_OOE_DIA21min_Dir_R_03_5uL_c_027	1	AC=MS:1002038;NT=label free sample	3	NT=Trypsin; AC=MS:1001251	MS:1003094; NT=Orbitrap Exploris 240	MS:1003094; NT=Orbitrap Exploris 240	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	NT=Data-Independent Acquisition;AC=PRIDE:0000450	27 NCE	20 ppm	0.02 Da	blood plasma
