source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[developmental stage]	characteristics[cell line]	characteristics[cell type]	characteristics[sex]	characteristics[disease]	characteristics[phenotype]	characteristics[batch]	characteristics[biological replicate]	characteristics[individual]	Material Type	assay name	technology type	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	characteristics[phenotype]
PXD000672-Sample-11	Homo sapiens	kidney	not available	not available	not applicable	not applicable	not applicable	renal cell carcinoma	normal	normal_ccRCC	6		tissue	run 11	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	guot_L130410_011_SW.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/02/PXD000672/guot_L130410_011_SW.wiff	1	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	5 ppm	0.1 Da	normal
PXD000672-Sample-12	Homo sapiens	kidney	not available	not available	not applicable	not applicable	not applicable	renal cell carcinoma	tumor	ccRCC	6		tissue	run 12	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	guot_L130410_012_SW.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/02/PXD000672/guot_L130410_012_SW.wiff	1	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	5 ppm	0.1 Da	tumor
PXD000672-Sample-13	Homo sapiens	kidney	not available	not available	not applicable	not applicable	not applicable	renal cell carcinoma	normal	normal_ccRCC	7		tissue	run 13	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	guot_L130410_013_SW.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/02/PXD000672/guot_L130410_013_SW.wiff	1	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	5 ppm	0.1 Da	normal
PXD000672-Sample-14	Homo sapiens	kidney	not available	not available	not applicable	not applicable	not applicable	renal cell carcinoma	tumor	ccRCC	7		tissue	run 14	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	guot_L130410_014_SW.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/02/PXD000672/guot_L130410_014_SW.wiff	1	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	5 ppm	0.1 Da	tumor
PXD000672-Sample-15	Homo sapiens	kidney	not available	not available	not applicable	not applicable	not applicable	renal cell carcinoma	normal	normal_ccRCC	8		tissue	run 15	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	guot_L130410_015_SW.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/02/PXD000672/guot_L130410_015_SW.wiff	1	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	5 ppm	0.1 Da	normal
PXD000672-Sample-16	Homo sapiens	kidney	not available	not available	not applicable	not applicable	not applicable	renal cell carcinoma	tumor	ccRCC	8		tissue	run 16	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	guot_L130410_016_SW.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/02/PXD000672/guot_L130410_016_SW.wiff	1	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	5 ppm	0.1 Da	tumor
PXD000672-Sample-17	Homo sapiens	kidney	not available	not available	not applicable	not applicable	not applicable	renal cell carcinoma	normal	normal_pRCC	9		tissue	run 17	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	guot_L130410_017_SW.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/02/PXD000672/guot_L130410_017_SW.wiff	1	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	5 ppm	0.1 Da	normal
PXD000672-Sample-18	Homo sapiens	kidney	not available	not available	not applicable	not applicable	not applicable	renal cell carcinoma	tumor	pRCC	9		tissue	run 18	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	guot_L130410_018_SW.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/02/PXD000672/guot_L130410_018_SW.wiff	1	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	5 ppm	0.1 Da	tumor
PXD000672-Sample-19	Homo sapiens	kidney	not available	not available	not applicable	not applicable	not applicable	renal cell carcinoma	normal	normal_ccRCC	1		tissue	run 19	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	guot_L130410_019_SW.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/02/PXD000672/guot_L130410_019_SW.wiff	1	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	5 ppm	0.1 Da	normal
PXD000672-Sample-20	Homo sapiens	kidney	not available	not available	not applicable	not applicable	not applicable	renal cell carcinoma	tumor	ccRCC	1		tissue	run 20	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	guot_L130410_020_SW.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/02/PXD000672/guot_L130410_020_SW.wiff	1	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	5 ppm	0.1 Da	tumor
PXD000672-Sample-21	Homo sapiens	kidney	not available	not available	not applicable	not applicable	not applicable	renal cell carcinoma	normal	normal_ccRCC	2		tissue	run 21	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	guot_L130410_021_SW.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/02/PXD000672/guot_L130410_021_SW.wiff	1	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	5 ppm	0.1 Da	normal
PXD000672-Sample-22	Homo sapiens	kidney	not available	not available	not applicable	not applicable	not applicable	renal cell carcinoma	tumor	ccRCC	2		tissue	run 22	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	guot_L130410_022_SW.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/02/PXD000672/guot_L130410_022_SW.wiff	1	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	5 ppm	0.1 Da	tumor
PXD000672-Sample-23	Homo sapiens	kidney	not available	not available	not applicable	not applicable	not applicable	renal cell carcinoma	normal	normal_ccRCC	3		tissue	run 23	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	guot_L130410_023_SW.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/02/PXD000672/guot_L130410_023_SW.wiff	1	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	5 ppm	0.1 Da	normal
PXD000672-Sample-24	Homo sapiens	kidney	not available	not available	not applicable	not applicable	not applicable	renal cell carcinoma	tumor	ccRCC	3		tissue	run 24	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	guot_L130410_024b_SW.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/02/PXD000672/guot_L130410_024b_SW.wiff	1	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	5 ppm	0.1 Da	tumor
PXD000672-Sample-25	Homo sapiens	kidney	not available	not available	not applicable	not applicable	not applicable	renal cell carcinoma	normal	normal_pRCC	4		tissue	run 25	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	guot_L130410_025c_SW.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/02/PXD000672/guot_L130410_025c_SW.wiff	1	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	5 ppm	0.1 Da	normal
PXD000672-Sample-26	Homo sapiens	kidney	not available	not available	not applicable	not applicable	not applicable	renal cell carcinoma	tumor	pRCC	4		tissue	run 26	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	guot_L130410_026_SW.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/02/PXD000672/guot_L130410_026_SW.wiff	1	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	5 ppm	0.1 Da	tumor
PXD000672-Sample-27	Homo sapiens	kidney	not available	not available	not applicable	not applicable	not applicable	renal cell carcinoma	normal	normal_chRCC	5		tissue	run 27	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	guot_L130410_027_SW.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/02/PXD000672/guot_L130410_027_SW.wiff	1	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	5 ppm	0.1 Da	normal
PXD000672-Sample-28	Homo sapiens	kidney	not available	not available	not applicable	not applicable	not applicable	renal cell carcinoma	tumor	chRCC	5		tissue	run 28	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	guot_L130410_028_SW.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/02/PXD000672/guot_L130410_028_SW.wiff	1	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	5 ppm	0.1 Da	tumor
PXD000672-Sample-29	Homo sapiens	kidney	not available	not available	not applicable	not applicable	not applicable	renal cell carcinoma	normal	normal_ccRCC	6		tissue	run 29	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	guot_L130410_029_SW.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/02/PXD000672/guot_L130410_029_SW.wiff	1	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	5 ppm	0.1 Da	normal
PXD000672-Sample-30	Homo sapiens	kidney	not available	not available	not applicable	not applicable	not applicable	renal cell carcinoma	tumor	ccRCC	6		tissue	run 30	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	guot_L130410_030_SW.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/02/PXD000672/guot_L130410_030_SW.wiff	1	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	5 ppm	0.1 Da	tumor
PXD000672-Sample-31	Homo sapiens	kidney	not available	not available	not applicable	not applicable	not applicable	renal cell carcinoma	normal	normal_ccRCC	7		tissue	run 31	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	guot_L130410_031_SW.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/02/PXD000672/guot_L130410_031_SW.wiff	1	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	5 ppm	0.1 Da	normal
PXD000672-Sample-32	Homo sapiens	kidney	not available	not available	not applicable	not applicable	not applicable	renal cell carcinoma	tumor	ccRCC	7		tissue	run 32	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	guot_L130410_032_SW.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/02/PXD000672/guot_L130410_032_SW.wiff	1	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin 	5 ppm	0.1 Da	tumor
PXD000672-Sample-33	Homo sapiens	kidney	not available	not available	not applicable	not applicable	not applicable	renal cell carcinoma	normal	normal_ccRCC	8		tissue	run 33	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	guot_L130410_033_SW.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/02/PXD000672/guot_L130410_033_SW.wiff	1	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	5 ppm	0.1 Da	normal
PXD000672-Sample-34	Homo sapiens	kidney	not available	not available	not applicable	not applicable	not applicable	renal cell carcinoma	tumor	ccRCC	8		tissue	run 34	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	guot_L130410_034_SW.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/02/PXD000672/guot_L130410_034_SW.wiff	1	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	5 ppm	0.1 Da	tumor
PXD000672-Sample-35	Homo sapiens	kidney	not available	not available	not applicable	not applicable	not applicable	renal cell carcinoma	normal	normal_pRCC	9		tissue	run 35	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	guot_L130410_035_SW.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/02/PXD000672/guot_L130410_035_SW.wiff	1	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	5 ppm	0.1 Da	normal
PXD000672-Sample-36	Homo sapiens	kidney	not available	not available	not applicable	not applicable	not applicable	renal cell carcinoma	tumor	pRCC	9		tissue	run 36	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	guot_L130410_036_SW.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/02/PXD000672/guot_L130410_036_SW.wiff	1	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	5 ppm	0.1 Da	tumor
