Modification	Mass Shift	dataset01_PSMs	dataset01_percent_PSMs
Tyrosine oxidation to 2-aminotyrosine/Conversion of carboxylic acid to hydroxamic acid	15.010899	62	0.0260
Carbamylation	43.005814	60	0.0250
C13 label (Phosphotyrosine)	88.996524	57	0.0240
Hexose	162.052824	55	0.0230
Unannotated mass-shift -128.0406	-128.0406	49	0.0210
Unannotated mass-shift -30.0474	-30.0474	47	0.0200
ISD a-series (C-Term)	-46.005479	47	0.0200
Azidophenylalanine	41.001397	46	0.0190
Unannotated mass-shift -9.0356	-9.0356	46	0.0190
di-Methylation/Acetaldehyde +28/Ethylation	28.0313	46	0.0190
Methionine oxidation to aspartic semialdehyde	-32.008456	46	0.0190
Unannotated mass-shift -3.9362	-3.9362	44	0.0190
Unannotated mass-shift -48.1124	-48.1124	43	0.0180
Formylation	27.994915	40	0.0170
Carbamidomethylated DTT modification of cysteine	209.018035	39	0.0160
cysteine oxidation to cysteic acid	47.984744	39	0.0160
Unannotated mass-shift 56.8582	56.8582	29	0.0120
Replacement of 3 protons by iron	52.911464	26	0.0110
Unannotated mass-shift -0.3270	-0.327	24	0.0100
Unannotated mass-shift -91.0098	-91.0098	24	0.0100
Unannotated mass-shift 467.1366	467.1366	24	0.0100
Deamidation followed by a methylation	14.999666	23	0.0100
Acrylamide adduct/Addition of A	71.037114	23	0.0100
Unannotated mass-shift -83.0580	-83.058	23	0.0100
Unannotated mass-shift 400.1580	400.158	22	0.0100
Loss of O2; nitro photochemical decomposition	12.995249	21	0.0090
di-Iodination	251.793296	21	0.0090
Deletion of I/Deletion of L	-113.08406066894531	21	0.0090
Unannotated mass-shift 300.1408	300.1408	20	0.0080
nitrosylation	28.990164	20	0.0080
Methionine replacement by azido homoalanine	-4.986324	18	0.0080
Cleavage product of EGS protein crosslinks by hydroylamine treatment/Addition of D	115.026943	17	0.0070
Unannotated mass-shift 230.0718	230.0718	17	0.0070
Unannotated mass-shift 209.1738	209.1738	16	0.0070
cyano	24.995249	15	0.0060
Unannotated mass-shift 491.2132	491.2132	15	0.0060
Gluconoylation	178.047738	15	0.0060
Unannotated mass-shift -116.0596	-116.0596	15	0.0060
Unannotated mass-shift 50.0808	50.0808	15	0.0060
Unannotated mass-shift 469.1638	469.1638	15	0.0060
Unannotated mass-shift 2.5442	2.5442	15	0.0060
Unannotated mass-shift 242.1826	242.1826	14	0.0060
oxoalanine	-17.992806	14	0.0060
Unannotated mass-shift 2.5696	2.5696	14	0.0060
Unannotated mass-shift 30.9744	30.9744	13	0.0050
Unannotated mass-shift -17.0882	-17.0882	13	0.0050
N-ethylmaleimide on cysteines	125.047679	13	0.0050
Unannotated mass-shift 239.1270	239.127	13	0.0050
Unannotated mass-shift 497.2228	497.2228	12	0.0050
Unannotated mass-shift 202.1358	202.1358	11	0.0050
Unannotated mass-shift 444.2396	444.2396	11	0.0050
Unannotated mass-shift 491.2748	491.2748	10	0.0040
deamidation followed by esterification with ethanol	29.015316	10	0.0040
Unannotated mass-shift 488.1750	488.175	10	0.0040
Unannotated mass-shift 475.1928	475.1928	10	0.0040
Unannotated mass-shift 472.1988	472.1988	10	0.0040
