source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[ancestry category]	characteristics[age]	characteristics[developmental stage]	characteristics[sex]	characteristics[cell line]	characteristics[cell type]	characteristics[biological replicate]	Material Type	assay name	Technology Type	comment[label]	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD021482-Sample 1	Homo sapiens	Brain	Medulloblastoma	White	6Y	not available	male	D283 Med	not applicable	1	cell	run 11	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20200721_cell_13.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD021482/20200721_cell_13.raw	1	11	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Trypsin;AC=MS:1001251	AC=MS:1000422;NT=HCD	20 ppm	0.05 Da	Brain
PXD021482-Sample 1	Homo sapiens	Brain	Medulloblastoma	White	6Y	not available	male	D283 Med	not applicable	1	cell	run 12	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20200721_cell_14.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD021482/20200721_cell_14.raw	1	12	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Trypsin;AC=MS:1001251	AC=MS:1000422;NT=HCD	20 ppm	0.05 Da	Brain
PXD021482-Sample 1	Homo sapiens	Brain	Medulloblastoma	White	6Y	not available	male	D283 Med	not applicable	1	cell	run 13	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20200721_cell_15.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD021482/20200721_cell_15.raw	1	13	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Trypsin;AC=MS:1001251	AC=MS:1000422;NT=HCD	20 ppm	0.05 Da	Brain
PXD021482-Sample 1	Homo sapiens	Brain	Medulloblastoma	White	6Y	not available	male	D283 Med	not applicable	1	cell	run 14	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20200721_cell_16.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD021482/20200721_cell_16.raw	1	14	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Trypsin;AC=MS:1001251	AC=MS:1000422;NT=HCD	20 ppm	0.05 Da	Brain
PXD021482-Sample 1	Homo sapiens	Brain	Medulloblastoma	White	6Y	not available	male	D283 Med	not applicable	1	cell	run 15	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20200721_cell_17.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD021482/20200721_cell_17.raw	1	15	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Trypsin;AC=MS:1001251	AC=MS:1000422;NT=HCD	20 ppm	0.05 Da	Brain
PXD021482-Sample 1	Homo sapiens	Brain	Medulloblastoma	White	6Y	not available	male	D283 Med	not applicable	1	cell	run 16	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20200721_cell_18.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD021482/20200721_cell_18.raw	1	16	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Trypsin;AC=MS:1001251	AC=MS:1000422;NT=HCD	20 ppm	0.05 Da	Brain
PXD021482-Sample 1	Homo sapiens	Brain	Medulloblastoma	White	6Y	not available	male	D283 Med	not applicable	1	cell	run 17	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20200721_cell_19.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD021482/20200721_cell_19.raw	1	17	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Trypsin;AC=MS:1001251	AC=MS:1000422;NT=HCD	20 ppm	0.05 Da	Brain
PXD021482-Sample 1	Homo sapiens	Brain	Medulloblastoma	White	6Y	not available	male	D283 Med	not applicable	1	cell	run 18	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20200721_cell_20.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD021482/20200721_cell_20.raw	1	18	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Trypsin;AC=MS:1001251	AC=MS:1000422;NT=HCD	20 ppm	0.05 Da	Brain
PXD021482-Sample 1	Homo sapiens	Brain	Medulloblastoma	White	6Y	not available	male	D283 Med	not applicable	1	cell	run 19	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20200724_cell_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD021482/20200724_cell_1.raw	2	1	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Trypsin;AC=MS:1001251	AC=MS:1000422;NT=HCD	20 ppm	0.05 Da	Brain
PXD021482-Sample 1	Homo sapiens	Brain	Medulloblastoma	White	6Y	not available	male	D283 Med	not applicable	1	cell	run 20	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20200724_cell_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD021482/20200724_cell_2.raw	2	2	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Trypsin;AC=MS:1001251	AC=MS:1000422;NT=HCD	20 ppm	0.05 Da	Brain
PXD021482-Sample 1	Homo sapiens	Brain	Medulloblastoma	White	6Y	not available	male	D283 Med	not applicable	1	cell	run 21	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20200724_cell_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD021482/20200724_cell_3.raw	2	3	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Trypsin;AC=MS:1001251	AC=MS:1000422;NT=HCD	20 ppm	0.05 Da	Brain
PXD021482-Sample 1	Homo sapiens	Brain	Medulloblastoma	White	6Y	not available	male	D283 Med	not applicable	1	cell	run 22	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20200724_cell_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD021482/20200724_cell_4.raw	2	4	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Trypsin;AC=MS:1001251	AC=MS:1000422;NT=HCD	20 ppm	0.05 Da	Brain
PXD021482-Sample 1	Homo sapiens	Brain	Medulloblastoma	White	6Y	not available	male	D283 Med	not applicable	1	cell	run 23	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20200724_cell_5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD021482/20200724_cell_5.raw	2	5	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Trypsin;AC=MS:1001251	AC=MS:1000422;NT=HCD	20 ppm	0.05 Da	Brain
PXD021482-Sample 1	Homo sapiens	Brain	Medulloblastoma	White	6Y	not available	male	D283 Med	not applicable	1	cell	run 24	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20200724_cell_6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD021482/20200724_cell_6.raw	2	6	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Trypsin;AC=MS:1001251	AC=MS:1000422;NT=HCD	20 ppm	0.05 Da	Brain
PXD021482-Sample 1	Homo sapiens	Brain	Medulloblastoma	White	6Y	not available	male	D283 Med	not applicable	1	cell	run 25	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20200724_cell_7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD021482/20200724_cell_7.raw	2	7	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Trypsin;AC=MS:1001251	AC=MS:1000422;NT=HCD	20 ppm	0.05 Da	Brain
PXD021482-Sample 1	Homo sapiens	Brain	Medulloblastoma	White	6Y	not available	male	D283 Med	not applicable	1	cell	run 26	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20200724_cell_8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD021482/20200724_cell_8.raw	2	8	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Trypsin;AC=MS:1001251	AC=MS:1000422;NT=HCD	20 ppm	0.05 Da	Brain
PXD021482-Sample 1	Homo sapiens	Brain	Medulloblastoma	White	6Y	not available	male	D283 Med	not applicable	1	cell	run 27	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20200724_cell_9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD021482/20200724_cell_9.raw	2	9	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Trypsin;AC=MS:1001251	AC=MS:1000422;NT=HCD	20 ppm	0.05 Da	Brain
PXD021482-Sample 1	Homo sapiens	Brain	Medulloblastoma	White	6Y	not available	male	D283 Med	not applicable	1	cell	run 28	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20200724_cell_10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD021482/20200724_cell_10.raw	2	10	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Trypsin;AC=MS:1001251	AC=MS:1000422;NT=HCD	20 ppm	0.05 Da	Brain
PXD021482-Sample 1	Homo sapiens	Brain	Medulloblastoma	White	6Y	not available	male	D283 Med	not applicable	1	cell	run 29	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20200724_cell_11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD021482/20200724_cell_11.raw	2	11	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Trypsin;AC=MS:1001251	AC=MS:1000422;NT=HCD	20 ppm	0.05 Da	Brain
PXD021482-Sample 1	Homo sapiens	Brain	Medulloblastoma	White	6Y	not available	male	D283 Med	not applicable	1	cell	run 30	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20200724_cell_12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD021482/20200724_cell_12.raw	2	12	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Trypsin;AC=MS:1001251	AC=MS:1000422;NT=HCD	20 ppm	0.05 Da	Brain
PXD021482-Sample 1	Homo sapiens	Brain	Medulloblastoma	White	6Y	not available	male	D283 Med	not applicable	1	cell	run 31	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20200724_cell_13.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD021482/20200724_cell_13.raw	2	13	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Trypsin;AC=MS:1001251	AC=MS:1000422;NT=HCD	20 ppm	0.05 Da	Brain
PXD021482-Sample 1	Homo sapiens	Brain	Medulloblastoma	White	6Y	not available	male	D283 Med	not applicable	1	cell	run 32	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20200724_cell_14.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD021482/20200724_cell_14.raw	2	14	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Trypsin;AC=MS:1001251	AC=MS:1000422;NT=HCD	20 ppm	0.05 Da	Brain
PXD021482-Sample 1	Homo sapiens	Brain	Medulloblastoma	White	6Y	not available	male	D283 Med	not applicable	1	cell	run 33	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20200724_cell_15.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD021482/20200724_cell_15.raw	2	15	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Trypsin;AC=MS:1001251	AC=MS:1000422;NT=HCD	20 ppm	0.05 Da	Brain
PXD021482-Sample 1	Homo sapiens	Brain	Medulloblastoma	White	6Y	not available	male	D283 Med	not applicable	1	cell	run 34	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20200724_cell_16.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD021482/20200724_cell_16.raw	2	16	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Trypsin;AC=MS:1001251	AC=MS:1000422;NT=HCD	20 ppm	0.05 Da	Brain
PXD021482-Sample 1	Homo sapiens	Brain	Medulloblastoma	White	6Y	not available	male	D283 Med	not applicable	1	cell	run 35	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20200724_cell_17.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD021482/20200724_cell_17.raw	2	17	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Trypsin;AC=MS:1001251	AC=MS:1000422;NT=HCD	20 ppm	0.05 Da	Brain
PXD021482-Sample 1	Homo sapiens	Brain	Medulloblastoma	White	6Y	not available	male	D283 Med	not applicable	1	cell	run 36	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20200724_cell_18.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD021482/20200724_cell_18.raw	2	18	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Trypsin;AC=MS:1001251	AC=MS:1000422;NT=HCD	20 ppm	0.05 Da	Brain
PXD021482-Sample 1	Homo sapiens	Brain	Medulloblastoma	White	6Y	not available	male	D283 Med	not applicable	1	cell	run 37	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20200724_cell_19.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD021482/20200724_cell_19.raw	2	19	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Trypsin;AC=MS:1001251	AC=MS:1000422;NT=HCD	20 ppm	0.05 Da	Brain
