source name	characteristics[organism]	characteristics[organism part]	characteristics[sampling site]	characteristics[cell line]	characteristics[cellosaurus]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[cell type]	characteristics[developmental stage]	characteristics[individual]	characteristics[biological replicate]	Material Type	assay name	comment[file uri]	comment[fraction identifier]	comment[Fractionation method]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[label]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[Gradient time]	comment[technical replicate]	comment[flow rate chromatogram]	comment[data file]	factor value[cell line]
PXD000396-Sample-5	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	5	cell line	run 11	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000396/120315QEx2_RS1_20nl-min_10HeLa_1h_02.raw	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	0.05 Da	10 ppm	1h	3	20 nL/min	120315QEx2_RS1_20nl-min_10HeLa_1h_02.raw	HeLa
PXD000396-Sample-5	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	5	cell line	run 12	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000396/120323QEx2_RS1_20nl-min_0k1HeLa_1h_02.raw	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	0.05 Da	10 ppm	1h	4	20 nL/min	120323QEx2_RS1_20nl-min_0k1HeLa_1h_02.raw	HeLa
PXD000396-Sample-6	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	6	cell line	run 13	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000396/120315QEx2_RS1_50nl-min_10ngHeLa_1h_01.raw	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	0.05 Da	10 ppm	1h	1	50 nL/min	120315QEx2_RS1_50nl-min_10ngHeLa_1h_01.raw	HeLa
PXD000396-Sample-6	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	6	cell line	run 14	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000396/120327QEx2_RS1_50nl-min_0k1HeLa_1h_01.raw	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	0.05 Da	10 ppm	1h	2	50 nL/min	120327QEx2_RS1_50nl-min_0k1HeLa_1h_01.raw	HeLa
PXD000396-Sample-6	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	6	cell line	run 15	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000396/120315QEx2_RS1_50nl-min_10ngHeLa_1h_02.raw	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	0.05 Da	10 ppm	1h	3	50 nL/min	120315QEx2_RS1_50nl-min_10ngHeLa_1h_02.raw	HeLa
PXD000396-Sample-6	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	6	cell line	run 16	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000396/120327QEx2_RS1_50nl-min_0k1HeLa_1h_02.raw	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	0.05 Da	10 ppm	1h	4	50 nL/min	120327QEx2_RS1_50nl-min_0k1HeLa_1h_02.raw	HeLa
PXD000396-Sample-7	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	7	cell line	run 17	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000396/120315QEx2_RS1_20nl-min_10HeLa_3h_01.raw	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	0.05 Da	10 ppm	3h	1	20 nL/min	120315QEx2_RS1_20nl-min_10HeLa_3h_01.raw	HeLa
PXD000396-Sample-7	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	7	cell line	run 18	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000396/120323QEx2_RS1_20nl-min_0k1HeLa_3h_01.raw	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	0.05 Da	10 ppm	3h	2	20 nL/min	120323QEx2_RS1_20nl-min_0k1HeLa_3h_01.raw	HeLa
PXD000396-Sample-7	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	7	cell line	run 19	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000396/120315QEx2_RS1_20nl-min_10HeLa_3h_02.raw	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	0.05 Da	10 ppm	3h	3	20 nL/min	120315QEx2_RS1_20nl-min_10HeLa_3h_02.raw	HeLa
PXD000396-Sample-7	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	7	cell line	run 20	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000396/120323QEx2_RS1_20nl-min_0k1HeLa_3h_02.raw	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	0.05 Da	10 ppm	3h	4	20 nL/min	120323QEx2_RS1_20nl-min_0k1HeLa_3h_02.raw	HeLa
PXD000396-Sample-8	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	8	cell line	run 21	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000396/120309QEx2_RS1_50nl-min_0k1HeLa_3h_01.raw	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	0.05 Da	10 ppm	3h	1	50 nL/min	120309QEx2_RS1_50nl-min_0k1HeLa_3h_01.raw	HeLa
PXD000396-Sample-8	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	8	cell line	run 22	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000396/120315QEx2_RS1_50nl-min_10ngHeLa_3h_01.raw	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	0.05 Da	10 ppm	3h	2	50 nL/min	120315QEx2_RS1_50nl-min_10ngHeLa_3h_01.raw	HeLa
PXD000396-Sample-8	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	8	cell line	run 23	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000396/120330QEx2_RS1_50nl-min_100ngHeLa_3h_01.raw	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	0.05 Da	10 ppm	3h	3	50 nL/min	120330QEx2_RS1_50nl-min_100ngHeLa_3h_01.raw	HeLa
PXD000396-Sample-8	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	8	cell line	run 24	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000396/120315QEx2_RS1_50nl-min_10ngHeLa_3h_02.raw	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	0.05 Da	10 ppm	3h	4	50 nL/min	120315QEx2_RS1_50nl-min_10ngHeLa_3h_02.raw	HeLa
PXD000396-Sample-9	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	9	cell line	run 25	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000396/120315QEx2_RS1_20nl-min_10HeLa_5h_01.raw	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	0.05 Da	10 ppm	5h	1	20 nL/min	120315QEx2_RS1_20nl-min_10HeLa_5h_01.raw	HeLa
PXD000396-Sample-9	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	9	cell line	run 26	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000396/120323QEx2_RS1_20nl-min_0k1HeLa_5h_01.raw	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	0.05 Da	10 ppm	5h	2	20 nL/min	120323QEx2_RS1_20nl-min_0k1HeLa_5h_01.raw	HeLa
PXD000396-Sample-9	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	9	cell line	run 27	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000396/120315QEx2_RS1_20nl-min_10HeLa_5h_02.raw	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	0.05 Da	10 ppm	5h	3	20 nL/min	120315QEx2_RS1_20nl-min_10HeLa_5h_02.raw	HeLa
PXD000396-Sample-9	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	9	cell line	run 28	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000396/120323QEx2_RS1_20nl-min_0k1HeLa_5h_02.raw	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	0.05 Da	10 ppm	5h	4	20 nL/min	120323QEx2_RS1_20nl-min_0k1HeLa_5h_02.raw	HeLa
PXD000396-Sample-10	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	10	cell line	run 29	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000396/120315QEx2_RS1_50nl-min_10ngHeLa_5h_01.raw	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	0.05 Da	10 ppm	5h	1	50 nL/min	120315QEx2_RS1_50nl-min_10ngHeLa_5h_01.raw	HeLa
PXD000396-Sample-10	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	10	cell line	run 30	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000396/120327QEx2_RS1_50nl-min_0k1HeLa_5h_01.raw	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	0.05 Da	10 ppm	5h	2	50 nL/min	120327QEx2_RS1_50nl-min_0k1HeLa_5h_01.raw	HeLa
PXD000396-Sample-10	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	10	cell line	run 31	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000396/120315QEx2_RS1_50nl-min_10ngHeLa_5h_02.raw	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	0.05 Da	10 ppm	5h	3	50 nL/min	120315QEx2_RS1_50nl-min_10ngHeLa_5h_02.raw	HeLa
