source Name	characteristics[organism]	characteristics[organism part]	characteristics[developmental stage]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[biological replicate]	characteristics[cell line]	characteristics[individual]	assay name	comment[label]	comment[technich replicate]	comment[fraction identifier]	comment[file uri]	comment[instrument]	comment[cleavage agent details]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[data file]	Material Type	factor value[cell line]
PXD008222-Sample 80	Homo sapiens	breast	adult	epithelial	Caucasian	60Y	female	ductal carcinoma	1	BT474	not available	run 412	AC=MS:1002038;NT=label free sample	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q03227.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	0.01 Da	30 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q03227.raw	cell	BT474
PXD008222-Sample 80	Homo sapiens	breast	adult	epithelial	Caucasian	60Y	female	ductal carcinoma	1	BT474	not available	run 413	AC=MS:1002038;NT=label free sample	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q03228.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	0.01 Da	30 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q03228.raw	cell	BT474
PXD008222-Sample 80	Homo sapiens	breast	adult	epithelial	Caucasian	60Y	female	ductal carcinoma	1	BT474	not available	run 414	AC=MS:1002038;NT=label free sample	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q03229.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	0.01 Da	30 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q03229.raw	cell	BT474
PXD008222-Sample 80	Homo sapiens	breast	adult	epithelial	Caucasian	60Y	female	ductal carcinoma	1	BT474	not available	run 415	AC=MS:1002038;NT=label free sample	1	4	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q03230.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	0.01 Da	30 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q03230.raw	cell	BT474
PXD008222-Sample 80	Homo sapiens	breast	adult	epithelial	Caucasian	60Y	female	ductal carcinoma	1	BT474	not available	run 416	AC=MS:1002038;NT=label free sample	1	5	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q03231.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	0.01 Da	30 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q03231.raw	cell	BT474
PXD008222-Sample 82	Homo sapiens	breast	adult	epithelial	Caucasian	60Y	female	ductal carcinoma	2	BT474	not available	run 422	AC=MS:1002038;NT=label free sample	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q03239.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	0.01 Da	30 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q03239.raw	cell	BT474
PXD008222-Sample 82	Homo sapiens	breast	adult	epithelial	Caucasian	60Y	female	ductal carcinoma	2	BT474	not available	run 423	AC=MS:1002038;NT=label free sample	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q03240.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	0.01 Da	30 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q03240.raw	cell	BT474
PXD008222-Sample 82	Homo sapiens	breast	adult	epithelial	Caucasian	60Y	female	ductal carcinoma	2	BT474	not available	run 424	AC=MS:1002038;NT=label free sample	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q03241.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	0.01 Da	30 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q03241.raw	cell	BT474
PXD008222-Sample 82	Homo sapiens	breast	adult	epithelial	Caucasian	60Y	female	ductal carcinoma	2	BT474	not available	run 425	AC=MS:1002038;NT=label free sample	1	4	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q03242.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	0.01 Da	30 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q03242.raw	cell	BT474
PXD008222-Sample 82	Homo sapiens	breast	adult	epithelial	Caucasian	60Y	female	ductal carcinoma	2	BT474	not available	run 426	AC=MS:1002038;NT=label free sample	1	5	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q03243.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	0.01 Da	30 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q03243.raw	cell	BT474
PXD008222-Sample 34	Homo sapiens	breast	adult	epithelial	Caucasian	72Y	female	ductal carcinoma	1	BT549	not available	run 181	AC=MS:1002038;NT=label free sample	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q02444.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	0.01 Da	30 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q02444.raw	cell	BT549
PXD008222-Sample 34	Homo sapiens	breast	adult	epithelial	Caucasian	72Y	female	ductal carcinoma	1	BT549	not available	run 182	AC=MS:1002038;NT=label free sample	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q02445.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	0.01 Da	30 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q02445.raw	cell	BT549
PXD008222-Sample 34	Homo sapiens	breast	adult	epithelial	Caucasian	72Y	female	ductal carcinoma	1	BT549	not available	run 183	AC=MS:1002038;NT=label free sample	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q02446.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	0.01 Da	30 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q02446.raw	cell	BT549
PXD008222-Sample 34	Homo sapiens	breast	adult	epithelial	Caucasian	72Y	female	ductal carcinoma	1	BT549	not available	run 184	AC=MS:1002038;NT=label free sample	1	4	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q02447.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	0.01 Da	30 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q02447.raw	cell	BT549
PXD008222-Sample 34	Homo sapiens	breast	adult	epithelial	Caucasian	72Y	female	ductal carcinoma	1	BT549	not available	run 185	AC=MS:1002038;NT=label free sample	1	5	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q02448.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	0.01 Da	30 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q02448.raw	cell	BT549
PXD008222-Sample 40	Homo sapiens	breast	adult	epithelial	Caucasian	72Y	female	ductal carcinoma	2	BT549	not available	run 211	AC=MS:1002038;NT=label free sample	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q02804.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	0.01 Da	30 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q02804.raw	cell	BT549
PXD008222-Sample 40	Homo sapiens	breast	adult	epithelial	Caucasian	72Y	female	ductal carcinoma	2	BT549	not available	run 212	AC=MS:1002038;NT=label free sample	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q02805.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	0.01 Da	30 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q02805.raw	cell	BT549
PXD008222-Sample 40	Homo sapiens	breast	adult	epithelial	Caucasian	72Y	female	ductal carcinoma	2	BT549	not available	run 213	AC=MS:1002038;NT=label free sample	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q02806.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	0.01 Da	30 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q02806.raw	cell	BT549
PXD008222-Sample 40	Homo sapiens	breast	adult	epithelial	Caucasian	72Y	female	ductal carcinoma	2	BT549	not available	run 214	AC=MS:1002038;NT=label free sample	1	4	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q02807.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	0.01 Da	30 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q02807.raw	cell	BT549
PXD008222-Sample 40	Homo sapiens	breast	adult	epithelial	Caucasian	72Y	female	ductal carcinoma	2	BT549	not available	run 215	AC=MS:1002038;NT=label free sample	1	5	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q02808.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	0.01 Da	30 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q02808.raw	cell	BT549
PXD008222-Sample 12	Homo sapiens	breast	adult	epithelial	Caucasian	70Y	female	breast carcinoma	1	DU4475	not available	run 71	AC=MS:1002038;NT=label free sample	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01733.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	0.01 Da	30 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q01733.raw	cell	DU4475
PXD008222-Sample 12	Homo sapiens	breast	adult	epithelial	Caucasian	70Y	female	breast carcinoma	1	DU4475	not available	run 72	AC=MS:1002038;NT=label free sample	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01734.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	0.01 Da	30 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q01734.raw	cell	DU4475
PXD008222-Sample 12	Homo sapiens	breast	adult	epithelial	Caucasian	70Y	female	breast carcinoma	1	DU4475	not available	run 73	AC=MS:1002038;NT=label free sample	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01735.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	0.01 Da	30 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q01735.raw	cell	DU4475
PXD008222-Sample 12	Homo sapiens	breast	adult	epithelial	Caucasian	70Y	female	breast carcinoma	1	DU4475	not available	run 74	AC=MS:1002038;NT=label free sample	1	4	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01736.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	0.01 Da	30 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q01736.raw	cell	DU4475
PXD008222-Sample 12	Homo sapiens	breast	adult	epithelial	Caucasian	70Y	female	breast carcinoma	1	DU4475	not available	run 75	AC=MS:1002038;NT=label free sample	1	5	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01737.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	0.01 Da	30 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q01737.raw	cell	DU4475
PXD008222-Sample 44	Homo sapiens	breast	adult	epithelial	Caucasian	70Y	female	breast carcinoma	2	DU4475	not available	run 231	AC=MS:1002038;NT=label free sample	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q02894.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	0.01 Da	30 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q02894.raw	cell	DU4475
PXD008222-Sample 44	Homo sapiens	breast	adult	epithelial	Caucasian	70Y	female	breast carcinoma	2	DU4475	not available	run 232	AC=MS:1002038;NT=label free sample	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q02895.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	0.01 Da	30 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q02895.raw	cell	DU4475
PXD008222-Sample 44	Homo sapiens	breast	adult	epithelial	Caucasian	70Y	female	breast carcinoma	2	DU4475	not available	run 233	AC=MS:1002038;NT=label free sample	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q02896.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	0.01 Da	30 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q02896.raw	cell	DU4475
PXD008222-Sample 44	Homo sapiens	breast	adult	epithelial	Caucasian	70Y	female	breast carcinoma	2	DU4475	not available	run 234	AC=MS:1002038;NT=label free sample	1	4	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q02897.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	0.01 Da	30 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q02897.raw	cell	DU4475
PXD008222-Sample 44	Homo sapiens	breast	adult	epithelial	Caucasian	70Y	female	breast carcinoma	2	DU4475	not available	run 235	AC=MS:1002038;NT=label free sample	1	5	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q02898.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	0.01 Da	30 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q02898.raw	cell	DU4475
PXD008222-Sample 14	Homo sapiens	breast	adult	epithelial	Caucasian	52Y	female	primary ductal carcinoma	1	HCC1143	not available	run 81	AC=MS:1002038;NT=label free sample	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q02223.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	0.01 Da	30 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q02223.raw	cell	HCC1143
PXD008222-Sample 14	Homo sapiens	breast	adult	epithelial	Caucasian	52Y	female	primary ductal carcinoma	1	HCC1143	not available	run 82	AC=MS:1002038;NT=label free sample	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q02224.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	0.01 Da	30 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q02224.raw	cell	HCC1143
PXD008222-Sample 14	Homo sapiens	breast	adult	epithelial	Caucasian	52Y	female	primary ductal carcinoma	1	HCC1143	not available	run 83	AC=MS:1002038;NT=label free sample	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q02225.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	0.01 Da	30 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q02225.raw	cell	HCC1143
PXD008222-Sample 14	Homo sapiens	breast	adult	epithelial	Caucasian	52Y	female	primary ductal carcinoma	1	HCC1143	not available	run 84	AC=MS:1002038;NT=label free sample	1	4	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q02226.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	0.01 Da	30 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q02226.raw	cell	HCC1143
