source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[ghost]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[disease]	characteristics[individual]	characteristics[biological replicate]	characteristics[depletion]	assay name	Technology Type	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[fractionation method]	comment[label]	comment[technical replicate]	comment[cleavage agent details]	comment[cleavage agent details]	comment[separation]	comment[instrument]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD005200-Sample-11	Homo Sapiens	blood	erythrocyte	ghost	not available	not available	not available	not available	normal	1	1	no depletion	run 11	proteomic profiling by mass spectrometer	20151124_QEp7_JRW_SA_L_O72.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20151124_QEp7_JRW_SA_L_O72.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Lys-C/P; AC=MS:1001310	not applicable	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	20 ppm	0.5 Da	erythrocyte
PXD005200-Sample-12	Homo Sapiens	blood	erythrocyte	ghost	not available	not available	not available	not available	normal	2	2	no depletion	run 12	proteomic profiling by mass spectrometer	20151124_QEp7_JRW_SA_L_O73.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20151124_QEp7_JRW_SA_L_O73.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Lys-C/P; AC=MS:1001310	not applicable	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	20 ppm	0.5 Da	erythrocyte
PXD005200-Sample-13	Homo Sapiens	blood	erythrocyte	not applicable	not available	not available	not available	not available	normal	1	1	no depletion	run 13	proteomic profiling by mass spectrometer	20151124_QEp7_JRW_SA_T_O63.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20151124_QEp7_JRW_SA_T_O63.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	not applicable	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	20 ppm	0.5 Da	erythrocyte
PXD005200-Sample-14	Homo Sapiens	blood	erythrocyte	not applicable	not available	not available	not available	not available	normal	2	2	no depletion	run 14	proteomic profiling by mass spectrometer	20151124_QEp7_JRW_SA_T_O64.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20151124_QEp7_JRW_SA_T_O64.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	not applicable	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	20 ppm	0.5 Da	erythrocyte
PXD005200-Sample-15	Homo Sapiens	blood	erythrocyte	not applicable	not available	not available	not available	not available	normal	3	3	no depletion	run 15	proteomic profiling by mass spectrometer	20151124_QEp7_JRW_SA_T_O66.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20151124_QEp7_JRW_SA_T_O66.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	not applicable	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	20 ppm	0.5 Da	erythrocyte
PXD005200-Sample-16	Homo Sapiens	blood	erythrocyte	not applicable	not available	not available	not available	not available	normal	4	4	no depletion	run 16	proteomic profiling by mass spectrometer	20151124_QEp7_JRW_SA_T_O67.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20151124_QEp7_JRW_SA_T_O67.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	not applicable	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	20 ppm	0.5 Da	erythrocyte
PXD005200-Sample-17	Homo Sapiens	blood	erythrocyte	not applicable	not available	not available	not available	not available	normal	1	1	no depletion	run 17	proteomic profiling by mass spectrometer	20151124_QEp7_JRW_SA_T_O69.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20151124_QEp7_JRW_SA_T_O69.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=glutamyl endopeptidase; AC=MS:1001917	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	20 ppm	0.5 Da	erythrocyte
PXD005200-Sample-18	Homo Sapiens	blood	erythrocyte	not applicable	not available	not available	not available	not available	normal	2	2	no depletion	run 18	proteomic profiling by mass spectrometer	20151124_QEp7_JRW_SA_T_O70.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20151124_QEp7_JRW_SA_T_O70.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=glutamyl endopeptidase; AC=MS:1001917	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	20 ppm	0.5 Da	erythrocyte
PXD005200-Sample-19	Homo Sapiens	blood	erythrocyte	ghost	not available	not available	not available	not available	normal	1	1	no depletion	run 19	proteomic profiling by mass spectrometer	20151124_QEp7_JRW_SA_T_O72.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20151124_QEp7_JRW_SA_T_O72.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	not applicable	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	20 ppm	0.5 Da	erythrocyte
PXD005200-Sample-20	Homo Sapiens	blood	erythrocyte	ghost	not available	not available	not available	not available	normal	2	2	no depletion	run 20	proteomic profiling by mass spectrometer	20151124_QEp7_JRW_SA_T_O73.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20151124_QEp7_JRW_SA_T_O73.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	not applicable	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	20 ppm	0.5 Da	erythrocyte
PXD005200-Sample-21	Homo Sapiens	blood	erythrocyte	ghost	not available	not available	not available	not available	normal	3	3	no depletion	run 21	proteomic profiling by mass spectrometer	20151124_QEp7_JRW_SA_T_O75.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20151124_QEp7_JRW_SA_T_O75.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	not applicable	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	20 ppm	0.5 Da	erythrocyte
PXD005200-Sample-22	Homo Sapiens	blood	erythrocyte	ghost	not available	not available	not available	not available	normal	4	4	no depletion	run 22	proteomic profiling by mass spectrometer	20151124_QEp7_JRW_SA_T_O76.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20151124_QEp7_JRW_SA_T_O76.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	not applicable	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	20 ppm	0.5 Da	erythrocyte
PXD005200-Sample-23	Homo Sapiens	blood	erythrocyte	ghost	not available	not available	not available	not available	normal	1	1	no depletion	run 23	proteomic profiling by mass spectrometer	20151124_QEp7_JRW_SA_T_O78.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20151124_QEp7_JRW_SA_T_O78.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=glutamyl endopeptidase; AC=MS:1001917	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	20 ppm	0.5 Da	erythrocyte
PXD005200-Sample-24	Homo Sapiens	blood	erythrocyte	ghost	not available	not available	not available	not available	normal	2	2	no depletion	run 24	proteomic profiling by mass spectrometer	20151124_QEp7_JRW_SA_T_O79.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20151124_QEp7_JRW_SA_T_O79.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=glutamyl endopeptidase; AC=MS:1001917	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	20 ppm	0.5 Da	erythrocyte
PXD005200-Sample-25	Homo Sapiens	blood	erythrocyte	not applicable	not available	not available	not available	not available	normal	1	1	no depletion	run 25	proteomic profiling by mass spectrometer	20160309_QEp7_JRW_SA_A_O100.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20160309_QEp7_JRW_SA_A_O100.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Arg-C; AC=MS:1001303	not applicable	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	20 ppm	0.5 Da	erythrocyte
PXD005200-Sample-26	Homo Sapiens	blood	erythrocyte	not applicable	not available	not available	not available	not available	normal	2	2	no depletion	run 26	proteomic profiling by mass spectrometer	20160309_QEp7_JRW_SA_A_O102.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20160309_QEp7_JRW_SA_A_O102.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Arg-C; AC=MS:1001303	not applicable	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	20 ppm	0.5 Da	erythrocyte
PXD005200-Sample-27	Homo Sapiens	blood	erythrocyte	not applicable	not available	not available	not available	not available	normal	3	3	no depletion	run 27	proteomic profiling by mass spectrometer	20160309_QEp7_JRW_SA_A_O103.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20160309_QEp7_JRW_SA_A_O103.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Arg-C; AC=MS:1001303	not applicable	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	20 ppm	0.5 Da	erythrocyte
PXD005200-Sample-28	Homo Sapiens	blood	erythrocyte	not applicable	not available	not available	not available	not available	normal	3	3	no depletion	run 28	proteomic profiling by mass spectrometer	20160309_QEp7_JRW_SA_A_O105.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20160309_QEp7_JRW_SA_A_O105.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Arg-C; AC=MS:1001303	not applicable	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	20 ppm	0.5 Da	erythrocyte
PXD005200-Sample-29	Homo Sapiens	blood	erythrocyte	not applicable	not available	not available	not available	not available	normal	4	4	no depletion	run 29	proteomic profiling by mass spectrometer	20160309_QEp7_JRW_SA_A_O106.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20160309_QEp7_JRW_SA_A_O106.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Arg-C; AC=MS:1001303	not applicable	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	20 ppm	0.5 Da	erythrocyte
PXD005200-Sample-30	Homo Sapiens	blood	erythrocyte	not applicable	not available	not available	not available	not available	normal	4	4	no depletion	run 30	proteomic profiling by mass spectrometer	20160309_QEp7_JRW_SA_A_O99.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20160309_QEp7_JRW_SA_A_O99.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Arg-C; AC=MS:1001303	not applicable	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	20 ppm	0.5 Da	erythrocyte
PXD005200-Sample-31	Homo Sapiens	blood	erythrocyte	ghost	not available	not available	not available	not available	normal	1	1	no depletion	run 31	proteomic profiling by mass spectrometer	20160309_QEp7_JRW_SA_A_Q40.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20160309_QEp7_JRW_SA_A_Q40.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Arg-C; AC=MS:1001303	not applicable	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	20 ppm	0.5 Da	erythrocyte
PXD005200-Sample-32	Homo Sapiens	blood	erythrocyte	ghost	not available	not available	not available	not available	normal	2	2	no depletion	run 32	proteomic profiling by mass spectrometer	20160309_QEp7_JRW_SA_A_Q41.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20160309_QEp7_JRW_SA_A_Q41.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Arg-C; AC=MS:1001303	not applicable	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	20 ppm	0.5 Da	erythrocyte
PXD005200-Sample-33	Homo Sapiens	blood	erythrocyte	ghost	not available	not available	not available	not available	normal	3	3	no depletion	run 33	proteomic profiling by mass spectrometer	20160309_QEp7_JRW_SA_A_Q42.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20160309_QEp7_JRW_SA_A_Q42.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Arg-C; AC=MS:1001303	not applicable	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	20 ppm	0.5 Da	erythrocyte
PXD005200-Sample-34	Homo Sapiens	blood	erythrocyte	ghost	not available	not available	not available	not available	normal	3	3	no depletion	run 34	proteomic profiling by mass spectrometer	20160309_QEp7_JRW_SA_A_Q43.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20160309_QEp7_JRW_SA_A_Q43.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Arg-C; AC=MS:1001303	not applicable	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	20 ppm	0.5 Da	erythrocyte
PXD005200-Sample-35	Homo Sapiens	blood	erythrocyte	ghost	not available	not available	not available	not available	normal	4	4	no depletion	run 35	proteomic profiling by mass spectrometer	20160309_QEp7_JRW_SA_A_Q44.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20160309_QEp7_JRW_SA_A_Q44.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Arg-C; AC=MS:1001303	not applicable	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	20 ppm	0.5 Da	erythrocyte
PXD005200-Sample-36	Homo Sapiens	blood	erythrocyte	ghost	not available	not available	not available	not available	normal	4	4	no depletion	run 36	proteomic profiling by mass spectrometer	20160309_QEp7_JRW_SA_A_Q45.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20160309_QEp7_JRW_SA_A_Q45.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Arg-C; AC=MS:1001303	not applicable	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	20 ppm	0.5 Da	erythrocyte
PXD005200-Sample-37	Homo Sapiens	blood	erythrocyte	not applicable	not available	not available	not available	not available	normal	1	1	no depletion	run 37	proteomic profiling by mass spectrometer	20160309_QEp7_JRW_SA_G_O117.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20160309_QEp7_JRW_SA_G_O117.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=glutamyl endopeptidase; AC=MS:1001917	not applicable	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	20 ppm	0.5 Da	erythrocyte
PXD005200-Sample-38	Homo Sapiens	blood	erythrocyte	not applicable	not available	not available	not available	not available	normal	2	2	no depletion	run 38	proteomic profiling by mass spectrometer	20160309_QEp7_JRW_SA_G_O118.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20160309_QEp7_JRW_SA_G_O118.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=glutamyl endopeptidase; AC=MS:1001917	not applicable	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	20 ppm	0.5 Da	erythrocyte
