source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[ghost]	characteristics[individual]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[disease]	characteristics[depletion]	characteristics[biological replicate]	assay name	Technology type	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[fractionation method]	comment[label]	comment[technical replicate]	comment[cleavage agent details]	comment[instrument]	comment[MS2 mass analyzer]	comment[separation]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD009258-Sample-11	Homo sapiens	blood	AC=CL:0000232; NT=erythrocyte	ghost	6	not applicable	no available	no available	not applicable	normal	no depletion	6	DVPTPaMA_171030_HD6_P3_Ghosts_SCX1_F23837	proteomic profiling by mass spectrometry	DVPTPaMA_171030_HD6_P3_Ghosts_SCX1_F23837.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009258/DVPTPaMA_171030_HD6_P3_Ghosts_SCX1_F23837.raw	1	AC=PRIDE:0000561; NT=Strong cation-exchange chromatography (SCX)	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002416; NT=Orbitrap Fusion	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	not available	AC=CL:0000232; NT=erythrocyte
PXD009258-Sample-12	Homo sapiens	blood	AC=CL:0000232; NT=erythrocyte	ghost	6	not applicable	no available	no available	not applicable	normal	no depletion	6	DVPTPaMA_171030_HD6_P3_Ghosts_SCX2_F23838	proteomic profiling by mass spectrometry	DVPTPaMA_171030_HD6_P3_Ghosts_SCX2_F23838.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009258/DVPTPaMA_171030_HD6_P3_Ghosts_SCX2_F23838.raw	2	AC=PRIDE:0000561; NT=Strong cation-exchange chromatography (SCX)	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002416; NT=Orbitrap Fusion	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	not available	AC=CL:0000232; NT=erythrocyte
PXD009258-Sample-13	Homo sapiens	blood	AC=CL:0000232; NT=erythrocyte	ghost	6	not applicable	no available	no available	not applicable	normal	no depletion	6	DVPTPaMA_171030_HD6_P3_Ghosts_SCX3_F23839	proteomic profiling by mass spectrometry	DVPTPaMA_171030_HD6_P3_Ghosts_SCX3_F23839.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009258/DVPTPaMA_171030_HD6_P3_Ghosts_SCX3_F23839.raw	3	AC=PRIDE:0000561; NT=Strong cation-exchange chromatography (SCX)	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002416; NT=Orbitrap Fusion	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	not available	AC=CL:0000232; NT=erythrocyte
PXD009258-Sample-14	Homo sapiens	blood	AC=CL:0000232; NT=erythrocyte	ghost	6	not applicable	no available	no available	not applicable	normal	no depletion	6	DVPTPaMA_171030_HD6_P3_Ghosts_SCX4_F23840	proteomic profiling by mass spectrometry	DVPTPaMA_171030_HD6_P3_Ghosts_SCX4_F23840.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009258/DVPTPaMA_171030_HD6_P3_Ghosts_SCX4_F23840.raw	4	AC=PRIDE:0000561; NT=Strong cation-exchange chromatography (SCX)	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002416; NT=Orbitrap Fusion	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	not available	AC=CL:0000232; NT=erythrocyte
PXD009258-Sample-15	Homo sapiens	blood	AC=CL:0000232; NT=erythrocyte	ghost	6	not applicable	no available	no available	not applicable	normal	no depletion	6	DVPTPaMA_171030_HD6_P3_Ghosts_SCX5_F23841	proteomic profiling by mass spectrometry	DVPTPaMA_171030_HD6_P3_Ghosts_SCX5_F23841.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009258/DVPTPaMA_171030_HD6_P3_Ghosts_SCX5_F23841.raw	5	AC=PRIDE:0000561; NT=Strong cation-exchange chromatography (SCX)	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002416; NT=Orbitrap Fusion	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	not available	AC=CL:0000232; NT=erythrocyte
PXD009258-Sample-16	Homo sapiens	blood	AC=CL:0000232; NT=erythrocyte	not applicable	6	not applicable	no available	no available	not applicable	normal	no depletion	6	DVPTPaMA_171030_HD6_P3_SCX1_F23831	proteomic profiling by mass spectrometry	DVPTPaMA_171030_HD6_P3_SCX1_F23831.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009258/DVPTPaMA_171030_HD6_P3_SCX1_F23831.raw	1	AC=PRIDE:0000561; NT=Strong cation-exchange chromatography (SCX)	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002416; NT=Orbitrap Fusion	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	not available	AC=CL:0000232; NT=erythrocyte
PXD009258-Sample-17	Homo sapiens	blood	AC=CL:0000232; NT=erythrocyte	not applicable	6	not applicable	no available	no available	not applicable	normal	no depletion	6	DVPTPaMA_171030_HD6_P3_SCX2_F23832	proteomic profiling by mass spectrometry	DVPTPaMA_171030_HD6_P3_SCX2_F23832.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009258/DVPTPaMA_171030_HD6_P3_SCX2_F23832.raw	2	AC=PRIDE:0000561; NT=Strong cation-exchange chromatography (SCX)	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002416; NT=Orbitrap Fusion	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	not available	AC=CL:0000232; NT=erythrocyte
PXD009258-Sample-18	Homo sapiens	blood	AC=CL:0000232; NT=erythrocyte	not applicable	6	not applicable	no available	no available	not applicable	normal	no depletion	6	DVPTPaMA_171030_HD6_P3_SCX3_F23833	proteomic profiling by mass spectrometry	DVPTPaMA_171030_HD6_P3_SCX3_F23833.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009258/DVPTPaMA_171030_HD6_P3_SCX3_F23833.raw	3	AC=PRIDE:0000561; NT=Strong cation-exchange chromatography (SCX)	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002416; NT=Orbitrap Fusion	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	not available	AC=CL:0000232; NT=erythrocyte
PXD009258-Sample-19	Homo sapiens	blood	AC=CL:0000232; NT=erythrocyte	not applicable	6	not applicable	no available	no available	not applicable	normal	no depletion	6	DVPTPaMA_171030_HD6_P3_SCX4_F23834	proteomic profiling by mass spectrometry	DVPTPaMA_171030_HD6_P3_SCX4_F23834.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009258/DVPTPaMA_171030_HD6_P3_SCX4_F23834.raw	4	AC=PRIDE:0000561; NT=Strong cation-exchange chromatography (SCX)	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002416; NT=Orbitrap Fusion	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	not available	AC=CL:0000232; NT=erythrocyte
PXD009258-Sample-20	Homo sapiens	blood	AC=CL:0000232; NT=erythrocyte	not applicable	6	not applicable	no available	no available	not applicable	normal	no depletion	6	DVPTPaMA_171030_HD6_P3_SCX5_F23835_171130135345	proteomic profiling by mass spectrometry	DVPTPaMA_171030_HD6_P3_SCX5_F23835_171130135345.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009258/DVPTPaMA_171030_HD6_P3_SCX5_F23835_171130135345.raw	5	AC=PRIDE:0000561; NT=Strong cation-exchange chromatography (SCX)	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002416; NT=Orbitrap Fusion	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	not available	AC=CL:0000232; NT=erythrocyte
PXD009258-Sample-21	Homo sapiens	blood	AC=CL:0000232; NT=erythrocyte	not applicable	6	not applicable	no available	no available	not applicable	normal	no depletion	6	DVPTPaMA_171030_HD6_Retic_SCX1_F23843	proteomic profiling by mass spectrometry	DVPTPaMA_171030_HD6_Retic_SCX1_F23843.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009258/DVPTPaMA_171030_HD6_Retic_SCX1_F23843.raw	1	AC=PRIDE:0000561; NT=Strong cation-exchange chromatography (SCX)	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002416; NT=Orbitrap Fusion	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	not available	AC=CL:0000232; NT=erythrocyte
PXD009258-Sample-22	Homo sapiens	blood	AC=CL:0000232; NT=erythrocyte	not applicable	6	not applicable	no available	no available	not applicable	normal	no depletion	6	DVPTPaMA_171030_HD6_Retic_SCX2_F23844	proteomic profiling by mass spectrometry	DVPTPaMA_171030_HD6_Retic_SCX2_F23844.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009258/DVPTPaMA_171030_HD6_Retic_SCX2_F23844.raw	2	AC=PRIDE:0000561; NT=Strong cation-exchange chromatography (SCX)	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002416; NT=Orbitrap Fusion	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	not available	AC=CL:0000232; NT=erythrocyte
PXD009258-Sample-23	Homo sapiens	blood	AC=CL:0000232; NT=erythrocyte	not applicable	6	not applicable	no available	no available	not applicable	normal	no depletion	6	DVPTPaMA_171030_HD6_Retic_SCX3_F23845	proteomic profiling by mass spectrometry	DVPTPaMA_171030_HD6_Retic_SCX3_F23845.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009258/DVPTPaMA_171030_HD6_Retic_SCX3_F23845.raw	3	AC=PRIDE:0000561; NT=Strong cation-exchange chromatography (SCX)	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002416; NT=Orbitrap Fusion	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	not available	AC=CL:0000232; NT=erythrocyte
PXD009258-Sample-24	Homo sapiens	blood	AC=CL:0000232; NT=erythrocyte	not applicable	6	not applicable	no available	no available	not applicable	normal	no depletion	6	DVPTPaMA_171030_HD6_Retic_SCX4_F23846	proteomic profiling by mass spectrometry	DVPTPaMA_171030_HD6_Retic_SCX4_F23846.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009258/DVPTPaMA_171030_HD6_Retic_SCX4_F23846.raw	4	AC=PRIDE:0000561; NT=Strong cation-exchange chromatography (SCX)	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002416; NT=Orbitrap Fusion	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	not available	AC=CL:0000232; NT=erythrocyte
PXD009258-Sample-25	Homo sapiens	blood	AC=CL:0000232; NT=erythrocyte	not applicable	6	not applicable	no available	no available	not applicable	normal	no depletion	6	DVPTPaMA_171030_HD6_Retic_SCX5_F23847_171130173101	proteomic profiling by mass spectrometry	DVPTPaMA_171030_HD6_Retic_SCX5_F23847_171130173101.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009258/DVPTPaMA_171030_HD6_Retic_SCX5_F23847_171130173101.raw	5	AC=PRIDE:0000561; NT=Strong cation-exchange chromatography (SCX)	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002416; NT=Orbitrap Fusion	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	not available	AC=CL:0000232; NT=erythrocyte
