# Best Performing Samples
# Cluster: 0
# Total Samples: 4318
# Format: Sample_ID, Peptide_Sequences_Identified

2019_08_28_01_27_Q-Exactive-HF-X-Orbitrap_6028, 48650
2019_04_25_18_03_Q-Exactive-HF-X-Orbitrap_6043, 48649
2019_07_01_13_36_Q-Exactive-HF-X-Orbitrap_6324, 48638
2019_02_06_19_47_Q-Exactive-HF-X-Orbitrap_6070, 48634
2019_06_22_21_08_Q-Exactive-HF-X-Orbitrap_6028, 48631
2019_09_17_09_36_Q-Exactive-HF-X-Orbitrap_6043, 48598
2019_08_28_06_30_Q-Exactive-HF-X-Orbitrap_6028, 48573
2019_10_22_13_50_Q-Exactive-HF-X-Orbitrap_6022, 48565
2019_10_08_12_03_Q-Exactive-HF-X-Orbitrap_6043, 48506
2019_07_26_18_00_Q-Exactive-HF-X-Orbitrap_6071, 48504
2019_06_09_15_36_Q-Exactive-HF-X-Orbitrap_6044, 48498
2019_01_29_20_26_Q-Exactive-HF-X-Orbitrap_6078, 48479
2019_10_14_15_25_Q-Exactive-HF-X-Orbitrap_6023, 48478
2019_07_08_14_38_Q-Exactive-HF-X-Orbitrap_6043, 48457
2019_07_16_19_41_Q-Exactive-HF-X-Orbitrap_6044, 48447
2019_07_17_16_32_Q-Exactive-HF-X-Orbitrap_6044, 48447
2019_05_28_14_48_Q-Exactive-HF-X-Orbitrap_6023, 48430
2019_07_02_18_02_Q-Exactive-HF-X-Orbitrap_6071, 48429
2019_09_19_17_54_Q-Exactive-HF-X-Orbitrap_6324, 48395
2019_09_17_20_32_Q-Exactive-HF-X-Orbitrap_6028, 48388
2019_09_06_19_25_Q-Exactive-HF-X-Orbitrap_6013, 48364
2019_10_07_18_23_Q-Exactive-HF-X-Orbitrap_6022, 48359
2015_01_02_01_49_Q-Exactive-HF-Orbitrap_206, 48341
2019_08_28_03_58_Q-Exactive-HF-X-Orbitrap_6028, 48339
2019_07_18_19_36_Q-Exactive-HF-X-Orbitrap_6044, 48337
2019_06_11_13_45_Q-Exactive-HF-X-Orbitrap_6043, 48330
2019_05_25_14_26_Q-Exactive-HF-X-Orbitrap_6023, 48313
2019_10_07_13_47_Q-Exactive-HF-X-Orbitrap_6025, 48277
2019_07_17_14_10_Q-Exactive-HF-X-Orbitrap_6013, 48256
2019_07_09_11_50_Q-Exactive-HF-X-Orbitrap_6023, 48236
2019_09_13_20_52_Q-Exactive-HF-X-Orbitrap_6022, 48231
2019_10_20_00_29_Q-Exactive-HF-X-Orbitrap_6044, 48219
2019_09_18_15_47_Q-Exactive-HF-X-Orbitrap_6044, 48218
2019_09_09_14_47_Q-Exactive-HF-X-Orbitrap_6044, 48213
2019_09_21_08_01_Q-Exactive-HF-X-Orbitrap_6022, 48204
2019_05_13_16_40_Q-Exactive-HF-X-Orbitrap_6013, 48203
2019_05_30_19_43_Q-Exactive-HF-X-Orbitrap_6324, 48202
2019_09_02_22_22_Q-Exactive-HF-X-Orbitrap_6071, 48197
2019_07_22_18_04_Q-Exactive-HF-X-Orbitrap_6044, 48194
2019_07_18_16_27_Q-Exactive-HF-X-Orbitrap_6324, 48185
2019_12_29_18_18_Q-Exactive-HF-X-Orbitrap_6070, 48166
2019_06_05_21_47_Q-Exactive-HF-X-Orbitrap_6028, 48163
2019_09_10_15_54_Q-Exactive-HF-X-Orbitrap_6022, 48154
2019_10_10_01_11_Q-Exactive-HF-X-Orbitrap_6044, 48140
2019_09_17_18_36_Q-Exactive-HF-X-Orbitrap_6070, 48114
2019_07_29_14_09_Q-Exactive-HF-X-Orbitrap_6071, 48109
2019_05_20_16_03_Q-Exactive-HF-X-Orbitrap_6025, 48103
2019_06_23_17_13_Q-Exactive-HF-X-Orbitrap_6071, 48079
2019_07_01_16_04_Q-Exactive-HF-X-Orbitrap_6025, 48071
2019_08_19_13_36_Q-Exactive-HF-X-Orbitrap_6023, 48054
2019_08_22_15_30_Q-Exactive-HF-X-Orbitrap_6013, 48053
2019_08_05_18_02_Q-Exactive-HF-X-Orbitrap_6071, 48049
2019_08_18_14_38_Q-Exactive-HF-X-Orbitrap_6028, 48023
2019_05_06_14_34_Q-Exactive-HF-X-Orbitrap_6044, 48021
2019_07_19_14_59_Q-Exactive-HF-X-Orbitrap_6023, 48011
2019_06_21_15_23_Q-Exactive-HF-X-Orbitrap_6025, 47989
2019_08_04_05_23_Q-Exactive-HF-X-Orbitrap_6044, 47953
2019_10_15_20_02_Q-Exactive-HF-X-Orbitrap_6013, 47952
2019_04_29_18_03_Q-Exactive-HF-X-Orbitrap_6028, 47952
2019_07_22_19_18_Q-Exactive-HF-X-Orbitrap_6324, 47952
2019_10_28_19_34_Q-Exactive-HF-X-Orbitrap_6025, 47937
2019_08_28_14_01_Q-Exactive-HF-X-Orbitrap_6023, 47926
2019_06_26_14_10_Q-Exactive-HF-X-Orbitrap_6023, 47917
2019_06_09_20_18_Q-Exactive-HF-X-Orbitrap_6044, 47908
2019_05_30_19_45_Q-Exactive-HF-X-Orbitrap_6013, 47903
2019_04_30_15_27_Q-Exactive-HF-X-Orbitrap_6324, 47898
2019_04_29_20_08_Q-Exactive-HF-X-Orbitrap_6013, 47885
2019_06_14_16_06_Q-Exactive-HF-X-Orbitrap_6013, 47880
2019_05_23_22_39_Q-Exactive-HF-X-Orbitrap_6044, 47850
2019_10_07_18_28_Q-Exactive-HF-X-Orbitrap_6023, 47825
2019_07_24_18_58_Q-Exactive-HF-X-Orbitrap_6028, 47805
2019_02_07_17_43_Q-Exactive-HF-X-Orbitrap_6070, 47769
2019_09_14_17_26_Q-Exactive-HF-X-Orbitrap_6044, 47761
2019_08_26_20_49_Q-Exactive-HF-X-Orbitrap_6023, 47755
2019_08_02_20_08_Q-Exactive-HF-X-Orbitrap_6324, 47727
2019_08_25_07_39_Q-Exactive-HF-X-Orbitrap_6028, 47720
2019_08_06_18_21_Q-Exactive-HF-X-Orbitrap_6025, 47716
2019_08_19_00_58_Q-Exactive-HF-X-Orbitrap_6028, 47715
2018_02_28_14_18_Q-Exactive-HF-X-Orbitrap_6016, 47635
2019_08_06_12_30_Q-Exactive-HF-X-Orbitrap_6025, 47623
2019_10_07_23_10_Q-Exactive-HF-X-Orbitrap_6070, 47559
2019_09_22_08_09_Q-Exactive-HF-X-Orbitrap_6070, 47535
2018_03_05_01_02_Q-Exactive-HF-X-Orbitrap_6016, 47514
2019_10_07_13_07_Q-Exactive-HF-X-Orbitrap_6324, 47501
2019_10_11_17_40_Q-Exactive-HF-X-Orbitrap_6044, 47481
2018_01_26_22_47_Q-Exactive-HF-X-Orbitrap_6078, 47460
2019_09_27_13_09_Q-Exactive-HF-X-Orbitrap_6013, 47454
2019_07_26_15_03_Q-Exactive-HF-X-Orbitrap_6071, 47434
2019_01_31_11_11_Q-Exactive-HF-X-Orbitrap_6078, 47429
2019_06_12_18_54_Q-Exactive-HF-X-Orbitrap_6013, 47410
2019_04_25_19_13_Q-Exactive-HF-X-Orbitrap_6070, 47374
2019_08_16_21_32_Q-Exactive-HF-X-Orbitrap_6043, 47374
2019_06_23_19_56_Q-Exactive-HF-X-Orbitrap_6071, 47366
2019_05_14_18_17_Q-Exactive-HF-X-Orbitrap_6028, 47360
2019_08_27_20_24_Q-Exactive-HF-X-Orbitrap_6028, 47347
2019_07_22_13_58_Q-Exactive-HF-X-Orbitrap_6013, 47343
2019_09_26_18_40_Q-Exactive-HF-X-Orbitrap_6022, 47336
2019_09_24_19_54_Q-Exactive-HF-X-Orbitrap_6043, 47325
2019_09_12_22_13_Q-Exactive-HF-X-Orbitrap_6013, 47316
2018_01_27_01_27_Q-Exactive-HF-X-Orbitrap_6078, 47313
2019_08_26_11_06_Q-Exactive-HF-X-Orbitrap_6043, 47307
2019_09_03_09_59_Q-Exactive-HF-X-Orbitrap_6043, 47302
2019_09_02_22_58_Q-Exactive-HF-X-Orbitrap_6022, 47296
2019_09_18_16_42_Q-Exactive-HF-X-Orbitrap_6025, 47283
2019_09_23_14_47_Q-Exactive-HF-X-Orbitrap_6022, 47282
2019_08_21_00_50_Q-Exactive-HF-X-Orbitrap_6070, 47239
2019_06_17_17_55_Q-Exactive-HF-X-Orbitrap_6044, 47219
2019_05_17_15_27_Q-Exactive-HF-X-Orbitrap_6028, 47199
2019_06_28_16_25_Q-Exactive-HF-X-Orbitrap_6028, 47168
2019_08_25_21_45_Q-Exactive-HF-X-Orbitrap_6028, 47154
2019_07_31_22_47_Q-Exactive-HF-X-Orbitrap_6044, 47144
2019_08_30_20_28_Q-Exactive-HF-X-Orbitrap_6071, 47134
2019_08_26_08_48_Q-Exactive-HF-X-Orbitrap_6028, 47134
2019_05_06_13_50_Q-Exactive-HF-X-Orbitrap_6043, 47125
2019_09_21_02_11_Q-Exactive-HF-X-Orbitrap_6022, 47096
2019_06_15_21_16_Q-Exactive-HF-X-Orbitrap_6022, 47085
2019_09_29_12_35_Q-Exactive-HF-X-Orbitrap_6324, 47082
2019_08_04_15_37_Q-Exactive-HF-X-Orbitrap_6028, 47068
2019_08_18_22_23_Q-Exactive-HF-X-Orbitrap_6028, 47064
2018_12_18_17_59_Q-Exactive-HF-X-Orbitrap_6078, 47062
2019_06_18_10_31_Q-Exactive-HF-X-Orbitrap_6022, 47059
2019_05_15_13_57_Q-Exactive-HF-X-Orbitrap_6324, 47042
2019_10_14_14_44_Q-Exactive-HF-X-Orbitrap_6028, 47033
2019_04_16_05_27_Q-Exactive-HF-X-Orbitrap_6071, 47020
2019_08_02_21_58_Q-Exactive-HF-X-Orbitrap_6078, 47019
2019_07_09_00_35_Q-Exactive-HF-X-Orbitrap_6011, 47019
2019_05_20_14_00_Q-Exactive-HF-X-Orbitrap_6013, 47015
2018_02_27_21_27_Q-Exactive-HF-X-Orbitrap_6016, 47005
2020_07_08_02_23_Orbitrap-Exploris-480_MA10132C, 47000
2019_07_20_22_11_Q-Exactive-HF-X-Orbitrap_6025, 46969
2019_05_26_05_28_Q-Exactive-HF-X-Orbitrap_6044, 46965
2019_07_20_05_38_Q-Exactive-HF-X-Orbitrap_6071, 46963
2019_09_30_05_14_Q-Exactive-HF-X-Orbitrap_6044, 46951
2019_06_07_13_48_Q-Exactive-HF-X-Orbitrap_6043, 46942
2020_07_08_05_17_Orbitrap-Exploris-480_MA10132C, 46927
2019_05_27_17_37_Q-Exactive-HF-X-Orbitrap_6025, 46922
2019_06_14_20_17_Q-Exactive-HF-X-Orbitrap_6028, 46899
2019_08_19_16_05_Q-Exactive-HF-X-Orbitrap_6013, 46896
2019_07_03_11_27_Q-Exactive-HF-X-Orbitrap_6022, 46878
2019_08_18_12_04_Q-Exactive-HF-X-Orbitrap_6028, 46873
2019_09_18_00_28_Q-Exactive-HF-X-Orbitrap_6070, 46870
2019_07_25_16_28_Q-Exactive-HF-X-Orbitrap_6028, 46865
2019_08_23_09_57_Q-Exactive-HF-X-Orbitrap_6043, 46862
2019_07_09_16_10_Q-Exactive-HF-X-Orbitrap_6324, 46860
2018_01_26_20_07_Q-Exactive-HF-X-Orbitrap_6078, 46822
2019_03_29_14_10_Q-Exactive-HF-X-Orbitrap_6070, 46812
2019_05_02_17_33_Q-Exactive-HF-X-Orbitrap_6044, 46811
2019_10_23_13_04_Q-Exactive-HF-X-Orbitrap_6028, 46807
2019_05_07_23_58_Q-Exactive-HF-X-Orbitrap_6071, 46806
2019_08_05_18_49_Q-Exactive-HF-X-Orbitrap_6044, 46803
2019_09_04_18_59_Q-Exactive-HF-X-Orbitrap_6043, 46793
2019_07_29_12_42_Q-Exactive-HF-X-Orbitrap_6025, 46762
2019_04_04_16_30_Q-Exactive-HF-X-Orbitrap_6071, 46760
2019_05_13_10_46_Q-Exactive-HF-X-Orbitrap_6044, 46750
2020_01_11_20_55_Q-Exactive-HF-X-Orbitrap_6071, 46739
2019_04_13_21_17_Q-Exactive-HF-X-Orbitrap_6071, 46736
2018_06_04_15_58_Q-Exactive-HF-X-Orbitrap_6011, 46718
2019_08_02_19_21_Q-Exactive-HF-X-Orbitrap_6013, 46714
2019_01_04_16_06_Q-Exactive-HF-X-Orbitrap_6071, 46706
2019_06_13_18_24_Q-Exactive-HF-X-Orbitrap_6028, 46704
2019_05_22_03_15_Q-Exactive-HF-X-Orbitrap_6073, 46692
2019_07_17_12_30_Q-Exactive-HF-X-Orbitrap_6070, 46691
2019_07_29_17_53_Q-Exactive-HF-X-Orbitrap_6022, 46683
2019_09_03_13_23_Q-Exactive-HF-X-Orbitrap_6028, 46673
2019_09_26_22_07_Q-Exactive-HF-X-Orbitrap_6324, 46661
2019_05_09_12_27_Q-Exactive-HF-X-Orbitrap_6324, 46647
2019_02_01_22_23_Q-Exactive-HF-X-Orbitrap_6075, 46640
2019_10_11_13_11_Q-Exactive-HF-X-Orbitrap_6028, 46637
2019_09_02_20_36_Q-Exactive-HF-X-Orbitrap_6022, 46623
2019_09_05_11_47_Q-Exactive-HF-X-Orbitrap_6022, 46622
2020_07_08_08_11_Orbitrap-Exploris-480_MA10132C, 46621
2019_04_21_09_30_Q-Exactive-HF-X-Orbitrap_6070, 46610
2019_07_17_13_04_Q-Exactive-HF-X-Orbitrap_6025, 46601
2019_07_30_01_22_Q-Exactive-HF-X-Orbitrap_6028, 46600
2019_08_05_15_04_Q-Exactive-HF-X-Orbitrap_6071, 46599
2019_01_04_20_45_Q-Exactive-HF-X-Orbitrap_6071, 46598
2019_07_21_15_15_Q-Exactive-HF-X-Orbitrap_6025, 46577
2019_09_10_12_49_Q-Exactive-HF-X-Orbitrap_6023, 46572
2019_07_08_19_11_Q-Exactive-HF-X-Orbitrap_6011, 46558
2019_10_02_15_25_Q-Exactive-HF-X-Orbitrap_6022, 46518
2019_10_21_14_26_Q-Exactive-HF-X-Orbitrap_6324, 46508
2019_05_22_14_04_Q-Exactive-HF-X-Orbitrap_6324, 46507
2019_06_13_15_46_Q-Exactive-HF-X-Orbitrap_6028, 46500
2019_07_25_16_46_Q-Exactive-HF-X-Orbitrap_6013, 46477
2019_06_28_13_54_Q-Exactive-HF-X-Orbitrap_6028, 46472
2019_08_05_19_07_Q-Exactive-HF-X-Orbitrap_6028, 46450
2019_08_12_14_29_Q-Exactive-HF-X-Orbitrap_6324, 46443
2020_07_07_23_30_Orbitrap-Exploris-480_MA10132C, 46429
2019_11_29_13_32_Q-Exactive-HF-X-Orbitrap_6070, 46423
2019_08_06_17_49_Q-Exactive-HF-X-Orbitrap_6324, 46422
2019_07_17_15_31_Q-Exactive-HF-X-Orbitrap_6070, 46411
2019_08_02_23_21_Q-Exactive-HF-X-Orbitrap_6071, 46408
2019_06_24_16_11_Q-Exactive-HF-X-Orbitrap_6022, 46404
2019_12_29_15_06_Q-Exactive-HF-X-Orbitrap_6070, 46374
2019_05_22_00_32_Q-Exactive-HF-X-Orbitrap_6073, 46369
2019_09_19_04_25_Q-Exactive-HF-X-Orbitrap_6101, 46364
2019_06_14_19_56_Q-Exactive-HF-X-Orbitrap_6025, 46359
2019_09_10_19_23_Q-Exactive-HF-X-Orbitrap_6070, 46334
2019_05_28_18_04_Q-Exactive-HF-X-Orbitrap_6013, 46313
2019_08_07_14_40_Q-Exactive-HF-X-Orbitrap_6071, 46305
2019_06_21_13_03_Q-Exactive-HF-X-Orbitrap_6025, 46298
2019_07_21_21_26_Q-Exactive-HF-X-Orbitrap_6071, 46292
2019_07_31_17_14_Q-Exactive-HF-X-Orbitrap_6013, 46287
2019_06_11_13_39_Q-Exactive-HF-X-Orbitrap_6022, 46264
2019_08_10_16_35_Q-Exactive-HF-X-Orbitrap_6070, 46262
2019_06_19_12_43_Q-Exactive-HF-X-Orbitrap_6043, 46260
2019_08_19_12_52_Q-Exactive-HF-X-Orbitrap_6025, 46257
2019_06_03_14_51_Q-Exactive-HF-X-Orbitrap_6022, 46254
2019_08_13_14_17_Q-Exactive-HF-X-Orbitrap_6013, 46246
2019_06_12_03_24_Q-Exactive-HF-X-Orbitrap_6028, 46227
2019_08_26_14_16_Q-Exactive-HF-X-Orbitrap_6044, 46224
2019_06_19_19_51_Q-Exactive-HF-X-Orbitrap_6043, 46219
2019_07_02_18_35_Q-Exactive-HF-X-Orbitrap_6028, 46216
2019_09_19_01_19_Q-Exactive-HF-X-Orbitrap_6101, 46214
2019_07_08_21_53_Q-Exactive-HF-X-Orbitrap_6011, 46212
2019_05_21_14_17_Q-Exactive-HF-X-Orbitrap_6022, 46197
2019_02_04_11_26_Q-Exactive-HF-X-Orbitrap_6071, 46186
2019_07_12_18_57_Q-Exactive-HF-X-Orbitrap_6070, 46182
2019_05_27_13_27_Q-Exactive-HF-X-Orbitrap_6022, 46137
2019_08_02_18_56_Q-Exactive-HF-X-Orbitrap_6078, 46137
2019_09_03_13_52_Q-Exactive-HF-X-Orbitrap_6004, 46135
2019_10_01_14_32_Q-Exactive-HF-X-Orbitrap_6043, 46134
2019_07_01_08_04_Q-Exactive-HF-X-Orbitrap_6078, 46132
2017_12_22_19_05_Q-Exactive-HF-X-Orbitrap_6070, 46132
2019_10_09_18_47_Q-Exactive-HF-X-Orbitrap_6013, 46131
2019_04_29_15_38_Q-Exactive-HF-X-Orbitrap_6025, 46124
2019_11_29_17_32_Q-Exactive-HF-X-Orbitrap_6070, 46119
2019_08_26_16_08_Q-Exactive-HF-X-Orbitrap_6028, 46114
2019_09_23_17_05_Q-Exactive-HF-X-Orbitrap_6025, 46105
2019_09_02_19_15_Q-Exactive-HF-X-Orbitrap_6013, 46104
2020_10_31_17_30_Orbitrap-Exploris-480_MA10132C, 46090
2019_08_20_18_17_Q-Exactive-HF-X-Orbitrap_6073, 46083
2019_06_11_16_39_Q-Exactive-HF-X-Orbitrap_6073, 46058
2019_07_09_21_23_Q-Exactive-HF-X-Orbitrap_6025, 46057
2019_05_13_12_11_Q-Exactive-HF-X-Orbitrap_6043, 46048
2019_08_04_06_35_Q-Exactive-HF-X-Orbitrap_6071, 46044
2020_10_31_12_03_Orbitrap-Exploris-480_MA10132C, 46036
2019_02_02_01_06_Q-Exactive-HF-X-Orbitrap_6075, 46030
2019_09_16_13_26_Q-Exactive-HF-X-Orbitrap_6025, 46025
2019_08_26_21_09_Q-Exactive-HF-X-Orbitrap_6028, 46015
2019_07_09_16_37_Q-Exactive-HF-X-Orbitrap_6025, 46008
2019_05_23_20_15_Q-Exactive-HF-X-Orbitrap_6044, 46003
2019_08_15_19_13_Q-Exactive-HF-X-Orbitrap_6028, 46002
2019_10_03_16_15_Q-Exactive-HF-X-Orbitrap_6070, 46001
2019_02_25_16_30_Q-Exactive-HF-X-Orbitrap_6078, 45993
2019_06_27_15_32_Q-Exactive-HF-X-Orbitrap_6043, 45982
2019_10_26_06_30_Q-Exactive-HF-X-Orbitrap_6324, 45977
2019_04_10_03_42_Q-Exactive-HF-X-Orbitrap_6071, 45976
2019_06_28_17_46_Q-Exactive-HF-X-Orbitrap_6011, 45973
2019_07_21_15_51_Q-Exactive-HF-X-Orbitrap_6028, 45939
2019_05_28_19_31_Q-Exactive-HF-X-Orbitrap_6044, 45931
2019_11_16_15_53_Q-Exactive-HF-X-Orbitrap_6070, 45921
2019_08_27_17_53_Q-Exactive-HF-X-Orbitrap_6028, 45905
2019_08_27_13_41_Q-Exactive-HF-X-Orbitrap_6013, 45894
2019_09_11_14_40_Q-Exactive-HF-X-Orbitrap_6028, 45893
2019_08_22_22_52_Q-Exactive-HF-X-Orbitrap_6028, 45880
2019_10_14_16_26_Q-Exactive-HF-X-Orbitrap_6324, 45875
2019_08_24_15_54_Q-Exactive-HF-X-Orbitrap_6028, 45861
2018_05_22_23_16_Q-Exactive-HF-X-Orbitrap_6078, 45857
2019_06_03_15_27_Q-Exactive-HF-X-Orbitrap_6028, 45845
2019_06_14_22_55_Q-Exactive-HF-X-Orbitrap_6028, 45845
2019_10_15_19_42_Q-Exactive-HF-X-Orbitrap_6324, 45842
2019_05_28_00_18_Q-Exactive-HF-X-Orbitrap_6075, 45839
2019_08_03_18_47_Q-Exactive-HF-X-Orbitrap_6324, 45824
2019_10_09_22_20_Q-Exactive-HF-X-Orbitrap_6011, 45814
2019_02_01_15_28_Q-Exactive-HF-X-Orbitrap_6071, 45813
