source name	characteristics[organism]	characteristics[organism part]	characteristics[individual]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[disease]	characteristics[depletion]	characteristics[depletion method]	characteristics[biological replicate]	characteristics[sampling time]	assay name	Technology type	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[fractionation method]	comment[label]	comment[technical replicate]	comment[cleavage agent details]	comment[instrument]	comment[separation]	comment[modification parameter]	comment[modification parameter]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD008441-Sample-21	Homo sapiens	blood plasma	1	not applicable	not available	not available	not available	not available	Normal	depleted	LAP enrichment	1	not applicable	201300926_ZY_Human_pool7_LP_RP_7	proteomic profiling by mass spectrometry	201300926_ZY_Human_pool7_LP_RP_7.raw	https://www.iprox.cn//page/project.html?id=IPX0000951000/201300926_ZY_Human_pool7_LP_RP_7.raw	21	High-pH RPLC Separation	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	AC=MS:1001911;NT=Q Exactive	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	AC=MS:1000422;NT=HCD	27 NCE	20 ppm	0.05 Da	blood plasma
PXD008441-Sample-22	Homo sapiens	blood plasma	1	not applicable	not available	not available	not available	not available	Normal	depleted	LAP enrichment	1	not applicable	201300926_ZY_Human_pool7_LP_RP_8	proteomic profiling by mass spectrometry	201300926_ZY_Human_pool7_LP_RP_8.raw	https://www.iprox.cn//page/project.html?id=IPX0000951000/201300926_ZY_Human_pool7_LP_RP_8.raw	22	High-pH RPLC Separation	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	AC=MS:1001911;NT=Q Exactive	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	AC=MS:1000422;NT=HCD	27 NCE	20 ppm	0.05 Da	blood plasma
PXD008441-Sample-23	Homo sapiens	blood plasma	1	not applicable	not available	not available	not available	not available	Normal	depleted	LAP enrichment	1	not applicable	201300926_ZY_Human_pool7_LP_RP_9	proteomic profiling by mass spectrometry	201300926_ZY_Human_pool7_LP_RP_9.raw	https://www.iprox.cn//page/project.html?id=IPX0000951000/201300926_ZY_Human_pool7_LP_RP_9.raw	23	High-pH RPLC Separation	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	AC=MS:1001911;NT=Q Exactive	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	AC=MS:1000422;NT=HCD	27 NCE	20 ppm	0.05 Da	blood plasma
PXD008441-Sample-24	Homo sapiens	blood plasma	1	not applicable	not available	not available	not available	not available	Normal	depleted	HAP depletion	1	not applicable	20130804_ZY_Human_pool7_IgY14_2_RP_10	proteomic profiling by mass spectrometry	20130804_ZY_Human_pool7_IgY14_2_RP_10.raw	https://www.iprox.cn//page/project.html?id=IPX0000951000/20130804_ZY_Human_pool7_IgY14_2_RP_10.raw	1	High-pH RPLC Separation	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	AC=MS:1001911;NT=Q Exactive	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	AC=MS:1000422;NT=HCD	27 NCE	20 ppm	0.05 Da	blood plasma
PXD008441-Sample-25	Homo sapiens	blood plasma	1	not applicable	not available	not available	not available	not available	Normal	depleted	HAP depletion	1	not applicable	20130804_ZY_Human_pool7_IgY14_2_RP_11	proteomic profiling by mass spectrometry	20130804_ZY_Human_pool7_IgY14_2_RP_11.raw	https://www.iprox.cn//page/project.html?id=IPX0000951000/20130804_ZY_Human_pool7_IgY14_2_RP_11.raw	2	High-pH RPLC Separation	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	AC=MS:1001911;NT=Q Exactive	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	AC=MS:1000422;NT=HCD	27 NCE	20 ppm	0.05 Da	blood plasma
PXD008441-Sample-26	Homo sapiens	blood plasma	1	not applicable	not available	not available	not available	not available	Normal	depleted	HAP depletion	1	not applicable	20130804_ZY_Human_pool7_IgY14_2_RP_12	proteomic profiling by mass spectrometry	20130804_ZY_Human_pool7_IgY14_2_RP_12.raw	https://www.iprox.cn//page/project.html?id=IPX0000951000/20130804_ZY_Human_pool7_IgY14_2_RP_12.raw	3	High-pH RPLC Separation	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	AC=MS:1001911;NT=Q Exactive	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	AC=MS:1000422;NT=HCD	27 NCE	20 ppm	0.05 Da	blood plasma
PXD008441-Sample-27	Homo sapiens	blood plasma	1	not applicable	not available	not available	not available	not available	Normal	depleted	HAP depletion	1	not applicable	20130804_ZY_Human_pool7_IgY14_2_RP_13	proteomic profiling by mass spectrometry	20130804_ZY_Human_pool7_IgY14_2_RP_13.raw	https://www.iprox.cn//page/project.html?id=IPX0000951000/20130804_ZY_Human_pool7_IgY14_2_RP_13.raw	4	High-pH RPLC Separation	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	AC=MS:1001911;NT=Q Exactive	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	AC=MS:1000422;NT=HCD	27 NCE	20 ppm	0.05 Da	blood plasma
PXD008441-Sample-28	Homo sapiens	blood plasma	1	not applicable	not available	not available	not available	not available	Normal	depleted	HAP depletion	1	not applicable	20130804_ZY_Human_pool7_IgY14_2_RP_14	proteomic profiling by mass spectrometry	20130804_ZY_Human_pool7_IgY14_2_RP_14.raw	https://www.iprox.cn//page/project.html?id=IPX0000951000/20130804_ZY_Human_pool7_IgY14_2_RP_14.raw	5	High-pH RPLC Separation	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	AC=MS:1001911;NT=Q Exactive	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	AC=MS:1000422;NT=HCD	27 NCE	20 ppm	0.05 Da	blood plasma
PXD008441-Sample-29	Homo sapiens	blood plasma	1	not applicable	not available	not available	not available	not available	Normal	depleted	HAP depletion	1	not applicable	20130804_ZY_Human_pool7_IgY14_2_RP_15	proteomic profiling by mass spectrometry	20130804_ZY_Human_pool7_IgY14_2_RP_15.raw	https://www.iprox.cn//page/project.html?id=IPX0000951000/20130804_ZY_Human_pool7_IgY14_2_RP_15.raw	6	High-pH RPLC Separation	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	AC=MS:1001911;NT=Q Exactive	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	AC=MS:1000422;NT=HCD	27 NCE	20 ppm	0.05 Da	blood plasma
PXD008441-Sample-30	Homo sapiens	blood plasma	1	not applicable	not available	not available	not available	not available	Normal	depleted	HAP depletion	1	not applicable	20130804_ZY_Human_pool7_IgY14_2_RP_16	proteomic profiling by mass spectrometry	20130804_ZY_Human_pool7_IgY14_2_RP_16.raw	https://www.iprox.cn//page/project.html?id=IPX0000951000/20130804_ZY_Human_pool7_IgY14_2_RP_16.raw	7	High-pH RPLC Separation	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	AC=MS:1001911;NT=Q Exactive	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	AC=MS:1000422;NT=HCD	27 NCE	20 ppm	0.05 Da	blood plasma
PXD008441-Sample-31	Homo sapiens	blood plasma	1	not applicable	not available	not available	not available	not available	Normal	depleted	HAP depletion	1	not applicable	20130804_ZY_Human_pool7_IgY14_2_RP_17	proteomic profiling by mass spectrometry	20130804_ZY_Human_pool7_IgY14_2_RP_17.raw	https://www.iprox.cn//page/project.html?id=IPX0000951000/20130804_ZY_Human_pool7_IgY14_2_RP_17.raw	8	High-pH RPLC Separation	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	AC=MS:1001911;NT=Q Exactive	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	AC=MS:1000422;NT=HCD	27 NCE	20 ppm	0.05 Da	blood plasma
PXD008441-Sample-32	Homo sapiens	blood plasma	1	not applicable	not available	not available	not available	not available	Normal	depleted	HAP depletion	1	not applicable	20130804_ZY_Human_pool7_IgY14_2_RP_18	proteomic profiling by mass spectrometry	20130804_ZY_Human_pool7_IgY14_2_RP_18.raw	https://www.iprox.cn//page/project.html?id=IPX0000951000/20130804_ZY_Human_pool7_IgY14_2_RP_18.raw	9	High-pH RPLC Separation	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	AC=MS:1001911;NT=Q Exactive	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	AC=MS:1000422;NT=HCD	27 NCE	20 ppm	0.05 Da	blood plasma
PXD008441-Sample-33	Homo sapiens	blood plasma	1	not applicable	not available	not available	not available	not available	Normal	depleted	HAP depletion	1	not applicable	20130804_ZY_Human_pool7_IgY14_2_RP_19	proteomic profiling by mass spectrometry	20130804_ZY_Human_pool7_IgY14_2_RP_19.raw	https://www.iprox.cn//page/project.html?id=IPX0000951000/20130804_ZY_Human_pool7_IgY14_2_RP_19.raw	10	High-pH RPLC Separation	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	AC=MS:1001911;NT=Q Exactive	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	AC=MS:1000422;NT=HCD	27 NCE	20 ppm	0.05 Da	blood plasma
