source name	characteristics[organism]	characteristics[organism part]	characteristics[individual]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[disease]	characteristics[depletion]	characteristics[biological replicate]	characteristics[sampling time]	assay name	Technology type	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[fractionation method]	comment[label]	comment[technical replicate]	comment[cleavage agent details]	comment[cleavage agent details]	comment[MS2 mass analyzer]	comment[instrument]	comment[separation]	comment[modification parameter]	comment[modification parameter]	comment[modification parameter]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD002854-Sample-Serum-1	Homo sapiens	Blood serum	1	not applicable	not available	not available	not available	not available	normal	depletion	1	no applicable	20150414_QEp1_LC7_GaPI_SA_Serum_DT_11	proteomic profiling by mass spectrometry	20150202_QEp2_LC11_PhGe_SA_4_57_B8.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/20150202_QEp2_LC11_PhGe_SA_4_57_B8.raw	11	not available	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Lys-C; AC=MS:1001309; CS='(?<=K)(?\!P)'	AC=MS:1000484; NT=Orbitrap	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	7 ppm	20 ppm	Blood serum
PXD002854-Sample-Serum-1	Homo sapiens	Blood serum	1	not applicable	not available	not available	not available	not available	normal	depletion	1	no applicable	20150414_QEp1_LC7_GaPI_SA_Serum_DT_12_150416195433	proteomic profiling by mass spectrometry	20150202_QEp2_LC11_PhGe_SA_4_57_B9.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/20150202_QEp2_LC11_PhGe_SA_4_57_B9.raw	12	not available	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Lys-C; AC=MS:1001309; CS='(?<=K)(?\!P)'	AC=MS:1000484; NT=Orbitrap	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	7 ppm	20 ppm	Blood serum
PXD002854-Sample-Serum-1	Homo sapiens	Blood serum	1	not applicable	not available	not available	not available	not available	normal	depletion	1	no applicable	20150414_QEp1_LC7_GaPI_SA_Serum_DT_13	proteomic profiling by mass spectrometry	20150202_QEp2_LC11_PhGe_SA_4_57_B10.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/20150202_QEp2_LC11_PhGe_SA_4_57_B10.raw	13	not available	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Lys-C; AC=MS:1001309; CS='(?<=K)(?\!P)'	AC=MS:1000484; NT=Orbitrap	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	7 ppm	20 ppm	Blood serum
PXD002854-Sample-Serum-1	Homo sapiens	Blood serum	1	not applicable	not available	not available	not available	not available	normal	depletion	1	no applicable	20150414_QEp1_LC7_GaPI_SA_Serum_DT_14	proteomic profiling by mass spectrometry	20160112_QEp1_LC7_PhGe_SA_F1_1.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/20160112_QEp1_LC7_PhGe_SA_F1_1.raw	14	not available	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Lys-C; AC=MS:1001309; CS='(?<=K)(?\!P)'	AC=MS:1000484; NT=Orbitrap	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	7 ppm	20 ppm	Blood serum
PXD002854-Sample-Serum-1	Homo sapiens	Blood serum	1	not applicable	not available	not available	not available	not available	normal	depletion	1	no applicable	20150414_QEp1_LC7_GaPI_SA_Serum_DT_15	proteomic profiling by mass spectrometry	20160112_QEp1_LC7_PhGe_SA_F1_2.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/20160112_QEp1_LC7_PhGe_SA_F1_2.raw	15	not available	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Lys-C; AC=MS:1001309; CS='(?<=K)(?\!P)'	AC=MS:1000484; NT=Orbitrap	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	7 ppm	20 ppm	Blood serum
PXD002854-Sample-Serum-1	Homo sapiens	Blood serum	1	not applicable	not available	not available	not available	not available	normal	depletion	1	no applicable	20150414_QEp1_LC7_GaPI_SA_Serum_DT_16	proteomic profiling by mass spectrometry	20160112_QEp1_LC7_PhGe_SA_F1_3.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/20160112_QEp1_LC7_PhGe_SA_F1_3.raw	16	not available	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Lys-C; AC=MS:1001309; CS='(?<=K)(?\!P)'	AC=MS:1000484; NT=Orbitrap	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	7 ppm	20 ppm	Blood serum
PXD002854-Sample-Serum-1	Homo sapiens	Blood serum	1	not applicable	not available	not available	not available	not available	normal	depletion	1	no applicable	20150414_QEp1_LC7_GaPI_SA_Serum_DT_17	proteomic profiling by mass spectrometry	20160112_QEp1_LC7_PhGe_SA_F5_1.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/20160112_QEp1_LC7_PhGe_SA_F5_1.raw	17	not available	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Lys-C; AC=MS:1001309; CS='(?<=K)(?\!P)'	AC=MS:1000484; NT=Orbitrap	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	7 ppm	20 ppm	Blood serum
PXD002854-Sample-Serum-1	Homo sapiens	Blood serum	1	not applicable	not available	not available	not available	not available	normal	depletion	1	no applicable	20150414_QEp1_LC7_GaPI_SA_Serum_DT_18	proteomic profiling by mass spectrometry	20160112_QEp1_LC7_PhGe_SA_F5_2.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/20160112_QEp1_LC7_PhGe_SA_F5_2.raw	18	not available	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Lys-C; AC=MS:1001309; CS='(?<=K)(?\!P)'	AC=MS:1000484; NT=Orbitrap	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	7 ppm	20 ppm	Blood serum
PXD002854-Sample-Serum-1	Homo sapiens	Blood serum	1	not applicable	not available	not available	not available	not available	normal	depletion	1	no applicable	20150414_QEp1_LC7_GaPI_SA_Serum_DT_19	proteomic profiling by mass spectrometry	20160112_QEp1_LC7_PhGe_SA_F5_3.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/20160112_QEp1_LC7_PhGe_SA_F5_3.raw	19	not available	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Lys-C; AC=MS:1001309; CS='(?<=K)(?\!P)'	AC=MS:1000484; NT=Orbitrap	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	7 ppm	20 ppm	Blood serum
PXD002854-Sample-Serum-1	Homo sapiens	Blood serum	1	not applicable	not available	not available	not available	not available	normal	depletion	1	no applicable	20150414_QEp1_LC7_GaPI_SA_Serum_DT_20	proteomic profiling by mass spectrometry	20160112_QEp1_LC7_PhGe_SA_F8_1.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/20160112_QEp1_LC7_PhGe_SA_F8_1.raw	20	not available	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Lys-C; AC=MS:1001309; CS='(?<=K)(?\!P)'	AC=MS:1000484; NT=Orbitrap	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	7 ppm	20 ppm	Blood serum
PXD002854-Sample-Serum-1	Homo sapiens	Blood serum	1	not applicable	not available	not available	not available	not available	normal	depletion	1	no applicable	20150414_QEp1_LC7_GaPI_SA_Serum_DT_21	proteomic profiling by mass spectrometry	20160112_QEp1_LC7_PhGe_SA_F8_2.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/20160112_QEp1_LC7_PhGe_SA_F8_2.raw	21	not available	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Lys-C; AC=MS:1001309; CS='(?<=K)(?\!P)'	AC=MS:1000484; NT=Orbitrap	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	7 ppm	20 ppm	Blood serum
PXD002854-Sample-Serum-1	Homo sapiens	Blood serum	1	not applicable	not available	not available	not available	not available	normal	depletion	1	no applicable	20150414_QEp1_LC7_GaPI_SA_Serum_DT_22	proteomic profiling by mass spectrometry	20160112_QEp1_LC7_PhGe_SA_F8_3.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/20160112_QEp1_LC7_PhGe_SA_F8_3.raw	22	not available	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Lys-C; AC=MS:1001309; CS='(?<=K)(?\!P)'	AC=MS:1000484; NT=Orbitrap	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	7 ppm	20 ppm	Blood serum
PXD002854-Sample-Serum-1	Homo sapiens	Blood serum	1	not applicable	not available	not available	not available	not available	normal	depletion	1	no applicable	20150414_QEp1_LC7_GaPI_SA_Serum_DT_23	proteomic profiling by mass spectrometry	20160112_QEp1_LC7_PhGe_SA_F13_1.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/20160112_QEp1_LC7_PhGe_SA_F13_1.raw	23	not available	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Lys-C; AC=MS:1001309; CS='(?<=K)(?\!P)'	AC=MS:1000484; NT=Orbitrap	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	7 ppm	20 ppm	Blood serum
PXD002854-Sample-Serum-1	Homo sapiens	Blood serum	1	not applicable	not available	not available	not available	not available	normal	depletion	1	no applicable	20150414_QEp1_LC7_GaPI_SA_Serum_DT_24	proteomic profiling by mass spectrometry	20160112_QEp1_LC7_PhGe_SA_F13_2.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/20160112_QEp1_LC7_PhGe_SA_F13_2.raw	24	not available	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Lys-C; AC=MS:1001309; CS='(?<=K)(?\!P)'	AC=MS:1000484; NT=Orbitrap	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	7 ppm	20 ppm	Blood serum
PXD002854-Sample-Serum-1	Homo sapiens	Blood serum	1	not applicable	not available	not available	not available	not available	normal	depletion	1	no applicable	20150414_QEp1_LC7_GaPI_SA_Serum_DT_25	proteomic profiling by mass spectrometry	20160112_QEp1_LC7_PhGe_SA_F13_3.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/20160112_QEp1_LC7_PhGe_SA_F13_3.raw	25	not available	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Lys-C; AC=MS:1001309; CS='(?<=K)(?\!P)'	AC=MS:1000484; NT=Orbitrap	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	7 ppm	20 ppm	Blood serum
PXD002854-Sample-Serum-1	Homo sapiens	Blood serum	1	not applicable	not available	not available	not available	not available	normal	depletion	1	no applicable	20150414_QEp1_LC7_GaPI_SA_Serum_DT_26	proteomic profiling by mass spectrometry	20160112_QEp1_LC7_PhGe_SA_F14_1.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/20160112_QEp1_LC7_PhGe_SA_F14_1.raw	26	not available	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Lys-C; AC=MS:1001309; CS='(?<=K)(?\!P)'	AC=MS:1000484; NT=Orbitrap	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	7 ppm	20 ppm	Blood serum
PXD002854-Sample-Serum-1	Homo sapiens	Blood serum	1	not applicable	not available	not available	not available	not available	normal	depletion	1	no applicable	20150414_QEp1_LC7_GaPI_SA_Serum_DT_27	proteomic profiling by mass spectrometry	20160112_QEp1_LC7_PhGe_SA_F14_2.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/20160112_QEp1_LC7_PhGe_SA_F14_2.raw	27	not available	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Lys-C; AC=MS:1001309; CS='(?<=K)(?\!P)'	AC=MS:1000484; NT=Orbitrap	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	7 ppm	20 ppm	Blood serum
