source name	characteristics[organism]	characteristics[organism part]	characteristics[individual]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[disease]	characteristics[depletion]	comment[biological replicate]	characteristics[sampling time]	assay name	Technology type	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[technical replicate]	comment[cleavage agent details]	comment[MS2 mass analyzer]	comment[instrument]	comment[separation]	comment[modification parameter]	comment[modification parameter]	comment[modification parameter]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD002854-Sample-Erythrocytes-2	Homo sapiens	Blood Serum	2	Erythrocyte	not available	not available	not available	not available	normal	depletion	2	no applicable	20141201_qEp2_LC11_PhGe_SA_4_49_75_2	proteomic profiling by mass spectrometry	20141201_qEp2_LC11_PhGe_SA_4_49_75_2.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/20141201_qEp2_LC11_PhGe_SA_4_49_75_2.raw	1	AC=MS:1002038;NT=label free	2	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000484; NT=Orbitrap	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	7 ppm	20 ppm	Blood Serum
PXD002854-Sample-Erythrocytes-2	Homo sapiens	Blood Serum	2	Erythrocyte	not available	not available	not available	not available	normal	depletion	2	no applicable	20141201_qEp2_LC11_PhGe_SA_4_49_75_3	proteomic profiling by mass spectrometry	20141201_qEp2_LC11_PhGe_SA_4_49_75_3.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/20141201_qEp2_LC11_PhGe_SA_4_49_75_3.raw	1	AC=MS:1002038;NT=label free	3	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000484; NT=Orbitrap	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	7 ppm	20 ppm	Blood Serum
PXD002854-Sample-Erythrocytes-3	Homo sapiens	Blood Serum	3	Erythrocyte	not available	not available	not available	not available	normal	depletion	3	no applicable	20141201_qEp2_LC11_PhGe_SA_4_49_100_1	proteomic profiling by mass spectrometry	20141201_qEp2_LC11_PhGe_SA_4_49_100_1.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/20141201_qEp2_LC11_PhGe_SA_4_49_100_1.raw	1	AC=MS:1002038;NT=label free	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000484; NT=Orbitrap	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	7 ppm	20 ppm	Blood Serum
PXD002854-Sample-Erythrocytes-3	Homo sapiens	Blood Serum	3	Erythrocyte	not available	not available	not available	not available	normal	depletion	3	no applicable	20141201_qEp2_LC11_PhGe_SA_4_49_100_2	proteomic profiling by mass spectrometry	20141201_qEp2_LC11_PhGe_SA_4_49_100_2.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/20141201_qEp2_LC11_PhGe_SA_4_49_100_2.raw	1	AC=MS:1002038;NT=label free	2	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000484; NT=Orbitrap	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	7 ppm	20 ppm	Blood Serum
PXD002854-Sample-Erythrocytes-3	Homo sapiens	Blood Serum	3	Erythrocyte	not available	not available	not available	not available	normal	depletion	3	no applicable	20141201_qEp2_LC11_PhGe_SA_4_49_100_3	proteomic profiling by mass spectrometry	20141201_qEp2_LC11_PhGe_SA_4_49_100_3.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/20141201_qEp2_LC11_PhGe_SA_4_49_100_3.raw	1	AC=MS:1002038;NT=label free	3	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000484; NT=Orbitrap	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	7 ppm	20 ppm	Blood Serum
PXD002854-Sample-Erythrocytes-4	Homo sapiens	Blood Serum	4	Erythrocyte	not available	not available	not available	not available	normal	depletion	4	no applicable	20141201_qEp2_LC11_PhGe_SA_4_49_1000_1	proteomic profiling by mass spectrometry	20141201_qEp2_LC11_PhGe_SA_4_49_1000_1.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/20141201_qEp2_LC11_PhGe_SA_4_49_1000_1.raw	1	AC=MS:1002038;NT=label free	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000484; NT=Orbitrap	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	7 ppm	20 ppm	Blood Serum
PXD002854-Sample-Erythrocytes-4	Homo sapiens	Blood Serum	4	Erythrocyte	not available	not available	not available	not available	normal	depletion	4	no applicable	20141201_qEp2_LC11_PhGe_SA_4_49_1000_2	proteomic profiling by mass spectrometry	20141201_qEp2_LC11_PhGe_SA_4_49_1000_2.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/20141201_qEp2_LC11_PhGe_SA_4_49_1000_2.raw	1	AC=MS:1002038;NT=label free	2	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000484; NT=Orbitrap	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	7 ppm	20 ppm	Blood Serum
PXD002854-Sample-Erythrocytes-4	Homo sapiens	Blood Serum	4	Erythrocyte	not available	not available	not available	not available	normal	depletion	4	no applicable	20141201_qEp2_LC11_PhGe_SA_4_49_1000_3	proteomic profiling by mass spectrometry	20141201_qEp2_LC11_PhGe_SA_4_49_1000_3.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/20141201_qEp2_LC11_PhGe_SA_4_49_1000_3.raw	1	AC=MS:1002038;NT=label free	3	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000484; NT=Orbitrap	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	7 ppm	20 ppm	Blood Serum
PXD002854-Sample-Erythrocytes-5	Homo sapiens	Blood Serum	5	Erythrocyte	not available	not available	not available	not available	normal	depletion	5	no applicable	20141201_qEp2_LC11_PhGe_SA_4_49_10000_1	proteomic profiling by mass spectrometry	20141201_qEp2_LC11_PhGe_SA_4_49_10000_1.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/20141201_qEp2_LC11_PhGe_SA_4_49_10000_1.raw	1	AC=MS:1002038;NT=label free	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000484; NT=Orbitrap	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	7 ppm	20 ppm	Blood Serum
PXD002854-Sample-Erythrocytes-5	Homo sapiens	Blood Serum	5	Erythrocyte	not available	not available	not available	not available	normal	depletion	5	no applicable	20141201_qEp2_LC11_PhGe_SA_4_49_10000_2	proteomic profiling by mass spectrometry	20141201_qEp2_LC11_PhGe_SA_4_49_10000_2.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/20141201_qEp2_LC11_PhGe_SA_4_49_10000_2.raw	1	AC=MS:1002038;NT=label free	2	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000484; NT=Orbitrap	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	7 ppm	20 ppm	Blood Serum
PXD002854-Sample-Erythrocytes-5	Homo sapiens	Blood Serum	5	Erythrocyte	not available	not available	not available	not available	normal	depletion	5	no applicable	20141201_qEp2_LC11_PhGe_SA_4_49_10000_3	proteomic profiling by mass spectrometry	20141201_qEp2_LC11_PhGe_SA_4_49_10000_3.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/20141201_qEp2_LC11_PhGe_SA_4_49_10000_3.raw	1	AC=MS:1002038;NT=label free	3	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000484; NT=Orbitrap	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	7 ppm	20 ppm	Blood Serum
PXD002854-Sample-Erythrocytes-6	Homo sapiens	Blood Serum	6	Erythrocyte	not available	not available	not available	not available	normal	depletion	6	no applicable	20141201_qEp2_LC11_PhGe_SA_4_49_100000_1	proteomic profiling by mass spectrometry	20141201_qEp2_LC11_PhGe_SA_4_49_100000_1.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/20141201_qEp2_LC11_PhGe_SA_4_49_100000_1.raw	1	AC=MS:1002038;NT=label free	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000484; NT=Orbitrap	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	7 ppm	20 ppm	Blood Serum
PXD002854-Sample-Erythrocytes-6	Homo sapiens	Blood Serum	6	Erythrocyte	not available	not available	not available	not available	normal	depletion	6	no applicable	20141201_qEp2_LC11_PhGe_SA_4_49_100000_2	proteomic profiling by mass spectrometry	20141201_qEp2_LC11_PhGe_SA_4_49_100000_2.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/20141201_qEp2_LC11_PhGe_SA_4_49_100000_2.raw	1	AC=MS:1002038;NT=label free	2	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000484; NT=Orbitrap	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	7 ppm	20 ppm	Blood Serum
PXD002854-Sample-Erythrocytes-6	Homo sapiens	Blood Serum	6	Erythrocyte	not available	not available	not available	not available	normal	depletion	6	no applicable	20141201_qEp2_LC11_PhGe_SA_4_49_100000_3	proteomic profiling by mass spectrometry	20141201_qEp2_LC11_PhGe_SA_4_49_100000_3.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/20141201_qEp2_LC11_PhGe_SA_4_49_100000_3.raw	1	AC=MS:1002038;NT=label free	3	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000484; NT=Orbitrap	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	7 ppm	20 ppm	Blood Serum
PXD002854-Sample-Erythrocytes-7	Homo sapiens	Blood Serum	7	Erythrocyte	not available	not available	not available	not available	normal	depletion	7	no applicable	20141201_qEp2_LC11_PhGe_SA_4_49_Plasma_1	proteomic profiling by mass spectrometry	20141201_qEp2_LC11_PhGe_SA_4_49_Plasma_1.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/20141201_qEp2_LC11_PhGe_SA_4_49_Plasma_1.raw	1	AC=MS:1002038;NT=label free	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000484; NT=Orbitrap	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	7 ppm	20 ppm	Blood Serum
PXD002854-Sample-Erythrocytes-7	Homo sapiens	Blood Serum	7	Erythrocyte	not available	not available	not available	not available	normal	depletion	7	no applicable	20141201_qEp2_LC11_PhGe_SA_4_49_Plasma_2	proteomic profiling by mass spectrometry	20141201_qEp2_LC11_PhGe_SA_4_49_Plasma_2.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/20141201_qEp2_LC11_PhGe_SA_4_49_Plasma_2.raw	1	AC=MS:1002038;NT=label free	2	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000484; NT=Orbitrap	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	7 ppm	20 ppm	Blood Serum
PXD002854-Sample-Erythrocytes-7	Homo sapiens	Blood Serum	7	Erythrocyte	not available	not available	not available	not available	normal	depletion	7	no applicable	20141201_qEp2_LC11_PhGe_SA_4_49_Plasma_3	proteomic profiling by mass spectrometry	20141201_qEp2_LC11_PhGe_SA_4_49_Plasma_3.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/20141201_qEp2_LC11_PhGe_SA_4_49_Plasma_3.raw	1	AC=MS:1002038;NT=label free	3	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000484; NT=Orbitrap	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	7 ppm	20 ppm	Blood Serum
PXD002854-Sample-Erythrocytes-8	Homo sapiens	Blood Serum	8	Erythrocyte	not available	not available	not available	not available	normal	depletion	8	no applicable	20141201_qEp2_LC11_PhGe_SA_4_49_RBC_2	proteomic profiling by mass spectrometry	20141201_qEp2_LC11_PhGe_SA_4_49_RBC_2.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/20141201_qEp2_LC11_PhGe_SA_4_49_RBC_2.raw	1	AC=MS:1002038;NT=label free	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000484; NT=Orbitrap	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	7 ppm	20 ppm	Blood Serum
