										Triplicados	Vuelvo a empezar?																
20150414_QEp1_LC7_GaPI_SA_Serum_DT_10_150416223553	Homo sapiens	Serum	not available	not available	not applicable	not applicable	not available	Healthy	Alive	10	26	Tissue	I_SA_Serum_DT_10_150416223553	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_96LH.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_96LH.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation	NT=Trypsin and LysC	not available	not available	not available	Alive
20150414_QEp1_LC7_GaPI_SA_Serum_DT_11	Homo sapiens	Serum	not available	not available	not applicable	not applicable	not available	Healthy	Alive	11	26	Tissue	I_SA_Serum_DT_11	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_96LH.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_96LH.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation	NT=Trypsin and LysC	not available	not available	not available	Alive
20150414_QEp1_LC7_GaPI_SA_Serum_DT_12_150416195433	Homo sapiens	Serum	not available	not available	not applicable	not applicable	not available	Healthy	Alive	12	26	Tissue	I_SA_Serum_DT_12_150416195433	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_96LH.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_96LH.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation	NT=Trypsin and LysC	not available	not available	not available	Alive
20150414_QEp1_LC7_GaPI_SA_Serum_DT_13	Homo sapiens	Serum	not available	not available	not applicable	not applicable	not available	Healthy	Alive	13	26	Tissue	I_SA_Serum_DT_13	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_96LH.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_96LH.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation	NT=Trypsin and LysC	not available	not available	not available	Alive
20150414_QEp1_LC7_GaPI_SA_Serum_DT_14	Homo sapiens	Serum	not available	not available	not applicable	not applicable	not available	Healthy	Alive	14	26	Tissue	I_SA_Serum_DT_14	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_96LH.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_96LH.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation	NT=Trypsin and LysC	not available	not available	not available	Alive
20150414_QEp1_LC7_GaPI_SA_Serum_DT_15	Homo sapiens	Serum	not available	not available	not applicable	not applicable	not available	Healthy	Alive	15	26	Tissue	I_SA_Serum_DT_15	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_96LH.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_96LH.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation	NT=Trypsin and LysC	not available	not available	not available	Alive
20150414_QEp1_LC7_GaPI_SA_Serum_DT_16	Homo sapiens	Serum	not available	not available	not applicable	not applicable	not available	Healthy	Alive	16	26	Tissue	I_SA_Serum_DT_16	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_96LH.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_96LH.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation	NT=Trypsin and LysC	not available	not available	not available	Alive
20150414_QEp1_LC7_GaPI_SA_Serum_DT_17	Homo sapiens	Serum	not available	not available	not applicable	not applicable	not available	Healthy	Alive	17	26	Tissue	I_SA_Serum_DT_17	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_96LH.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_96LH.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation	NT=Trypsin and LysC	not available	not available	not available	Alive
20150414_QEp1_LC7_GaPI_SA_Serum_DT_18	Homo sapiens	Serum	not available	not available	not applicable	not applicable	not available	Healthy	Alive	18	26	Tissue	I_SA_Serum_DT_18	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_96LH.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_96LH.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation	NT=Trypsin and LysC	not available	not available	not available	Alive
20150414_QEp1_LC7_GaPI_SA_Serum_DT_19	Homo sapiens	Serum	not available	not available	not applicable	not applicable	not available	Healthy	Alive	19	26	Tissue	I_SA_Serum_DT_19	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_96LH.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_96LH.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation	NT=Trypsin and LysC	not available	not available	not available	Alive
20150414_QEp1_LC7_GaPI_SA_Serum_DT_20	Homo sapiens	Serum	not available	not available	not applicable	not applicable	not available	Healthy	Alive	20	26	Tissue	I_SA_Serum_DT_20	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_96LH.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_96LH.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation	NT=Trypsin and LysC	not available	not available	not available	Alive
20150414_QEp1_LC7_GaPI_SA_Serum_DT_21	Homo sapiens	Serum	not available	not available	not applicable	not applicable	not available	Healthy	Alive	21	26	Tissue	I_SA_Serum_DT_21	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_96LH.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_96LH.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation	NT=Trypsin and LysC	not available	not available	not available	Alive
20150414_QEp1_LC7_GaPI_SA_Serum_DT_22	Homo sapiens	Serum	not available	not available	not applicable	not applicable	not available	Healthy	Alive	22	26	Tissue	I_SA_Serum_DT_22	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_96LH.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_96LH.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation	NT=Trypsin and LysC	not available	not available	not available	Alive
20150414_QEp1_LC7_GaPI_SA_Serum_DT_23	Homo sapiens	Serum	not available	not available	not applicable	not applicable	not available	Healthy	Alive	23	26	Tissue	I_SA_Serum_DT_23	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_96LH.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_96LH.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation	NT=Trypsin and LysC	not available	not available	not available	Alive
20150414_QEp1_LC7_GaPI_SA_Serum_DT_24	Homo sapiens	Serum	not available	not available	not applicable	not applicable	not available	Healthy	Alive	24	26	Tissue	I_SA_Serum_DT_24	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_96LH.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_96LH.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation	NT=Trypsin and LysC	not available	not available	not available	Alive
20150414_QEp1_LC7_GaPI_SA_Serum_DT_25	Homo sapiens	Serum	not available	not available	not applicable	not applicable	not available	Healthy	Alive	25	26	Tissue	I_SA_Serum_DT_25	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_96LH.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_96LH.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation	NT=Trypsin and LysC	not available	not available	not available	Alive
20150414_QEp1_LC7_GaPI_SA_Serum_DT_26	Homo sapiens	Serum	not available	not available	not applicable	not applicable	not available	Healthy	Alive	26	26	Tissue	I_SA_Serum_DT_26	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_96LH.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_96LH.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation	NT=Trypsin and LysC	not available	not available	not available	Alive
20150414_QEp1_LC7_GaPI_SA_Serum_DT_27	Homo sapiens	Serum	not available	not available	not applicable	not applicable	not available	Healthy	Alive	27	26	Tissue	I_SA_Serum_DT_27	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_96LH.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_96LH.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation	NT=Trypsin and LysC	not available	not available	not available	Alive
20150414_QEp1_LC7_GaPI_SA_Serum_DT_28_150416202651	Homo sapiens	Serum	not available	not available	not applicable	not applicable	not available	Healthy	Alive	28	26	Tissue	I_SA_Serum_DT_28_150416202651	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_96LH.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_96LH.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation	NT=Trypsin and LysC	not available	not available	not available	Alive
20150414_QEp1_LC7_GaPI_SA_Serum_DT_29	Homo sapiens	Serum	not available	not available	not applicable	not applicable	not available	Healthy	Alive	29	26	Tissue	I_SA_Serum_DT_29	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_96LH.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_96LH.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation	NT=Trypsin and LysC	not available	not available	not available	Alive
20150414_QEp1_LC7_GaPI_SA_Serum_DT_30	Homo sapiens	Serum	not available	not available	not applicable	not applicable	not available	Healthy	Alive	30	26	Tissue	I_SA_Serum_DT_30	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_96LH.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_96LH.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation	NT=Trypsin and LysC	not available	not available	not available	Alive
20150414_QEp1_LC7_GaPI_SA_Serum_DT_31	Homo sapiens	Serum	not available	not available	not applicable	not applicable	not available	Healthy	Alive	31	26	Tissue	I_SA_Serum_DT_31	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_96LH.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_96LH.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation	NT=Trypsin and LysC	not available	not available	not available	Alive
20150414_QEp1_LC7_GaPI_SA_Serum_DT_32	Homo sapiens	Serum	not available	not available	not applicable	not applicable	not available	Healthy	Alive	32	26	Tissue	I_SA_Serum_DT_32	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_96LH.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_96LH.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation	NT=Trypsin and LysC	not available	not available	not available	Alive
20150414_QEp1_LC7_GaPI_SA_Serum_DT_33	Homo sapiens	Serum	not available	not available	not applicable	not applicable	not available	Healthy	Alive	33	26	Tissue	I_SA_Serum_DT_33	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_96LH.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_96LH.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation	NT=Trypsin and LysC	not available	not available	not available	Alive
20150414_QEp1_LC7_GaPI_SA_Serum_DT_34	Homo sapiens	Serum	not available	not available	not applicable	not applicable	not available	Healthy	Alive	34	26	Tissue	I_SA_Serum_DT_34	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_96LH.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_96LH.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation	NT=Trypsin and LysC	not available	not available	not available	Alive
20150414_QEp1_LC7_GaPI_SA_Serum_DT_35_150417004456	Homo sapiens	Serum	not available	not available	not applicable	not applicable	not available	Healthy	Alive	35	26	Tissue	I_SA_Serum_DT_35_150417004456	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_96LH.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_96LH.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation	NT=Trypsin and LysC	not available	not available	not available	Alive
20150414_QEp1_LC7_GaPI_SA_Serum_DT_36	Homo sapiens	Serum	not available	not available	not applicable	not applicable	not available	Healthy	Alive	36	26	Tissue	I_SA_Serum_DT_36	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_96LH.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_96LH.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation	NT=Trypsin and LysC	not available	not available	not available	Alive
20150414_QEp1_LC7_GaPI_SA_Serum_DT_37	Homo sapiens	Serum	not available	not available	not applicable	not applicable	not available	Healthy	Alive	37	26	Tissue	I_SA_Serum_DT_37	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_96LH.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_96LH.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation	NT=Trypsin and LysC	not available	not available	not available	Alive
20150414_QEp1_LC7_GaPI_SA_Serum_DT_38	Homo sapiens	Serum	not available	not available	not applicable	not applicable	not available	Healthy	Alive	38	26	Tissue	I_SA_Serum_DT_38	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_96LH.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_96LH.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation	NT=Trypsin and LysC	not available	not available	not available	Alive
20150414_QEp1_LC7_GaPI_SA_Serum_DT_39_150416234024	Homo sapiens	Serum	not available	not available	not applicable	not applicable	not available	Healthy	Alive	39	26	Tissue	I_SA_Serum_DT_39_150416234024	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_96LH.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_96LH.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation	NT=Trypsin and LysC	not available	not available	not available	Alive
20150414_QEp1_LC7_GaPI_SA_Serum_DT_40	Homo sapiens	Serum	not available	not available	not applicable	not applicable	not available	Healthy	Alive	40	26	Tissue	I_SA_Serum_DT_40	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_96LH.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_96LH.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation	NT=Trypsin and LysC	not available	not available	not available	Alive
20150414_QEp1_LC7_GaPI_SA_Serum_DT_41_150416230806	Homo sapiens	Serum	not available	not available	not applicable	not applicable	not available	Healthy	Alive	41	26	Tissue	I_SA_Serum_DT_41_150416230806	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_96LH.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_96LH.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation	NT=Trypsin and LysC	not available	not available	not available	Alive
20150414_QEp1_LC7_GaPI_SA_Serum_DT_42	Homo sapiens	Serum	not available	not available	not applicable	not applicable	not available	Healthy	Alive	42	26	Tissue	I_SA_Serum_DT_42	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_96LH.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_96LH.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation	NT=Trypsin and LysC	not available	not available	not available	Alive
20150414_QEp1_LC7_GaPI_SA_Serum_DT_43	Homo sapiens	Serum	not available	not available	not applicable	not applicable	not available	Healthy	Alive	43	26	Tissue	I_SA_Serum_DT_43	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_96LH.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_96LH.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation	NT=Trypsin and LysC	not available	not available	not available	Alive
20150414_QEp1_LC7_GaPI_SA_Serum_DT_44	Homo sapiens	Serum	not available	not available	not applicable	not applicable	not available	Healthy	Alive	44	26	Tissue	I_SA_Serum_DT_44	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_96LH.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_96LH.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation	NT=Trypsin and LysC	not available	not available	not available	Alive
20150414_QEp1_LC7_GaPI_SA_Serum_DT_45	Homo sapiens	Serum	not available	not available	not applicable	not applicable	not available	Healthy	Alive	45	26	Tissue	I_SA_Serum_DT_45	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_96LH.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_96LH.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation	NT=Trypsin and LysC	not available	not available	not available	Alive
20150414_QEp1_LC7_GaPI_SA_Serum_DT_46	Homo sapiens	Serum	not available	not available	not applicable	not applicable	not available	Healthy	Alive	46	26	Tissue	I_SA_Serum_DT_46	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_96LH.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_96LH.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation	NT=Trypsin and LysC	not available	not available	not available	Alive
20150414_QEp1_LC7_GaPI_SA_Serum_DT_47	Homo sapiens	Serum	not available	not available	not applicable	not applicable	not available	Healthy	Alive	47	26	Tissue	I_SA_Serum_DT_47	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_96LH.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_96LH.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation	NT=Trypsin and LysC	not available	not available	not available	Alive
20150414_QEp1_LC7_GaPI_SA_Serum_DT_48	Homo sapiens	Serum	not available	not available	not applicable	not applicable	not available	Healthy	Alive	48	26	Tissue	I_SA_Serum_DT_48	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_96LH.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_96LH.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation	NT=Trypsin and LysC	not available	not available	not available	Alive
20150414_QEp1_LC7_GaPI_SA_Serum_LH_1	Homo sapiens	Serum	not available	not available	not applicable	not applicable	not available	Healthy	Alive	1	27	Tissue	I_SA_Serum_LH_1	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_96LH.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_96LH.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation	NT=Trypsin and LysC	not available	not available	not available	Alive
20150414_QEp1_LC7_GaPI_SA_Serum_LH_2	Homo sapiens	Serum	not available	not available	not applicable	not applicable	not available	Healthy	Alive	2	27	Tissue	I_SA_Serum_LH_2	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_96LH.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_96LH.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation	NT=Trypsin and LysC	not available	not available	not available	Alive
20150414_QEp1_LC7_GaPI_SA_Serum_LH_3	Homo sapiens	Serum	not available	not available	not applicable	not applicable	not available	Healthy	Alive	3	27	Tissue	I_SA_Serum_LH_3	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_96LH.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_96LH.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation	NT=Trypsin and LysC	not available	not available	not available	Alive
20150414_QEp1_LC7_GaPI_SA_Serum_LH_4	Homo sapiens	Serum	not available	not available	not applicable	not applicable	not available	Healthy	Alive	4	27	Tissue	I_SA_Serum_LH_4	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_96LH.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_96LH.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation	NT=Trypsin and LysC	not available	not available	not available	Alive
20150414_QEp1_LC7_GaPI_SA_Serum_LH_5	Homo sapiens	Serum	not available	not available	not applicable	not applicable	not available	Healthy	Alive	5	27	Tissue	I_SA_Serum_LH_5	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_96LH.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_96LH.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation	NT=Trypsin and LysC	not available	not available	not available	Alive
