										Triplicados	Vuelvo a empezar?																
PXD002854 20150202_QEp2_LC11_PhGe_SA_4_57_B8	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	8	2	Tissue	20150202_QEp2_LC11_PhGe_SA_4_57_B8	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_10Fingers.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_10Fingers.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20150202_QEp2_LC11_PhGe_SA_4_57_B9	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	9	2	Tissue	20150202_QEp2_LC11_PhGe_SA_4_57_B9	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_10Fingers.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_10Fingers.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20150202_QEp2_LC11_PhGe_SA_4_57_B10	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	10	2	Tissue	20150202_QEp2_LC11_PhGe_SA_4_57_B10	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_10Fingers.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_10Fingers.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20160112_QEp1_LC7_PhGe_SA_F1_1	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	female	Healthy	Alive	1	3	Tissue	20160112_QEp1_LC7_PhGe_SA_F1_1	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	PrEST.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/PrEST.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20160112_QEp1_LC7_PhGe_SA_F1_2	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	female	Healthy	Alive	2	3	Tissue	20160112_QEp1_LC7_PhGe_SA_F1_2	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	PrEST.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/PrEST.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20160112_QEp1_LC7_PhGe_SA_F1_3	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	female	Healthy	Alive	3	3	Tissue	20160112_QEp1_LC7_PhGe_SA_F1_3	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	PrEST.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/PrEST.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20160112_QEp1_LC7_PhGe_SA_F5_1	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	female	Healthy	Alive	1	4	Tissue	20160112_QEp1_LC7_PhGe_SA_F5_1	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	PrEST.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/PrEST.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20160112_QEp1_LC7_PhGe_SA_F5_2	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	female	Healthy	Alive	2	4	Tissue	20160112_QEp1_LC7_PhGe_SA_F5_2	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	PrEST.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/PrEST.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20160112_QEp1_LC7_PhGe_SA_F5_3	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	female	Healthy	Alive	3	4	Tissue	20160112_QEp1_LC7_PhGe_SA_F5_3	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	PrEST.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/PrEST.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20160112_QEp1_LC7_PhGe_SA_F8_1	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	female	Healthy	Alive	1	5	Tissue	20160112_QEp1_LC7_PhGe_SA_F8_1	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	PrEST.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/PrEST.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20160112_QEp1_LC7_PhGe_SA_F8_2	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	female	Healthy	Alive	2	5	Tissue	20160112_QEp1_LC7_PhGe_SA_F8_2	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	PrEST.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/PrEST.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20160112_QEp1_LC7_PhGe_SA_F8_3	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	female	Healthy	Alive	3	5	Tissue	20160112_QEp1_LC7_PhGe_SA_F8_3	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	PrEST.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/PrEST.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20160112_QEp1_LC7_PhGe_SA_F13_1	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	female	Healthy	Alive	1	6	Tissue	20160112_QEp1_LC7_PhGe_SA_F13_1	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	PrEST.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/PrEST.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20160112_QEp1_LC7_PhGe_SA_F13_2	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	female	Healthy	Alive	2	6	Tissue	20160112_QEp1_LC7_PhGe_SA_F13_2	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	PrEST.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/PrEST.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20160112_QEp1_LC7_PhGe_SA_F13_3	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	female	Healthy	Alive	3	6	Tissue	20160112_QEp1_LC7_PhGe_SA_F13_3	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	PrEST.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/PrEST.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20160112_QEp1_LC7_PhGe_SA_F14_1	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	female	Healthy	Alive	1	7	Tissue	20160112_QEp1_LC7_PhGe_SA_F14_1	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	PrEST.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/PrEST.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20160112_QEp1_LC7_PhGe_SA_F14_2	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	female	Healthy	Alive	2	7	Tissue	20160112_QEp1_LC7_PhGe_SA_F14_2	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	PrEST.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/PrEST.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20160112_QEp1_LC7_PhGe_SA_F14_3	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	female	Healthy	Alive	3	7	Tissue	20160112_QEp1_LC7_PhGe_SA_F14_3	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	PrEST.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/PrEST.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20160112_QEp1_LC7_PhGe_SA_M2_1	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	male	Healthy	Alive	1	8	Tissue	20160112_QEp1_LC7_PhGe_SA_M2_1	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	PrEST.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/PrEST.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20160112_QEp1_LC7_PhGe_SA_M2_2	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	male	Healthy	Alive	2	8	Tissue	20160112_QEp1_LC7_PhGe_SA_M2_2	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	PrEST.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/PrEST.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20160112_QEp1_LC7_PhGe_SA_M2_3	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	male	Healthy	Alive	3	8	Tissue	20160112_QEp1_LC7_PhGe_SA_M2_3	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	PrEST.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/PrEST.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20160112_QEp1_LC7_PhGe_SA_M10_1	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	male	Healthy	Alive	1	9	Tissue	20160112_QEp1_LC7_PhGe_SA_M10_1	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	PrEST.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/PrEST.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20160112_QEp1_LC7_PhGe_SA_M10_2	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	male	Healthy	Alive	2	9	Tissue	20160112_QEp1_LC7_PhGe_SA_M10_2	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	PrEST.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/PrEST.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20160112_QEp1_LC7_PhGe_SA_M10_3	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	male	Healthy	Alive	3	9	Tissue	20160112_QEp1_LC7_PhGe_SA_M10_3	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	PrEST.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/PrEST.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20160112_QEp1_LC7_PhGe_SA_M11__1	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	male	Healthy	Alive	1	10	Tissue	20160112_QEp1_LC7_PhGe_SA_M11__1	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	PrEST.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/PrEST.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20160112_QEp1_LC7_PhGe_SA_M11_2	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	male	Healthy	Alive	2	10	Tissue	20160112_QEp1_LC7_PhGe_SA_M11_2	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	PrEST.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/PrEST.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20160112_QEp1_LC7_PhGe_SA_M11_3	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	male	Healthy	Alive	3	10	Tissue	20160112_QEp1_LC7_PhGe_SA_M11_3	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	PrEST.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/PrEST.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20160112_QEp1_LC7_PhGe_SA_M18_1	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	male	Healthy	Alive	1	11	Tissue	20160112_QEp1_LC7_PhGe_SA_M18_1	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	PrEST.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/PrEST.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20160112_QEp1_LC7_PhGe_SA_M18_2	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	male	Healthy	Alive	2	11	Tissue	20160112_QEp1_LC7_PhGe_SA_M18_2	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	PrEST.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/PrEST.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20160112_QEp1_LC7_PhGe_SA_M18_3	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	male	Healthy	Alive	3	11	Tissue	20160112_QEp1_LC7_PhGe_SA_M18_3	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	PrEST.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/PrEST.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20160112_QEp1_LC7_PhGe_SA_M20_1_160113135254	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	male	Healthy	Alive	1	12	Tissue	20160112_QEp1_LC7_PhGe_SA_M20_1_160113135254	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	PrEST.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/PrEST.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20160112_QEp1_LC7_PhGe_SA_M20_2	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	male	Healthy	Alive	2	12	Tissue	20160112_QEp1_LC7_PhGe_SA_M20_2	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	PrEST.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/PrEST.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20160112_QEp1_LC7_PhGe_SA_M20_3	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	male	Healthy	Alive	3	12	Tissue	20160112_QEp1_LC7_PhGe_SA_M20_3	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	PrEST.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/PrEST.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20141110_QEp1_LC7_PG_4_53_M1_1	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	male	Healthy	Alive	1	13	Tissue	20141110_QEp1_LC7_PG_4_53_M1_1	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_10Different.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_10Different.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20141110_QEp1_LC7_PG_4_53_M1_2	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	male	Healthy	Alive	2	13	Tissue	20141110_QEp1_LC7_PG_4_53_M1_2	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_10Different.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_10Different.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20141110_QEp1_LC7_PhGe_4_53_M1_3	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	male	Healthy	Alive	3	13	Tissue	20141110_QEp1_LC7_PhGe_4_53_M1_3	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_10Different.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_10Different.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20141110_QEp1_LC7_PhGe_4_53_M1_4	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	male	Healthy	Alive	4	13	Tissue	20141110_QEp1_LC7_PhGe_4_53_M1_4	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_10Different.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_10Different.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20141110_QEp1_LC7_PhGe_4_53_M2_1	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	male	Healthy	Alive	1	14	Tissue	20141110_QEp1_LC7_PhGe_4_53_M2_1	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_10Different.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_10Different.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20141110_QEp1_LC7_PhGe_4_53_M2_2	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	male	Healthy	Alive	2	14	Tissue	20141110_QEp1_LC7_PhGe_4_53_M2_2	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_10Different.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_10Different.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
