source name	characteristics[organism]	characteristics[cell line]	characteristics[organism part]	characteristics[age]	characteristics[developmental stage]	characteristics[sex]	characteristics[ancestry category]	characteristics[disease]	characteristics[cell count]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[label]	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[cell count]
PXD054944-Sample-11	Homo sapiens	Hela	Uterus	31Y	not available	Female	Black	Adenocarcinoma	1	epithelial cell	11	run 11	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20240117_P96-2_Hela1_1Cell_80SPD_DIA_FAIMS-48_20Th_40ms_11.raw	https://download.iprox.cn/IPX0009469000/IPX0009469003/20240117_P96-2_Hela1_1Cell_80SPD_DIA_FAIMS-48_20Th_40ms_11.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Astral;AC=MS:1003378	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=HCD;AC=PRIDE:0000590	20 ppm	0.5 Da	1
PXD054944-Sample-12	Homo sapiens	Hela	Uterus	31Y	not available	Female	Black	Adenocarcinoma	1	epithelial cell	12	run 12	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20240117_P96-2_Hela1_1Cell_80SPD_DIA_FAIMS-48_20Th_40ms_12.raw	https://download.iprox.cn/IPX0009469000/IPX0009469003/20240117_P96-2_Hela1_1Cell_80SPD_DIA_FAIMS-48_20Th_40ms_12.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Astral;AC=MS:1003378	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=HCD;AC=PRIDE:0000590	20 ppm	0.5 Da	1
PXD054944-Sample-13	Homo sapiens	Hela	Uterus	31Y	not available	Female	Black	Adenocarcinoma	1	epithelial cell	13	run 13	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20240117_P96-2_Hela1_1Cell_80SPD_DIA_FAIMS-48_20Th_40ms_13.raw	https://download.iprox.cn/IPX0009469000/IPX0009469003/20240117_P96-2_Hela1_1Cell_80SPD_DIA_FAIMS-48_20Th_40ms_13.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Astral;AC=MS:1003378	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=HCD;AC=PRIDE:0000590	20 ppm	0.5 Da	1
PXD054944-Sample-14	Homo sapiens	Hela	Uterus	31Y	not available	Female	Black	Adenocarcinoma	1	epithelial cell	14	run 14	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20240117_P96-2_Hela1_1Cell_80SPD_DIA_FAIMS-48_20Th_40ms_14.raw	https://download.iprox.cn/IPX0009469000/IPX0009469003/20240117_P96-2_Hela1_1Cell_80SPD_DIA_FAIMS-48_20Th_40ms_14.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Astral;AC=MS:1003378	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=HCD;AC=PRIDE:0000590	20 ppm	0.5 Da	1
PXD054944-Sample-15	Homo sapiens	Hela	Uterus	31Y	not available	Female	Black	Adenocarcinoma	1	epithelial cell	15	run 15	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20240117_P96-2_Hela1_1Cell_80SPD_DIA_FAIMS-48_20Th_40ms_15.raw	https://download.iprox.cn/IPX0009469000/IPX0009469003/20240117_P96-2_Hela1_1Cell_80SPD_DIA_FAIMS-48_20Th_40ms_15.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Astral;AC=MS:1003378	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=HCD;AC=PRIDE:0000590	20 ppm	0.5 Da	1
PXD054944-Sample-16	Homo sapiens	Hela	Uterus	31Y	not available	Female	Black	Adenocarcinoma	1	epithelial cell	16	run 16	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20240117_P96-2_Hela1_1Cell_80SPD_DIA_FAIMS-48_20Th_40ms_16.raw	https://download.iprox.cn/IPX0009469000/IPX0009469003/20240117_P96-2_Hela1_1Cell_80SPD_DIA_FAIMS-48_20Th_40ms_16.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Astral;AC=MS:1003378	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=HCD;AC=PRIDE:0000590	20 ppm	0.5 Da	1
PXD054944-Sample-17	Homo sapiens	Hela	Uterus	31Y	not available	Female	Black	Adenocarcinoma	1	epithelial cell	17	run 17	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20240117_P96-2_Hela1_1Cell_80SPD_DIA_FAIMS-48_20Th_40ms_17.raw	https://download.iprox.cn/IPX0009469000/IPX0009469003/20240117_P96-2_Hela1_1Cell_80SPD_DIA_FAIMS-48_20Th_40ms_17.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Astral;AC=MS:1003378	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=HCD;AC=PRIDE:0000590	20 ppm	0.5 Da	1
PXD054944-Sample-18	Homo sapiens	Hela	Uterus	31Y	not available	Female	Black	Adenocarcinoma	1	epithelial cell	18	run 18	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20240117_P96-2_Hela1_1Cell_80SPD_DIA_FAIMS-48_20Th_40ms_18.raw	https://download.iprox.cn/IPX0009469000/IPX0009469003/20240117_P96-2_Hela1_1Cell_80SPD_DIA_FAIMS-48_20Th_40ms_18.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Astral;AC=MS:1003378	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=HCD;AC=PRIDE:0000590	20 ppm	0.5 Da	1
PXD054944-Sample-19	Homo sapiens	Hela	Uterus	31Y	not available	Female	Black	Adenocarcinoma	1	epithelial cell	19	run 19	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20240117_P96-2_Hela1_1Cell_80SPD_DIA_FAIMS-48_20Th_40ms_19.raw	https://download.iprox.cn/IPX0009469000/IPX0009469003/20240117_P96-2_Hela1_1Cell_80SPD_DIA_FAIMS-48_20Th_40ms_19.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Astral;AC=MS:1003378	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=HCD;AC=PRIDE:0000590	20 ppm	0.5 Da	1
PXD054944-Sample-20	Homo sapiens	Hela	Uterus	31Y	not available	Female	Black	Adenocarcinoma	1	epithelial cell	20	run 20	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20240117_P96-2_Hela1_1Cell_80SPD_DIA_FAIMS-48_20Th_40ms_20.raw	https://download.iprox.cn/IPX0009469000/IPX0009469003/20240117_P96-2_Hela1_1Cell_80SPD_DIA_FAIMS-48_20Th_40ms_20.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Astral;AC=MS:1003378	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=HCD;AC=PRIDE:0000590	20 ppm	0.5 Da	1
PXD054944-Sample-21	Homo sapiens	Hela	Uterus	31Y	not available	Female	Black	Adenocarcinoma	1	epithelial cell	21	run 21	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20240117_P96-2_Hela1_1Cell_80SPD_DIA_FAIMS-48_20Th_40ms_21.raw	https://download.iprox.cn/IPX0009469000/IPX0009469003/20240117_P96-2_Hela1_1Cell_80SPD_DIA_FAIMS-48_20Th_40ms_21.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Astral;AC=MS:1003378	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=HCD;AC=PRIDE:0000590	20 ppm	0.5 Da	1
PXD054944-Sample-22	Homo sapiens	Hela	Uterus	31Y	not available	Female	Black	Adenocarcinoma	1	epithelial cell	22	run 22	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20240117_P96-2_Hela1_1Cell_80SPD_DIA_FAIMS-48_20Th_40ms_22.raw	https://download.iprox.cn/IPX0009469000/IPX0009469003/20240117_P96-2_Hela1_1Cell_80SPD_DIA_FAIMS-48_20Th_40ms_22.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Astral;AC=MS:1003378	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=HCD;AC=PRIDE:0000590	20 ppm	0.5 Da	1
PXD054944-Sample-23	Homo sapiens	Hela	Uterus	31Y	not available	Female	Black	Adenocarcinoma	1	epithelial cell	23	run 23	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20240117_P96-2_Hela1_1Cell_80SPD_DIA_FAIMS-48_20Th_40ms_23.raw	https://download.iprox.cn/IPX0009469000/IPX0009469003/20240117_P96-2_Hela1_1Cell_80SPD_DIA_FAIMS-48_20Th_40ms_23.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Astral;AC=MS:1003378	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=HCD;AC=PRIDE:0000590	20 ppm	0.5 Da	1
PXD054944-Sample-24	Homo sapiens	Hela	Uterus	31Y	not available	Female	Black	Adenocarcinoma	1	epithelial cell	24	run 24	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20240117_P96-2_Hela1_1Cell_80SPD_DIA_FAIMS-48_20Th_40ms_24.raw	https://download.iprox.cn/IPX0009469000/IPX0009469003/20240117_P96-2_Hela1_1Cell_80SPD_DIA_FAIMS-48_20Th_40ms_24.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Astral;AC=MS:1003378	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=HCD;AC=PRIDE:0000590	20 ppm	0.5 Da	1
PXD054944-Sample-25	Homo sapiens	Hela	Uterus	31Y	not available	Female	Black	Adenocarcinoma	1	epithelial cell	25	run 25	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20240117_P96-2_Hela1_1Cell_80SPD_DIA_FAIMS-48_20Th_40ms_25.raw	https://download.iprox.cn/IPX0009469000/IPX0009469003/20240117_P96-2_Hela1_1Cell_80SPD_DIA_FAIMS-48_20Th_40ms_25.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Astral;AC=MS:1003378	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=HCD;AC=PRIDE:0000590	20 ppm	0.5 Da	1
PXD054944-Sample-26	Homo sapiens	Hela	Uterus	31Y	not available	Female	Black	Adenocarcinoma	1	epithelial cell	26	run 26	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20240117_P96-2_Hela1_1Cell_80SPD_DIA_FAIMS-48_20Th_40ms_26.raw	https://download.iprox.cn/IPX0009469000/IPX0009469003/20240117_P96-2_Hela1_1Cell_80SPD_DIA_FAIMS-48_20Th_40ms_26.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Astral;AC=MS:1003378	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=HCD;AC=PRIDE:0000590	20 ppm	0.5 Da	1
PXD054944-Sample-27	Homo sapiens	Hela	Uterus	31Y	not available	Female	Black	Adenocarcinoma	1	epithelial cell	27	run 27	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20240117_P96-2_Hela1_1Cell_80SPD_DIA_FAIMS-48_20Th_40ms_27.raw	https://download.iprox.cn/IPX0009469000/IPX0009469003/20240117_P96-2_Hela1_1Cell_80SPD_DIA_FAIMS-48_20Th_40ms_27.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Astral;AC=MS:1003378	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=HCD;AC=PRIDE:0000590	20 ppm	0.5 Da	1
PXD054944-Sample-28	Homo sapiens	Hela	Uterus	31Y	not available	Female	Black	Adenocarcinoma	1	epithelial cell	28	run 28	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20240117_P96-2_Hela1_1Cell_80SPD_DIA_FAIMS-48_20Th_40ms_28.raw	https://download.iprox.cn/IPX0009469000/IPX0009469003/20240117_P96-2_Hela1_1Cell_80SPD_DIA_FAIMS-48_20Th_40ms_28.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Astral;AC=MS:1003378	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=HCD;AC=PRIDE:0000590	20 ppm	0.5 Da	1
PXD054944-Sample-29	Homo sapiens	Hela	Uterus	31Y	not available	Female	Black	Adenocarcinoma	1	epithelial cell	29	run 29	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20240117_P96-2_Hela1_1Cell_80SPD_DIA_FAIMS-48_20Th_40ms_29.raw	https://download.iprox.cn/IPX0009469000/IPX0009469003/20240117_P96-2_Hela1_1Cell_80SPD_DIA_FAIMS-48_20Th_40ms_29.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Astral;AC=MS:1003378	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=HCD;AC=PRIDE:0000590	20 ppm	0.5 Da	1
PXD054944-Sample-30	Homo sapiens	Hela	Uterus	31Y	not available	Female	Black	Adenocarcinoma	1	epithelial cell	30	run 30	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20240117_P96-2_Hela1_1Cell_80SPD_DIA_FAIMS-48_20Th_40ms_30.raw	https://download.iprox.cn/IPX0009469000/IPX0009469003/20240117_P96-2_Hela1_1Cell_80SPD_DIA_FAIMS-48_20Th_40ms_30.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Astral;AC=MS:1003378	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=HCD;AC=PRIDE:0000590	20 ppm	0.5 Da	1
PXD054944-Sample-31	Homo sapiens	Hela	Uterus	31Y	not available	Female	Black	Adenocarcinoma	1	epithelial cell	31	run 31	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20240117_P96-2_Hela1_1Cell_80SPD_DIA_FAIMS-48_20Th_40ms_31.raw	https://download.iprox.cn/IPX0009469000/IPX0009469003/20240117_P96-2_Hela1_1Cell_80SPD_DIA_FAIMS-48_20Th_40ms_31.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Astral;AC=MS:1003378	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=HCD;AC=PRIDE:0000590	20 ppm	0.5 Da	1
PXD054944-Sample-32	Homo sapiens	Hela	Uterus	31Y	not available	Female	Black	Adenocarcinoma	1	epithelial cell	32	run 32	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20240117_P96-2_Hela1_1Cell_80SPD_DIA_FAIMS-48_20Th_40ms_32.raw	https://download.iprox.cn/IPX0009469000/IPX0009469003/20240117_P96-2_Hela1_1Cell_80SPD_DIA_FAIMS-48_20Th_40ms_32.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Astral;AC=MS:1003378	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=HCD;AC=PRIDE:0000590	20 ppm	0.5 Da	1
PXD054944-Sample-33	Homo sapiens	Hela	Uterus	31Y	not available	Female	Black	Adenocarcinoma	1	epithelial cell	33	run 33	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20240117_P96-2_Hela1_1Cell_80SPD_DIA_FAIMS-48_20Th_40ms_33.raw	https://download.iprox.cn/IPX0009469000/IPX0009469003/20240117_P96-2_Hela1_1Cell_80SPD_DIA_FAIMS-48_20Th_40ms_33.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Astral;AC=MS:1003378	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=HCD;AC=PRIDE:0000590	20 ppm	0.5 Da	1
