source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[equalization]	characteristics[origin]	characteristics[individual]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[disease]	characteristics[biological replicate]	assay name	Technology Type	comment[data file]	comment[file uri]	comment[fractionation method]	comment[fraction identifier]	comment[proteomics data acquisition method]	comment[label]	comment[technical replicate]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD026125-Sample 11	Homo Sapiens	Blood	PBMC	whole cell	purchased from SCD	1	not available	not available	not available	not available	normal	1	run 11	proteomic profiling by mass spectrometer	20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_03_10-55_a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026125/20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_03_10-55_a.raw	AC=PRIDE:0000565;NT=High-performance liquid chromatography	3	NT=Data-Dependent Acquisition;AC=PRIDE:0000637	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026125-Sample 12	Homo Sapiens	Blood	PBMC	whole cell	purchased from SCD	1	not available	not available	not available	not available	normal	1	run 12	proteomic profiling by mass spectrometer	20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_03_15-45_a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026125/20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_03_15-45_a.raw	AC=PRIDE:0000565;NT=High-performance liquid chromatography	3	NT=Data-Dependent Acquisition;AC=PRIDE:0000638	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026125-Sample 13	Homo Sapiens	Blood	PBMC	whole cell	purchased from SCD	1	not available	not available	not available	not available	normal	1	run 13	proteomic profiling by mass spectrometer	20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_03_15-45_b.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026125/20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_03_15-45_b.raw	AC=PRIDE:0000565;NT=High-performance liquid chromatography	3	NT=Data-Dependent Acquisition;AC=PRIDE:0000639	AC=MS:1002038;NT=label free sample	3	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026125-Sample 14	Homo Sapiens	Blood	PBMC	whole cell	purchased from SCD	1	not available	not available	not available	not available	normal	1	run 14	proteomic profiling by mass spectrometer	20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_03_15-45_c.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026125/20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_03_15-45_c.raw	AC=PRIDE:0000565;NT=High-performance liquid chromatography	3	NT=Data-Dependent Acquisition;AC=PRIDE:0000640	AC=MS:1002038;NT=label free sample	4	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026125-Sample 15	Homo Sapiens	Blood	PBMC	whole cell	purchased from SCD	1	not available	not available	not available	not available	normal	1	run 15	proteomic profiling by mass spectrometer	20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_03_20-40_a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026125/20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_03_20-40_a.raw	AC=PRIDE:0000565;NT=High-performance liquid chromatography	3	NT=Data-Dependent Acquisition;AC=PRIDE:0000641	AC=MS:1002038;NT=label free sample	5	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026125-Sample 16	Homo Sapiens	Blood	PBMC	whole cell	purchased from SCD	1	not available	not available	not available	not available	normal	1	run 16	proteomic profiling by mass spectrometer	20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_04_10-55_a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026125/20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_04_10-55_a.raw	AC=PRIDE:0000565;NT=High-performance liquid chromatography	4	NT=Data-Dependent Acquisition;AC=PRIDE:0000642	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026125-Sample 17	Homo Sapiens	Blood	PBMC	whole cell	purchased from SCD	1	not available	not available	not available	not available	normal	1	run 17	proteomic profiling by mass spectrometer	20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_04_15-45_a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026125/20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_04_15-45_a.raw	AC=PRIDE:0000565;NT=High-performance liquid chromatography	4	NT=Data-Dependent Acquisition;AC=PRIDE:0000643	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026125-Sample 18	Homo Sapiens	Blood	PBMC	whole cell	purchased from SCD	1	not available	not available	not available	not available	normal	1	run 18	proteomic profiling by mass spectrometer	20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_04_15-45_b.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026125/20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_04_15-45_b.raw	AC=PRIDE:0000565;NT=High-performance liquid chromatography	4	NT=Data-Dependent Acquisition;AC=PRIDE:0000644	AC=MS:1002038;NT=label free sample	3	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026125-Sample 19	Homo Sapiens	Blood	PBMC	whole cell	purchased from SCD	1	not available	not available	not available	not available	normal	1	run 19	proteomic profiling by mass spectrometer	20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_04_15-45_c.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026125/20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_04_15-45_c.raw	AC=PRIDE:0000565;NT=High-performance liquid chromatography	4	NT=Data-Dependent Acquisition;AC=PRIDE:0000645	AC=MS:1002038;NT=label free sample	4	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026125-Sample 20	Homo Sapiens	Blood	PBMC	whole cell	purchased from SCD	1	not available	not available	not available	not available	normal	1	run 20	proteomic profiling by mass spectrometer	20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_04_20-40_a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026125/20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_04_20-40_a.raw	AC=PRIDE:0000565;NT=High-performance liquid chromatography	4	NT=Data-Dependent Acquisition;AC=PRIDE:0000646	AC=MS:1002038;NT=label free sample	5	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026125-Sample 21	Homo Sapiens	Blood	PBMC	whole cell	purchased from SCD	1	not available	not available	not available	not available	normal	1	run 21	proteomic profiling by mass spectrometer	20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_05_10-55_a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026125/20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_05_10-55_a.raw	AC=PRIDE:0000565;NT=High-performance liquid chromatography	5	NT=Data-Dependent Acquisition;AC=PRIDE:0000647	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026125-Sample 22	Homo Sapiens	Blood	PBMC	whole cell	purchased from SCD	1	not available	not available	not available	not available	normal	1	run 22	proteomic profiling by mass spectrometer	20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_05_15-45_a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026125/20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_05_15-45_a.raw	AC=PRIDE:0000565;NT=High-performance liquid chromatography	5	NT=Data-Dependent Acquisition;AC=PRIDE:0000648	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026125-Sample 23	Homo Sapiens	Blood	PBMC	whole cell	purchased from SCD	1	not available	not available	not available	not available	normal	1	run 23	proteomic profiling by mass spectrometer	20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_05_15-45_b.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026125/20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_05_15-45_b.raw	AC=PRIDE:0000565;NT=High-performance liquid chromatography	5	NT=Data-Dependent Acquisition;AC=PRIDE:0000649	AC=MS:1002038;NT=label free sample	3	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026125-Sample 24	Homo Sapiens	Blood	PBMC	whole cell	purchased from SCD	1	not available	not available	not available	not available	normal	1	run 24	proteomic profiling by mass spectrometer	20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_05_15-45_c.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026125/20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_05_15-45_c.raw	AC=PRIDE:0000565;NT=High-performance liquid chromatography	5	NT=Data-Dependent Acquisition;AC=PRIDE:0000650	AC=MS:1002038;NT=label free sample	4	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026125-Sample 25	Homo Sapiens	Blood	PBMC	whole cell	purchased from SCD	1	not available	not available	not available	not available	normal	1	run 25	proteomic profiling by mass spectrometer	20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_05_20-40_a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026125/20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_05_20-40_a.raw	AC=PRIDE:0000565;NT=High-performance liquid chromatography	5	NT=Data-Dependent Acquisition;AC=PRIDE:0000651	AC=MS:1002038;NT=label free sample	5	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026125-Sample 26	Homo Sapiens	Blood	PBMC	whole cell	purchased from SCD	1	not available	not available	not available	not available	normal	1	run 26	proteomic profiling by mass spectrometer	20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_06_10-55_a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026125/20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_06_10-55_a.raw	AC=PRIDE:0000565;NT=High-performance liquid chromatography	6	NT=Data-Dependent Acquisition;AC=PRIDE:0000652	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026125-Sample 27	Homo Sapiens	Blood	PBMC	whole cell	purchased from SCD	1	not available	not available	not available	not available	normal	1	run 27	proteomic profiling by mass spectrometer	20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_06_15-45_a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026125/20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_06_15-45_a.raw	AC=PRIDE:0000565;NT=High-performance liquid chromatography	6	NT=Data-Dependent Acquisition;AC=PRIDE:0000653	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026125-Sample 28	Homo Sapiens	Blood	PBMC	whole cell	purchased from SCD	1	not available	not available	not available	not available	normal	1	run 28	proteomic profiling by mass spectrometer	20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_06_15-45_b.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026125/20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_06_15-45_b.raw	AC=PRIDE:0000565;NT=High-performance liquid chromatography	6	NT=Data-Dependent Acquisition;AC=PRIDE:0000654	AC=MS:1002038;NT=label free sample	3	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026125-Sample 29	Homo Sapiens	Blood	PBMC	whole cell	purchased from SCD	1	not available	not available	not available	not available	normal	1	run 29	proteomic profiling by mass spectrometer	20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_06_15-45_c.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026125/20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_06_15-45_c.raw	AC=PRIDE:0000565;NT=High-performance liquid chromatography	6	NT=Data-Dependent Acquisition;AC=PRIDE:0000655	AC=MS:1002038;NT=label free sample	4	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026125-Sample 30	Homo Sapiens	Blood	PBMC	whole cell	purchased from SCD	1	not available	not available	not available	not available	normal	1	run 30	proteomic profiling by mass spectrometer	20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_06_20-40_a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026125/20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_06_20-40_a.raw	AC=PRIDE:0000565;NT=High-performance liquid chromatography	6	NT=Data-Dependent Acquisition;AC=PRIDE:0000656	AC=MS:1002038;NT=label free sample	5	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
