source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[origin]	characteristics[individual]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[disease]	characteristics[biological replicate]	assay name	Technology Type	comment[data file]	comment[file uri]	comment[ion exchange method]	comment[salt step]	comment[fractionation method]	comment[fraction identifier]	comment[proteomics data acquisition method]	comment[label]	comment[technical replicate]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD026127-Sample 11	Homo Sapiens	Blood	"CD4-positive, alpha-beta T cell"	peripheral blood	1	not available	not available	not available	not available	normal	1	run 11	proteomic profiling by mass spectrometer	LCA_08112018_rescue_F4_180811171512.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08112018_rescue_F4_180811171512.raw		not applicable	AC=PRIDE:0000565;NT=High-performance liquid chromatography	4	NT=Data-Dependent Acquisition;AC=PRIDE:0000637	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026127-Sample 12	Homo Sapiens	Blood	"CD4-positive, alpha-beta T cell"	peripheral blood	1	not available	not available	not available	not available	normal	1	run 12	proteomic profiling by mass spectrometer	LCA_08262018_CD3_FT_F4_ETD_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08262018_CD3_FT_F4_ETD_03.raw		not applicable	AC=PRIDE:0000565;NT=High-performance liquid chromatography	4	NT=Data-Dependent Acquisition;AC=PRIDE:0000690	AC=MS:1002038;NT=label free sample	3	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026127-Sample 13	Homo Sapiens	Blood	"CD4-positive, alpha-beta T cell"	peripheral blood	1	not available	not available	not available	not available	normal	1	run 13	proteomic profiling by mass spectrometer	LCA_08112018_CD3_FT_F5_CID_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08112018_CD3_FT_F5_CID_01.raw		not applicable	AC=PRIDE:0000565;NT=High-performance liquid chromatography	5	NT=Data-Dependent Acquisition;AC=PRIDE:0000638	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026127-Sample 14	Homo Sapiens	Blood	"CD4-positive, alpha-beta T cell"	peripheral blood	1	not available	not available	not available	not available	normal	1	run 14	proteomic profiling by mass spectrometer	LCA_08112018_CD3_FT_F5_CID_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08112018_CD3_FT_F5_CID_02.raw		not applicable	AC=PRIDE:0000565;NT=High-performance liquid chromatography	5	NT=Data-Dependent Acquisition;AC=PRIDE:0000639	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026127-Sample 15	Homo Sapiens	Blood	"CD4-positive, alpha-beta T cell"	peripheral blood	1	not available	not available	not available	not available	normal	1	run 15	proteomic profiling by mass spectrometer	LCA_08112018_CD3_FT_F6_CID_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08112018_CD3_FT_F6_CID_01.raw		not applicable	AC=PRIDE:0000565;NT=High-performance liquid chromatography	6	NT=Data-Dependent Acquisition;AC=PRIDE:0000640	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026127-Sample 16	Homo Sapiens	Blood	"CD4-positive, alpha-beta T cell"	peripheral blood	1	not available	not available	not available	not available	normal	1	run 16	proteomic profiling by mass spectrometer	LCA_08112018_CD3_FT_F6_CID_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08112018_CD3_FT_F6_CID_02.raw		not applicable	AC=PRIDE:0000565;NT=High-performance liquid chromatography	6	NT=Data-Dependent Acquisition;AC=PRIDE:0000641	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026127-Sample 17	Homo Sapiens	Blood	"CD4-positive, alpha-beta T cell"	peripheral blood	1	not available	not available	not available	not available	normal	1	run 17	proteomic profiling by mass spectrometer	LCA_08262018_CD3_FT_F6_CID_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08262018_CD3_FT_F6_CID_03.raw		not applicable	AC=PRIDE:0000565;NT=High-performance liquid chromatography	6	NT=Data-Dependent Acquisition;AC=PRIDE:0000695	AC=MS:1002038;NT=label free sample	3	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026127-Sample 18	Homo Sapiens	Blood	"CD4-positive, alpha-beta T cell"	peripheral blood	1	not available	not available	not available	not available	normal	1	run 18	proteomic profiling by mass spectrometer	LCA_08112018_CD3_FT_F7_CID_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08112018_CD3_FT_F7_CID_01.raw		not applicable	AC=PRIDE:0000565;NT=High-performance liquid chromatography	7	NT=Data-Dependent Acquisition;AC=PRIDE:0000642	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026127-Sample 19	Homo Sapiens	Blood	"CD4-positive, alpha-beta T cell"	peripheral blood	1	not available	not available	not available	not available	normal	1	run 19	proteomic profiling by mass spectrometer	LCA_08112018_CD3_FT_F7_CID_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08112018_CD3_FT_F7_CID_02.raw		not applicable	AC=PRIDE:0000565;NT=High-performance liquid chromatography	7	NT=Data-Dependent Acquisition;AC=PRIDE:0000643	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026127-Sample 20	Homo Sapiens	Blood	"CD4-positive, alpha-beta T cell"	peripheral blood	1	not available	not available	not available	not available	normal	1	run 20	proteomic profiling by mass spectrometer	LCA_08112018_CD3_FT_F8_CID_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08112018_CD3_FT_F8_CID_01.raw		not applicable	AC=PRIDE:0000565;NT=High-performance liquid chromatography	8	NT=Data-Dependent Acquisition;AC=PRIDE:0000644	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026127-Sample 21	Homo Sapiens	Blood	"CD4-positive, alpha-beta T cell"	peripheral blood	1	not available	not available	not available	not available	normal	1	run 21	proteomic profiling by mass spectrometer	LCA_08112018_CD3_FT_F8_CID_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08112018_CD3_FT_F8_CID_02.raw		not applicable	AC=PRIDE:0000565;NT=High-performance liquid chromatography	8	NT=Data-Dependent Acquisition;AC=PRIDE:0000645	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026127-Sample 22	Homo Sapiens	Blood	"CD4-positive, alpha-beta T cell"	peripheral blood	1	not available	not available	not available	not available	normal	1	run 22	proteomic profiling by mass spectrometer	LCA_08262018_CD3_FT_F8_CID_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08262018_CD3_FT_F8_CID_03.raw		500 mM	AC=PRIDE:0000565;NT=High-performance liquid chromatography	8	NT=Data-Dependent Acquisition;AC=PRIDE:0000700	AC=MS:1002038;NT=label free sample	3	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026127-Sample 23	Homo Sapiens	Blood	"CD4-positive, alpha-beta T cell"	peripheral blood	1	not available	not available	not available	not available	normal	1	run 23	proteomic profiling by mass spectrometer	LCA_08212018_CD3_200_F1_CID_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08212018_CD3_200_F1_CID_02.raw		200 mM	AC=PRIDE:0000565;NT=High-performance liquid chromatography	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000646	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026127-Sample 24	Homo Sapiens	Blood	"CD4-positive, alpha-beta T cell"	peripheral blood	1	not available	not available	not available	not available	normal	1	run 24	proteomic profiling by mass spectrometer	LCA_08212018_CD3_200_F1_CID_rescue_180821165104.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08212018_CD3_200_F1_CID_rescue_180821165104.raw		200 mM	AC=PRIDE:0000565;NT=High-performance liquid chromatography	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000647	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026127-Sample 25	Homo Sapiens	Blood	"CD4-positive, alpha-beta T cell"	peripheral blood	1	not available	not available	not available	not available	normal	1	run 25	proteomic profiling by mass spectrometer	LCA_08212018_CD3_200_F2_CID_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08212018_CD3_200_F2_CID_01.raw		200 mM	AC=PRIDE:0000565;NT=High-performance liquid chromatography	2	NT=Data-Dependent Acquisition;AC=PRIDE:0000648	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026127-Sample 26	Homo Sapiens	Blood	"CD4-positive, alpha-beta T cell"	peripheral blood	1	not available	not available	not available	not available	normal	1	run 26	proteomic profiling by mass spectrometer	LCA_08212018_CD3_200_F2_CID_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08212018_CD3_200_F2_CID_02.raw		200 mM	AC=PRIDE:0000565;NT=High-performance liquid chromatography	2	NT=Data-Dependent Acquisition;AC=PRIDE:0000649	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026127-Sample 27	Homo Sapiens	Blood	"CD4-positive, alpha-beta T cell"	peripheral blood	1	not available	not available	not available	not available	normal	1	run 27	proteomic profiling by mass spectrometer	LCA_08212018_CD3_200_F3_CID_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08212018_CD3_200_F3_CID_01.raw		200 mM	AC=PRIDE:0000565;NT=High-performance liquid chromatography	3	NT=Data-Dependent Acquisition;AC=PRIDE:0000650	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026127-Sample 28	Homo Sapiens	Blood	"CD4-positive, alpha-beta T cell"	peripheral blood	1	not available	not available	not available	not available	normal	1	run 28	proteomic profiling by mass spectrometer	LCA_08212018_CD3_200_F3_CID_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08212018_CD3_200_F3_CID_02.raw		200 mM	AC=PRIDE:0000565;NT=High-performance liquid chromatography	3	NT=Data-Dependent Acquisition;AC=PRIDE:0000651	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026127-Sample 29	Homo Sapiens	Blood	"CD4-positive, alpha-beta T cell"	peripheral blood	1	not available	not available	not available	not available	normal	1	run 29	proteomic profiling by mass spectrometer	LCA_08212018_CD3_200_F4_CID_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08212018_CD3_200_F4_CID_01.raw		200 mM	AC=PRIDE:0000565;NT=High-performance liquid chromatography	4	NT=Data-Dependent Acquisition;AC=PRIDE:0000652	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026127-Sample 30	Homo Sapiens	Blood	"CD4-positive, alpha-beta T cell"	peripheral blood	1	not available	not available	not available	not available	normal	1	run 30	proteomic profiling by mass spectrometer	LCA_08212018_CD3_200_F4_CID_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08212018_CD3_200_F4_CID_02.raw		200 mM	AC=PRIDE:0000565;NT=High-performance liquid chromatography	4	NT=Data-Dependent Acquisition;AC=PRIDE:0000653	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026127-Sample 31	Homo Sapiens	Blood	"CD4-positive, alpha-beta T cell"	peripheral blood	1	not available	not available	not available	not available	normal	1	run 31	proteomic profiling by mass spectrometer	LCA_08222018_CD3_200_F5_CID_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08222018_CD3_200_F5_CID_01.raw		200 mM	AC=PRIDE:0000565;NT=High-performance liquid chromatography	5	NT=Data-Dependent Acquisition;AC=PRIDE:0000654	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026127-Sample 32	Homo Sapiens	Blood	"CD4-positive, alpha-beta T cell"	peripheral blood	1	not available	not available	not available	not available	normal	1	run 32	proteomic profiling by mass spectrometer	LCA_08222018_CD3_200_F5_CID_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08222018_CD3_200_F5_CID_02.raw		200 mM	AC=PRIDE:0000565;NT=High-performance liquid chromatography	5	NT=Data-Dependent Acquisition;AC=PRIDE:0000655	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026127-Sample 33	Homo Sapiens	Blood	"CD4-positive, alpha-beta T cell"	peripheral blood	1	not available	not available	not available	not available	normal	1	run 33	proteomic profiling by mass spectrometer	LCA_08222018_CD3_200_F6_CID_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08222018_CD3_200_F6_CID_01.raw		200 mM	AC=PRIDE:0000565;NT=High-performance liquid chromatography	6	NT=Data-Dependent Acquisition;AC=PRIDE:0000656	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
