Run	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Sample Characteristic[cell line]	Sample Characteristic Ontology Term[cell line]	Sample Characteristic[organism part]	Sample Characteristic Ontology Term[organism part]	Sample Characteristic[disease]	Sample Characteristic Ontology Term[disease]	Sample Characteristic[sex]	Sample Characteristic Ontology Term[sex]	Sample Characteristic[metastasis site]	Sample Characteristic Ontology Term[metastasis site]	Factor Value[cell line]	Factor Value Ontology Term[cell line]	Factor Value[organism part]	Factor Value Ontology Term[organism part]	Factor Value[disease]	Factor Value Ontology Term[disease]	Analysed
ERR1056398	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SNU-81		large intestine	http://purl.obolibrary.org/obo/UBERON_0000059	colorectal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	male	http://purl.obolibrary.org/obo/PATO_0000384			SNU-81		large intestine	http://purl.obolibrary.org/obo/UBERON_0000059	colorectal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	Yes
ERR1056399	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SNU-C5		large intestine	http://purl.obolibrary.org/obo/UBERON_0000059	colorectal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	female	http://purl.obolibrary.org/obo/PATO_0000383			SNU-C5		large intestine	http://purl.obolibrary.org/obo/UBERON_0000059	colorectal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	Yes
ERR1056400	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	ST486	http://www.ebi.ac.uk/efo/EFO_0002353	hematopoietic system	http://purl.obolibrary.org/obo/UBERON_0002390	Burkitts lymphoma	http://www.ebi.ac.uk/efo/EFO_0000309	female	http://purl.obolibrary.org/obo/PATO_0000383			ST486	http://www.ebi.ac.uk/efo/EFO_0002353	hematopoietic system	http://purl.obolibrary.org/obo/UBERON_0002390	Burkitts lymphoma	http://www.ebi.ac.uk/efo/EFO_0000309	Yes
ERR1083027	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SU-DHL-6	http://www.ebi.ac.uk/efo/EFO_0002357	hematopoietic system	http://purl.obolibrary.org/obo/UBERON_0002390	diffuse large B cell lymphoma	http://www.ebi.ac.uk/efo/EFO_0000403	male	http://purl.obolibrary.org/obo/PATO_0000384	peritoneum	http://purl.obolibrary.org/obo/UBERON_0002358	SU-DHL-6	http://www.ebi.ac.uk/efo/EFO_0002357	hematopoietic system	http://purl.obolibrary.org/obo/UBERON_0002390	diffuse large B cell lymphoma	http://www.ebi.ac.uk/efo/EFO_0000403	Yes
ERR1083028	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SUIT-2	http://www.ebi.ac.uk/efo/EFO_0006495	pancreas	http://purl.obolibrary.org/obo/UBERON_0001264	pancreatic adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000044	male	http://purl.obolibrary.org/obo/PATO_0000384	liver	http://purl.obolibrary.org/obo/UBERON_0002107	SUIT-2	http://www.ebi.ac.uk/efo/EFO_0006495	pancreas	http://purl.obolibrary.org/obo/UBERON_0001264	pancreatic adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000044	Yes
ERR1088190	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SU-DHL-10	http://www.ebi.ac.uk/efo/EFO_0002354	hematopoietic system	http://purl.obolibrary.org/obo/UBERON_0002390	diffuse large B cell lymphoma	http://www.ebi.ac.uk/efo/EFO_0000403	male	http://purl.obolibrary.org/obo/PATO_0000384			SU-DHL-10	http://www.ebi.ac.uk/efo/EFO_0002354	hematopoietic system	http://purl.obolibrary.org/obo/UBERON_0002390	diffuse large B cell lymphoma	http://www.ebi.ac.uk/efo/EFO_0000403	Yes
ERR1088191	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SU-DHL-5	http://www.ebi.ac.uk/efo/EFO_0002356	hematopoietic system	http://purl.obolibrary.org/obo/UBERON_0002390	diffuse large B cell lymphoma	http://www.ebi.ac.uk/efo/EFO_0000403	female	http://purl.obolibrary.org/obo/PATO_0000383	peritoneum	http://purl.obolibrary.org/obo/UBERON_0002358	SU-DHL-5	http://www.ebi.ac.uk/efo/EFO_0002356	hematopoietic system	http://purl.obolibrary.org/obo/UBERON_0002390	diffuse large B cell lymphoma	http://www.ebi.ac.uk/efo/EFO_0000403	Yes
ERR1088192	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SW1088	http://www.ebi.ac.uk/efo/EFO_0002358	brain	http://purl.obolibrary.org/obo/UBERON_0000955	glioblastoma multiforme	http://www.ebi.ac.uk/efo/EFO_0000519	male	http://purl.obolibrary.org/obo/PATO_0000384			SW1088	http://www.ebi.ac.uk/efo/EFO_0002358	brain	http://purl.obolibrary.org/obo/UBERON_0000955	glioblastoma multiforme	http://www.ebi.ac.uk/efo/EFO_0000519	Yes
ERR1088193	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SW1116	http://www.ebi.ac.uk/efo/EFO_0002359	large intestine	http://purl.obolibrary.org/obo/UBERON_0000059	colorectal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	male	http://purl.obolibrary.org/obo/PATO_0000384			SW1116	http://www.ebi.ac.uk/efo/EFO_0002359	large intestine	http://purl.obolibrary.org/obo/UBERON_0000059	colorectal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	Yes
ERR1088194	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SW1463	http://www.ebi.ac.uk/efo/EFO_0002362	large intestine	http://purl.obolibrary.org/obo/UBERON_0000059	colorectal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	female	http://purl.obolibrary.org/obo/PATO_0000383			SW1463	http://www.ebi.ac.uk/efo/EFO_0002362	large intestine	http://purl.obolibrary.org/obo/UBERON_0000059	colorectal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	Yes
ERR1088195	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SW1573	http://www.ebi.ac.uk/efo/EFO_0002363	lung	http://purl.obolibrary.org/obo/UBERON_0002048	non-small cell lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0005288	female	http://purl.obolibrary.org/obo/PATO_0000383			SW1573	http://www.ebi.ac.uk/efo/EFO_0002363	lung	http://purl.obolibrary.org/obo/UBERON_0002048	non-small cell lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0005288	Yes
ERR1097809	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	TE-6		esophagus	http://purl.obolibrary.org/obo/UBERON_0001043	esophageal squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0005922	male	http://purl.obolibrary.org/obo/PATO_0000384			TE-6		esophagus	http://purl.obolibrary.org/obo/UBERON_0001043	esophageal squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0005922	Yes
ERR1097810	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	TE-8		esophagus	http://purl.obolibrary.org/obo/UBERON_0001043	esophageal carcinoma	http://www.ebi.ac.uk/efo/EFO_0002916	male	http://purl.obolibrary.org/obo/PATO_0000384			TE-8		esophagus	http://purl.obolibrary.org/obo/UBERON_0001043	esophageal carcinoma	http://www.ebi.ac.uk/efo/EFO_0002916	Yes
ERR1097811	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	TGBC11TKB		stomach	http://purl.obolibrary.org/obo/UBERON_0000945	gastric adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000503	female	http://purl.obolibrary.org/obo/PATO_0000383	lymph node	http://purl.obolibrary.org/obo/UBERON_0000029	TGBC11TKB		stomach	http://purl.obolibrary.org/obo/UBERON_0000945	gastric adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000503	Yes
ERR1097812	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	TT2609-C02		thyroid gland	http://purl.obolibrary.org/obo/UBERON_0002046	follicular thyroid carcinoma	http://www.ebi.ac.uk/efo/EFO_0000501	male	http://purl.obolibrary.org/obo/PATO_0000384			TT2609-C02		thyroid gland	http://purl.obolibrary.org/obo/UBERON_0002046	follicular thyroid carcinoma	http://www.ebi.ac.uk/efo/EFO_0000501	Yes
ERR1097813	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	U-266	http://www.ebi.ac.uk/efo/EFO_0001254	hematopoietic system	http://purl.obolibrary.org/obo/UBERON_0002390	multiple myeloma	http://www.ebi.ac.uk/efo/EFO_0001378	male	http://purl.obolibrary.org/obo/PATO_0000384			U-266	http://www.ebi.ac.uk/efo/EFO_0001254	hematopoietic system	http://purl.obolibrary.org/obo/UBERON_0002390	multiple myeloma	http://www.ebi.ac.uk/efo/EFO_0001378	Yes
ERR1097814	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	UACC-812	http://www.ebi.ac.uk/efo/EFO_0001258	breast	http://purl.obolibrary.org/obo/UBERON_0000310	ductal carcinoma	http://www.ebi.ac.uk/efo/EFO_0006318	female	http://purl.obolibrary.org/obo/PATO_0000383			UACC-812	http://www.ebi.ac.uk/efo/EFO_0001258	breast	http://purl.obolibrary.org/obo/UBERON_0000310	ductal carcinoma	http://www.ebi.ac.uk/efo/EFO_0006318	Yes
ERR1097815	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	VM-CUB-1		urinary bladder	http://purl.obolibrary.org/obo/UBERON_0001255	bladder transitional cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0006544	male	http://purl.obolibrary.org/obo/PATO_0000384			VM-CUB-1		urinary bladder	http://purl.obolibrary.org/obo/UBERON_0001255	bladder transitional cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0006544	Yes
ERR1097816	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	VMRC-RCZ		kidney	http://purl.obolibrary.org/obo/UBERON_0002113	renal cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000681	not available				VMRC-RCZ		kidney	http://purl.obolibrary.org/obo/UBERON_0002113	renal cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000681	Yes
ERR1097817	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SW1710		urinary bladder	http://purl.obolibrary.org/obo/UBERON_0001255	bladder carcinoma	http://purl.obolibrary.org/obo/MONDO_0004986	female	http://purl.obolibrary.org/obo/PATO_0000383			SW1710		urinary bladder	http://purl.obolibrary.org/obo/UBERON_0001255	bladder carcinoma	http://purl.obolibrary.org/obo/MONDO_0004986	Yes
ERR1097818	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SW403	http://www.ebi.ac.uk/efo/EFO_0002366	large intestine	http://purl.obolibrary.org/obo/UBERON_0000059	colorectal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	female	http://purl.obolibrary.org/obo/PATO_0000383			SW403	http://www.ebi.ac.uk/efo/EFO_0002366	large intestine	http://purl.obolibrary.org/obo/UBERON_0000059	colorectal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	Yes
ERR1097819	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SW626		ovary	http://purl.obolibrary.org/obo/UBERON_0000992	ovarian adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0006460	female	http://purl.obolibrary.org/obo/PATO_0000383			SW626		ovary	http://purl.obolibrary.org/obo/UBERON_0000992	ovarian adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0006460	Yes
ERR1097820	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SW780	http://www.ebi.ac.uk/efo/EFO_0002371	urinary bladder	http://purl.obolibrary.org/obo/UBERON_0001255	bladder carcinoma	http://purl.obolibrary.org/obo/MONDO_0004986	female	http://purl.obolibrary.org/obo/PATO_0000383			SW780	http://www.ebi.ac.uk/efo/EFO_0002371	urinary bladder	http://purl.obolibrary.org/obo/UBERON_0001255	bladder carcinoma	http://purl.obolibrary.org/obo/MONDO_0004986	Yes
ERR1097821	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SW837	http://www.ebi.ac.uk/efo/EFO_0002372	large intestine	http://purl.obolibrary.org/obo/UBERON_0000059	colorectal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	male	http://purl.obolibrary.org/obo/PATO_0000384			SW837	http://www.ebi.ac.uk/efo/EFO_0002372	large intestine	http://purl.obolibrary.org/obo/UBERON_0000059	colorectal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	Yes
ERR1097822	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	TE-10		esophagus	http://purl.obolibrary.org/obo/UBERON_0001043	esophageal carcinoma	http://www.ebi.ac.uk/efo/EFO_0002916	male	http://purl.obolibrary.org/obo/PATO_0000384			TE-10		esophagus	http://purl.obolibrary.org/obo/UBERON_0001043	esophageal carcinoma	http://www.ebi.ac.uk/efo/EFO_0002916	Yes
ERR1097823	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	TE-4		esophagus	http://purl.obolibrary.org/obo/UBERON_0001043	esophageal squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0005922	female	http://purl.obolibrary.org/obo/PATO_0000383	lymph node	http://purl.obolibrary.org/obo/UBERON_0000029	TE-4		esophagus	http://purl.obolibrary.org/obo/UBERON_0001043	esophageal squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0005922	Yes
ERR1097824	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	TE-441-T		musculature	http://purl.obolibrary.org/obo/UBERON_0001015	rhabdomyosarcoma	http://www.ebi.ac.uk/efo/EFO_0002918	female	http://purl.obolibrary.org/obo/PATO_0000383			TE-441-T		musculature	http://purl.obolibrary.org/obo/UBERON_0001015	rhabdomyosarcoma	http://www.ebi.ac.uk/efo/EFO_0002918	Yes
ERR1122977	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NCI-H661	http://www.ebi.ac.uk/efo/EFO_0002299	lung	http://purl.obolibrary.org/obo/UBERON_0002048	large cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0003050	male	http://purl.obolibrary.org/obo/PATO_0000384			NCI-H661	http://www.ebi.ac.uk/efo/EFO_0002299	lung	http://purl.obolibrary.org/obo/UBERON_0002048	large cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0003050	Yes
ERR1122978	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	RXF393		kidney	http://purl.obolibrary.org/obo/UBERON_0002113	renal cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000681	male	http://purl.obolibrary.org/obo/PATO_0000384			RXF393		kidney	http://purl.obolibrary.org/obo/UBERON_0002113	renal cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000681	Yes
ERR672750	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	COLO-205	http://www.ebi.ac.uk/efo/EFO_0003082	large intestine	http://purl.obolibrary.org/obo/UBERON_0000059	colorectal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	male	http://purl.obolibrary.org/obo/PATO_0000384			COLO-205	http://www.ebi.ac.uk/efo/EFO_0003082	large intestine	http://purl.obolibrary.org/obo/UBERON_0000059	colorectal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	Yes
ERR672751	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	H2369	http://www.ebi.ac.uk/efo/EFO_0006678	lung	http://purl.obolibrary.org/obo/UBERON_0002048	mesothelioma	http://www.ebi.ac.uk/efo/EFO_0000588	not available				H2369	http://www.ebi.ac.uk/efo/EFO_0006678	lung	http://purl.obolibrary.org/obo/UBERON_0002048	mesothelioma	http://www.ebi.ac.uk/efo/EFO_0000588	Yes
ERR672752	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	H2373	http://www.ebi.ac.uk/efo/EFO_0006679	lung	http://purl.obolibrary.org/obo/UBERON_0002048	mesothelioma	http://www.ebi.ac.uk/efo/EFO_0000588	not available				H2373	http://www.ebi.ac.uk/efo/EFO_0006679	lung	http://purl.obolibrary.org/obo/UBERON_0002048	mesothelioma	http://www.ebi.ac.uk/efo/EFO_0000588	Yes
ERR672753	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	H2461	http://www.ebi.ac.uk/efo/EFO_0006681	lung	http://purl.obolibrary.org/obo/UBERON_0002048	mesothelioma	http://www.ebi.ac.uk/efo/EFO_0000588	not available				H2461	http://www.ebi.ac.uk/efo/EFO_0006681	lung	http://purl.obolibrary.org/obo/UBERON_0002048	mesothelioma	http://www.ebi.ac.uk/efo/EFO_0000588	Yes
ERR672754	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	H2591		lung	http://purl.obolibrary.org/obo/UBERON_0002048	mesothelioma	http://www.ebi.ac.uk/efo/EFO_0000588	not available				H2591		lung	http://purl.obolibrary.org/obo/UBERON_0002048	mesothelioma	http://www.ebi.ac.uk/efo/EFO_0000588	Yes
ERR672755	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	H2595	http://www.ebi.ac.uk/efo/EFO_0006682	lung	http://purl.obolibrary.org/obo/UBERON_0002048	mesothelioma	http://www.ebi.ac.uk/efo/EFO_0000588	not available				H2595	http://www.ebi.ac.uk/efo/EFO_0006682	lung	http://purl.obolibrary.org/obo/UBERON_0002048	mesothelioma	http://www.ebi.ac.uk/efo/EFO_0000588	Yes
ERR672756	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	H2722	http://www.ebi.ac.uk/efo/EFO_0006684	lung	http://purl.obolibrary.org/obo/UBERON_0002048	mesothelioma	http://www.ebi.ac.uk/efo/EFO_0000588	not available				H2722	http://www.ebi.ac.uk/efo/EFO_0006684	lung	http://purl.obolibrary.org/obo/UBERON_0002048	mesothelioma	http://www.ebi.ac.uk/efo/EFO_0000588	Yes
ERR672757	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	H2731		lung	http://purl.obolibrary.org/obo/UBERON_0002048	mesothelioma	http://www.ebi.ac.uk/efo/EFO_0000588	not available				H2731		lung	http://purl.obolibrary.org/obo/UBERON_0002048	mesothelioma	http://www.ebi.ac.uk/efo/EFO_0000588	Yes
ERR672758	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	H2795	http://www.ebi.ac.uk/efo/EFO_0006685	lung	http://purl.obolibrary.org/obo/UBERON_0002048	mesothelioma	http://www.ebi.ac.uk/efo/EFO_0000588	not available				H2795	http://www.ebi.ac.uk/efo/EFO_0006685	lung	http://purl.obolibrary.org/obo/UBERON_0002048	mesothelioma	http://www.ebi.ac.uk/efo/EFO_0000588	Yes
ERR672759	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	H2803	http://www.ebi.ac.uk/efo/EFO_0006687	lung	http://purl.obolibrary.org/obo/UBERON_0002048	mesothelioma	http://www.ebi.ac.uk/efo/EFO_0000588	not available				H2803	http://www.ebi.ac.uk/efo/EFO_0006687	lung	http://purl.obolibrary.org/obo/UBERON_0002048	mesothelioma	http://www.ebi.ac.uk/efo/EFO_0000588	Yes
