Run	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Sample Characteristic[cell line]	Sample Characteristic Ontology Term[cell line]	Sample Characteristic[tissue supergroup]	Sample Characteristic Ontology Term[tissue supergroup]	Sample Characteristic[metatastic tissue]	Sample Characteristic Ontology Term[metatastic tissue]	Sample Characteristic[organism part]	Sample Characteristic Ontology Term[organism part]	Sample Characteristic[disease]	Sample Characteristic Ontology Term[disease]	Sample Characteristic[age]	Sample Characteristic Ontology Term[age]	Sample Characteristic[sex]	Sample Characteristic Ontology Term[sex]	Sample Characteristic[ethnicity]	Sample Characteristic Ontology Term[ethnicity]	Sample Characteristic[media]	Sample Characteristic Ontology Term[media]	Sample Characteristic[freeze media]	Sample Characteristic Ontology Term[freeze media]	Factor Value[cell line]	Factor Value Ontology Term[cell line]	Factor Value[organism part]	Factor Value Ontology Term[organism part]	Factor Value[disease]	Factor Value Ontology Term[disease]	Analysed
ERR413357	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	928 mel	http://www.ebi.ac.uk/efo/EFO_0006360	zone of skin	http://purl.obolibrary.org/obo/UBERON_0000014	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	zone of skin	http://purl.obolibrary.org/obo/UBERON_0000014	melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	not available		not available		not available		DMEM, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		928 mel	http://www.ebi.ac.uk/efo/EFO_0006360	zone of skin	http://purl.obolibrary.org/obo/UBERON_0000014	melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	Yes
ERR413358	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	A-375	http://www.ebi.ac.uk/efo/EFO_0002103	zone of skin	http://purl.obolibrary.org/obo/UBERON_0000014			zone of skin	http://purl.obolibrary.org/obo/UBERON_0000014	melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	not available		female	http://purl.obolibrary.org/obo/PATO_0000383	not available		RPMI-1640 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		A-375	http://www.ebi.ac.uk/efo/EFO_0002103	zone of skin	http://purl.obolibrary.org/obo/UBERON_0000014	melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	Yes
ERR413359	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	A-427	http://www.ebi.ac.uk/efo/EFO_0002104	lung	http://purl.obolibrary.org/obo/UBERON_0002048	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	lung	http://purl.obolibrary.org/obo/UBERON_0002048	lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0001071	52 year		male	http://purl.obolibrary.org/obo/PATO_0000384	Caucasian	http://purl.obolibrary.org/obo/HANCESTRO_0005	RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		A-427	http://www.ebi.ac.uk/efo/EFO_0002104	lung	http://purl.obolibrary.org/obo/UBERON_0002048	lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0001071	Yes
ERR413360	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	A-431	http://www.ebi.ac.uk/efo/EFO_0006268	zone of skin	http://purl.obolibrary.org/obo/UBERON_0000014	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	zone of skin	http://purl.obolibrary.org/obo/UBERON_0000014	skin squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000707	85 year		female	http://purl.obolibrary.org/obo/PATO_0000383	not available		RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		A-431	http://www.ebi.ac.uk/efo/EFO_0006268	zone of skin	http://purl.obolibrary.org/obo/UBERON_0000014	skin squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000707	Yes
ERR413361	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	A-498	http://www.ebi.ac.uk/efo/EFO_0002105	kidney	http://purl.obolibrary.org/obo/UBERON_0002113	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	kidney	http://purl.obolibrary.org/obo/UBERON_0002113	renal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000681	52		female	http://purl.obolibrary.org/obo/PATO_0000383	not available		RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		A-498	http://www.ebi.ac.uk/efo/EFO_0002105	kidney	http://purl.obolibrary.org/obo/UBERON_0002113	renal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000681	Yes
ERR413362	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	A-673	http://www.ebi.ac.uk/efo/EFO_0002106	sarcomatiod		not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	skeletal muscle tissue	http://purl.obolibrary.org/obo/UBERON_0001134	rhabdomyosarcoma	http://www.ebi.ac.uk/efo/EFO_0002918	15 year		female	http://purl.obolibrary.org/obo/PATO_0000383	not available		RPMI-1640 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		A-673	http://www.ebi.ac.uk/efo/EFO_0002106	skeletal muscle tissue	http://purl.obolibrary.org/obo/UBERON_0001134	rhabdomyosarcoma	http://www.ebi.ac.uk/efo/EFO_0002918	Yes
ERR413363	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	A172	http://www.ebi.ac.uk/efo/EFO_0002101	brain	http://purl.obolibrary.org/obo/UBERON_0000955	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	brain	http://purl.obolibrary.org/obo/UBERON_0000955	glioblastoma	http://www.ebi.ac.uk/efo/EFO_0000519	not available		male	http://purl.obolibrary.org/obo/PATO_0000384	not available		DMEM, 10% FBS, 2mM L-Glutamine		90% FBS; 10% DMSO		A172	http://www.ebi.ac.uk/efo/EFO_0002101	brain	http://purl.obolibrary.org/obo/UBERON_0000955	glioblastoma	http://www.ebi.ac.uk/efo/EFO_0000519	Yes
ERR413364	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	A2058	http://www.ebi.ac.uk/efo/EFO_0006361	zone of skin	http://purl.obolibrary.org/obo/UBERON_0000014	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	zone of skin	http://purl.obolibrary.org/obo/UBERON_0000014	melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	43 year		male	http://purl.obolibrary.org/obo/PATO_0000384	Caucasian	http://purl.obolibrary.org/obo/HANCESTRO_0005	RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		A2058	http://www.ebi.ac.uk/efo/EFO_0006361	zone of skin	http://purl.obolibrary.org/obo/UBERON_0000014	melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	No
ERR413365	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	A2780	http://www.ebi.ac.uk/efo/EFO_0006362	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	ovarian carcinoma	http://www.ebi.ac.uk/efo/EFO_0001075	not available		female	http://purl.obolibrary.org/obo/PATO_0000383	not available		RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete Growth Media, 90%; DMSO, 10%		A2780	http://www.ebi.ac.uk/efo/EFO_0006362	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	ovarian carcinoma	http://www.ebi.ac.uk/efo/EFO_0001075	Yes
ERR413366	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	A3/KAW	http://www.ebi.ac.uk/efo/EFO_0006532	lymphoid		not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	blood	http://purl.obolibrary.org/obo/UBERON_0000178	lymphoma	http://www.ebi.ac.uk/efo/EFO_0000574	not available		not available		not available		RPMI-1640, 10% HI FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		A3/KAW	http://www.ebi.ac.uk/efo/EFO_0006532	blood	http://purl.obolibrary.org/obo/UBERON_0000178	lymphoma	http://www.ebi.ac.uk/efo/EFO_0000574	Yes
ERR413367	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	A4/Fuk	http://www.ebi.ac.uk/efo/EFO_0006533	lymphoid		not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	blood	http://purl.obolibrary.org/obo/UBERON_0000178	non-Hodgkin's lymphoma	http://www.ebi.ac.uk/efo/EFO_0000574	not available		not available		not available		RPMI-1640, 10% HI FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		A4/Fuk	http://www.ebi.ac.uk/efo/EFO_0006533	blood	http://purl.obolibrary.org/obo/UBERON_0000178	non-Hodgkin's lymphoma	http://www.ebi.ac.uk/efo/EFO_0000574	Yes
ERR413368	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	A549	http://www.ebi.ac.uk/efo/EFO_0001086	lung	http://purl.obolibrary.org/obo/UBERON_0002048	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	lung	http://purl.obolibrary.org/obo/UBERON_0002048	lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0001071	58 year		male	http://purl.obolibrary.org/obo/PATO_0000384	Caucasian	http://purl.obolibrary.org/obo/HANCESTRO_0005	RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		A549	http://www.ebi.ac.uk/efo/EFO_0001086	lung	http://purl.obolibrary.org/obo/UBERON_0002048	lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0001071	Yes
ERR413369	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	ABC-1	http://www.ebi.ac.uk/efo/EFO_0002813	lung	http://purl.obolibrary.org/obo/UBERON_0002048	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	lung	http://purl.obolibrary.org/obo/UBERON_0002048	lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	not available		not available		not available		RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		ABC-1	http://www.ebi.ac.uk/efo/EFO_0002813	lung	http://purl.obolibrary.org/obo/UBERON_0002048	lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	Yes
ERR413370	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	ACHN	http://www.ebi.ac.uk/efo/EFO_0002108	kidney	http://purl.obolibrary.org/obo/UBERON_0002113	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	kidney	http://purl.obolibrary.org/obo/UBERON_0002113	renal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000681	22 year		male	http://purl.obolibrary.org/obo/PATO_0000384	Caucasian	http://purl.obolibrary.org/obo/HANCESTRO_0005	EMEM, 10% FBS, 2mM L-Glutamine, 100mM HEPES		Complete growth medium, 90%; DMSO, 10%		ACHN	http://www.ebi.ac.uk/efo/EFO_0002108	kidney	http://purl.obolibrary.org/obo/UBERON_0002113	renal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000681	Yes
ERR413371	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	AGS	http://www.ebi.ac.uk/efo/EFO_0002109	stomach	http://purl.obolibrary.org/obo/UBERON_0000945	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	stomach	http://purl.obolibrary.org/obo/UBERON_0000945	gastric adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000503	not available		not available		not available		RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		AGS	http://www.ebi.ac.uk/efo/EFO_0002109	stomach	http://purl.obolibrary.org/obo/UBERON_0000945	gastric adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000503	Yes
ERR413372	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	AMO-1	http://www.ebi.ac.uk/efo/EFO_0006534	lymphoid		not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	blood	http://purl.obolibrary.org/obo/UBERON_0000178	plasmacytoma	http://www.ebi.ac.uk/efo/EFO_0006738	not available		not available		not available		RPMI-1640, 10% Heat inactivated FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		AMO-1	http://www.ebi.ac.uk/efo/EFO_0006534	blood	http://purl.obolibrary.org/obo/UBERON_0000178	plasmacytoma	http://www.ebi.ac.uk/efo/EFO_0006738	Yes
ERR413373	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	AN3 CA		uterus	http://purl.obolibrary.org/obo/UBERON_0000995	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	uterus	http://purl.obolibrary.org/obo/UBERON_0000995	uterine adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0002919	55 year		female	http://purl.obolibrary.org/obo/PATO_0000383	Caucasian	http://purl.obolibrary.org/obo/HANCESTRO_0005	RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		AN3 CA		uterus	http://purl.obolibrary.org/obo/UBERON_0000995	uterine adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0002919	Yes
ERR413374	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	AsPC-1	http://www.ebi.ac.uk/efo/EFO_0002112	pancreas	http://purl.obolibrary.org/obo/UBERON_0001264	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	pancreas	http://purl.obolibrary.org/obo/UBERON_0001264	pancreatic adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000044	62 year		female	http://purl.obolibrary.org/obo/PATO_0000383	Caucasian	http://purl.obolibrary.org/obo/HANCESTRO_0005	RPMI-1640, 10% FBS, 2mM L-Glutamine		90% Complete Growth Media; 10% DMSO		AsPC-1	http://www.ebi.ac.uk/efo/EFO_0002112	pancreas	http://purl.obolibrary.org/obo/UBERON_0001264	pancreatic adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000044	Yes
ERR413375	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	ATRFLOX	http://www.ebi.ac.uk/efo/EFO_0006535	colo-rectal		not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	colon	http://purl.obolibrary.org/obo/UBERON_0001155	colon carcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	not available		male	http://purl.obolibrary.org/obo/PATO_0000384	not available		McCoys 5A, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		ATRFLOX	http://www.ebi.ac.uk/efo/EFO_0006535	colon	http://purl.obolibrary.org/obo/UBERON_0001155	colon carcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	Yes
ERR413376	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	BEN	http://www.ebi.ac.uk/efo/EFO_0006537	lung	http://purl.obolibrary.org/obo/UBERON_0002048	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	lung	http://purl.obolibrary.org/obo/UBERON_0002048	lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0001071	71 year		male	http://purl.obolibrary.org/obo/PATO_0000384	not available		DMEM, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		BEN	http://www.ebi.ac.uk/efo/EFO_0006537	lung	http://purl.obolibrary.org/obo/UBERON_0002048	lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0001071	Yes
ERR413377	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	BFTC-905	http://www.ebi.ac.uk/efo/EFO_0002115	urinary bladder	http://purl.obolibrary.org/obo/UBERON_0001255	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	urinary bladder	http://purl.obolibrary.org/obo/UBERON_0001255	urinary bladder transitional cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0006544	51 year		female	http://purl.obolibrary.org/obo/PATO_0000383	Chinese	http://purl.obolibrary.org/obo/HANCESTRO_0021	RPMI-1640 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		BFTC-905	http://www.ebi.ac.uk/efo/EFO_0002115	urinary bladder	http://purl.obolibrary.org/obo/UBERON_0001255	urinary bladder transitional cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0006544	Yes
ERR413378	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	BFTC-909	http://www.ebi.ac.uk/efo/EFO_0006538	kidney	http://purl.obolibrary.org/obo/UBERON_0002113	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	kidney	http://purl.obolibrary.org/obo/UBERON_0002113	transitional cell carcinoma of kidney	http://www.ebi.ac.uk/efo/EFO_0003017	64 year		male	http://purl.obolibrary.org/obo/PATO_0000384	not available		DMEM, 10% FBS, 2mM L-Gln		Complete growth medium, 90%; DMSO, 10%		BFTC-909	http://www.ebi.ac.uk/efo/EFO_0006538	kidney	http://purl.obolibrary.org/obo/UBERON_0002113	transitional cell carcinoma of kidney	http://www.ebi.ac.uk/efo/EFO_0003017	Yes
ERR413379	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	BHY	http://www.ebi.ac.uk/efo/EFO_0006539	head-neck	http://purl.obolibrary.org/obo/UBERON_0000033 http://purl.obolibrary.org/obo/UBERON_0000974	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	oral cavity	http://purl.obolibrary.org/obo/UBERON_0000167	oral cavity squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000199	not available		not available		not available		RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		BHY	http://www.ebi.ac.uk/efo/EFO_0006539	oral cavity	http://purl.obolibrary.org/obo/UBERON_0000167	oral cavity squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000199	Yes
ERR413380	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	BICR 10	http://www.ebi.ac.uk/efo/EFO_0006540	head-neck	http://purl.obolibrary.org/obo/UBERON_0000033 http://purl.obolibrary.org/obo/UBERON_0000974	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	oral cavity	http://purl.obolibrary.org/obo/UBERON_0000167	oral cavity squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000199	not available		not available		not available		RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		BICR 10	http://www.ebi.ac.uk/efo/EFO_0006540	oral cavity	http://purl.obolibrary.org/obo/UBERON_0000167	oral cavity squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000199	Yes
ERR413381	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	BICR 22	http://www.ebi.ac.uk/efo/EFO_0006541	head-neck	http://purl.obolibrary.org/obo/UBERON_0000033 http://purl.obolibrary.org/obo/UBERON_0000974	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	tongue	http://purl.obolibrary.org/obo/UBERON_0001723	tongue squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_1000055	not available		not available		not available		RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		BICR 22	http://www.ebi.ac.uk/efo/EFO_0006541	tongue	http://purl.obolibrary.org/obo/UBERON_0001723	tongue squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_1000055	Yes
