Run	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Sample Characteristic[organism part]	Sample Characteristic Ontology Term[organism part]	Sample Characteristic[disease]	Sample Characteristic Ontology Term[disease]	Sample Characteristic[cell line]	Sample Characteristic Ontology Term[cell line]	Sample Characteristic[fraction]	Sample Characteristic Ontology Term[fraction]	Factor Value[cell line]	Factor Value Ontology Term[cell line]	Factor Value[fraction]	Factor Value Ontology Term[fraction]	Analysed
ppb.iBAQ.RPMI8226_1_Gholami	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	blood plasma	http://purl.obolibrary.org/obo/UBERON_0001969	multiple myeloma	http://www.ebi.ac.uk/efo/EFO_0001378	RPMI8226	http://www.ebi.ac.uk/efo/EFO_0002322	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	RPMI8226	http://www.ebi.ac.uk/efo/EFO_0002322	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Yes
ppb.iBAQ.RXF393L_1_Gholami	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	proximal renal artery	http://www.ebi.ac.uk/efo/EFO_0002594	renal cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000681	RXF393L		not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	RXF393L		not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Yes
ppb.iBAQ.RXF393L_1_Gholami_deepProteome	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	proximal renal artery	http://www.ebi.ac.uk/efo/EFO_0002594	renal cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000681	RXF393L		deep proteome		RXF393L		deep proteome		Yes
ppb.iBAQ.SF268_1_Gholami	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	central nervous system	http://purl.obolibrary.org/obo/UBERON_0001017	astrocytoma	http://www.ebi.ac.uk/efo/EFO_0000272	SF268	http://www.ebi.ac.uk/efo/EFO_0005451	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	SF268	http://www.ebi.ac.uk/efo/EFO_0005451	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Yes
ppb.iBAQ.SF295_1_Gholami	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	embryonic central brain glia	http://purl.obolibrary.org/obo/FBbt_00005663	glioblastoma multiforme	http://www.ebi.ac.uk/efo/EFO_0000519	SF295	http://www.ebi.ac.uk/efo/EFO_0005452	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	SF295	http://www.ebi.ac.uk/efo/EFO_0005452	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Yes
ppb.iBAQ.SF539_1_Gholami	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	embryonic central brain glia	http://purl.obolibrary.org/obo/FBbt_00005663	gliosarcoma	http://www.ebi.ac.uk/efo/EFO_1001465	SF539	http://www.ebi.ac.uk/efo/EFO_0005453	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	SF539	http://www.ebi.ac.uk/efo/EFO_0005453	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Yes
ppb.iBAQ.SKMEL28_1_Gholami	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	cutaneous melanoma	http://www.ebi.ac.uk/efo/EFO_0000389	SK-MEL-28	http://www.ebi.ac.uk/efo/EFO_0003081	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	SK-MEL-28	http://www.ebi.ac.uk/efo/EFO_0003081	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Yes
ppb.iBAQ.SKMEL2_1_Gholami	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	metastatic melanoma	http://www.ebi.ac.uk/efo/EFO_0002617	SK-MEL-2	http://www.ebi.ac.uk/efo/EFO_0002079	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	SK-MEL-2	http://www.ebi.ac.uk/efo/EFO_0002079	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Yes
ppb.iBAQ.SKMEL5_1_Gholami	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	cutaneous melanoma	http://www.ebi.ac.uk/efo/EFO_0000389	SK-MEL-5	http://www.ebi.ac.uk/efo/EFO_0005720	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	SK-MEL-5	http://www.ebi.ac.uk/efo/EFO_0005720	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Yes
ppb.iBAQ.SKOV.3_1_Gholami	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	ovarian serous cystadenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000043	SKOV3	http://www.ebi.ac.uk/efo/EFO_0002340	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	SKOV3	http://www.ebi.ac.uk/efo/EFO_0002340	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Yes
ppb.iBAQ.SKOV.3_1_Gholami_deepProteome	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	ovarian serous cystadenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000043	SKOV3	http://www.ebi.ac.uk/efo/EFO_0002340	deep proteome		SKOV3	http://www.ebi.ac.uk/efo/EFO_0002340	deep proteome		Yes
ppb.iBAQ.SN12C_1_Gholami	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	renal glomerulus	http://purl.obolibrary.org/obo/UBERON_0000074	renal cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000681	SN12C		not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	SN12C		not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Yes
