source Name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[developmental stage]	characteristics[cell line]	characteristics[cell type]	characteristics[sex]	characteristics[disease]	characteristics[biological replicate]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Factor Value[disease]
PXD008973-Sample-4	homo sapiens	plasma	not available	not available	not applicable	T lymphocyte	not available	not available	4	plasma	run 11	proteomic profiling by mass spectrometry	170428_Th0_24h_4_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD008973/170428_Th0_24h_4_2.raw	2	2	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	T lymphocyte
PXD008973-Sample-4	homo sapiens	plasma	not available	not available	not applicable	T lymphocyte	not available	not available	4	plasma	run 12	proteomic profiling by mass spectrometry	170428_Th0_24h_4_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD008973/170428_Th0_24h_4_3.raw	3	3	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	T lymphocyte
PXD008973-Sample-5	homo sapiens	plasma	not available	not available	not applicable	T lymphocyte	not available	not available	5	plasma	run 13	proteomic profiling by mass spectrometry	170428_Th0_24h_5_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD008973/170428_Th0_24h_5_1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	T lymphocyte
PXD008973-Sample-5	homo sapiens	plasma	not available	not available	not applicable	T lymphocyte	not available	not available	5	plasma	run 14	proteomic profiling by mass spectrometry	170428_Th0_24h_5_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD008973/170428_Th0_24h_5_2.raw	2	2	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	T lymphocyte
PXD008973-Sample-5	homo sapiens	plasma	not available	not available	not applicable	T lymphocyte	not available	not available	5	plasma	run 15	proteomic profiling by mass spectrometry	170428_Th0_24h_5_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD008973/170428_Th0_24h_5_3.raw	3	3	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	T lymphocyte
PXD008973-Sample-6	homo sapiens	plasma	not available	not available	not applicable	T lymphocyte	not available	not available	1	plasma	run 16	proteomic profiling by mass spectrometry	170503_Th0_72h_1_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD008973/170503_Th0_72h_1_1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	T lymphocyte
PXD008973-Sample-6	homo sapiens	plasma	not available	not available	not applicable	T lymphocyte	not available	not available	1	plasma	run 17	proteomic profiling by mass spectrometry	170503_Th0_72h_1_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD008973/170503_Th0_72h_1_2.raw	2	2	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	T lymphocyte
PXD008973-Sample-6	homo sapiens	plasma	not available	not available	not applicable	T lymphocyte	not available	not available	1	plasma	run 18	proteomic profiling by mass spectrometry	170503_Th0_72h_1_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD008973/170503_Th0_72h_1_3.raw	3	3	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	T lymphocyte
PXD008973-Sample-7	homo sapiens	plasma	not available	not available	not applicable	T lymphocyte	not available	not available	2	plasma	run 19	proteomic profiling by mass spectrometry	170503_Th0_72h_2_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD008973/170503_Th0_72h_2_1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	T lymphocyte
PXD008973-Sample-7	homo sapiens	plasma	not available	not available	not applicable	T lymphocyte	not available	not available	2	plasma	run 20	proteomic profiling by mass spectrometry	170503_Th0_72h_2_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD008973/170503_Th0_72h_2_2.raw	2	2	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	T lymphocyte
PXD008973-Sample-7	homo sapiens	plasma	not available	not available	not applicable	T lymphocyte	not available	not available	2	plasma	run 21	proteomic profiling by mass spectrometry	170503_Th0_72h_2_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD008973/170503_Th0_72h_2_3.raw	3	3	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	T lymphocyte
PXD008973-Sample-8	homo sapiens	plasma	not available	not available	not applicable	T lymphocyte	not available	not available	3	plasma	run 22	proteomic profiling by mass spectrometry	170503_Th0_72h_3_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD008973/170503_Th0_72h_3_1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	T lymphocyte
PXD008973-Sample-8	homo sapiens	plasma	not available	not available	not applicable	T lymphocyte	not available	not available	3	plasma	run 23	proteomic profiling by mass spectrometry	170503_Th0_72h_3_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD008973/170503_Th0_72h_3_2.raw	2	2	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	T lymphocyte
PXD008973-Sample-8	homo sapiens	plasma	not available	not available	not applicable	T lymphocyte	not available	not available	3	plasma	run 24	proteomic profiling by mass spectrometry	170503_Th0_72h_3_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD008973/170503_Th0_72h_3_3.raw	3	3	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	T lymphocyte
PXD008973-Sample-9	homo sapiens	plasma	not available	not available	not applicable	T lymphocyte	not available	not available	4	plasma	run 25	proteomic profiling by mass spectrometry	170428_Th0_72h_4_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD008973/170428_Th0_72h_4_1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	T lymphocyte
PXD008973-Sample-9	homo sapiens	plasma	not available	not available	not applicable	T lymphocyte	not available	not available	4	plasma	run 26	proteomic profiling by mass spectrometry	170428_Th0_72h_4_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD008973/170428_Th0_72h_4_2.raw	2	2	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	T lymphocyte
PXD008973-Sample-9	homo sapiens	plasma	not available	not available	not applicable	T lymphocyte	not available	not available	4	plasma	run 27	proteomic profiling by mass spectrometry	170428_Th0_72h_4_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD008973/170428_Th0_72h_4_3.raw	3	3	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	T lymphocyte
PXD008973-Sample-10	homo sapiens	plasma	not available	not available	not applicable	T lymphocyte	not available	not available	5	plasma	run 28	proteomic profiling by mass spectrometry	170428_Th0_72h_5_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD008973/170428_Th0_72h_5_1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	T lymphocyte
PXD008973-Sample-10	homo sapiens	plasma	not available	not available	not applicable	T lymphocyte	not available	not available	5	plasma	run 29	proteomic profiling by mass spectrometry	170428_Th0_72h_5_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD008973/170428_Th0_72h_5_2.raw	2	2	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	T lymphocyte
PXD008973-Sample-10	homo sapiens	plasma	not available	not available	not applicable	T lymphocyte	not available	not available	5	plasma	run 30	proteomic profiling by mass spectrometry	170428_Th0_72h_5_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD008973/170428_Th0_72h_5_3.raw	3	3	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	T lymphocyte
PXD008973-Sample-11	homo sapiens	plasma	not available	not available	not applicable	T lymphocyte	not available	not available	1	plasma	run 31	proteomic profiling by mass spectrometry	170503_Th17_24h_1_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD008973/170503_Th17_24h_1_1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	T lymphocyte
PXD008973-Sample-11	homo sapiens	plasma	not available	not available	not applicable	T lymphocyte	not available	not available	1	plasma	run 32	proteomic profiling by mass spectrometry	170503_Th17_24h_1_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD008973/170503_Th17_24h_1_2.raw	2	2	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	T lymphocyte
PXD008973-Sample-11	homo sapiens	plasma	not available	not available	not applicable	T lymphocyte	not available	not available	1	plasma	run 33	proteomic profiling by mass spectrometry	170503_Th17_24h_1_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD008973/170503_Th17_24h_1_3.raw	3	3	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	T lymphocyte
PXD008973-Sample-12	homo sapiens	plasma	not available	not available	not applicable	T lymphocyte	not available	not available	2	plasma	run 34	proteomic profiling by mass spectrometry	170503_Th17_24h_2_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD008973/170503_Th17_24h_2_1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	T lymphocyte
PXD008973-Sample-12	homo sapiens	plasma	not available	not available	not applicable	T lymphocyte	not available	not available	2	plasma	run 35	proteomic profiling by mass spectrometry	170503_Th17_24h_2_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD008973/170503_Th17_24h_2_2.raw	2	2	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	T lymphocyte
PXD008973-Sample-12	homo sapiens	plasma	not available	not available	not applicable	T lymphocyte	not available	not available	2	plasma	run 36	proteomic profiling by mass spectrometry	170503_Th17_24h_2_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD008973/170503_Th17_24h_2_3.raw	3	3	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	T lymphocyte
PXD008973-Sample-13	homo sapiens	plasma	not available	not available	not applicable	T lymphocyte	not available	not available	3	plasma	run 37	proteomic profiling by mass spectrometry	170503_Th17_24h_3_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD008973/170503_Th17_24h_3_1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	T lymphocyte
PXD008973-Sample-13	homo sapiens	plasma	not available	not available	not applicable	T lymphocyte	not available	not available	3	plasma	run 38	proteomic profiling by mass spectrometry	170503_Th17_24h_3_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD008973/170503_Th17_24h_3_2.raw	2	2	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	T lymphocyte
PXD008973-Sample-13	homo sapiens	plasma	not available	not available	not applicable	T lymphocyte	not available	not available	3	plasma	run 39	proteomic profiling by mass spectrometry	170503_Th17_24h_3_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD008973/170503_Th17_24h_3_3.raw	3	3	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	T lymphocyte
PXD008973-Sample-14	homo sapiens	plasma	not available	not available	not applicable	T lymphocyte	not available	not available	4	plasma	run 40	proteomic profiling by mass spectrometry	170428_Th17_24h_4_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD008973/170428_Th17_24h_4_1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	T lymphocyte
