Plex Dataset Name,Run Metadata ID,Number of Fractions,itraq_114,itraq_115,itraq_116,itraq_117
"TCGA_24-1474-01A_13-1501-01A_OVARIAN-CONTROL_Proteome_JHUZ_20130228","S020-2-3","25","Internal Reference
Not Reported","TCGA-24-1474
Primary Tumor","TCGA-13-1501
Primary Tumor","OVARIAN-CONTROL
Not Reported"
"TCGA_24-1555-01A_24-1562-01A_25-1628-01A_Proteome_JHUZ_20130802","S020-2-34","25","Internal Reference
Not Reported","TCGA-24-1555
Primary Tumor","TCGA-24-1562
Primary Tumor","TCGA-25-1628
Primary Tumor"
"TCGA_24-1558-01A_29-1705-01A_OVARIAN-CONTROL_Proteome_JHUZ_20130522","S020-2-12","25","Internal Reference
Not Reported","TCGA-24-1558
Primary Tumor","TCGA-29-1705
Primary Tumor","OVARIAN-CONTROL
Not Reported"
"TCGA_24-1920-01A_30-1891-01A_61-2008-01A_Proteome_JHUZ_20130625","S020-2-25","25","Internal Reference
Not Reported","TCGA-24-1920
Primary Tumor","TCGA-30-1891
Primary Tumor","TCGA-61-2008
Primary Tumor"
"TCGA_24-1927-01A_OVARIAN-CONTROL_36-2544-01A_Proteome_JHUZ_20130228","S020-2-4","25","Internal Reference
Not Reported","TCGA-24-1927
Primary Tumor","OVARIAN-CONTROL
Not Reported","TCGA-36-2544
Primary Tumor"
"TCGA_24-2024-01A_29-1693-01A_13-1485-01A_Proteome_JHUZ_20130228","S020-2-5","25","Internal Reference
Not Reported","TCGA-24-2024
Primary Tumor","TCGA-29-1693
Primary Tumor","TCGA-13-1485
Primary Tumor"
"TCGA_24-2030-01A_29-1702-01A_24-2033-01A_Proteome_JHUZ_20130524","S020-2-18","25","Internal Reference
Not Reported","TCGA-24-2030
Primary Tumor","TCGA-29-1702
Primary Tumor","TCGA-24-2033
Primary Tumor"
"TCGA_24-2298-01A_24-1544-01A_61-1914-01A_Proteome_JHUZ_20130802","S020-2-35","25","Internal Reference
Not Reported","TCGA-24-2298
Primary Tumor","TCGA-24-1544
Primary Tumor","TCGA-61-1914
Primary Tumor"
"TCGA_25-1313-01A_29-1766-01A_24-2261-01A_Proteome_JHUZ_20130625","S020-2-26","25","Internal Reference
Not Reported","TCGA-25-1313
Primary Tumor","TCGA-29-1766
Primary Tumor","TCGA-24-2261
Primary Tumor"
"TCGA_25-1318-01A_36-2532-01A_13-2059-01A_Proteome_JHUZ_20130228","S020-2-6","25","Internal Reference
Not Reported","TCGA-25-1318
Primary Tumor","TCGA-36-2532
Primary Tumor","TCGA-13-2059
Primary Tumor"
"TCGA_25-2399-01A_29-1698-01A_09-2056-01B_Proteome_JHUZ_20130228","S020-2-7","25","Internal Reference
Not Reported","TCGA-25-2399
Primary Tumor","TCGA-29-1698
Primary Tumor","TCGA-09-2056
Primary Tumor"
"TCGA_29-1688-01A_13-1494-01A_13-1507-01A_Proteome_JHUZ_20130228","S020-2-8","25","Internal Reference
Not Reported","TCGA-29-1688
Primary Tumor","TCGA-13-1494
Primary Tumor","TCGA-13-1507
Primary Tumor"
"TCGA_29-1690-01A_25-1631-01A_13-1500-01A_Proteome_JHUZ_20130625","S020-2-27","25","Internal Reference
Not Reported","TCGA-29-1690
Primary Tumor","TCGA-25-1631
Primary Tumor","TCGA-13-1500
Primary Tumor"
"TCGA_29-1696-01A_29-1771-01A_13-2066-01A_Proteome_JHUZ_20130903","S020-2-42","25","Internal Reference
Not Reported","TCGA-29-1696
Primary Tumor","TCGA-29-1771
Primary Tumor","TCGA-13-2066
Primary Tumor"
"TCGA_29-1711-01A_13-1483-01A_24-1422-01A_Proteome_JHUZ_20130522","S020-2-13","25","Internal Reference
Not Reported","TCGA-29-1711
Primary Tumor","TCGA-13-1483
Primary Tumor","TCGA-24-1422
Primary Tumor"
"TCGA_29-1763-01A_25-2397-01A_29-2427-01A_Proteome_JHUZ_20130625","S020-2-28","25","Internal Reference
Not Reported","TCGA-29-1763
Primary Tumor","TCGA-25-2397
Primary Tumor","TCGA-29-2427
Primary Tumor"
"TCGA_29-1785-01A_61-2088-01A_25-1623-01A_Proteome_JHUZ_20130623","S020-2-20","25","Internal Reference
Not Reported","TCGA-29-1785
Primary Tumor","TCGA-61-2088
Primary Tumor","TCGA-25-1623
Primary Tumor"
"TCGA_36-1577-01A_29-1768-01A_36-1569-01A_Proteome_JHUZ_20130522","S020-2-14","25","Internal Reference
Not Reported","TCGA-36-1577
Primary Tumor","TCGA-29-1768
Primary Tumor","TCGA-36-1569
Primary Tumor"
"TCGA_36-2534-01A_OVARIAN-CONTROL_36-2549-01A_Proteome_JHUZ_20130522","S020-2-15","25","Internal Reference
Not Reported","TCGA-36-2534
Primary Tumor","OVARIAN-CONTROL
Not Reported","TCGA-36-2549
Primary Tumor"
"TCGA_36-2547-01A_36-1578-01A_36-2542-01A_Proteome_JHUZ_20130524","S020-2-19","25","Internal Reference
Not Reported","TCGA-36-2547
Primary Tumor","TCGA-36-1578
Primary Tumor","TCGA-36-2542
Primary Tumor"
"TCGA_59-2351-01A_24-2290-01A_59-2348-01A_Proteome_JHUZ_20130802","S020-2-36","25","Internal Reference
Not Reported","TCGA-59-2351
Primary Tumor","TCGA-24-2290
Primary Tumor","TCGA-59-2348
Primary Tumor"
"TCGA_59-2352-01A_61-1915-01A_24-1565-01A_Proteome_JHUZ_20130903","S020-2-43","25","Internal Reference
Not Reported","TCGA-59-2352
Primary Tumor","TCGA-61-1915
Primary Tumor","TCGA-24-1565
Primary Tumor"
"TCGA_59-2372-01A_24-1548-01A_29-1762-01A_Proteome_JHUZ_20130903","S020-2-44","25","Internal Reference
Not Reported","TCGA-59-2372
Primary Tumor","TCGA-24-1548
Primary Tumor","TCGA-29-1762
Primary Tumor"
"TCGA_61-1727-01A_25-1323-01A_36-1580-01A_Proteome_JHUZ_20130802","S020-2-37","25","Internal Reference
Not Reported","TCGA-61-1727
Primary Tumor","TCGA-25-1323
Primary Tumor","TCGA-36-1580
Primary Tumor"
"TCGA_61-1741-01A_61-1911-01A_13-1404-01A_Proteome_JHUZ_20130625","S020-2-29","25","Internal Reference
Not Reported","TCGA-61-1741
Primary Tumor","TCGA-61-1911
Primary Tumor","TCGA-13-1404
Primary Tumor"
"TCGA_61-1907-01A_25-1329-01A_24-1557-01A_Proteome_JHUZ_20130623","S020-2-21","25","Internal Reference
Not Reported","TCGA-61-1907
Primary Tumor","TCGA-25-1329
Primary Tumor","TCGA-24-1557
Primary Tumor"
"TCGA_61-1910-01A_29-1770-01A_13-1410-01A_Proteome_JHUZ_20130522","S020-2-16","25","Internal Reference
Not Reported","TCGA-61-1910
Primary Tumor","TCGA-29-1770
Primary Tumor","TCGA-13-1410
Primary Tumor"
"TCGA_61-2087-01A_29-2431-01A_61-1724-01A_Proteome_JHUZ_20130802","S020-2-38","25","Internal Reference
Not Reported","TCGA-61-2087
Primary Tumor","TCGA-29-2431
Primary Tumor","TCGA-61-1724
Primary Tumor"
"TCGA_OVARIAN-CONTROL_24-1553-01A_13-1487-01A_Proteome_JHUZ_20130228","S020-2-9","25","Internal Reference
Not Reported","OVARIAN-CONTROL
Not Reported","TCGA-24-1553
Primary Tumor","TCGA-13-1487
Primary Tumor"
"TCGA_OVARIAN-CONTROL_25-2396-01A_36-2545-01A_Proteome_JHUZ_20130522","S020-2-17","25","Internal Reference
Not Reported","OVARIAN-CONTROL
Not Reported","TCGA-25-2396
Primary Tumor","TCGA-36-2545
Primary Tumor"
"TCGA_OVARIAN-CONTROL_25-2404-01A_24-1430-01A_Proteome_JHUZ_20130802","S020-2-39","25","Internal Reference
Not Reported","OVARIAN-CONTROL
Not Reported","TCGA-25-2404
Primary Tumor","TCGA-24-1430
Primary Tumor"
"TCGA_OVARIAN-CONTROL_29-1697-01A_13-2060-01A_Proteome_JHUZ_20130802","S020-2-40","25","Internal Reference
Not Reported","OVARIAN-CONTROL
Not Reported","TCGA-29-1697
Primary Tumor","TCGA-13-2060
Primary Tumor"
"TCGA_OVARIAN-CONTROL_29-1710-01A_36-1571-01A_Proteome_JHUZ_20130625","S020-2-30","25","Internal Reference
Not Reported","OVARIAN-CONTROL
Not Reported","TCGA-29-1710
Primary Tumor","TCGA-36-1571
Primary Tumor"
