source name	characteristics[organism]	characteristics[organism part]	characteristics[individual]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[disease]	characteristics[depletion]	characteristics[biological replicate]	characteristics[sampling time]	assay name	Technology type	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[fractionation method]	comment[label]	comment[technical replicate]	comment[cleavage agent details]	comment[instrument]	comment[separation]	comment[proteomics data acquisition method]	comment[modification parameter]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD034244-Sample-4	Homo sapiens	heart	11	Cardiac Fibroblasts	not available	not available	not available	not available	normal	no depletion	4	not applicable	hiPSC-derived Cardiac Fibroblasts - Control	proteomic profiling by mass spectrometry	SWATH_B1-C_2.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/03/PXD034244/SWATH_B1-C_2.wiff	1	no fractionation	AC=MS:1002038;NT=label free sample	2	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1002533; NT=TripleTOF 6600	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Data-Independent Acquisition;AC=PRIDE:0000450	not available	not available	not available	12 ppm	20 ppm	hiPSC
PXD034244-Sample-4	Homo sapiens	heart	12	Cardiac Fibroblasts	not available	not available	not available	not available	normal	no depletion	4	not applicable	hiPSC-derived Cardiac Fibroblasts - Control	proteomic profiling by mass spectrometry	SWATH_B1-C_3.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/03/PXD034244/SWATH_B1-C_3.wiff	1	no fractionation	AC=MS:1002038;NT=label free sample	3	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1002533; NT=TripleTOF 6600	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Data-Independent Acquisition;AC=PRIDE:0000450	not available	not available	not available	12 ppm	20 ppm	hiPSC
PXD034244-Sample-5	Homo sapiens	heart	13	Cardiac Fibroblasts	not available	not available	not available	not available	normal	no depletion	5	not applicable	hiPSC-derived Cardiac Fibroblasts - Control	proteomic profiling by mass spectrometry	SWATH_B2-C_1.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/03/PXD034244/SWATH_B2-C_1.wiff	1	no fractionation	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1002533; NT=TripleTOF 6600	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Data-Independent Acquisition;AC=PRIDE:0000450	not available	not available	not available	12 ppm	20 ppm	hiPSC
PXD034244-Sample-5	Homo sapiens	heart	14	Cardiac Fibroblasts	not available	not available	not available	not available	normal	no depletion	5	not applicable	hiPSC-derived Cardiac Fibroblasts - Control	proteomic profiling by mass spectrometry	SWATH_B2-C_2.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/03/PXD034244/SWATH_B2-C_2.wiff	1	no fractionation	AC=MS:1002038;NT=label free sample	2	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1002533; NT=TripleTOF 6600	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Data-Independent Acquisition;AC=PRIDE:0000450	not available	not available	not available	12 ppm	20 ppm	hiPSC
PXD034244-Sample-5	Homo sapiens	heart	15	Cardiac Fibroblasts	not available	not available	not available	not available	normal	no depletion	5	not applicable	hiPSC-derived Cardiac Fibroblasts - Control	proteomic profiling by mass spectrometry	SWATH_B2-C_3.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/03/PXD034244/SWATH_B2-C_3.wiff	1	no fractionation	AC=MS:1002038;NT=label free sample	3	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1002533; NT=TripleTOF 6600	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Data-Independent Acquisition;AC=PRIDE:0000450	not available	not available	not available	12 ppm	20 ppm	hiPSC
PXD034244-Sample-6	Homo sapiens	heart	16	Cardiac Fibroblasts	not available	not available	not available	not available	normal	no depletion	6	not applicable	hiPSC-derived Cardiac Fibroblasts - Control	proteomic profiling by mass spectrometry	SWATH_B3-C_1.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/03/PXD034244/SWATH_B3-C_1.wiff	1	no fractionation	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1002533; NT=TripleTOF 6600	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Data-Independent Acquisition;AC=PRIDE:0000450	not available	not available	not available	12 ppm	20 ppm	hiPSC
PXD034244-Sample-6	Homo sapiens	heart	17	Cardiac Fibroblasts	not available	not available	not available	not available	normal	no depletion	6	not applicable	hiPSC-derived Cardiac Fibroblasts - Control	proteomic profiling by mass spectrometry	SWATH_B3-C_2.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/03/PXD034244/SWATH_B3-C_2.wiff	1	no fractionation	AC=MS:1002038;NT=label free sample	2	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1002533; NT=TripleTOF 6600	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Data-Independent Acquisition;AC=PRIDE:0000450	not available	not available	not available	12 ppm	20 ppm	hiPSC
PXD034244-Sample-6	Homo sapiens	heart	18	Cardiac Fibroblasts	not available	not available	not available	not available	normal	no depletion	6	not applicable	hiPSC-derived Cardiac Fibroblasts - Control	proteomic profiling by mass spectrometry	SWATH_B3-C_3.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/03/PXD034244/SWATH_B3-C_3.wiff	1	no fractionation	AC=MS:1002038;NT=label free sample	3	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1002533; NT=TripleTOF 6600	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Data-Independent Acquisition;AC=PRIDE:0000450	not available	not available	not available	12 ppm	20 ppm	hiPSC
PXD034244-Sample-7	Homo sapiens	heart	19	Cardiac Fibroblasts	not available	not available	not available	not available	normal	no depletion	7	not applicable	Human Fetal Cardiac Fibroblasts - Control	proteomic profiling by mass spectrometry	SWATH_C1-C_1.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/03/PXD034244/SWATH_C1-C_1.wiff	1	no fractionation	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1002533; NT=TripleTOF 6600	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Data-Independent Acquisition;AC=PRIDE:0000450	not available	not available	not available	12 ppm	20 ppm	heart tissue
PXD034244-Sample-7	Homo sapiens	heart	20	Cardiac Fibroblasts	not available	not available	not available	not available	normal	no depletion	7	not applicable	Human Fetal Cardiac Fibroblasts - Control	proteomic profiling by mass spectrometry	SWATH_C1-C_2.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/03/PXD034244/SWATH_C1-C_2.wiff	1	no fractionation	AC=MS:1002038;NT=label free sample	2	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1002533; NT=TripleTOF 6600	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Data-Independent Acquisition;AC=PRIDE:0000450	not available	not available	not available	12 ppm	20 ppm	heart tissue
PXD034244-Sample-7	Homo sapiens	heart	21	Cardiac Fibroblasts	not available	not available	not available	not available	normal	no depletion	7	not applicable	Human Fetal Cardiac Fibroblasts - Control	proteomic profiling by mass spectrometry	SWATH_C1-C_3.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/03/PXD034244/SWATH_C1-C_3.wiff	1	no fractionation	AC=MS:1002038;NT=label free sample	3	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1002533; NT=TripleTOF 6600	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Data-Independent Acquisition;AC=PRIDE:0000450	not available	not available	not available	12 ppm	20 ppm	heart tissue
PXD034244-Sample-8	Homo sapiens	heart	22	Cardiac Fibroblasts	not available	not available	not available	not available	normal	no depletion	8	not applicable	Human Fetal Cardiac Fibroblasts - Control	proteomic profiling by mass spectrometry	SWATH_C2-C_1.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/03/PXD034244/SWATH_C2-C_1.wiff	1	no fractionation	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1002533; NT=TripleTOF 6600	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Data-Independent Acquisition;AC=PRIDE:0000450	not available	not available	not available	12 ppm	20 ppm	heart tissue
PXD034244-Sample-8	Homo sapiens	heart	23	Cardiac Fibroblasts	not available	not available	not available	not available	normal	no depletion	8	not applicable	Human Fetal Cardiac Fibroblasts - Control	proteomic profiling by mass spectrometry	SWATH_C2-C_2.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/03/PXD034244/SWATH_C2-C_2.wiff	1	no fractionation	AC=MS:1002038;NT=label free sample	2	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1002533; NT=TripleTOF 6600	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Data-Independent Acquisition;AC=PRIDE:0000450	not available	not available	not available	12 ppm	20 ppm	heart tissue
PXD034244-Sample-8	Homo sapiens	heart	24	Cardiac Fibroblasts	not available	not available	not available	not available	normal	no depletion	8	not applicable	Human Fetal Cardiac Fibroblasts - Control	proteomic profiling by mass spectrometry	SWATH_C2-C_3.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/03/PXD034244/SWATH_C2-C_3.wiff	1	no fractionation	AC=MS:1002038;NT=label free sample	3	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1002533; NT=TripleTOF 6600	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Data-Independent Acquisition;AC=PRIDE:0000450	not available	not available	not available	12 ppm	20 ppm	heart tissue
PXD034244-Sample-9	Homo sapiens	heart	25	Cardiac Fibroblasts	not available	not available	not available	not available	normal	no depletion	9	not applicable	Human Fetal Cardiac Fibroblasts - Control	proteomic profiling by mass spectrometry	SWATH_C3-C_1.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/03/PXD034244/SWATH_C3-C_1.wiff	1	no fractionation	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1002533; NT=TripleTOF 6600	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Data-Independent Acquisition;AC=PRIDE:0000450	not available	not available	not available	12 ppm	20 ppm	heart tissue
PXD034244-Sample-9	Homo sapiens	heart	26	Cardiac Fibroblasts	not available	not available	not available	not available	normal	no depletion	9	not applicable	Human Fetal Cardiac Fibroblasts - Control	proteomic profiling by mass spectrometry	SWATH_C3-C_2.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/03/PXD034244/SWATH_C3-C_2.wiff	1	no fractionation	AC=MS:1002038;NT=label free sample	2	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1002533; NT=TripleTOF 6600	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Data-Independent Acquisition;AC=PRIDE:0000450	not available	not available	not available	12 ppm	20 ppm	heart tissue
PXD034244-Sample-9	Homo sapiens	heart	27	Cardiac Fibroblasts	not available	not available	not available	not available	normal	no depletion	9	not applicable	Human Fetal Cardiac Fibroblasts - Control	proteomic profiling by mass spectrometry	SWATH_C3-C_3.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/03/PXD034244/SWATH_C3-C_3.wiff	1	no fractionation	AC=MS:1002038;NT=label free sample	3	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1002533; NT=TripleTOF 6600	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Data-Independent Acquisition;AC=PRIDE:0000450	not available	not available	not available	12 ppm	20 ppm	heart tissue
