source name	characteristics[organism]	characteristics[phenotype]	characteristics[age]	characteristics[developmental stage]	characteristics[cell type]	characteristics[sex]	characteristics[ancestry category]	characteristics[disease]	characteristics[biological replicate]	characteristics[individual]	assay name	technology type	comment[label]	comment[instrument]	comment[fraction identifier]	comment[technical replicate]	comment[file uri]	comment[data file]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	material type	factor value[organism part]
PXD008999-Sample-1	Homo sapiens	sclera	not available	not available	not available	not available	not available	control	1	not available	run 11	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	19	1	http://ftp.ebi.ac.uk/pride-archive/2019/02/PXD008999/Sclera_bRPLC_19.raw	Sclera_bRPLC_19.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.6 Da	tissue	sclera
PXD008999-Sample-1	Homo sapiens	sclera	not available	not available	not available	not available	not available	control	1	not available	run 12	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	2	1	http://ftp.ebi.ac.uk/pride-archive/2019/02/PXD008999/Sclera_bRPLC_2.raw	Sclera_bRPLC_2.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.6 Da	tissue	sclera
PXD008999-Sample-1	Homo sapiens	sclera	not available	not available	not available	not available	not available	control	1	not available	run 13	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	20	1	http://ftp.ebi.ac.uk/pride-archive/2019/02/PXD008999/Sclera_bRPLC_20.raw	Sclera_bRPLC_20.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.6 Da	tissue	sclera
PXD008999-Sample-1	Homo sapiens	sclera	not available	not available	not available	not available	not available	control	1	not available	run 14	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	21	1	http://ftp.ebi.ac.uk/pride-archive/2019/02/PXD008999/Sclera_bRPLC_21.raw	Sclera_bRPLC_21.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.6 Da	tissue	sclera
PXD008999-Sample-1	Homo sapiens	sclera	not available	not available	not available	not available	not available	control	1	not available	run 15	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	22	1	http://ftp.ebi.ac.uk/pride-archive/2019/02/PXD008999/Sclera_bRPLC_22.raw	Sclera_bRPLC_22.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.6 Da	tissue	sclera
PXD008999-Sample-1	Homo sapiens	sclera	not available	not available	not available	not available	not available	control	1	not available	run 16	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	23	1	http://ftp.ebi.ac.uk/pride-archive/2019/02/PXD008999/Sclera_bRPLC_23.raw	Sclera_bRPLC_23.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.6 Da	tissue	sclera
PXD008999-Sample-1	Homo sapiens	sclera	not available	not available	not available	not available	not available	control	1	not available	run 17	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	24	1	http://ftp.ebi.ac.uk/pride-archive/2019/02/PXD008999/Sclera_bRPLC_24.raw	Sclera_bRPLC_24.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.6 Da	tissue	sclera
PXD008999-Sample-1	Homo sapiens	sclera	not available	not available	not available	not available	not available	control	1	not available	run 18	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	3	1	http://ftp.ebi.ac.uk/pride-archive/2019/02/PXD008999/Sclera_bRPLC_3.raw	Sclera_bRPLC_3.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.6 Da	tissue	sclera
PXD008999-Sample-1	Homo sapiens	sclera	not available	not available	not available	not available	not available	control	1	not available	run 19	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	4	1	http://ftp.ebi.ac.uk/pride-archive/2019/02/PXD008999/Sclera_bRPLC_4.raw	Sclera_bRPLC_4.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.6 Da	tissue	sclera
PXD008999-Sample-1	Homo sapiens	sclera	not available	not available	not available	not available	not available	control	1	not available	run 20	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	5	1	http://ftp.ebi.ac.uk/pride-archive/2019/02/PXD008999/Sclera_bRPLC_5.raw	Sclera_bRPLC_5.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.6 Da	tissue	sclera
PXD008999-Sample-1	Homo sapiens	sclera	not available	not available	not available	not available	not available	control	1	not available	run 21	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	6	1	http://ftp.ebi.ac.uk/pride-archive/2019/02/PXD008999/Sclera_bRPLC_6.raw	Sclera_bRPLC_6.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.6 Da	tissue	sclera
PXD008999-Sample-1	Homo sapiens	sclera	not available	not available	not available	not available	not available	control	1	not available	run 22	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	7	1	http://ftp.ebi.ac.uk/pride-archive/2019/02/PXD008999/Sclera_bRPLC_7.raw	Sclera_bRPLC_7.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.6 Da	tissue	sclera
PXD008999-Sample-1	Homo sapiens	sclera	not available	not available	not available	not available	not available	control	1	not available	run 23	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	8	1	http://ftp.ebi.ac.uk/pride-archive/2019/02/PXD008999/Sclera_bRPLC_8.raw	Sclera_bRPLC_8.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.6 Da	tissue	sclera
PXD008999-Sample-1	Homo sapiens	sclera	not available	not available	not available	not available	not available	control	1	not available	run 24	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	9	1	http://ftp.ebi.ac.uk/pride-archive/2019/02/PXD008999/Sclera_bRPLC_9.raw	Sclera_bRPLC_9.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.6 Da	tissue	sclera
PXD008999-Sample-2	Homo sapiens	sclera	not available	not available	not available	not available	not available	control	2	not available	run 25	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	1	1	http://ftp.ebi.ac.uk/pride-archive/2019/02/PXD008999/Sclera_IG_1.raw	Sclera_IG_1.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.6 Da	tissue	sclera
PXD008999-Sample-2	Homo sapiens	sclera	not available	not available	not available	not available	not available	control	2	not available	run 26	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	10	1	http://ftp.ebi.ac.uk/pride-archive/2019/02/PXD008999/Sclera_IG_10.raw	Sclera_IG_10.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.6 Da	tissue	sclera
PXD008999-Sample-2	Homo sapiens	sclera	not available	not available	not available	not available	not available	control	2	not available	run 27	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	11	1	http://ftp.ebi.ac.uk/pride-archive/2019/02/PXD008999/Sclera_IG_11.raw	Sclera_IG_11.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.6 Da	tissue	sclera
PXD008999-Sample-2	Homo sapiens	sclera	not available	not available	not available	not available	not available	control	2	not available	run 28	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	12	1	http://ftp.ebi.ac.uk/pride-archive/2019/02/PXD008999/Sclera_IG_12.raw	Sclera_IG_12.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.6 Da	tissue	sclera
PXD008999-Sample-2	Homo sapiens	sclera	not available	not available	not available	not available	not available	control	2	not available	run 29	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	13	1	http://ftp.ebi.ac.uk/pride-archive/2019/02/PXD008999/Sclera_IG_13.raw	Sclera_IG_13.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.6 Da	tissue	sclera
PXD008999-Sample-2	Homo sapiens	sclera	not available	not available	not available	not available	not available	control	2	not available	run 30	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	14	1	http://ftp.ebi.ac.uk/pride-archive/2019/02/PXD008999/Sclera_IG_14.raw	Sclera_IG_14.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.6 Da	tissue	sclera
PXD008999-Sample-2	Homo sapiens	sclera	not available	not available	not available	not available	not available	control	2	not available	run 31	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	15	1	http://ftp.ebi.ac.uk/pride-archive/2019/02/PXD008999/Sclera_IG_15.raw	Sclera_IG_15.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.6 Da	tissue	sclera
PXD008999-Sample-2	Homo sapiens	sclera	not available	not available	not available	not available	not available	control	2	not available	run 32	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	16	1	http://ftp.ebi.ac.uk/pride-archive/2019/02/PXD008999/Sclera_IG_16.raw	Sclera_IG_16.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.6 Da	tissue	sclera
PXD008999-Sample-2	Homo sapiens	sclera	not available	not available	not available	not available	not available	control	2	not available	run 33	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	17	1	http://ftp.ebi.ac.uk/pride-archive/2019/02/PXD008999/Sclera_IG_17.raw	Sclera_IG_17.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.6 Da	tissue	sclera
PXD008999-Sample-2	Homo sapiens	sclera	not available	not available	not available	not available	not available	control	2	not available	run 34	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	19	1	http://ftp.ebi.ac.uk/pride-archive/2019/02/PXD008999/Sclera_IG_19.raw	Sclera_IG_19.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.6 Da	tissue	sclera
PXD008999-Sample-2	Homo sapiens	sclera	not available	not available	not available	not available	not available	control	2	not available	run 35	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	2	1	http://ftp.ebi.ac.uk/pride-archive/2019/02/PXD008999/Sclera_IG_2.raw	Sclera_IG_2.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.6 Da	tissue	sclera
PXD008999-Sample-2	Homo sapiens	sclera	not available	not available	not available	not available	not available	control	2	not available	run 36	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	20	1	http://ftp.ebi.ac.uk/pride-archive/2019/02/PXD008999/Sclera_IG_20.raw	Sclera_IG_20.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.6 Da	tissue	sclera
PXD008999-Sample-2	Homo sapiens	sclera	not available	not available	not available	not available	not available	control	2	not available	run 37	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	21	1	http://ftp.ebi.ac.uk/pride-archive/2019/02/PXD008999/Sclera_IG_21.raw	Sclera_IG_21.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.6 Da	tissue	sclera
PXD008999-Sample-2	Homo sapiens	sclera	not available	not available	not available	not available	not available	control	2	not available	run 38	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	22	1	http://ftp.ebi.ac.uk/pride-archive/2019/02/PXD008999/Sclera_IG_22.raw	Sclera_IG_22.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.6 Da	tissue	sclera
PXD008999-Sample-2	Homo sapiens	sclera	not available	not available	not available	not available	not available	control	2	not available	run 39	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	23	1	http://ftp.ebi.ac.uk/pride-archive/2019/02/PXD008999/Sclera_IG_23.raw	Sclera_IG_23.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.6 Da	tissue	sclera
PXD008999-Sample-2	Homo sapiens	sclera	not available	not available	not available	not available	not available	control	2	not available	run 40	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	24	1	http://ftp.ebi.ac.uk/pride-archive/2019/02/PXD008999/Sclera_IG_24.raw	Sclera_IG_24.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.6 Da	tissue	sclera
PXD008999-Sample-2	Homo sapiens	sclera	not available	not available	not available	not available	not available	control	2	not available	run 41	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	3	1	http://ftp.ebi.ac.uk/pride-archive/2019/02/PXD008999/Sclera_IG_3.raw	Sclera_IG_3.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.6 Da	tissue	sclera
