source name	characteristics[organism]	characteristics[organism part]	characteristics[ancestry category]	characteristics[age]	characteristics[developmental stage]	characteristics[sex]	characteristics[cell line]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]
2015_01_03_04_49_Q-Exactive-HF-Orbitrap_206	Homo sapiens	cervex	Black	31Y	adult	female	HeLa cells	epithelial	adenocarcinoma	1	2015_01_03_04_49_Q-Exactive-HF-Orbitrap_206	proteomic profiling by mass spectrometer	372	2015_01_03_04_49_Q-Exactive-HF-Orbitrap_206.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523
2015_01_03_07_36_Q-Exactive-HF-Orbitrap_206	Homo sapiens	cervex	Black	31Y	adult	female	HeLa cells	epithelial	adenocarcinoma	1	2015_01_03_07_36_Q-Exactive-HF-Orbitrap_206	proteomic profiling by mass spectrometer	373	2015_01_03_07_36_Q-Exactive-HF-Orbitrap_206.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523
2015_01_03_12_21_Q-Exactive-HF-Orbitrap_206	Homo sapiens	cervex	Black	31Y	adult	female	HeLa cells	epithelial	adenocarcinoma	1	2015_01_03_12_21_Q-Exactive-HF-Orbitrap_206	proteomic profiling by mass spectrometer	374	2015_01_03_12_21_Q-Exactive-HF-Orbitrap_206.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523
2015_01_03_14_09_Q-Exactive-HF-Orbitrap_206	Homo sapiens	cervex	Black	31Y	adult	female	HeLa cells	epithelial	adenocarcinoma	1	2015_01_03_14_09_Q-Exactive-HF-Orbitrap_206	proteomic profiling by mass spectrometer	375	2015_01_03_14_09_Q-Exactive-HF-Orbitrap_206.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523
2015_01_03_15_56_Q-Exactive-HF-Orbitrap_206	Homo sapiens	cervex	Black	31Y	adult	female	HeLa cells	epithelial	adenocarcinoma	1	2015_01_03_15_56_Q-Exactive-HF-Orbitrap_206	proteomic profiling by mass spectrometer	376	2015_01_03_15_56_Q-Exactive-HF-Orbitrap_206.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523
2015_01_03_20_42_Q-Exactive-HF-Orbitrap_206	Homo sapiens	cervex	Black	31Y	adult	female	HeLa cells	epithelial	adenocarcinoma	1	2015_01_03_20_42_Q-Exactive-HF-Orbitrap_206	proteomic profiling by mass spectrometer	377	2015_01_03_20_42_Q-Exactive-HF-Orbitrap_206.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523
2015_01_04_02_14_Q-Exactive-HF-Orbitrap_206	Homo sapiens	cervex	Black	31Y	adult	female	HeLa cells	epithelial	adenocarcinoma	1	2015_01_04_02_14_Q-Exactive-HF-Orbitrap_206	proteomic profiling by mass spectrometer	378	2015_01_04_02_14_Q-Exactive-HF-Orbitrap_206.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523
2015_01_04_04_02_Q-Exactive-HF-Orbitrap_206	Homo sapiens	cervex	Black	31Y	adult	female	HeLa cells	epithelial	adenocarcinoma	1	2015_01_04_04_02_Q-Exactive-HF-Orbitrap_206	proteomic profiling by mass spectrometer	379	2015_01_04_04_02_Q-Exactive-HF-Orbitrap_206.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523
2015_01_04_06_51_Q-Exactive-HF-Orbitrap_206	Homo sapiens	cervex	Black	31Y	adult	female	HeLa cells	epithelial	adenocarcinoma	1	2015_01_04_06_51_Q-Exactive-HF-Orbitrap_206	proteomic profiling by mass spectrometer	380	2015_01_04_06_51_Q-Exactive-HF-Orbitrap_206.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523
2015_01_04_08_39_Q-Exactive-HF-Orbitrap_206	Homo sapiens	cervex	Black	31Y	adult	female	HeLa cells	epithelial	adenocarcinoma	1	2015_01_04_08_39_Q-Exactive-HF-Orbitrap_206	proteomic profiling by mass spectrometer	381	2015_01_04_08_39_Q-Exactive-HF-Orbitrap_206.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523
2015_01_04_13_26_Q-Exactive-HF-Orbitrap_206	Homo sapiens	cervex	Black	31Y	adult	female	HeLa cells	epithelial	adenocarcinoma	1	2015_01_04_13_26_Q-Exactive-HF-Orbitrap_206	proteomic profiling by mass spectrometer	382	2015_01_04_13_26_Q-Exactive-HF-Orbitrap_206.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523
2015_01_04_16_15_Q-Exactive-HF-Orbitrap_206	Homo sapiens	cervex	Black	31Y	adult	female	HeLa cells	epithelial	adenocarcinoma	1	2015_01_04_16_15_Q-Exactive-HF-Orbitrap_206	proteomic profiling by mass spectrometer	383	2015_01_04_16_15_Q-Exactive-HF-Orbitrap_206.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523
2015_01_05_15_08_Q-Exactive-HF-Orbitrap_206	Homo sapiens	cervex	Black	31Y	adult	female	HeLa cells	epithelial	adenocarcinoma	1	2015_01_05_15_08_Q-Exactive-HF-Orbitrap_206	proteomic profiling by mass spectrometer	385	2015_01_05_15_08_Q-Exactive-HF-Orbitrap_206.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523
2015_01_05_15_38_Q-Exactive-HF-Orbitrap_1	Homo sapiens	cervex	Black	31Y	adult	female	HeLa cells	epithelial	adenocarcinoma	1	2015_01_05_15_38_Q-Exactive-HF-Orbitrap_1	proteomic profiling by mass spectrometer	386	2015_01_05_15_38_Q-Exactive-HF-Orbitrap_1.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523
2015_01_05_16_03_Q-Exactive-HF-Orbitrap_147	Homo sapiens	cervex	Black	31Y	adult	female	HeLa cells	epithelial	adenocarcinoma	1	2015_01_05_16_03_Q-Exactive-HF-Orbitrap_147	proteomic profiling by mass spectrometer	387	2015_01_05_16_03_Q-Exactive-HF-Orbitrap_147.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523
2015_01_05_17_53_Q-Exactive-HF-Orbitrap_206	Homo sapiens	cervex	Black	31Y	adult	female	HeLa cells	epithelial	adenocarcinoma	1	2015_01_05_17_53_Q-Exactive-HF-Orbitrap_206	proteomic profiling by mass spectrometer	388	2015_01_05_17_53_Q-Exactive-HF-Orbitrap_206.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523
2015_01_05_18_23_Q-Exactive-HF-Orbitrap_1	Homo sapiens	cervex	Black	31Y	adult	female	HeLa cells	epithelial	adenocarcinoma	1	2015_01_05_18_23_Q-Exactive-HF-Orbitrap_1	proteomic profiling by mass spectrometer	389	2015_01_05_18_23_Q-Exactive-HF-Orbitrap_1.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523
2015_01_05_18_48_Q-Exactive-HF-Orbitrap_147	Homo sapiens	cervex	Black	31Y	adult	female	HeLa cells	epithelial	adenocarcinoma	1	2015_01_05_18_48_Q-Exactive-HF-Orbitrap_147	proteomic profiling by mass spectrometer	390	2015_01_05_18_48_Q-Exactive-HF-Orbitrap_147.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523
2015_01_05_21_32_Q-Exactive-HF-Orbitrap_147	Homo sapiens	cervex	Black	31Y	adult	female	HeLa cells	epithelial	adenocarcinoma	1	2015_01_05_21_32_Q-Exactive-HF-Orbitrap_147	proteomic profiling by mass spectrometer	391	2015_01_05_21_32_Q-Exactive-HF-Orbitrap_147.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523
2015_01_06_18_33_Q-Exactive-HF-Orbitrap_204	Homo sapiens	cervex	Black	31Y	adult	female	HeLa cells	epithelial	adenocarcinoma	1	2015_01_06_18_33_Q-Exactive-HF-Orbitrap_204	proteomic profiling by mass spectrometer	392	2015_01_06_18_33_Q-Exactive-HF-Orbitrap_204.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523
2015_01_07_16_24_Q-Exactive-HF-Orbitrap_204	Homo sapiens	cervex	Black	31Y	adult	female	HeLa cells	epithelial	adenocarcinoma	1	2015_01_07_16_24_Q-Exactive-HF-Orbitrap_204	proteomic profiling by mass spectrometer	393	2015_01_07_16_24_Q-Exactive-HF-Orbitrap_204.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523
2015_01_07_16_29_Q-Exactive-HF-Orbitrap_148	Homo sapiens	cervex	Black	31Y	adult	female	HeLa cells	epithelial	adenocarcinoma	1	2015_01_07_16_29_Q-Exactive-HF-Orbitrap_148	proteomic profiling by mass spectrometer	394	2015_01_07_16_29_Q-Exactive-HF-Orbitrap_148.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523
2015_01_07_17_53_Q-Exactive-HF-Orbitrap_207	Homo sapiens	cervex	Black	31Y	adult	female	HeLa cells	epithelial	adenocarcinoma	1	2015_01_07_17_53_Q-Exactive-HF-Orbitrap_207	proteomic profiling by mass spectrometer	395	2015_01_07_17_53_Q-Exactive-HF-Orbitrap_207.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523
2015_01_07_19_33_Q-Exactive-HF-Orbitrap_148	Homo sapiens	cervex	Black	31Y	adult	female	HeLa cells	epithelial	adenocarcinoma	1	2015_01_07_19_33_Q-Exactive-HF-Orbitrap_148	proteomic profiling by mass spectrometer	396	2015_01_07_19_33_Q-Exactive-HF-Orbitrap_148.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523
2015_01_07_20_39_Q-Exactive-HF-Orbitrap_207	Homo sapiens	cervex	Black	31Y	adult	female	HeLa cells	epithelial	adenocarcinoma	1	2015_01_07_20_39_Q-Exactive-HF-Orbitrap_207	proteomic profiling by mass spectrometer	397	2015_01_07_20_39_Q-Exactive-HF-Orbitrap_207.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523
2015_01_07_21_54_Q-Exactive-HF-Orbitrap_204	Homo sapiens	cervex	Black	31Y	adult	female	HeLa cells	epithelial	adenocarcinoma	1	2015_01_07_21_54_Q-Exactive-HF-Orbitrap_204	proteomic profiling by mass spectrometer	398	2015_01_07_21_54_Q-Exactive-HF-Orbitrap_204.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523
2015_01_07_22_38_Q-Exactive-HF-Orbitrap_148	Homo sapiens	cervex	Black	31Y	adult	female	HeLa cells	epithelial	adenocarcinoma	1	2015_01_07_22_38_Q-Exactive-HF-Orbitrap_148	proteomic profiling by mass spectrometer	399	2015_01_07_22_38_Q-Exactive-HF-Orbitrap_148.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523
2015_01_07_23_25_Q-Exactive-HF-Orbitrap_207	Homo sapiens	cervex	Black	31Y	adult	female	HeLa cells	epithelial	adenocarcinoma	1	2015_01_07_23_25_Q-Exactive-HF-Orbitrap_207	proteomic profiling by mass spectrometer	400	2015_01_07_23_25_Q-Exactive-HF-Orbitrap_207.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523
2015_01_08_18_20_Q-Exactive-HF-Orbitrap_207	Homo sapiens	cervex	Black	31Y	adult	female	HeLa cells	epithelial	adenocarcinoma	1	2015_01_08_18_20_Q-Exactive-HF-Orbitrap_207	proteomic profiling by mass spectrometer	401	2015_01_08_18_20_Q-Exactive-HF-Orbitrap_207.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523
2015_01_08_21_09_Q-Exactive-HF-Orbitrap_207	Homo sapiens	cervex	Black	31Y	adult	female	HeLa cells	epithelial	adenocarcinoma	1	2015_01_08_21_09_Q-Exactive-HF-Orbitrap_207	proteomic profiling by mass spectrometer	402	2015_01_08_21_09_Q-Exactive-HF-Orbitrap_207.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523
2015_01_08_23_59_Q-Exactive-HF-Orbitrap_207	Homo sapiens	cervex	Black	31Y	adult	female	HeLa cells	epithelial	adenocarcinoma	1	2015_01_08_23_59_Q-Exactive-HF-Orbitrap_207	proteomic profiling by mass spectrometer	403	2015_01_08_23_59_Q-Exactive-HF-Orbitrap_207.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523
2015_01_09_19_54_Q-Exactive-HF-Orbitrap_207	Homo sapiens	cervex	Black	31Y	adult	female	HeLa cells	epithelial	adenocarcinoma	1	2015_01_09_19_54_Q-Exactive-HF-Orbitrap_207	proteomic profiling by mass spectrometer	404	2015_01_09_19_54_Q-Exactive-HF-Orbitrap_207.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523
2015_01_09_20_34_Q-Exactive-HF-Orbitrap_1	Homo sapiens	cervex	Black	31Y	adult	female	HeLa cells	epithelial	adenocarcinoma	1	2015_01_09_20_34_Q-Exactive-HF-Orbitrap_1	proteomic profiling by mass spectrometer	405	2015_01_09_20_34_Q-Exactive-HF-Orbitrap_1.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523
2015_01_09_22_40_Q-Exactive-HF-Orbitrap_207	Homo sapiens	cervex	Black	31Y	adult	female	HeLa cells	epithelial	adenocarcinoma	1	2015_01_09_22_40_Q-Exactive-HF-Orbitrap_207	proteomic profiling by mass spectrometer	406	2015_01_09_22_40_Q-Exactive-HF-Orbitrap_207.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523
2015_01_09_23_23_Q-Exactive-HF-Orbitrap_1	Homo sapiens	cervex	Black	31Y	adult	female	HeLa cells	epithelial	adenocarcinoma	1	2015_01_09_23_23_Q-Exactive-HF-Orbitrap_1	proteomic profiling by mass spectrometer	407	2015_01_09_23_23_Q-Exactive-HF-Orbitrap_1.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523
2015_01_10_01_26_Q-Exactive-HF-Orbitrap_207	Homo sapiens	cervex	Black	31Y	adult	female	HeLa cells	epithelial	adenocarcinoma	1	2015_01_10_01_26_Q-Exactive-HF-Orbitrap_207	proteomic profiling by mass spectrometer	408	2015_01_10_01_26_Q-Exactive-HF-Orbitrap_207.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523
2015_01_11_18_27_Q-Exactive-HF-Orbitrap_207	Homo sapiens	cervex	Black	31Y	adult	female	HeLa cells	epithelial	adenocarcinoma	1	2015_01_11_18_27_Q-Exactive-HF-Orbitrap_207	proteomic profiling by mass spectrometer	409	2015_01_11_18_27_Q-Exactive-HF-Orbitrap_207.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523
2015_01_11_21_13_Q-Exactive-HF-Orbitrap_207	Homo sapiens	cervex	Black	31Y	adult	female	HeLa cells	epithelial	adenocarcinoma	1	2015_01_11_21_13_Q-Exactive-HF-Orbitrap_207	proteomic profiling by mass spectrometer	410	2015_01_11_21_13_Q-Exactive-HF-Orbitrap_207.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523
2015_01_12_00_00_Q-Exactive-HF-Orbitrap_207	Homo sapiens	cervex	Black	31Y	adult	female	HeLa cells	epithelial	adenocarcinoma	1	2015_01_12_00_00_Q-Exactive-HF-Orbitrap_207	proteomic profiling by mass spectrometer	411	2015_01_12_00_00_Q-Exactive-HF-Orbitrap_207.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523
2015_01_12_15_04_Q-Exactive-HF-Orbitrap_148	Homo sapiens	cervex	Black	31Y	adult	female	HeLa cells	epithelial	adenocarcinoma	1	2015_01_12_15_04_Q-Exactive-HF-Orbitrap_148	proteomic profiling by mass spectrometer	412	2015_01_12_15_04_Q-Exactive-HF-Orbitrap_148.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523
2015_01_12_18_09_Q-Exactive-HF-Orbitrap_148	Homo sapiens	cervex	Black	31Y	adult	female	HeLa cells	epithelial	adenocarcinoma	1	2015_01_12_18_09_Q-Exactive-HF-Orbitrap_148	proteomic profiling by mass spectrometer	413	2015_01_12_18_09_Q-Exactive-HF-Orbitrap_148.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523
2015_01_12_21_15_Q-Exactive-HF-Orbitrap_148	Homo sapiens	cervex	Black	31Y	adult	female	HeLa cells	epithelial	adenocarcinoma	1	2015_01_12_21_15_Q-Exactive-HF-Orbitrap_148	proteomic profiling by mass spectrometer	414	2015_01_12_21_15_Q-Exactive-HF-Orbitrap_148.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523
2015_01_13_16_51_Q-Exactive-HF-Orbitrap_206	Homo sapiens	cervex	Black	31Y	adult	female	HeLa cells	epithelial	adenocarcinoma	1	2015_01_13_16_51_Q-Exactive-HF-Orbitrap_206	proteomic profiling by mass spectrometer	415	2015_01_13_16_51_Q-Exactive-HF-Orbitrap_206.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523
2015_01_13_19_35_Q-Exactive-HF-Orbitrap_206	Homo sapiens	cervex	Black	31Y	adult	female	HeLa cells	epithelial	adenocarcinoma	1	2015_01_13_19_35_Q-Exactive-HF-Orbitrap_206	proteomic profiling by mass spectrometer	417	2015_01_13_19_35_Q-Exactive-HF-Orbitrap_206.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523
2015_01_13_20_31_Q-Exactive-HF-Orbitrap_1	Homo sapiens	cervex	Black	31Y	adult	female	HeLa cells	epithelial	adenocarcinoma	1	2015_01_13_20_31_Q-Exactive-HF-Orbitrap_1	proteomic profiling by mass spectrometer	418	2015_01_13_20_31_Q-Exactive-HF-Orbitrap_1.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523
2015_01_13_22_17_Q-Exactive-HF-Orbitrap_206	Homo sapiens	cervex	Black	31Y	adult	female	HeLa cells	epithelial	adenocarcinoma	1	2015_01_13_22_17_Q-Exactive-HF-Orbitrap_206	proteomic profiling by mass spectrometer	419	2015_01_13_22_17_Q-Exactive-HF-Orbitrap_206.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523
2015_01_13_23_17_Q-Exactive-HF-Orbitrap_1	Homo sapiens	cervex	Black	31Y	adult	female	HeLa cells	epithelial	adenocarcinoma	1	2015_01_13_23_17_Q-Exactive-HF-Orbitrap_1	proteomic profiling by mass spectrometer	420	2015_01_13_23_17_Q-Exactive-HF-Orbitrap_1.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523
2015_01_14_02_04_Q-Exactive-HF-Orbitrap_1	Homo sapiens	cervex	Black	31Y	adult	female	HeLa cells	epithelial	adenocarcinoma	1	2015_01_14_02_04_Q-Exactive-HF-Orbitrap_1	proteomic profiling by mass spectrometer	421	2015_01_14_02_04_Q-Exactive-HF-Orbitrap_1.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523
2015_01_14_18_20_Q-Exactive-HF-Orbitrap_207	Homo sapiens	cervex	Black	31Y	adult	female	HeLa cells	epithelial	adenocarcinoma	1	2015_01_14_18_20_Q-Exactive-HF-Orbitrap_207	proteomic profiling by mass spectrometer	422	2015_01_14_18_20_Q-Exactive-HF-Orbitrap_207.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523
2015_01_14_18_51_Q-Exactive-HF-Orbitrap_204	Homo sapiens	cervex	Black	31Y	adult	female	HeLa cells	epithelial	adenocarcinoma	1	2015_01_14_18_51_Q-Exactive-HF-Orbitrap_204	proteomic profiling by mass spectrometer	423	2015_01_14_18_51_Q-Exactive-HF-Orbitrap_204.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523
2015_01_14_21_09_Q-Exactive-HF-Orbitrap_207	Homo sapiens	cervex	Black	31Y	adult	female	HeLa cells	epithelial	adenocarcinoma	1	2015_01_14_21_09_Q-Exactive-HF-Orbitrap_207	proteomic profiling by mass spectrometer	424	2015_01_14_21_09_Q-Exactive-HF-Orbitrap_207.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523
