source name	characteristics[organism]	characteristics[organism part]	characteristics[sampling site]	characteristics[cell line]	characteristics[cellosaurus]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[developmental stage]	Material Type	assay name	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[fractionation method]	comment[instrument]	comment[separation]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[data file]	factor value[cell line]
PXD004452-Sample-1	Homo Sapiens	Cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	1	Adult	cell line	run 11	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_11.raw	1	11	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=N-term;MT=Variable	"NT=Phospho;TA=S,T,Y;MT=Variable;AC=UNIMOD:21"	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1000422;NT=HCD	20 ppm	10 ppm	20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_11.raw	HeLa
PXD004452-Sample-1	Homo Sapiens	Cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	1	Adult	cell line	run 12	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_12.raw	1	12	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=N-term;MT=Variable	"NT=Phospho;TA=S,T,Y;MT=Variable;AC=UNIMOD:21"	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1000422;NT=HCD	20 ppm	10 ppm	20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_12.raw	HeLa
PXD004452-Sample-1	Homo Sapiens	Cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	1	Adult	cell line	run 13	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_13.raw	1	13	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=N-term;MT=Variable	"NT=Phospho;TA=S,T,Y;MT=Variable;AC=UNIMOD:21"	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1000422;NT=HCD	20 ppm	10 ppm	20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_13.raw	HeLa
PXD004452-Sample-1	Homo Sapiens	Cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	1	Adult	cell line	run 14	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_14.raw	1	14	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=N-term;MT=Variable	"NT=Phospho;TA=S,T,Y;MT=Variable;AC=UNIMOD:21"	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1000422;NT=HCD	20 ppm	10 ppm	20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_14.raw	HeLa
PXD004452-Sample-1	Homo Sapiens	Cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	1	Adult	cell line	run 15	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_15.raw	1	15	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=N-term;MT=Variable	"NT=Phospho;TA=S,T,Y;MT=Variable;AC=UNIMOD:21"	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1000422;NT=HCD	20 ppm	10 ppm	20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_15.raw	HeLa
PXD004452-Sample-1	Homo Sapiens	Cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	1	Adult	cell line	run 16	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_16.raw	1	16	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=N-term;MT=Variable	"NT=Phospho;TA=S,T,Y;MT=Variable;AC=UNIMOD:21"	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1000422;NT=HCD	20 ppm	10 ppm	20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_16.raw	HeLa
PXD004452-Sample-1	Homo Sapiens	Cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	1	Adult	cell line	run 17	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_17.raw	1	17	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=N-term;MT=Variable	"NT=Phospho;TA=S,T,Y;MT=Variable;AC=UNIMOD:21"	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1000422;NT=HCD	20 ppm	10 ppm	20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_17.raw	HeLa
PXD004452-Sample-1	Homo Sapiens	Cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	1	Adult	cell line	run 18	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_18.raw	1	18	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=N-term;MT=Variable	"NT=Phospho;TA=S,T,Y;MT=Variable;AC=UNIMOD:21"	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1000422;NT=HCD	20 ppm	10 ppm	20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_18.raw	HeLa
PXD004452-Sample-1	Homo Sapiens	Cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	1	Adult	cell line	run 19	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_19.raw	1	19	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=N-term;MT=Variable	"NT=Phospho;TA=S,T,Y;MT=Variable;AC=UNIMOD:21"	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1000422;NT=HCD	20 ppm	10 ppm	20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_19.raw	HeLa
PXD004452-Sample-1	Homo Sapiens	Cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	1	Adult	cell line	run 20	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_20.raw	1	20	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=N-term;MT=Variable	"NT=Phospho;TA=S,T,Y;MT=Variable;AC=UNIMOD:21"	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1000422;NT=HCD	20 ppm	10 ppm	20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_20.raw	HeLa
PXD004452-Sample-1	Homo Sapiens	Cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	1	Adult	cell line	run 21	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_21.raw	1	21	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=N-term;MT=Variable	"NT=Phospho;TA=S,T,Y;MT=Variable;AC=UNIMOD:21"	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1000422;NT=HCD	20 ppm	10 ppm	20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_21.raw	HeLa
PXD004452-Sample-1	Homo Sapiens	Cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	1	Adult	cell line	run 22	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_22.raw	1	22	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=N-term;MT=Variable	"NT=Phospho;TA=S,T,Y;MT=Variable;AC=UNIMOD:21"	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1000422;NT=HCD	20 ppm	10 ppm	20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_22.raw	HeLa
PXD004452-Sample-1	Homo Sapiens	Cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	1	Adult	cell line	run 23	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_23.raw	1	23	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=N-term;MT=Variable	"NT=Phospho;TA=S,T,Y;MT=Variable;AC=UNIMOD:21"	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1000422;NT=HCD	20 ppm	10 ppm	20150115_QE3_UPLC9_DBJ_SA_Waters_70frac_no_concatenation_rep1_23.raw	HeLa
