cell line	organism	organism part	disease	age	developmental stage	sex	ancestry category	synonyms
LOXIMVI	Homo sapiens	lymph node	amelanotic melanoma; melanoma	no available	no available	no available	no available	no available
M14	Homo sapiens	skin	amelanotic melanoma; melanoma	no available	no available	male	no available	no available
Malme3M	Homo sapiens	lung	metastatic melanoma	no available	no available	no available	no available	no available
MCF7AdrR	Homo sapiens	fallopian tube	high grade ovarian serous adenocarcinoma	no available	no available	no available	no available	no available
MCF-7	Homo sapiens	pleura; mammary gland	invasive ductal carcinoma; breast adenocarcinoma; invasive breast ductal carcinoma	40 year	not available	female; not available	no available	
MDAMB231	Homo sapiens	breast; mammary gland	breast adenocarcinoma; breast cancer	51	not available; adult	not available; female	no available	MDA-MB-231
MDAMB435	Homo sapiens	skin	amelanotic melanoma; melanoma	no available	no available	no available	no available	no available
MOLT-4	Homo sapiens	lymphoid tissue	adult T acute lymphoblastic leukemia; acute lymphoblastic leukemia	no available	no available	male	no available	no available
OVCAR3	Homo sapiens	fallopian tube	high grade ovarian serous adenocarcinoma; ovarian cancer	no available	adult	female	no available	no available
OVCAR4	Homo sapiens	fallopian tube	high grade ovarian serous adenocarcinoma; ovarian cancer	no available	no available	no available	no available	no available
OVCAR5	Homo sapiens	fallopian tube	high grade ovarian serous adenocarcinoma; ovarian cancer	no available	adult	female	no available	no available
OVCAR8	Homo sapiens	fallopian tube; ovary	high grade ovarian serous adenocarcinoma; ovarian cancer				no available	
PC-3	Homo sapiens	prostate gland; prostate	prostate carcinoma; prostate adenocarcinoma	62 year; 62	adult	male	no available	
RPMI8226	Homo sapiens	blood plasma	multiple myeloma; leukemia	no available	no available	no available	no available	no available
RXF393L	Homo sapiens	proximal renal artery	renal cell carcinoma	no available	no available	no available	no available	no available
SF268	Homo sapiens	central nervous system	astrocytoma; central nervous system cancer; glioma	not available	no available	not available	no available	no available
SF295	Homo sapiens	embryonic central brain glia	glioblastoma multiforme; central nervous system cancer	no available	no available	no available	no available	no available
SF539	Homo sapiens	embryonic central brain glia	gliosarcoma; central nervous system cancer; glioma	not available	no available	not available	no available	no available
SK-MEL-28	Homo sapiens	skin	cutaneous melanoma; melanoma	51 year	no available	male	no available	no available
SK-MEL-2	Homo sapiens	skin	metastatic melanoma; melanoma	60 year	no available	male	no available	no available
SK-MEL-5	Homo sapiens	skin	cutaneous melanoma; melanoma	not available	no available	not available	no available	no available
SKOV3	Homo sapiens	ovary	ovarian serous cystadenocarcinoma; ovarian cancer; ovarian adenocarcinoma				no available	
SN12C	Homo sapiens	renal glomerulus	renal cell carcinoma; renal cancer	no available	no available	male	no available	no available
SNB19	Homo sapiens	central nervous system	astrocytoma; central nervous system cancer	no available	no available	no available	no available	no available
SNB-75	Homo sapiens	embryonic central brain glia	glioblastoma multiforme	no available	no available	no available	no available	no available
SR	Homo sapiens	blood component	anaplastic large cell lymphoma; leukemia; large cell immunoblastic lymphoma; immunoblastic large cell lymphoma	11 year	no available	male	no available	no available
SW620	Homo sapiens	colorectum	colorectal adenocarcinoma; colon adenocarcinoma; colorectal cancer	no available	no available	male	no available	no available
T47D	Homo sapiens	pleura; mammary gland	invasive ductal carcinoma; breast cancer; ductal carcinoma				no available	
TK-10	Homo sapiens	renal glomerulus	clear cell renal carcinoma; renal carcinoma	46 year	no available	male	no available	no available
U-251 MG	Homo sapiens	central nervous system	astrocytoma	no available	no available	no available	no available	no available
UACC-257	Homo sapiens	skin	melanoma	not available	no available	not available	no available	no available
UACC-62	Homo sapiens	skin	melanoma	no available	no available	no available	no available	no available
UO31	Homo sapiens	renal glomerulus	renal cell carcinoma; renal cancer	no available	no available	no available	no available	no available
TE-15	Homo sapiens	esophagus	esophageal squamous cell carcinoma	no available	no available	no available	no available	no available
OCI-MY5	Homo sapiens	hematopoietic system and lymphoid system	multiple myeloma	no available	no available	no available	no available	no available
OCI-MY7	Homo sapiens	hematopoietic system and lymphoid system	multiple myeloma	no available	no available	no available	no available	no available
OCUM-1	Homo sapiens	stomach	signet ring cell gastric adenocarcinoma; gastric adenocarcinoma	38 year	no available	not available	no available	no available
OE19	Homo sapiens	esophagus	esophageal adenocarcinoma; esophageal carcinoma				no available	
OE21	Homo sapiens	esophagus	esophageal squamous cell carcinoma	no available	no available	no available	no available	no available
OE33	Homo sapiens	esophagus	Barrett adenocarcinoma	no available	no available	no available	no available	no available
OELE	Homo sapiens	ovary	normal cell line	no available	no available	no available	no available	no available
ONCO-DG-1	Homo sapiens	ovary	high grade ovarian serous adenocarcinoma	no available	no available	no available	no available	no available
MES-SA	Homo sapiens	soft tissue	uterine sarcoma	no available	no available	no available	no available	no available
MEL-JUSO	Homo sapiens	skin	cutaneous melanoma	no available	no available	no available	no available	no available
MEL-HO	Homo sapiens	skin	melanoma	not available	no available	female	no available	no available
MEG-01	Homo sapiens	hematopoietic system and lymphoid system	blast phase chronic myelogenous leukemia, BCR-ABL1 positive	no available	no available	no available	no available	no available
MFE-319	Homo sapiens	endometrium	endometrial adenosquamous carcinoma	no available	no available	no available	no available	no available
MFE-296	Homo sapiens	endometrium	endometrium adenocarcinoma	no available	no available	no available	no available	no available
MFE-280	Homo sapiens	endometrium	endometrium adenocarcinoma	no available	no available	no available	no available	no available
MeWo	Homo sapiens	skin	melanoma	78 year	no available	male	no available	no available
MHH-CALL-2	Homo sapiens	hematopoietic system and lymphoid system	childhood B acute lymphoblastic leukemia	no available	no available	no available	no available	no available
MG-63	Homo sapiens	bone	osteosarcoma	14 year; 14	juvenile	male	no available	
Panc 02.13	Homo sapiens	pancreas	pancreatic adenocarcinoma	no available	no available	no available	no available	no available
OCI-AML3	Homo sapiens	hematopoietic system and lymphoid system	adult acute myeloid leukemia; acute myeloid leukemia	not available	no available	not available	no available	no available
OAW28	Homo sapiens	ovary	high grade ovarian serous adenocarcinoma; ovarian serous cystadenocarcinoma	not available	no available	female	no available	no available
NUGC-4	Homo sapiens	stomach	signet ring cell gastric adenocarcinoma; gastric adenocarcinoma	35 year	no available	female	no available	no available
SW 1271	Homo sapiens	lung	small cell lung carcinoma	no available	no available	no available	no available	no available
Capan-2	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma; pancreatic adenocarcinoma	56 year	no available	male	no available	no available
Capan-1	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma; pancreatic adenocarcinoma	40 year	no available	male	no available	no available
CCF-STTG1	Homo sapiens	central nervous system	astrocytoma	no available	no available	no available	no available	no available
CAS-1	Homo sapiens	central nervous system	glioblastoma	no available	no available	no available	no available	no available
CFPAC-1	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma	not available	no available	male	no available	no available
CCK-81	Homo sapiens	large intestine	colon adenocarcinoma; colorectal adenocarcinoma	no available	no available	not available	no available	no available
NCI-H2073	Homo sapiens	lung	lung adenocarcinoma	47 year	no available	female	no available	no available
NCI-H2066	Homo sapiens	lung	squamous cell lung carcinoma	no available	no available	no available	no available	no available
NCI-H2052	Homo sapiens	pleura; lung	malignant epithelioid mesothelioma; mesothelioma	not available		not available	no available	
NCI-H2030	Homo sapiens	lung	lung adenocarcinoma; non-small cell lung carcinoma	not available	no available	male	no available	no available
NCI-H2029	Homo sapiens	lung	small cell lung carcinoma	no available	no available	no available	no available	no available
NCI-H2023	Homo sapiens	lung	non-small cell lung carcinoma	26	no available	male	no available	no available
NCI-H2009	Homo sapiens	lung	lung adenocarcinoma	68 year		not available	no available	
NCI-H2004RT	Homo sapiens	soft tissue	rhabdoid tumor of the kidney	no available	no available	no available	no available	no available
NCI-H1975	Homo sapiens	lung	lung adenocarcinoma; non-small cell lung adenocarcinoma	not available		female	no available	
NCI-H196	Homo sapiens	lung	small cell lung carcinoma	68 year	no available	male	no available	no available
OCI-M1	Homo sapiens	hematopoietic system and lymphoid system	adult acute myeloid leukemia; acute myeloid leukemia	not available	no available	not available	no available	no available
OCI-LY3	Homo sapiens	hematopoietic system and lymphoid system	diffuse large B-cell lymphoma	no available	no available	no available	no available	no available
CAL-51	Homo sapiens	breast	breast carcinoma	no available	no available	no available	no available	no available
CAL-33	Homo sapiens	upper digestive tract	tongue squamous cell carcinoma	no available	no available	no available	no available	no available
CAL-29	Homo sapiens	urinary tract	bladder transitional cell carcinoma	no available	no available	no available	no available	no available
CAL-27	Homo sapiens	upper digestive tract	tongue squamous cell carcinoma	no available	no available	no available	no available	no available
CAL-148	Homo sapiens	breast	breast adenocarcinoma	58 year	no available	female	no available	no available
CAL-12T	Homo sapiens	lung	non-small cell lung carcinoma	not available	no available	male	no available	no available
CAL-120	Homo sapiens	breast	breast adenocarcinoma	43 year	no available	female	no available	no available
Caki-2	Homo sapiens	kidney	papillary renal cell carcinoma; renal carcinoma	69 year	no available	male	no available	no available
Caki-1	Homo sapiens	kidney	clear cell renal carcinoma; renal clear cell adenocarcinoma	49 year	no available	male	no available	no available
CADO-ES1	Homo sapiens	bone	Ewing sarcoma	no available	no available	no available	no available	no available
EC-GI-10	Homo sapiens	esophagus	esophageal squamous cell carcinoma	no available	no available	no available	no available	no available
HEC-1-A	Homo sapiens	endometrium	endometrium adenocarcinoma; uterine adenocarcinoma	71 year	no available	female	no available	no available
HEC-151	Homo sapiens	endometrium	endometrium adenocarcinoma	no available	no available	no available	no available	no available
HEC-108	Homo sapiens	endometrium	endometrium adenocarcinoma	no available	no available	no available	no available	no available
HDQ-P1	Homo sapiens	breast	breast carcinoma	no available	no available	no available	no available	no available
HD-MY-Z	Homo sapiens	hematopoietic system and lymphoid system	Hodgkins lymphoma	no available	no available	no available	no available	no available
HDLM-2	Homo sapiens	hematopoietic system and lymphoid system	Hodgkins lymphoma	no available	no available	male	no available	no available
HCT-15	Homo sapiens	large intestine	colon adenocarcinoma; colorectal adenocarcinoma	not available	no available	male	no available	no available
HCT 116	Homo sapiens	large intestine; colon	colon carcinoma; colorectal carcinoma	not available; 48	adult	male	no available	
HCC-95	Homo sapiens	lung	squamous cell lung carcinoma	no available	no available	no available	no available	no available
HCC827	Homo sapiens	lung	lung adenocarcinoma	not available	no available	female	no available	no available
EJM	Homo sapiens	hematopoietic system and lymphoid system	multiple myeloma	58 year	no available	female	no available	no available
EFO-27	Homo sapiens	ovary	ovarian mucinous adenocarcinoma; ovarian adenocarcinoma	36 year	no available	female	no available	no available
EHEB	Homo sapiens	hematopoietic system and lymphoid system	chronic lymphocytic leukemia	no available	no available	no available	no available	no available
EFM-19	Homo sapiens	breast	breast ductal adenocarcinoma; breast carcinoma	50 year	no available	female	no available	no available
EFO-21	Homo sapiens	ovary	ovarian cystadenocarcinoma	no available	no available	no available	no available	no available
EFE-184	Homo sapiens	endometrium	endometrial carcinoma	no available	no available	no available	no available	no available
EFM-192A	Homo sapiens	breast	breast carcinoma; breast adenocarcinoma	46 year	no available	female	no available	no available
EM-2	Homo sapiens	hematopoietic system and lymphoid system	chronic myelogenous leukemia	no available	no available	female	no available	no available
EN	Homo sapiens	endometrium	endometrial carcinoma	no available	no available	no available	no available	no available
PK-45H	Homo sapiens	pancreas	pancreatic carcinoma	not available	no available	not available	no available	no available
PK-1	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma	no available	no available	no available	no available	no available
DU4475	Homo sapiens	breast	breast carcinoma	70 year	not available	female; not available	no available	no available
PE/CA-PJ41 (clone D2)	Homo sapiens	upper digestive tract	oral squamous cell carcinoma	no available	no available	no available	no available	no available
PE/CA-PJ34 (clone C12)	Homo sapiens	upper digestive tract	basaloid squamous cell carcinoma	no available	no available	no available	no available	no available
PC-9	Homo sapiens	lung	lung adenocarcinoma		adult		no available	
Pfeiffer	Homo sapiens	hematopoietic system and lymphoid system	diffuse large B-cell lymphoma; Hodgkin's lymphoma	not available	no available	not available	no available	no available
PF-382	Homo sapiens	hematopoietic system and lymphoid system	childhood T acute lymphoblastic leukemia	no available	no available	no available	no available	no available
PEER	Homo sapiens	hematopoietic system and lymphoid system	childhood T acute lymphoblastic leukemia	no available	no available	no available	no available	no available
PE/CA-PJ49	Homo sapiens	upper digestive tract	tongue squamous cell carcinoma	no available	no available	no available	no available	no available
SNU-308	Homo sapiens	biliary system	gallbladder carcinoma	no available	no available	no available	no available	no available
SNU-283	Homo sapiens	large intestine	rectal adenocarcinoma; colorectal adenocarcinoma	no available	no available	female	no available	no available
SNU-245	Homo sapiens	biliary system	cholangiocarcinoma	no available	no available	no available	no available	no available
SNU-216	Homo sapiens	stomach	gastric tubular adenocarcinoma; gastric carcinoma	46 year	no available	female	no available	no available
SNU-398	Homo sapiens	liver	hepatocellular carcinoma	not available	no available	not available	no available	no available
SNU-387	Homo sapiens	liver	hepatocellular carcinoma	not available	no available	not available	no available	no available
SNU-349	Homo sapiens	kidney	clear cell renal carcinoma	no available	no available	no available	no available	no available
SNU-324	Homo sapiens	pancreas	pancreatic adenocarcinoma	no available	no available	no available	no available	no available
NALM-1	Homo sapiens	hematopoietic system and lymphoid system	blast phase chronic myelogenous leukemia, BCR-ABL1 positive	no available	no available	no available	no available	no available
CAL-54	Homo sapiens	kidney	renal cell adenocarcinoma	no available	no available	no available	no available	no available
SNU-410	Homo sapiens	pancreas	pancreatic adenocarcinoma	no available	no available	no available	no available	no available
SNU-407	Homo sapiens	large intestine	colon adenocarcinoma; colorectal adenocarcinoma	no available	no available	male	no available	no available
NALM-19	Homo sapiens	hematopoietic system and lymphoid system	B-cell acute lymphoblastic leukemia	no available	no available	no available	no available	no available
Hs 751.T	Homo sapiens	fibroblast	Hodgkins lymphoma	no available	no available	no available	no available	no available
Hs 766T	Homo sapiens	pancreas	pancreatic adenocarcinoma; pancreatic carcinoma	46 year	no available	male	no available	no available
Hs 742.T	Homo sapiens	fibroblast	breast carcinoma	no available	no available	no available	no available	no available
Hs 746T	Homo sapiens	stomach	gastric adenocarcinoma; gastric carcinoma	not available	no available	not available	no available	no available
Hs 822.T	Homo sapiens	fibroblast	Ewing sarcoma	no available	no available	no available	no available	no available
Hs 834.T	Homo sapiens	fibroblast	melanoma	no available	no available	no available	no available	no available
Hs 819.T	Homo sapiens	fibroblast	chondrosarcoma	no available	no available	no available	no available	no available
Hs 821.T	Homo sapiens	fibroblast	bone giant cell tumor	no available	no available	no available	no available	no available
Hs 839.T	Homo sapiens	fibroblast	melanoma	42 year	no available	female	no available	no available
Hs 840.T	Homo sapiens	fibroblast	squamous papilloma	no available	no available	no available	no available	no available
NCI-H1105	Homo sapiens	lung	small cell lung carcinoma	no available	no available	no available	no available	no available
SF767	Homo sapiens	cervix	cervical squamous cell carcinoma	no available	no available	no available	no available	no available
NCI-H1092	Homo sapiens	lung	small cell lung carcinoma	67 year	no available	male	no available	no available
UOK101	Homo sapiens	kidney	clear cell renal carcinoma	no available	no available	no available	no available	no available
UO-31	Homo sapiens	kidney	renal cell carcinoma	no available	no available	no available	no available	no available
UM-UC-3	Homo sapiens	urinary tract	bladder carcinoma; urinary bladder transitional cell carcinoma	not available	no available	male	no available	no available
UM-UC-1	Homo sapiens	urinary tract	bladder carcinoma; urinary bladder transitional cell carcinoma	not available	no available	not available	no available	no available
U-BLC1	Homo sapiens	urinary tract	bladder carcinoma	no available	no available	no available	no available	no available
UACC-893	Homo sapiens	breast	invasive ductal carcinoma; breast ductal adenocarcinoma	57 year	no available	female	no available	no available
UACC-812	Homo sapiens	breast	invasive ductal carcinoma; ductal carcinoma; breast ductal adenocarcinoma	43 year	no available	female	no available	no available
NCI-H1048	Homo sapiens	lung	small cell lung carcinoma	not available	no available	female	no available	no available
NCC-StC-K140	Homo sapiens	stomach	gastric carcinoma	no available	no available	no available	no available	no available
NB-4	Homo sapiens	hematopoietic system and lymphoid system	acute promyelocytic leukemia	no available	no available	no available	no available	no available
NB-1	Homo sapiens	autonomic ganglion	neuroblastoma	no available	no available	no available	no available	no available
NAMALWA	Homo sapiens	hematopoietic system and lymphoid system; blood	Epstein-Barr virus-related Burkitt lymphoma; malignant Burkitt's lymphoma; Burkitts lymphoma	not available; 3		not available; female	no available	
NALM-6	Homo sapiens	hematopoietic system and lymphoid system	adult B acute lymphoblastic leukemia; leukemia	not available	no available	not available	no available	no available
KMS-26	Homo sapiens	hematopoietic system and lymphoid system	multiple myeloma	not available	no available	not available	no available	no available
KMS-27	Homo sapiens	hematopoietic system and lymphoid system	multiple myeloma	52 year	no available	male	no available	no available
KMS-20	Homo sapiens	hematopoietic system and lymphoid system	multiple myeloma	no available	no available	no available	no available	no available
KMS-21BM	Homo sapiens	hematopoietic system and lymphoid system	multiple myeloma	62 year	no available	male	no available	no available
KMS-12-BM	Homo sapiens	hematopoietic system and lymphoid system	multiple myeloma	64 year	no available	female	no available	no available
KMS-18	Homo sapiens	hematopoietic system and lymphoid system	multiple myeloma	no available	no available	no available	no available	no available
KMRC-3	Homo sapiens	kidney	clear cell renal carcinoma	no available	no available	no available	no available	no available
KMS-11	Homo sapiens	hematopoietic system and lymphoid system	multiple myeloma	not available	no available	not available	no available	no available
KMRC-20	Homo sapiens	kidney	clear cell renal carcinoma	no available	no available	no available	no available	no available
KMRC-2	Homo sapiens	kidney	clear cell renal carcinoma	no available	no available	no available	no available	no available
KELLY	Homo sapiens	autonomic ganglion	neuroblastoma	not available	no available	not available	no available	no available
KE-97	Homo sapiens	hematopoietic system and lymphoid system	mucinous gastric adenocarcinoma	no available	no available	no available	no available	no available
PA-TU-8988T	Homo sapiens	pancreas	pancreatic adenocarcinoma	64 year	no available	female	no available	no available
KASUMI-2	Homo sapiens	hematopoietic system and lymphoid system	B-cell acute lymphoblastic leukemia	no available	no available	no available	no available	no available
KASUMI-1	Homo sapiens	hematopoietic system and lymphoid system	childhood acute myeloid leukemia with maturation	no available	no available	no available	no available	no available
KATO III	Homo sapiens	stomach	signet ring cell gastric adenocarcinoma; gastric carcinoma	not available	no available	not available	no available	no available
Kasumi-6	Homo sapiens	hematopoietic system and lymphoid system	adult acute myeloid leukemia	no available	no available	no available	no available	no available
KD [Human abdomen rhabdoid tumor]	Homo sapiens	soft tissue	malignant rhabdoid tumour	no available	no available	no available	no available	no available
KCL-22	Homo sapiens	hematopoietic system and lymphoid system	blast phase chronic myelogenous leukemia, BCR-ABL1 positive	no available	no available	no available	no available	no available
KE-39	Homo sapiens	stomach	gastric adenocarcinoma	no available	no available	no available	no available	no available
KE-37	Homo sapiens	hematopoietic system and lymphoid system	adult T acute lymphoblastic leukemia	no available	no available	no available	no available	no available
SU-DHL-5	Homo sapiens	hematopoietic system and lymphoid system	diffuse large B-cell lymphoma; diffuse large B cell lymphoma; B-cell lymphoma	17 year	no available	female	no available	no available
SU-DHL-6	Homo sapiens	hematopoietic system and lymphoid system	diffuse large B-cell lymphoma; diffuse large B cell lymphoma; lymphoma	not available	no available	male; not available	no available	no available
Panc 05.04	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma; pancreatic adenocarcinoma	77 year	no available	female	no available	no available
Panc 08.13	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma; pancreatic adenocarcinoma	85 year	no available	male	no available	no available
SR-786	Homo sapiens	hematopoietic system and lymphoid system	anaplastic large cell lymphoma	not available	no available	not available	no available	no available
ST486	Homo sapiens	hematopoietic system and lymphoid system	Burkitts lymphoma	no available	no available	female	no available	no available
STM91-01	Homo sapiens	soft tissue	rhabdoid tumor of the kidney	no available	no available	no available	no available	no available
SU.86.86	Homo sapiens	pancreas	pancreatic adenocarcinoma; pancreatic ductal adenocarcinoma	57 year	no available	female	no available	no available
SU-DHL-10	Homo sapiens	hematopoietic system and lymphoid system	diffuse large B-cell lymphoma; diffuse large B cell lymphoma; pleural B-cell lymphoma	not available	no available	male	no available	no available
Panc 10.05	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma	no available	no available	no available	no available	no available
SU-DHL-4	Homo sapiens	hematopoietic system and lymphoid system	diffuse large B-cell lymphoma; B-cell lymphoma	38 year	no available	male	no available	no available
GSS	Homo sapiens	stomach	gastric carcinoma	no available	no available	no available	no available	no available
GRANTA-519	Homo sapiens	hematopoietic system and lymphoid system	Mantle cell lymphoma; B-cell lymphoma	58 year	no available	female	no available	no available
GP2d	Homo sapiens	large intestine	colon adenocarcinoma	not available	no available	not available	no available	no available
GOS-3	Homo sapiens	central nervous system	glioblastoma	no available	no available	no available	no available	no available
GMS-10	Homo sapiens	central nervous system	glioblastoma	no available	no available	no available	no available	no available
GI-1	Homo sapiens	central nervous system	gliosarcoma	no available	no available	no available	no available	no available
GDM-1	Homo sapiens	hematopoietic system and lymphoid system	adult acute myeloid leukemia	no available	no available	no available	no available	no available
GCT	Homo sapiens	soft tissue	unclassified pleomorphic sarcoma	no available	no available	no available	no available	no available
Li-7	Homo sapiens	liver	hepatocellular carcinoma	no available	no available	no available	no available	no available
H4	Homo sapiens	central nervous system	astrocytoma	no available	no available	no available	no available	no available
GSU	Homo sapiens	stomach	gastric carcinoma	no available	no available	no available	no available	no available
TE-8	Homo sapiens	esophagus	esophageal squamous cell carcinoma; esophageal carcinoma	no available	no available	male	no available	no available
KYM-1	Homo sapiens	soft tissue	alveolar rhabdomyosarcoma	no available	no available	no available	no available	no available
LS513	Homo sapiens	large intestine	cecum adenocarcinoma	no available	no available	no available	no available	no available
LS411N	Homo sapiens	large intestine	cecum adenocarcinoma	no available	no available	no available	no available	no available
LU99	Homo sapiens	lung	lung giant cell carcinoma	no available	no available	no available	no available	no available
LU65	Homo sapiens	lung	lung giant cell carcinoma	no available	no available	no available	no available	no available
LS1034	Homo sapiens	large intestine	cecum adenocarcinoma; cecum carcinoma	54 year	no available	not available	no available	no available
LP-1	Homo sapiens	hematopoietic system and lymphoid system	multiple myeloma	56 year	no available	female	no available	no available
LS 180	Homo sapiens	large intestine	colon adenocarcinoma	58 year	no available	female	no available	no available
LS123	Homo sapiens	large intestine	colon adenocarcinoma	no available	no available	no available	no available	no available
LN-319	Homo sapiens	central nervous system	astrocytoma	no available	no available	no available	no available	no available
LXF-289	Homo sapiens	lung	lung adenocarcinoma	63 year	no available	male	no available	no available
LUDLU-1	Homo sapiens	lung	squamous cell lung carcinoma	no available	no available	no available	no available	no available
LN-308	Homo sapiens	central nervous system	astrocytoma	no available	no available	no available	no available	no available
AGS	Homo sapiens	stomach	gastric adenocarcinoma	not available	no available	not available	no available	no available
ACC-MESO-1	Homo sapiens	pleura	mesothelioma	no available	no available	no available	no available	no available
ABC-1	Homo sapiens	lung	lung adenocarcinoma	not available	no available	not available	no available	no available
AMO-1	Homo sapiens	hematopoietic system and lymphoid system	multiple myeloma; plasmacytoma	not available	no available	not available	no available	no available
AML-193	Homo sapiens	hematopoietic system and lymphoid system	childhood acute myeloid leukemia	no available	no available	no available	no available	no available
AM-38	Homo sapiens	central nervous system	glioblastoma	no available	no available	no available	no available	no available
ALL-SIL	Homo sapiens	hematopoietic system and lymphoid system	childhood T acute lymphoblastic leukemia	no available	no available	no available	no available	no available
AsPC-1	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma; pancreatic adenocarcinoma	62 year; 62	adult	female	no available	
AN3 CA	Homo sapiens	endometrium	endometrium adenocarcinoma; uterine adenocarcinoma	55 year	no available	female	no available	no available
Hs 294T	Homo sapiens	skin	melanoma	not available	no available	not available	no available	no available
Hs 281.T	Homo sapiens	fibroblast	breast carcinoma	no available	no available	no available	no available	no available
Hs 274.T	Homo sapiens	fibroblast	breast adenocarcinoma	no available	no available	no available	no available	no available
Hs 255.T	Homo sapiens	fibroblast	colorectal carcinoma; colon adenocarcinoma	46 year	no available	female	no available	no available
Hs 606.T	Homo sapiens	fibroblast	breast carcinoma	no available	no available	no available	no available	no available
Hs 600.T	Homo sapiens	fibroblast	melanoma	no available	no available	no available	no available	no available
Hs 578T	Homo sapiens	breast	invasive ductal carcinoma; breast carcinoma	74 year	no available	female	no available	no available
Hs 343.T	Homo sapiens	fibroblast	breast carcinoma	no available	no available	no available	no available	no available
COR-L24	Homo sapiens	lung	small cell lung carcinoma	no available	no available	no available	no available	no available
COR-L279	Homo sapiens	lung	small cell lung carcinoma	63 year	no available	male	no available	no available
Hs 616.T	Homo sapiens	fibroblast	Hodgkins lymphoma	no available	no available	no available	no available	no available
COR-L23	Homo sapiens	lung	large cell lung carcinoma	no available	no available	no available	no available	no available
COR-L88	Homo sapiens	lung	small cell lung carcinoma	55 year	no available	male	no available	no available
COR-L95	Homo sapiens	lung	small cell lung carcinoma	no available	no available	no available	no available	no available
COR-L311	Homo sapiens	lung	small cell lung carcinoma	no available	no available	no available	no available	no available
COR-L47	Homo sapiens	lung	small cell lung carcinoma	67 year	no available	male	no available	no available
RVH-421	Homo sapiens	skin	metastatic melanoma; melanoma	no available	no available	male	no available	no available
RT4	Homo sapiens	urinary tract	bladder carcinoma; urinary bladder transitional cell carcinoma	63 year	no available	male	no available	no available
