cell line	synonyms	organism part	disease	sampling site	cancer type detail	cellosaurus accession	organism	sex	ancestry category	age	model_id	sample_id	patient_id
SUP-HD1	no available	Haematopoietic and Lymphoid	Hodgkin's Lymphoma	Unknown	Hodgkin's Lymphoma	CVCL_2208	Homo Sapiens	Male	Unknown	37	SIDM00422	SIDS01169	SIDP01055
WM983B	no available	Skin	Melanoma	Lymph Node	Melanoma	CVCL_6809	Homo Sapiens	Unknown	Unknown	no available	SIDM01397	SIDS01516	SIDP01397
HuH-28	no available	Biliary Tract	Biliary Tract Carcinoma	Unknown	Intrahepatic Cholangiocarcinoma	CVCL_2955	Homo Sapiens	Female	Unknown	37	SIDM01735	SIDS01586	SIDP01525
H3255	NCI-H3255;H3255_DA	Lung	Non-Small Cell Lung Carcinoma	Unknown	Lung Adenocarcinoma	CVCL_6831	Homo Sapiens	Female	Unknown	no available	SIDM00046	SIDS00737	SIDP00661
KMM-1	no available	Haematopoietic and Lymphoid	Plasma Cell Myeloma	Subcutaneous Plasmacytoma	Plasma Cell Myeloma	CVCL_2981	Homo Sapiens	Male	East Asian	62	SIDM01577	SIDS01379	SIDP01263
HCC-44	HCC0044	Lung	Non-Small Cell Lung Carcinoma	Lung	Lung Adenocarcinoma	CVCL_2060	Homo Sapiens	Female	Unknown	54	SIDM01069	SIDS00524	SIDP00460
JHU-011	JHU-011-SCC;JHU-O11;HNSCC 011	Head and Neck	Head and Neck Carcinoma	Unknown	Laryngeal Squamous Cell Carcinoma	CVCL_5986	Homo Sapiens	Male	Unknown	no available	SIDM00128	SIDS00809	SIDP00722
JIMT-1	no available	Breast	Breast Carcinoma	Pleural effusion	Breast Carcinoma	CVCL_2077	Homo Sapiens	Female	Unknown	62	SIDM01037	SIDS00537	SIDP00472
LU-134-A	NCC-c-Lu-134-A-H	Lung	Small Cell Lung Carcinoma	Lung	Small Cell Lung Carcinoma	CVCL_1387	Homo Sapiens	Male	East Asian	80	SIDM00296	SIDS00682	SIDP00609
PA-TU-8902	no available	Pancreas	Pancreatic Carcinoma	Unknown	Pancreatic Adenocarcinoma	CVCL_1845	Homo Sapiens	Female	Unknown	44	SIDM00455	SIDS01138	SIDP01025
RH-18	SJRH18	Soft Tissue	Rhabdomyosarcoma	Unknown	Embryonal Rhabdomyosarcoma	CVCL_1659	Homo Sapiens	Female	Unknown	2	SIDM00454	SIDS01146	SIDP01033
SW1573	no available	Lung	Non-Small Cell Lung Carcinoma	Unknown	Bronchiolo-Alveolar Lung Carcinoma	CVCL_1720	Homo Sapiens	Female	White	44	SIDM01163	SIDS00392	SIDP00336
SW626	no available	Large Intestine	Colorectal Carcinoma	Ovary	Colon Adenocarcinoma	CVCL_1725	Homo Sapiens	Female	White	46	SIDM01168	SIDS00396	SIDP00340
TC-YIK	no available	Cervix	Other Solid Cancers	Unknown	Cervical Small Cell Carcinoma	CVCL_1737	Homo Sapiens	Female	East Asian	31	SIDM00234	SIDS00704	SIDP00629
UMC-11	NCI-UMC-11	Lung	Other Solid Cancers	Unknown	Lung Carcinoid Tumor	CVCL_1784	Homo Sapiens	Male	Unknown	no available	SIDM01183	SIDS00421	SIDP00363
CMK	no available	Haematopoietic and Lymphoid	Acute Myeloid Leukemia	Peripheral Blood	Childhood Acute Megakaryoblastic Leukemia	CVCL_0216	Homo Sapiens	Male	Unknown	0	SIDM00959	SIDS00485	SIDP00422
BONNA-12	no available	Haematopoietic and Lymphoid	Other Blood Cancers	Spleen	Hairy Cell Leukemia	CVCL_1090	Homo Sapiens	Male	Unknown	46	SIDM00984	SIDS00461	SIDP00398
23132-87	St 23132	Stomach	Gastric Carcinoma	Unknown	Gastric Adenocarcinoma	CVCL_1046	Homo Sapiens	Male	Unknown	72	SIDM00980	SIDS00443	SIDP00380
451Lu	WM 451-Lu;WC00059;LU451;EST81	Skin	Melanoma	Unknown	Melanoma	CVCL_6357	Homo Sapiens	Male	Unknown	22	SIDM01240	SIDS00062	SIDP00048
A704	no available	Kidney	Kidney Carcinoma	Unknown	Renal Cell Carcinoma	CVCL_1065	Homo Sapiens	Male	Unknown	no available	SIDM00849	SIDS00073	SIDP00058
COLO-205	Co 205	Large Intestine	Colorectal Carcinoma	Ascites	Colon Adenocarcinoma	CVCL_0218	Homo Sapiens	Male	White	70	SIDM00826	SIDS00003	SIDP00002
CTV-1	no available	Haematopoietic and Lymphoid	T-Lymphoblastic Leukemia	Peripheral blood	Adult T Acute Lymphoblastic Leukemia	CVCL_1150	Homo Sapiens	Male	Unknown	no available	SIDM00951	SIDS00493	SIDP00430
Daoy	D324 Med	Central Nervous System	Other Solid Cancers	Cerebellum	Medulloblastoma	CVCL_1167	Homo Sapiens	Male	White	4	SIDM00887	SIDS00111	SIDP00088
RERF-LC-AI	RERF-LC-A1	Lung	Squamous Cell Lung Carcinoma	Unknown	Squamous Cell Lung Carcinoma	CVCL_4402	Homo Sapiens	Male	East Asian	no available	SIDM00307	SIDS00671	SIDP00599
SBC-2	no available	Lung	Small Cell Lung Carcinoma	Unknown	Small Cell Lung Carcinoma	CVCL_W531	Homo Sapiens	Male	Unknown	no available	SIDM00366	SIDS01054	SIDP00946
BPH-1	no available	Prostate	Non-Cancerous	Prostate	Benign Prostatic Hyperplasia	CVCL_1091	Homo Sapiens	Male	Unknown	68	SIDM00964	SIDS00462	SIDP00399
C8166	C8166-CD4	Haematopoietic and Lymphoid	Non-Cancerous	Blood	Non-Cancerous	CVCL_1099	Homo Sapiens	Unknown	Unknown	no available	SIDM00072	SIDS00750	SIDP00673
EA-hy926	no available	Lung	Non-Small Cell Lung Carcinoma	Unknown	Lung Adenocarcinoma	CVCL_3901	Homo Sapiens	Male	White	58	SIDM01986	SIDS00075	SIDP00060
EBC-1	EBC-1/original	Lung	Squamous Cell Lung Carcinoma	Unknown	Squamous Cell Lung Carcinoma	CVCL_2891	Homo Sapiens	Male	Unknown	69	SIDM00486	SIDS00955	SIDP00855
EPLC-272H	no available	Lung	Other Solid Cancers	Lung	Lung Mucoepidermoid Carcinoma	CVCL_1197	Homo Sapiens	Male	White	57	SIDM01044	SIDS00511	SIDP00447
ESO51	no available	Esophagus	Esophageal Carcinoma	Esophagus	Esophageal Adenocarcinoma	CVCL_2036	Homo Sapiens	Male	White	74	SIDM00538	SIDS00904	SIDP00807
EW-1	IARC-EW1	Bone	Ewing's Sarcoma	Unknown	Ewing's Sarcoma	CVCL_1208	Homo Sapiens	Male	Unknown	19	SIDM00205	SIDS00579	SIDP00512
HEC-1	no available	Endometrium	Endometrial Carcinoma	Endometrium	Endometrial Adenocarcinoma	CVCL_1274	Homo Sapiens	Female	East Asian	71	SIDM00596	SIDS00962	SIDP00862
HEL	GM06141;Human ErythroLeukemia	Haematopoietic and Lymphoid	Acute Myeloid Leukemia	Peripheral blood	Erythroleukemia	CVCL_0001	Homo Sapiens	Male	White	30	SIDM00594	SIDS00964	SIDP00863
HOP-62	no available	Lung	Non-Small Cell Lung Carcinoma	Unknown	Lung Adenocarcinoma	CVCL_1285	Homo Sapiens	Female	Unknown	6	SIDM00133	SIDS00820	SIDP00733
Hs-445	HS 445T	Haematopoietic and Lymphoid	Non-Cancerous	Lymph Node	Non-Cancerous	CVCL_0761	Homo Sapiens	Female	White	56	SIDM00668	SIDS00159	SIDP00125
JHU-029	JHU-O29;HNSCC 029	Head and Neck	Head and Neck Carcinoma	Unknown	Laryngeal Squamous Cell Carcinoma	CVCL_5993	Homo Sapiens	Male	Unknown	no available	SIDM00690	SIDS00175	SIDP00140
L-363	no available	Haematopoietic and Lymphoid	Plasma Cell Myeloma	Peripheral blood	Plasma Cell Myeloma	CVCL_1357	Homo Sapiens	Female	Unknown	36	SIDM00312	SIDS01091	SIDP00980
MHH-NB-11	no available	Peripheral Nervous System	Neuroblastoma	Adrenal Tissue	Neuroblastoma	CVCL_1412	Homo Sapiens	Male	White	4	SIDM00387	SIDS01113	SIDP01002
MOG-G-UVW	GO-G-UVW	Central Nervous System	Glioma	Brain	Anaplastic Astrocytoma	CVCL_2614	Homo Sapiens	Male	Unknown	no available	SIDM00504	SIDS00919	SIDP00822
NB13	SJNB-13;NB13-DH	Peripheral Nervous System	Neuroblastoma	Unknown	Neuroblastoma	CVCL_1443	Homo Sapiens	Male	Unknown	1	SIDM00257	SIDS00720	SIDP00644
NCI-H2405	no available	Lung	Non-Small Cell Lung Carcinoma	Ascites	Lung Adenocarcinoma	CVCL_1551	Homo Sapiens	Male	White	47	SIDM00724	SIDS00293	SIDP00240
NCI-H345	no available	Lung	Small Cell Lung Carcinoma	Bone marrow	Small Cell Lung Carcinoma	CVCL_1558	Homo Sapiens	Male	White	64	SIDM00719	SIDS00298	SIDP00245
OACp4C	no available	Esophagus	Esophageal Carcinoma	Gastro-oesophageal junction (cardia)	Esophageal Adenocarcinoma	CVCL_1843	Homo Sapiens	Male	White	55	SIDM00445	SIDS01129	SIDP01016
RD	RD-2;130T;TE-32;TE 32.T	Soft Tissue	Rhabdomyosarcoma	Muscle	Embryonal Rhabdomyosarcoma	CVCL_1649	Homo Sapiens	Female	White	7	SIDM00847	SIDS00017	SIDP00013
SC-1	Sci-1	Haematopoietic and Lymphoid	B-Cell Non-Hodgkin's Lymphoma	Ascites	Follicular Lymphoma	CVCL_2717;CVCL_1888	Homo Sapiens	Male	Unknown	67	SIDM00400	SIDS01152	SIDP01039
TALL-1	no available	Haematopoietic and Lymphoid	T-Lymphoblastic Leukemia	Bone marrow	Adult T Acute Lymphoblastic Leukemia	CVCL_1736	Homo Sapiens	Male	Unknown	28	SIDM00370	SIDS01071	SIDP00960
TGBC1TKB	no available	Biliary Tract	Biliary Tract Carcinoma	Lymph Node	Undifferentiated Gallbladder Carcinoma	CVCL_1769	Homo Sapiens	Female	East Asian	no available	SIDM00252	SIDS00708	SIDP00633
Hs-940-T	no available	Skin	Melanoma	Unknown	Melanoma	CVCL_1038	Homo Sapiens	Male	White	57	SIDM00662	SIDS00165	SIDP00131
NCI-H1341	no available	Lung	Small Cell Lung Carcinoma	Cervix	Small Cell Lung Carcinoma	CVCL_1463	Homo Sapiens	Female	Unknown	no available	SIDM00646	SIDS00219	SIDP00179
HLF	no available	Liver	Hepatocellular Carcinoma	Unknown	Hepatocellular Carcinoma	CVCL_2947	Homo Sapiens	Male	Unknown	68	SIDM00065	SIDS00756	SIDP00679
Marcus	no available	Central Nervous System	Glioma	Unknown	Astrocytoma	CVCL_3019	Homo Sapiens	Female	Unknown	no available	SIDM00378	SIDS01063	SIDP00954
TE-2	no available	Esophagus	Esophageal Squamous Cell Carcinoma	Unknown	Esophageal Squamous Cell Carcinoma	CVCL_4455	Homo Sapiens	Male	Unknown	no available	SIDM00022	SIDS00799	SIDP00715
SCLC-22H	no available	Lung	Small Cell Lung Carcinoma	Pleural Effusion	Small Cell Lung Carcinoma	CVCL_2186	Homo Sapiens	Male	White	46	SIDM00028	SIDS00793	SIDP00710
SCCH-196	no available	Soft Tissue	Other Solid Cancers	Unknown	Small Cell Sarcoma	CVCL_3161	Homo Sapiens	Female	East Asian	16	SIDM00031	SIDS00790	SIDP00708
SACC-83	no available	Head and Neck	Head and Neck Carcinoma	Unknown	Salivary Gland Adenoid Cystic Carcinoma	CVCL_H589	Homo Sapiens	Unknown	Unknown	no available	SIDM00034	SIDS00787	SIDP00705
Ishikawa	no available	Endometrium	Endometrial Carcinoma	Uterus	Endometrial Adenocarcinoma	CVCL_2529	Homo Sapiens	Female	Unknown	39	SIDM00038	SIDS00764	SIDP00686
LN-464	no available	Central Nervous System	Glioblastoma	Unknown	Glioblastoma	CVCL_3962	Homo Sapiens	Unknown	Unknown	no available	SIDM00058	SIDS00747	SIDP00670
253JB-V	no available	Bladder	Bladder Carcinoma	Retroperitoneal Lymph Node	Bladder Carcinoma	CVCL_7937	Homo Sapiens	Male	White	53	SIDM01624	SIDS01236	SIDP01127
Panc-02-13	no available	Pancreas	Pancreatic Carcinoma	Pancreas	Pancreatic Adenocarcinoma	CVCL_1634	Homo Sapiens	Female	White	64	SIDM01325	SIDS01432	SIDP01314
MHH-CALL-3	no available	Haematopoietic and Lymphoid	B-Lymphoblastic Leukemia	Bone Marrow	Childhood B Acute Lymphoblastic Leukemia	CVCL_0089	Homo Sapiens	Female	Unknown	11	SIDM01693	SIDS01626	SIDP01552
SIG-M5	no available	Haematopoietic and Lymphoid	Acute Myeloid Leukemia	Bone marrow	Adult Acute Myeloid Leukemia	CVCL_1694	Homo Sapiens	Male	Unknown	63	SIDM00396	SIDS01156	SIDP01042
Hs-895-T	no available	Skin	Melanoma	Skin	Melanoma	CVCL_0993	Homo Sapiens	Female	White	48	SIDM01743	SIDS01579	SIDP01520
PANC-02-03	Panc 2.03	Pancreas	Pancreatic Carcinoma	Pancreas	Pancreatic Adenocarcinoma	CVCL_1633	Homo Sapiens	Female	White	70	SIDM01139	SIDS00333	SIDP00280
HCC4006	no available	Lung	Non-Small Cell Lung Carcinoma	Pleural Effusion	Lung Adenocarcinoma	CVCL_1269	Homo Sapiens	Male	White	no available	SIDM01596	SIDS01326	SIDP01211
HCC1143	no available	Breast	Breast Carcinoma	Mammary gland/duct	Ductal Breast Carcinoma	CVCL_1245	Homo Sapiens	Female	White	52	SIDM00866	SIDS00129	SIDP00105
NCO2	no available	Haematopoietic and Lymphoid	Chronic Myelogenous Leukemia	Peripheral blood	Chronic Myelogenous Leukemia	CVCL_3043	Homo Sapiens	Female	Unknown	35	SIDM01756	SIDS01652	SIDP01571
TE-125-T	no available	Soft Tissue	Rhabdomyosarcoma	Unknown	Rhabdomyosarcoma	CVCL_1740	Homo Sapiens	Female	White	1	SIDM01763	SIDS01670	SIDP01589
ZR-75-1	no available	Breast	Breast Carcinoma	Ascites	Invasive Ductal Carcinoma Not Otherwise Specified	CVCL_0588	Homo Sapiens	Female	White	63	SIDM00314	SIDS01089	SIDP00978
BICR31	no available	Head and Neck	Oral Cavity Carcinoma	Unknown	Tongue Squamous Cell Carcinoma	CVCL_2312	Homo Sapiens	Male	White	no available	SIDM00078	SIDS00804	SIDP00717
SU-DHL-10	no available	Haematopoietic and Lymphoid	B-Cell Non-Hodgkin's Lymphoma	Pleural effusion	Diffuse Large B-Cell Lymphoma	CVCL_1889	Homo Sapiens	Male	Unknown	25	SIDM00389	SIDS01163	SIDP01049
NALM-19	no available	Haematopoietic and Lymphoid	B-Lymphoblastic Leukemia	Peripheral blood	B Acute Lymphoblastic Leukemia	CVCL_1835	Homo Sapiens	Male	Unknown	26	SIDM01685	SIDS01633	SIDP01559
Hs-274-T	no available	Breast	Breast Carcinoma	Mammary Gland	Breast Carcinoma	CVCL_0711	Homo Sapiens	Female	White	66	SIDM01592	SIDS01345	SIDP01230
K-562	GM05372	Haematopoietic and Lymphoid	Chronic Myelogenous Leukemia	Unknown	Chronic Myelogenous Leukemia	CVCL_0004	Homo Sapiens	Female	Unknown	53	SIDM00791	SIDS00037	SIDP00029
SW579	no available	Thyroid	Thyroid Gland Carcinoma	Unknown	Thyroid Gland Anaplastic Carcinoma Squamous Cell Carcinoma Pattern	CVCL_3603	Homo Sapiens	Male	White	59	SIDM01167	SIDS00395	SIDP00339
OCI-AML5	no available	Haematopoietic and Lymphoid	Acute Myeloid Leukemia	Peripheral blood	Adult Acute Myeloid Leukemia	CVCL_1620	Homo Sapiens	Male	Unknown	77	SIDM00461	SIDS01132	SIDP01019
SNU-869	no available	Biliary Tract	Biliary Tract Carcinoma	Ampulla of Vater	Ampulla of Vater Adenocarcinoma	CVCL_5101	Homo Sapiens	Unknown	East Asian	no available	SIDM00159	SIDS00626	SIDP00555
LP-1	no available	Haematopoietic and Lymphoid	Plasma Cell Myeloma	Peripheral blood	Plasma Cell Myeloma	CVCL_0012	Homo Sapiens	Female	Unknown	56	SIDM00340	SIDS01101	SIDP00990
NH-6	no available	Peripheral Nervous System	Neuroblastoma	Adrenal Gland	Adrenal Gland Neuroblastoma	CVCL_1606	Homo Sapiens	Female	Unknown	0	SIDM01391	SIDS01414	SIDP01296
ME-1	no available	Haematopoietic and Lymphoid	Acute Myeloid Leukemia	Peripheral blood	Adult Acute Myeloid Leukemia	CVCL_2110	Homo Sapiens	Male	East Asian	40	SIDM00338	SIDS01103	SIDP00992
CL-11	no available	Large Intestine	Colorectal Carcinoma	Colon	Colon Adenocarcinoma	CVCL_1978	Homo Sapiens	Male	Unknown	no available	SIDM00944	SIDS00482	SIDP00419
JK-1	no available	Haematopoietic and Lymphoid	Chronic Myelogenous Leukemia	Shoulder Tumour	Chronic Myelogenous Leukemia	CVCL_2079	Homo Sapiens	Male	East Asian	62	SIDM01727	SIDS01594	SIDP01532
GRANTA-519	G519	Haematopoietic and Lymphoid	B-Cell Non-Hodgkin's Lymphoma	Peripheral Blood	Mantle Cell Lymphoma	CVCL_1818	Homo Sapiens	Female	White	58	SIDM01058	SIDS00519	SIDP00455
COLO-201	no available	Large Intestine	Colorectal Carcinoma	Ascites	Colon Adenocarcinoma	CVCL_1987	Homo Sapiens	Male	White	70	SIDM00823	SIDS00003	SIDP00002
LMSU	no available	Stomach	Gastric Carcinoma	Lymph Node	Gastric Carcinoma	CVCL_4849	Homo Sapiens	Female	East Asian	27	SIDM01368	SIDS01390	SIDP01274
MEC-1	no available	Haematopoietic and Lymphoid	Other Blood Cancers	Unknown	Chronic Lymphocytic Leukemia	CVCL_1870	Homo Sapiens	Male	White	61	SIDM00001	SIDS00001	SIDP00001
NCI-H889	no available	Lung	Small Cell Lung Carcinoma	Lymph Node	Small Cell Lung Carcinoma	CVCL_1598	Homo Sapiens	Female	White	69	SIDM01739	SIDS01651	SIDP01570
PK-1	no available	Pancreas	Pancreatic Carcinoma	Liver	Pancreatic Carcinoma	CVCL_4717	Homo Sapiens	Unknown	Unknown	no available	SIDM01321	SIDS01436	SIDP01318
SNU-886	no available	Liver	Hepatocellular Carcinoma	Liver	Hepatocellular Carcinoma	CVCL_5103	Homo Sapiens	Male	East Asian	57	SIDM01434	SIDS01479	SIDP01360
SNU-620	no available	Stomach	Gastric Carcinoma	Ascites	Gastric Adenocarcinoma	CVCL_5079	Homo Sapiens	Female	East Asian	59	SIDM01781	SIDS01664	SIDP01583
Hs-578-T	HS0578T	Breast	Breast Carcinoma	Unknown	Invasive Ductal Carcinoma Not Otherwise Specified	CVCL_0332	Homo Sapiens	Female	White	74	SIDM00135	SIDS00822	SIDP00735
SNU-478	NCI-SNU-478	Biliary Tract	Biliary Tract Carcinoma	Ampulla of Vater	Ampulla of Vater Adenocarcinoma	CVCL_5065	Homo Sapiens	Unknown	East Asian	no available	SIDM00160	SIDS00625	SIDP00554
K029AX	no available	Skin	Melanoma	Unknown	Cutaneous Melanoma	CVCL_8784	Homo Sapiens	Unknown	Unknown	no available	SIDM01629	SIDS01373	SIDP01257
OVSAHO	no available	Ovary	Ovarian Carcinoma	Abdomen	High Grade Ovarian Serous Adenocarcinoma	CVCL_3114	Homo Sapiens	Female	East Asian	56	SIDM01377	SIDS01420	SIDP01302
Calu-1	no available	Lung	Non-Small Cell Lung Carcinoma	Pleura	Squamous Cell Lung Carcinoma	CVCL_0608	Homo Sapiens	Male	White	47	SIDM01545	SIDS01260	SIDP01151
PEER	no available	Haematopoietic and Lymphoid	T-Lymphoblastic Leukemia	Peripheral Blood	Childhood T Acute Lymphoblastic Leukemia	CVCL_1913	Homo Sapiens	Female	Unknown	4	SIDM00991	SIDS00454	SIDP00391
SNU-1076	NCI-SNU-1076	Head and Neck	Head and Neck Carcinoma	Larynx (Subglottic)	Laryngeal Squamous Cell Carcinoma	CVCL_5006	Homo Sapiens	Male	East Asian	60	SIDM00168	SIDS00617	SIDP00546
KARPAS-620	K620	Haematopoietic and Lymphoid	Plasma Cell Myeloma	Unknown	Plasma Cell Myeloma	CVCL_1823	Homo Sapiens	Female	Unknown	77	SIDM01006	SIDS00549	SIDP00483
ALL-SIL	SIL-ALL	Haematopoietic and Lymphoid	T-Lymphoblastic Leukemia	Peripheral Blood	Childhood T Acute Lymphoblastic Leukemia	CVCL_1805	Homo Sapiens	Male	Unknown	17	SIDM00994	SIDS00451	SIDP00388
CAL-72	no available	Bone	Osteosarcoma	Left knee	Osteosarcoma	CVCL_1113	Homo Sapiens	Male	Unknown	10	SIDM00930	SIDS00477	SIDP00414
LC-1-sq	Lung cancer-1/squamous	Lung	Squamous Cell Lung Carcinoma	Lung	Squamous Cell Lung Carcinoma	CVCL_3008	Homo Sapiens	Male	East Asian	69	SIDM00300	SIDS00679	SIDP00607
RWPE-1	no available	Prostate	Non-Cancerous	Prostate	Non-Cancerous	CVCL_3791	Homo Sapiens	Male	White	54	SIDM00020	SIDS00785	SIDP00703
MDA-MB-435	MDA-435	Skin	Melanoma	Unknown	Amelanotic Melanoma	CVCL_0417	Homo Sapiens	Male	Unknown	no available	SIDM00004	SIDS00779	SIDP00698
COLO-685	no available	Endometrium	Endometrial Carcinoma	Unknown	Endometrial Adenocarcinoma	CVCL_1991	Homo Sapiens	Female	Unknown	63	SIDM00141	SIDS00835	SIDP00744
KPL-1	no available	Breast	Breast Carcinoma	Pleural Effusion	Invasive Ductal Carcinoma Not Otherwise Specified	CVCL_2094	Homo Sapiens	Female	White	69	SIDM00147	SIDS00829	SIDP00740
WIDR	WiDr-TC;LED-WiDr	Large Intestine	Colorectal Carcinoma	Colon	Rectosigmoid Adenocarcinoma	CVCL_2760	Homo Sapiens	Female	White	44	SIDM00152	SIDS00824	SIDP00736
EW-2	no available	Bone	Ewing's Sarcoma	Unknown	Ewing's Sarcoma	CVCL_3446	Homo Sapiens	Male	Unknown	19	SIDM00204	SIDS00580	SIDP00512
OC-316	no available	Ovary	Ovarian Carcinoma	Ascites	Ovarian Serous Adenocarcinoma	CVCL_1618	Homo Sapiens	Female	Unknown	no available	SIDM00219	SIDS00604	SIDP00533
FTC-236	no available	Thyroid	Thyroid Gland Carcinoma	Unknown	Follicular Thyroid Carcinoma	CVCL_2446	Homo Sapiens	Male	Unknown	42	SIDM00229	SIDS00594	SIDP00525
PC-9	no available	Lung	Non-Small Cell Lung Carcinoma	Unknown	Lung Adenocarcinoma	CVCL_B260	Homo Sapiens	Male	East Asian	no available	SIDM00236	SIDS00702	SIDP00627
MMAc	no available	Skin	Melanoma	Ascites	Melanoma	CVCL_5951	Homo Sapiens	Female	East Asian	39	SIDM00246	SIDS00692	SIDP00618
LC-1-sq-SF	LC-1/sq-Serum Free	Lung	Squamous Cell Lung Carcinoma	Lung	Squamous Cell Lung Carcinoma	CVCL_5480	Homo Sapiens	Male	East Asian	69	SIDM01226	SIDS00679	SIDP00607
