cell line	cellosaurus name	cellosaurus accession	bto cell line	organism	organism part	sampling site	age	developmental stage	sex	ancestry category	disease	cell type	Material type	synonyms	curated
Hep-G2	Hep-G2	CVCL_0027	Hep-G2 cell	Homo Sapiens	Liver	Liver	15Y	Juvenile	Male	Caucasian	Hepatoblastoma	no available	cell	HEPG2; HEPG2 CELL; HEP-G2; HEP G2	curated
AN3-CA	AN3-CA	CVCL_0028	AN3CA cell	Homo Sapiens	Endometrium	Lymph node	55Y	Adult	Female	Caucasian	Endometrial adenocarcinoma	no available	cell	AN3; AN3 CA; AN3CA; AN3_CA; AN-3; ACANTHOSIS NIGRICANS 3RD ATTEMPT-CARCINOMA	curated
EFO-21	EFO-21	CVCL_0029	no available	Homo Sapiens	Ovary	Ascites	56Y	Adult	Female	Caucasian	Ovarian serous cystadenocarcinoma	no available	cell	EFO21; EFO 21	curated
HeLa	HeLa	CVCL_0030	HeLa cell	Homo Sapiens	Uterus; Cervix	Cervix; Uterus	30Y6M	no available	Female	African American	Human papillomavirus-related cervical adenocarcinoma	epithelial	cell	HELA; HELA; Hela; He La; He-La; HeLa-CCL2; Henrietta Lacks cells; Helacyton gartleri	curated
MCF7	MCF-7	CVCL_0031	MCF-7 cell	Homo Sapiens	Breast	Pleural effusion	69Y	Elderly	Female	Caucasian	Invasive breast carcinoma	no available	cell	SSMCF-7; MCF7/WT; NAN; SSMCF7; MCF7 CELL; MCF7-CTRL; MCF 7; MICHIGAN CANCER FOUNDATION-7; IBMF-7; MCF.7; MCF7	curated
SiHa	SiHa	CVCL_0032	SiHa cell	Homo Sapiens	Cervix	Uterus	55Y	Adult	Female	Japanese	Human papillomavirus-related squamous cell carcinoma	no available	cell	SIHA; NAN	curated
SK-BR-3	SK-BR-3	CVCL_0033	SK-BR-3 cell	Homo Sapiens	Breast	Pleural effusion	43Y	Adult	Female	Caucasian	Breast adenocarcinoma	no available	cell	SK BR 03; NAN; SK-BR3; SKBR-3 CELL; SK-BR-3; SKBR-3; SKBR3; SK-BR3 CELL; SKBR3 CELL	curated
PC-3	PC-3	CVCL_0035	PC-3 cell	Homo Sapiens	Prostate	Bone	62Y	Adult	Male	Caucasian	Prostate carcinoma	no available	cell	NAN; PC.3; PC3 CELL; PC3	curated
RT4	RT-4	CVCL_0036	RT-4 cell	Homo Sapiens	Bladder	Urinary bladder	63Y	Adult	Male	Caucasian	Bladder carcinoma	no available	cell	RT4 CELL; RT4P; RT4	curated
A431	A-431	CVCL_0037	A-431 cell	Homo Sapiens	Skin	Epidermis	85Y	Elderly	Female	Caucasian	Skin squamous cell carcinoma	no available	cell	NAN; A431 CELL; A431; A431/P	curated
HaCaT	HaCaT	CVCL_0038	HaCaT cell	Homo Sapiens	Skin	Skin; Epidermis; Back	62Y	Adult	Male	Caucasian	no available	keratinocyte	cell	NAN; HACAT	curated
SK-MEL-30	SK-MEL-30	CVCL_0039	SK-MEL-30 cell	Homo Sapiens	Skin	no available	67Y	Elderly	Male	Caucasian	Cutaneous melanoma	no available	cell	SK-MEL-30; SKMEL30; SK MEL 30; SKMEL-30; AW-MEL; SK MEL30	curated
WM-115	WM115	CVCL_0040	WM-115 cell	Homo Sapiens	Skin	Skin; Right anterior leg	55Y	Adult	Female	Caucasian	Melanoma	no available	cell	WM115-MEL; WM 115; WM115F; WM115 CELL; WC00079; WM115MEL; WM-115	curated
SJRH30	Rh30	CVCL_0041	Rh-30 cell	Homo Sapiens	Soft Tissue	Bone marrow	17Y	Juvenile	Male	Caucasian	Alveolar rhabdomyosarcoma	no available	cell	SJ-RH 30; SJCRH30; SJRH 30; RMS13; RH30SJ; RH30 CELL; RMS 13; RH-30; RC13; SJRH30; RMS-13; SJRH-30; RH30; SJ-RH30	curated
U-2-OS	U2OS	CVCL_0042	U2-OS cell	Homo Sapiens	Bone	Tibia	15Y	Juvenile	Female	Caucasian	Osteosarcoma	no available	cell	2T; U-2 OS; NAN; U-2-OS; U2OS CELL; U2-OS; U2 OSTEOSARCOMA CELL; U-2OS; U20-S; U20S	curated
BeWo	BeWo	CVCL_0044	BeWo cell	Homo Sapiens	Placenta	Fetal brain	no available	Fetus	Male	Caucasian	Gestational choriocarcinoma	no available	cell	BEWO CELL; BE WO; BE-WO; BEWO	curated
HEK293	HEK293	CVCL_0045	HEK-293 cell	Homo Sapiens	Kidney	Fetal kidney	no available	Fetus	Female	no available	no available	no available	cell	HEK293; HEK/293; GRAHAM-293; A293 CELL; HEK 293; 293 AD5; HUMAN EMBRYONAL KIDNEY CELL; HEK-293; A-293 CELL; HEK; 293 HEK; GRAHAM 293; HUMAN EMBRYONIC KIDNEY 293; 293; HEK CELL; HEK293 CELL; 293 CELL; HUMAN EMBRYONIC KIDNEY CELL	curated
HeLa S3	HeLa S3	CVCL_0058	HeLa-S3 cell	Homo Sapiens	no available	Cervix	30Y6M	no available	Female	African American	Human papillomavirus-related cervical adenocarcinoma	no available	cell	S3 CLONE; HELA/S3; S3 HELA; HELA.S3; HELA S3 CELL; HELA S 3; HELAS3; S3-HELA; HELA S-3; HELA-S3; HELA S3	curated
NCI-H1299	NCI-H1299	CVCL_0060	NCI-H1299 cell	Homo Sapiens	Lung	Lymph node	43Y	Adult	Male	Caucasian	Lung large cell carcinoma	no available	cell	NCIH1299; NAN; H-1299 CELL; H-1299; H1299; H1299 CELL	curated
MDA-MB-231	MDA-MB-231	CVCL_0062	MDA-MB-231 cell	Homo Sapiens	Breast	Pleural effusion	51Y	Adult	Female	Caucasian	Breast adenocarcinoma	no available	cell	MDA MB231; MDA.MB.231; MDA MB 231; MDA-231 CELL; MDAMB-231 CELL; MDA231; MDAMB-231; MDA_MB_231; MDA-MB231 CELL; HTB-26 CELL; MDA-231; MB231; MDA-MB 231; MDA-231P; MDA231-BRE; MDA-MB231; MDAMB231; HTB26 CELL; MD ANDERSON-METASTATIC BREAST-231	curated
MV-4-11	MV4-11	CVCL_0064	MV-4-11 cell	Homo Sapiens	Blood	Peripheral blood	10Y	Children	Male	Caucasian	Childhood acute megakaryoblastic leukemia	no available	cell	MV4; 11) CELL; MV(4; MV4-11 CELL; 11 CELL; MV-4:11; MV4II CELL; MV411; MV4:11; MV4II; 11); MV 4; 11; MV-4-11	curated
Jurkat	Jurkat	CVCL_0065	JURKAT cell	Homo Sapiens	Blood	Peripheral blood	14Y	Juvenile	Male	Caucasian	T-cell childhood acute lymphocytic leukemia	T cell	cell	FCCH1024; JURKAT; JURKAT-FHCRC; JURKAT CELL; FHCRC-11; JM; JM CELL; JURKAT FHCRC; JM-JURKAT; FHCRC SUBCLONE 11	curated
NAMALWA	Namalwa	CVCL_0067	NAMALWA cell	Homo Sapiens	Haematopoietic and Lymphoid	no available	3Y	Children	Female	African; Kenyan	Burkitt lymphoma	B cell	cell	NWA; NK62A; NAMALWA CELL; NAN; NAMALWA; NAMALWA IV; NAMALVA	curated
SK-MEL-1	SK-MEL-1	CVCL_0068	SK-MEL-1 cell	Homo Sapiens	Skin	Lymphatic system; Thoracic lymph duct	29Y	Adult	Male	Caucasian	Melanoma	no available	cell	SK 1; SK-MEL1; SK-MEL-1; SK-MEL 1; SKMEL-1; SK MEL 1; SKMEL1	curated
SK-MEL-2	SK-MEL-2	CVCL_0069	SK-MEL-2 cell	Homo Sapiens	Skin	Skin; Thigh	6Y	Children	Male	Caucasian	Melanoma	no available	cell	SKML2; SKMEL2; SK-ML2; SKMEL-2; SK-MEL 2; SK-MEL-2; SK-MEL2; SK.MEL.2; SK MEL 2	curated
SNU-16	SNU-16	CVCL_0076	SNU-16 cell	Homo Sapiens	Stomach	Ascites	33Y	Adult	Female	Korean	Gastric adenocarcinoma	no available	cell	SNU16; NCI-SNU-16	curated
SNU-398	SNU-398	CVCL_0077	SNU-398 cell	Homo Sapiens	Liver	Liver	42Y	Adult	Male	Korean	Adult hepatocellular carcinoma	no available	cell	NCI-SNU-398; SNU398 CELL; SNU398	curated
SNU-5	SNU-5	CVCL_0078	SNU-5 cell	Homo Sapiens	Stomach	Ascites	33Y	Adult	Female	Korean	Gastric adenocarcinoma	no available	cell	SNU5; NCI-SNU-5	curated
697	697	CVCL_0079	697 cell	Homo Sapiens	Bone Marrow	Bone marrow	12Y	Children	Male	Caucasian	B-cell childhood acute lymphoblastic leukemia	no available	cell	EMORY UNIVERSITY-3; LINE 697; EU-3	curated
A673	A-673	CVCL_0080	A-673 cell	Homo Sapiens	Bone	Muscle	15Y	Juvenile	Female	Caucasian	Ewing sarcoma	no available	cell	NAN; A673 CELL; A673; RMS1598; RMS 1598	curated
MHH-CALL-3	MHH-CALL-3	CVCL_0089	no available	Homo Sapiens	Bone Marrow	Bone marrow	11Y	Children	Female	Caucasian	B-cell acute lymphoblastic leukemia	no available	cell	MHH-CALL 3; MHHCALL3; MHH-CALL3; MHH CALL 3	curated
SNU-182	SNU-182	CVCL_0090	SNU-182 cell	Homo Sapiens	Liver	Liver	24Y	Adult	Male	Korean	Adult hepatocellular carcinoma	no available	cell	SNU354 CELL; NCI-SNU-182; SNU182	curated
NALM-1	NALM-1	CVCL_0091	no available	Homo Sapiens	Blood	Peripheral blood	3Y	Children	Female	African American	 bcr-abl1 positive; Chronic myelogenous leukemia	no available	cell	NALM-1; NALM 1; NALM1	curated
NALM-6	NALM-6	CVCL_0092	NALM-6 cell	Homo Sapiens	Blood	Peripheral blood	19Y	Adult	Male	Caucasian	B-cell adult acute lymphocytic leukemia	no available	cell	NALM-6 CELL; NALM6 CELL; NALM-6-M1; NALM6; NALM 6; NALM-6; NALM6/P CELL	curated
RS4-11	RS4;11	CVCL_0093	RS4-11 cell	Homo Sapiens	Bone Marrow	Bone marrow	32Y	Adult	Female	Caucasian	B-cell acute lymphoblastic leukemia	no available	cell	RS 4; RS411; RS4-11; RS(4; 11); RS4:11; 11; RS4 11 CELL	curated
SEM	SEM	CVCL_0095	no available	Homo Sapiens	Blood	Peripheral blood	5Y	Children	Female	Caucasian	B-cell acute lymphoblastic leukemia	no available	cell	SEM	curated
SKM-1	SKM-1	CVCL_0098	SKM-1 cell	Homo Sapiens	Blood	Peripheral blood	76Y	Elderly	Male	Japanese	Myelodysplastic syndrome	no available	cell	SKM1	curated
SNU-1	SNU-1	CVCL_0099	SNU-1 cell	Homo Sapiens	Stomach	Stomach	44Y	Adult	Male	Korean	Gastric adenocarcinoma	no available	cell	NCI-SNU-1; SNU1; SNU1 CELL	curated
SNU-601	SNU-601	CVCL_0101	no available	Homo Sapiens	Stomach	Ascites	34Y	Adult	Male	Korean	Gastric signet ring cell adenocarcinoma	no available	cell	SNU601; NCI-SNU-601	curated
SNU-638	SNU-638	CVCL_0102	SNU-638 cell	Homo Sapiens	Stomach	Ascites	48Y	Adult	Male	Korean	Gastric adenocarcinoma	no available	cell	SNU638 CELL; SNU638	curated
SUP-B15	SUP-B15	CVCL_0103	no available	Homo Sapiens	Bone Marrow	Bone marrow	8Y	Children	Male	Caucasian	B-cell childhood acute lymphoblastic leukemia	no available	cell	SUPB-15; SUP-B15; SUPB15; NAN; SUPB15WT; SUPB15W	curated
DU-145	DU145	CVCL_0105	DU-145 cell	Homo Sapiens	Prostate	Brain	69Y	Elderly	Male	Caucasian	Prostate carcinoma	no available	cell	DU-145; NAN; DU.145; DU 145; DU145 CELL; DUKE UNIVERSITY 145; DU_145	curated
BCP-1	BCP-1	CVCL_0107	BCP-1 cell	Homo Sapiens	Blood	Peripheral blood	92Y	Elderly	Male	Caucasian	Primary effusion b-cell non-hodgkin lymphoma	no available	cell	BCP1	curated
1321N1	1321N1	CVCL_0110	1321-N1 cell	Homo Sapiens	Brain	Brain	50Y	Adult	Male	Caucasian	Brain astrocytoma	no available	cell	1321-N1; 1321 N1 CELL; 1321N1 CELL; 1321 N1	curated
5637	5637	CVCL_0126	5637 cell	Homo Sapiens	Bladder	Urinary bladder	68Y	Elderly	Male	White	Bladder carcinoma	no available	cell	5637	curated
A172	A-172	CVCL_0131	A-172 cell	Homo Sapiens	Brain	Brain	53Y	Adult	Male	Caucasian	Glioblastoma	no available	cell	A172; A-172 MG; A-172MG; A 172; A172 CELL	curated
A375	A-375	CVCL_0132	A-375 cell	Homo Sapiens	Skin	Skin	54Y	Adult	Female	Caucasian	Amelanotic melanoma	no available	cell	A375-MEL; A375 CELL; A375MEL; A 375; A375	curated
A2780	A2780	CVCL_0134	A-2780 cell	Homo Sapiens	Ovary	Ovary	no available	no available	Female	African American	Ovarian endometrioid adenocarcinoma	no available	cell	A2780PAR; A2780S; NAN; A-2780; 2780	curated
AGS	AGS	CVCL_0139	AGS cell	Homo Sapiens	Stomach	Stomach	54Y	Adult	Female	Caucasian	Gastric adenocarcinoma	no available	cell	AGS	curated
AsPC-1	AsPC-1	CVCL_0152	AsPC-1 cell	Homo Sapiens	Pancreas	Ascites	62Y	Adult	Female	Caucasian	Pancreatic ductal adenocarcinoma	no available	cell	ASPC1 CELL; ASPC-1; NAN; AS-PC1 CELL; ASPC1; AS-PC1	curated
B-CPAP	B-CPAP	CVCL_0153	B-CPAP cell	Homo Sapiens	Thyroid	Thyroid gland	76Y	Elderly	Female	Caucasian	Poorly differentiated thyroid gland carcinomaa	no available	cell	BCPAP; BCPAP CELL; BC-PAP	curated
BE2-M17	SK-N-BE(2)-M17	CVCL_0167	BE(2)-M17 cell	Homo Sapiens	Peripheral Nervous System	Bone marrow	2Y	Infant	Male	Caucasian	Neuroblastoma	no available	cell	BE(2)M17 CELL; SK-N-BE(2)-M17; SK-N-BE(2)M17 CELL; BE(2)-M17; BE2-M17; BE(2)M-17; BE(2)M17; BE2M17; SK-N-BE(2)M-17 CELL	curated
BT-20	BT-20	CVCL_0178	BT-20 cell	Homo Sapiens	Breast	Mammary gland	74Y	Elderly	Female	Caucasian	Invasive breast carcinoma	no available	cell	BT 20; BT20 CELL; BT20	curated
BT-474	BT-474	CVCL_0179	BT-474 cell	Homo Sapiens	Breast	Breast	60Y	Adult	Female	Caucasian	Invasive breast carcinoma	no available	cell	BT474 CELL; BT-474; BT474	curated
BV-173	BV-173	CVCL_0181	BV173 cell	Homo Sapiens	Blood	Peripheral blood	45Y	Adult	Male	Caucasian	 bcr-abl1 positive; Chronic myelogenous leukemia	no available	cell	BV173	curated
BxPC-3	BxPC-3	CVCL_0186	BxPC-3 cell	Homo Sapiens	Pancreas	Pancreas	61Y	Adult	Female	Caucasian	Pancreatic ductal adenocarcinoma	no available	cell	BX-PC3; BXPC3; NAN; BXPC-3; BX-PC3 CELL; BXPC3 CELL; BIOPSY XENOGRAFT OF PANCREATIC CARCINOMA LINE-3	curated
Caov-3	Caov-3	CVCL_0201	CAOV-3 cell	Homo Sapiens	Ovary	Ovary	54Y	Adult	Female	Caucasian	High grade ovarian serous adenocarcinoma	no available	cell	CAOV3; CA-OV-3; CAOV3 (S); CAOV3 CELL; CAOV-3	curated
Caov-4	Caov-4	CVCL_0202	no available	Homo Sapiens	Ovary	Subserosa; Subserosa of fallopian tube; Fallopian tube	45Y	Adult	Female	Caucasian	High grade ovarian serous adenocarcinoma	no available	cell	CAOV-4; CAOV4	curated
CC-LP-1	CC-LP-1	CVCL_0205	CCLP-1 cell	Homo Sapiens	Biliary Tract	Liver	48Y	Adult	Female	Caucasian	Intrahepatic cholangiocarcinoma	no available	cell	CCLP1; CC-LP-I CELL; CCLP1 CELL; CC-LP-1 CELL; CCLP-1; CC-LP-I	curated
CCRF-CEM	CCRF-CEM	CVCL_0207	CCRF-CEM cell	Homo Sapiens	Blood	Peripheral blood	4Y	Children	Female	Caucasian	T-cell childhood acute lymphocytic leukemia	T cell	cell	CEM-0; GM03671C; CEM-CCRF (CAMR); CCRF CEM; CCRFCEM CELL; CEM; CCRF; CCRF/CEM; CEM/0; CCRF/CEM/0; CCRFCEM; CCRF.CEM CELL; NAN; CCRF CEM CELL; CEM CELL; GM03671; CCRF.CEM; CEM-CCRF; CCRF-CEM/S; CEM T-CELL; CCRF/CEM CELL	curated
CESS	CESS	CVCL_0209	CESS cell	Homo Sapiens	Blood	Peripheral blood	no available	Adult	Male	Caucasian	Acute myeloid leukemia	no available	cell	CESS	curated
CMK	CMK	CVCL_0216	CMK cell	Homo Sapiens	Blood	Peripheral blood	10M	no available	Male	Japanese	Myeloid leukemia associated with down syndrome	no available	cell	CMK	curated
CMK11-5	CMK-11-5	CVCL_0217	no available	Homo Sapiens	Blood	Peripheral blood	10M	no available	Male	Japanese	Myeloid leukemia associated with down syndrome	no available	cell	CMK115; CMK 11-5; CMK11-5	curated
COLO-205	COLO 205	CVCL_0218	Colo-205 cell	Homo Sapiens	Large Intestine	Ascites	70Y	Elderly	Male	Caucasian	Colon adenocarcinoma	no available	cell	COLO205 CELL; CO 205; COLO.205; COLO-205; COLO205; COLO 205 CELL; COLO 205; COLORADO 205	curated
CAKI-1	Caki-1	CVCL_0234	Caki-1 cell	Homo Sapiens	Kidney	Skin	49Y	Adult	Male	Caucasian	Clear cell renal cell carcinoma	no available	cell	CAKI-1; CAKI 1; CAKI1; CAKI.1; CAKI1 CELL	curated
CAKI-2	Caki-2	CVCL_0235	Caki-2 cell	Homo Sapiens	Kidney	Kidney	69Y	Elderly	Male	Caucasian	Kidney carcinoma; Papillary renal cell carcinoma	no available	cell	CAKI2; CAKI 2 CELL; CAKI 2; CAKI-2; CAKI2 CELL	curated
Calu-6	Calu-6	CVCL_0236	Calu-6 cell	Homo Sapiens	Lung	Pleural effusion	61Y	Adult	Female	Caucasian	Lung adenocarcinoma	no available	cell	CALU-6; CALU6; CALU 6; CALU6 CELL; CALU-06; CALU.6	curated
CAPAN-1	Capan-1	CVCL_0237	CAPAN-1 cell	Homo Sapiens	Pancreas	Liver	40Y	Adult	Male	Caucasian	Pancreatic ductal adenocarcinoma	no available	cell	CAPAN1; CAPAN-1 CELL; CAPAN-1; CAPAN 1	curated
DAN-G	DAN-G	CVCL_0243	no available	Homo Sapiens	Pancreas	Pancreas	68Y	Elderly	Female	Caucasian	Pancreatic adenocarcinom	no available	cell	DANG; DAN; DAN-G	curated
DG-75	DG-75	CVCL_0244	DG-75 cell	Homo Sapiens	Haematopoietic and Lymphoid	Pleural effusion	10Y	Children	Male	Jewish; Ashkenazi	Burkitt lymphoma	B cell	cell	DG75 CELL; DG 75; D.G.-75; DG75	curated
DLD-1	DLD-1	CVCL_0248	DLD-1 cell	Homo Sapiens	Colon	Colon	67Y	Elderly	Male	Caucasian	Colon adenocarcinoma	colon epithelial cell	cell	COCL3; DLD 1; DLD1	curated
SNU-387	SNU-387	CVCL_0250	SNU-387 cell	Homo Sapiens	Liver	Liver	41Y	Adult	Female	Korean	Adult hepatocellular carcinoma	no available	cell	SNU387; SNU387 CELL; NCI-SNU-387	curated
EFM-19	EFM-19	CVCL_0253	EFM-19 cell	Homo Sapiens	Breast	Pleural effusion	50Y	Adult	Female	Caucasian	Breast ductal carcinoma	no available	cell	EFM19 CELL; EFM19	curated
EoL-1-cell	EoL-1	CVCL_0258	EoL-1 cell	Homo Sapiens	Blood	Peripheral blood	33Y	Adult	Male	Caucasian	Acute myeloid leukemia	no available	cell	EOL-1; AML-EOL-1; EOL-1-CELL; EOL-1 CELL; EOL1	curated
G-401	G-401	CVCL_0270	G-401 cell	Homo Sapiens	Kidney	Kidney	3M	no available	Male	Caucasian	Rhabdoid tumor of the kidney	no available	cell	G 401 CELL; G 401; G401; G401 CELL	curated
Geo	GEO	CVCL_0271	GEO cell	Homo Sapiens	Colon	Colon	no available	no available	no available	no available	Colon carcinoma	no available	cell	HCT-GEO; HCT GEO; GEO	curated
HCC1937	HCC1937	CVCL_0290	HCC-1937 cell	Homo Sapiens	Breast	Mammary gland duct	23Y	Adult	Female	Caucasian	Breast ductal carcinoma	no available	cell	HCC/1937; HAMON CANCER CENTER 1937; HCC1937 CELL; HCC-1937	curated
HCT-116	HCT 116	CVCL_0291	HCT-116 cell	Homo Sapiens	Colon	Colon	48Y	Adult	Male	Caucasian	Colon carcinoma	no available	cell	HTC-116 CELL; HCT-166 CELL; HCT116WT; COCL2; NAN; HCT-116; HCT116 CELL; HCT_116; HTC 116 CELL; HCT.116; HCT116; HTC116 CELL; HCT 116 CELL	curated
HCT-15	HCT 15	CVCL_0292	HCT-15 cell	Homo Sapiens	Colon	Colon	67Y	Elderly	Male	Caucasian	Colon adenocarcinoma	colon epithelial cell	cell	HCT 15 CELL; HCT15; HCT.15; HCT-15; HCT15 CELL	curated
HEC-1-A	HEC-1-A	CVCL_0293	HEC-1-A cell	Homo Sapiens	Endometrium	Endometrium	71Y	Elderly	Female	Japanese	Endometrial adenocarcinoma	no available	cell	HEC-1-A; HEC1A; HEC-1A; HEC1-A; HEC1A CELL; HEC-1A CELL	curated
HEC-1-B	HEC-1-B	CVCL_0294	HEC-1-B cell	Homo Sapiens	Endometrium	Endometrium	71Y	Elderly	Female	Japanese	Endometrial adenocarcinoma	no available	cell	HEC-1-B; HEC-1B; HEC-1B CELL; HEC1-B; HEC1B CELL; HEC1B	curated
Hey	HEY	CVCL_0297	HEY cell	Homo Sapiens	Ovary	Ovary	no available	no available	Female	Caucasian	High grade ovarian serous adenocarcinoma	no available	cell	HEY	curated
HK-2	HK-2 [Human kidney]	CVCL_0302	HK-2 cell	Homo Sapiens	Kidney	Kidney	no available	Adult	Male	Caucasian	Non-cancerous	no available	cell	HUMAN KIDNEY-2; HK2; HK-2; HK2 CELL	curated
