Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[cell type]	Characteristics[cell line]	Characteristics[developmental stage]	Characteristics[disease]	Characteristics[sex]	Characteristics[age]	Characteristics[biological replicate]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Factor Value[organism part]
PXD004940-Sample-11	Homo sapiens	Hela cell	not applicable	not applicable	not available	Crohn's disease	not available	not available	1	cell	run 11	proteomic profiling by mass spectrometry	151118_Q_Hela_04_02_50cm_HCD_IT_EasySpray_90min_750ng.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004940/151118_Q_Hela_04_02_50cm_HCD_IT_EasySpray_90min_750ng.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=Y;MT=Variable	7 ppm	0.5 Da	Hela cell
PXD004940-Sample-12	Homo sapiens	Hela cell	not applicable	not applicable	not available	Crohn's disease	not available	not available	1	cell	run 12	proteomic profiling by mass spectrometry	151118_Q_Hela_04_03_50cm_HCD_IT_EasySpray_90min_750ng.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004940/151118_Q_Hela_04_03_50cm_HCD_IT_EasySpray_90min_750ng.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=Y;MT=Variable	7 ppm	0.5 Da	Hela cell
PXD004940-Sample-13	Homo sapiens	Hela cell	not applicable	not applicable	not available	Crohn's disease	not available	not available	1	cell	run 13	proteomic profiling by mass spectrometry	151118_Q_Hela_05_01_50cm_HCD_IT_EasySpray_90min_1000ng.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004940/151118_Q_Hela_05_01_50cm_HCD_IT_EasySpray_90min_1000ng.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=Y;MT=Variable	7 ppm	0.5 Da	Hela cell
PXD004940-Sample-14	Homo sapiens	Hela cell	not applicable	not applicable	not available	Crohn's disease	not available	not available	1	cell	run 14	proteomic profiling by mass spectrometry	151118_Q_Hela_05_02_50cm_HCD_IT_EasySpray_90min_1000ng.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004940/151118_Q_Hela_05_02_50cm_HCD_IT_EasySpray_90min_1000ng.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=Y;MT=Variable	7 ppm	0.5 Da	Hela cell
PXD004940-Sample-15	Homo sapiens	Hela cell	not applicable	not applicable	not available	Crohn's disease	not available	not available	1	cell	run 15	proteomic profiling by mass spectrometry	151118_Q_Hela_05_03_50cm_HCD_IT_EasySpray_90min_1000ng.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004940/151118_Q_Hela_05_03_50cm_HCD_IT_EasySpray_90min_1000ng.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=Y;MT=Variable	7 ppm	0.5 Da	Hela cell
PXD004940-Sample-16	Homo sapiens	Hela cell	not applicable	not applicable	not available	Crohn's disease	not available	not available	1	cell	run 16	proteomic profiling by mass spectrometry	151118_Q_Hela_06_01_50cm_HCD_IT_EasySpray_90min_2000ng.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004940/151118_Q_Hela_06_01_50cm_HCD_IT_EasySpray_90min_2000ng.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=Y;MT=Variable	7 ppm	0.5 Da	Hela cell
PXD004940-Sample-17	Homo sapiens	Hela cell	not applicable	not applicable	not available	Crohn's disease	not available	not available	1	cell	run 17	proteomic profiling by mass spectrometry	151118_Q_Hela_06_01_50cm_HCD_IT_EasySpray_90min_4000ng.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004940/151118_Q_Hela_06_01_50cm_HCD_IT_EasySpray_90min_4000ng.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=Y;MT=Variable	7 ppm	0.5 Da	Hela cell
PXD004940-Sample-18	Homo sapiens	Hela cell	not applicable	not applicable	not available	Crohn's disease	not available	not available	1	cell	run 18	proteomic profiling by mass spectrometry	151118_Q_Hela_06_02_50cm_HCD_IT_EasySpray_90min_2000ng.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004940/151118_Q_Hela_06_02_50cm_HCD_IT_EasySpray_90min_2000ng.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=Y;MT=Variable	7 ppm	0.5 Da	Hela cell
PXD004940-Sample-19	Homo sapiens	Hela cell	not applicable	not applicable	not available	Crohn's disease	not available	not available	1	cell	run 19	proteomic profiling by mass spectrometry	151118_Q_Hela_06_02_50cm_HCD_IT_EasySpray_90min_4000ng.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004940/151118_Q_Hela_06_02_50cm_HCD_IT_EasySpray_90min_4000ng.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=Y;MT=Variable	7 ppm	0.5 Da	Hela cell
PXD004940-Sample-20	Homo sapiens	Hela cell	not applicable	not applicable	not available	Crohn's disease	not available	not available	1	cell	run 20	proteomic profiling by mass spectrometry	151118_Q_Hela_06_03_50cm_HCD_IT_EasySpray_90min_2000ng.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004940/151118_Q_Hela_06_03_50cm_HCD_IT_EasySpray_90min_2000ng.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=Y;MT=Variable	7 ppm	0.5 Da	Hela cell
PXD004940-Sample-21	Homo sapiens	Hela cell	not applicable	not applicable	not available	Crohn's disease	not available	not available	2	cell	run 21	proteomic profiling by mass spectrometry	151118_Q_Hela_06_03_50cm_HCD_IT_EasySpray_90min_4000ng.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004940/151118_Q_Hela_06_03_50cm_HCD_IT_EasySpray_90min_4000ng.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=Y;MT=Variable	7 ppm	0.5 Da	Hela cell
PXD004940-Sample-22	Homo sapiens	Hela cell	not applicable	not applicable	not available	Crohn's disease	not available	not available	2	cell	run 22	proteomic profiling by mass spectrometry	151117_Q_Hela_01_01_1ug_50cm_HCD_IT_EasySpray_60min.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004940/151117_Q_Hela_01_01_1ug_50cm_HCD_IT_EasySpray_60min.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=Y;MT=Variable	7 ppm	0.5 Da	Hela cell
PXD004940-Sample-23	Homo sapiens	Hela cell	not applicable	not applicable	not available	Crohn's disease	not available	not available	2	cell	run 23	proteomic profiling by mass spectrometry	151117_Q_Hela_01_02_1ug_50cm_HCD_IT_EasySpray_60min.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004940/151117_Q_Hela_01_02_1ug_50cm_HCD_IT_EasySpray_60min.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=Y;MT=Variable	7 ppm	0.5 Da	Hela cell
PXD004940-Sample-24	Homo sapiens	Hela cell	not applicable	not applicable	not available	Crohn's disease	not available	not available	2	cell	run 24	proteomic profiling by mass spectrometry	151117_Q_Hela_01_03_1ug_50cm_HCD_IT_EasySpray_60min.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004940/151117_Q_Hela_01_03_1ug_50cm_HCD_IT_EasySpray_60min.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=Y;MT=Variable	7 ppm	0.5 Da	Hela cell
PXD004940-Sample-25	Homo sapiens	Hela cell	not applicable	not applicable	not available	Crohn's disease	not available	not available	2	cell	run 25	proteomic profiling by mass spectrometry	151117_Q_Hela_03_01_1ug_50cm_HCD_IT_EasySpray_120min.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004940/151117_Q_Hela_03_01_1ug_50cm_HCD_IT_EasySpray_120min.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=Y;MT=Variable	7 ppm	0.5 Da	Hela cell
PXD004940-Sample-26	Homo sapiens	Hela cell	not applicable	not applicable	not available	Crohn's disease	not available	not available	2	cell	run 26	proteomic profiling by mass spectrometry	151117_Q_Hela_03_02_1ug_50cm_HCD_IT_EasySpray_120min.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004940/151117_Q_Hela_03_02_1ug_50cm_HCD_IT_EasySpray_120min.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=Y;MT=Variable	7 ppm	0.5 Da	Hela cell
PXD004940-Sample-27	Homo sapiens	Hela cell	not applicable	not applicable	not available	Crohn's disease	not available	not available	2	cell	run 27	proteomic profiling by mass spectrometry	151117_Q_Hela_03_03_1ug_50cm_HCD_IT_EasySpray_120min.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004940/151117_Q_Hela_03_03_1ug_50cm_HCD_IT_EasySpray_120min.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=Y;MT=Variable	7 ppm	0.5 Da	Hela cell
