source name	characteristics[organism]	characteristics[organism part]	characteristics[organism part]	characteristics[age]	characteristics[developmental stage]	characteristics[cell line]	characteristics[cell type]	characteristics[sex]	characteristics[disease]	characteristics[biological replicate]	characteristics[individual]	Material Type	assay name	technology type	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD004873-Sample-6	Homo sapiens	liver	adjacent benign liver	not available	not available	not applicable	not applicable	not available	non-tumorous	6	6	tissue	run 11	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	guot_L160307_sw_liver6.wiff	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/10/PXD004873/guot_L160307_sw_liver6.wiff	1	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	not available	not available	liver
PXD004873-Sample-6	Homo sapiens	liver	adjacent benign liver	not available	not available	not applicable	not applicable	not available	non-tumorous	6	6	tissue	run 12	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	guot_L160307_sw_liver44.wiff	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/10/PXD004873/guot_L160307_sw_liver44.wiff	2	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	not available	not available	liver
PXD004873-Sample-7	Homo sapiens	liver	adjacent benign liver	not available	not available	not applicable	not applicable	not available	non-tumorous	7	7	tissue	run 13	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	guot_L160307_sw_liver7.wiff	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/10/PXD004873/guot_L160307_sw_liver7.wiff	1	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	not available	not available	liver
PXD004873-Sample-7	Homo sapiens	liver	adjacent benign liver	not available	not available	not applicable	not applicable	not available	non-tumorous	7	7	tissue	run 14	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	guot_L160307_sw_liver45.wiff	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/10/PXD004873/guot_L160307_sw_liver45.wiff	2	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	not available	not available	liver
PXD004873-Sample-8	Homo sapiens	liver	adjacent benign liver	not available	not available	not applicable	not applicable	not available	non-tumorous	8	8	tissue	run 15	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	guot_L160307_sw_liver8.wiff	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/10/PXD004873/guot_L160307_sw_liver8.wiff	1	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	not available	not available	liver
PXD004873-Sample-8	Homo sapiens	liver	adjacent benign liver	not available	not available	not applicable	not applicable	not available	non-tumorous	8	8	tissue	run 16	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	guot_L160307_sw_liver46.wiff	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/10/PXD004873/guot_L160307_sw_liver46.wiff	2	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	not available	not available	liver
PXD004873-Sample-9	Homo sapiens	liver	adjacent benign liver	not available	not available	not applicable	not applicable	not available	non-tumorous	9	9	tissue	run 17	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	guot_L160307_sw_liver9.wiff	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/10/PXD004873/guot_L160307_sw_liver9.wiff	1	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	not available	not available	liver
PXD004873-Sample-9	Homo sapiens	liver	adjacent benign liver	not available	not available	not applicable	not applicable	not available	non-tumorous	9	9	tissue	run 18	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	guot_L160307_sw_liver47.wiff	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/10/PXD004873/guot_L160307_sw_liver47.wiff	2	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	not available	not available	liver
PXD004873-Sample-10	Homo sapiens	liver	adjacent benign liver	not available	not available	not applicable	not applicable	not available	non-tumorous	10	10	tissue	run 19	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	guot_L160307_sw_liver10.wiff	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/10/PXD004873/guot_L160307_sw_liver10.wiff	1	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	not available	not available	liver
PXD004873-Sample-10	Homo sapiens	liver	adjacent benign liver	not available	not available	not applicable	not applicable	not available	non-tumorous	10	10	tissue	run 20	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	guot_L160307_sw_liver48.wiff	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/10/PXD004873/guot_L160307_sw_liver48.wiff	2	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	not available	not available	liver
PXD004873-Sample-11	Homo sapiens	liver	adjacent benign liver	not available	not available	not applicable	not applicable	not available	non-tumorous	11	11	tissue	run 21	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	guot_L160307_sw_liver11.wiff	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/10/PXD004873/guot_L160307_sw_liver11.wiff	1	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	not available	not available	liver
PXD004873-Sample-11	Homo sapiens	liver	adjacent benign liver	not available	not available	not applicable	not applicable	not available	non-tumorous	11	11	tissue	run 22	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	guot_L160307_sw_liver49.wiff	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/10/PXD004873/guot_L160307_sw_liver49.wiff	2	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	not available	not available	liver
PXD004873-Sample-23	Homo sapiens	liver	adjacent benign liver	not available	not available	not applicable	not applicable	not available	non-tumorous	23	12	tissue	run 45	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	guot_L160307_sw_liver23.wiff	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/10/PXD004873/guot_L160307_sw_liver23.wiff	1	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	not available	not available	liver
PXD004873-Sample-23	Homo sapiens	liver	adjacent benign liver	not available	not available	not applicable	not applicable	not available	non-tumorous	23	12	tissue	run 46	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	guot_L160307_sw_liver61.wiff	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/10/PXD004873/guot_L160307_sw_liver61.wiff	2	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	not available	not available	liver
PXD004873-Sample-24	Homo sapiens	liver	adjacent benign liver	not available	not available	not applicable	not applicable	not available	non-tumorous	24	13	tissue	run 47	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	guot_L160307_sw_liver24.wiff	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/10/PXD004873/guot_L160307_sw_liver24.wiff	1	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	not available	not available	liver
PXD004873-Sample-24	Homo sapiens	liver	adjacent benign liver	not available	not available	not applicable	not applicable	not available	non-tumorous	24	13	tissue	run 48	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	guot_L160307_sw_liver62.wiff	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/10/PXD004873/guot_L160307_sw_liver62.wiff	2	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	not available	not available	liver
PXD004873-Sample-25	Homo sapiens	liver	adjacent benign liver	not available	not available	not applicable	not applicable	not available	non-tumorous	25	14	tissue	run 49	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	guot_L160307_sw_liver25.wiff	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/10/PXD004873/guot_L160307_sw_liver25.wiff	1	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	not available	not available	liver
PXD004873-Sample-25	Homo sapiens	liver	adjacent benign liver	not available	not available	not applicable	not applicable	not available	non-tumorous	25	14	tissue	run 50	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	guot_L160307_sw_liver63.wiff	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/10/PXD004873/guot_L160307_sw_liver63.wiff	2	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	not available	not available	liver
PXD004873-Sample-26	Homo sapiens	liver	adjacent benign liver	not available	not available	not applicable	not applicable	not available	non-tumorous	26	15	tissue	run 51	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	guot_L160307_sw_liver26.wiff	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/10/PXD004873/guot_L160307_sw_liver26.wiff	1	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	not available	not available	liver
PXD004873-Sample-26	Homo sapiens	liver	adjacent benign liver	not available	not available	not applicable	not applicable	not available	non-tumorous	26	15	tissue	run 52	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	guot_L160307_sw_liver64.wiff	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/10/PXD004873/guot_L160307_sw_liver64.wiff	2	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	not available	not available	liver
PXD004873-Sample-27	Homo sapiens	liver	adjacent benign liver	not available	not available	not applicable	not applicable	not available	non-tumorous	27	16	tissue	run 53	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	guot_L160307_sw_liver27.wiff	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/10/PXD004873/guot_L160307_sw_liver27.wiff	1	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	not available	not available	liver
PXD004873-Sample-27	Homo sapiens	liver	adjacent benign liver	not available	not available	not applicable	not applicable	not available	non-tumorous	27	16	tissue	run 54	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	guot_L160307_sw_liver65.wiff	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/10/PXD004873/guot_L160307_sw_liver65.wiff	2	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	not available	not available	liver
PXD004873-Sample-28	Homo sapiens	liver	adjacent benign liver	not available	not available	not applicable	not applicable	not available	non-tumorous	28	17	tissue	run 55	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	guot_L160307_sw_liver28.wiff	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/10/PXD004873/guot_L160307_sw_liver28.wiff	1	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	not available	not available	liver
PXD004873-Sample-28	Homo sapiens	liver	adjacent benign liver	not available	not available	not applicable	not applicable	not available	non-tumorous	28	17	tissue	run 56	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	guot_L160307_sw_liver66.wiff	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/10/PXD004873/guot_L160307_sw_liver66.wiff	2	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	not available	not available	liver
PXD004873-Sample-29	Homo sapiens	liver	adjacent benign liver	not available	not available	not applicable	not applicable	not available	non-tumorous	29	18	tissue	run 57	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	guot_L160307_sw_liver29.wiff	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/10/PXD004873/guot_L160307_sw_liver29.wiff	1	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	not available	not available	liver
PXD004873-Sample-29	Homo sapiens	liver	adjacent benign liver	not available	not available	not applicable	not applicable	not available	non-tumorous	29	18	tissue	run 58	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	guot_L160307_sw_liver67.wiff	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/10/PXD004873/guot_L160307_sw_liver67.wiff	2	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	not available	not available	liver
PXD004873-Sample-30	Homo sapiens	liver	adjacent benign liver	not available	not available	not applicable	not applicable	not available	non-tumorous	30	19	tissue	run 59	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	guot_L160307_sw_liver30.wiff	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/10/PXD004873/guot_L160307_sw_liver30.wiff	1	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	not available	not available	liver
PXD004873-Sample-30	Homo sapiens	liver	adjacent benign liver	not available	not available	not applicable	not applicable	not available	non-tumorous	30	19	tissue	run 60	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	guot_L160307_sw_liver68.wiff	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/10/PXD004873/guot_L160307_sw_liver68.wiff	2	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	not available	not available	liver
