source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[developmental stage]	characteristics[cell line]	characteristics[cell type]	characteristics[sex]	characteristics[disease]	characteristics[biological replicate]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD023366-Sample-11	Homo sapiens	germinal vesicle oocytes	not available	not available	not applicable	not available	not available	normal	11	cell	run 11	proteomic profiling by mass spectrometry	GV-5898-2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/08/PXD023366/GV-5898-2.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	6 ppm	20 ppm	germinal vesicle oocytes
PXD023366-Sample-12	Homo sapiens	germinal vesicle oocytes	not available	not available	not applicable	not available	not available	normal	12	cell	run 12	proteomic profiling by mass spectrometry	GV-9432.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/08/PXD023366/GV-9432.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	6 ppm	20 ppm	germinal vesicle oocytes
PXD023366-Sample-13	Homo sapiens	in?vitro?maturation oocytes	not available	not available	not applicable	not available	not available	normal	1	cell	run 13	proteomic profiling by mass spectrometry	IVM-4769-1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/08/PXD023366/IVM-4769-1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	6 ppm	20 ppm	in?vitro?maturation oocytes
PXD023366-Sample-14	Homo sapiens	in?vitro?maturation oocytes	not available	not available	not applicable	not available	not available	normal	2	cell	run 14	proteomic profiling by mass spectrometry	IVM-4769-2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/08/PXD023366/IVM-4769-2.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	6 ppm	20 ppm	in?vitro?maturation oocytes
PXD023366-Sample-15	Homo sapiens	in?vitro?maturation oocytes	not available	not available	not applicable	not available	not available	normal	3	cell	run 15	proteomic profiling by mass spectrometry	IVM-5109-1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/08/PXD023366/IVM-5109-1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	6 ppm	20 ppm	in?vitro?maturation oocytes
PXD023366-Sample-16	Homo sapiens	in?vitro?maturation oocytes	not available	not available	not applicable	not available	not available	normal	4	cell	run 16	proteomic profiling by mass spectrometry	IVM-5109-2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/08/PXD023366/IVM-5109-2.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	6 ppm	20 ppm	in?vitro?maturation oocytes
PXD023366-Sample-17	Homo sapiens	in?vitro?maturation oocytes	not available	not available	not applicable	not available	not available	normal	5	cell	run 17	proteomic profiling by mass spectrometry	IVM-5192-1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/08/PXD023366/IVM-5192-1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	6 ppm	20 ppm	in?vitro?maturation oocytes
PXD023366-Sample-18	Homo sapiens	in?vitro?maturation oocytes	not available	not available	not applicable	not available	not available	normal	6	cell	run 18	proteomic profiling by mass spectrometry	IVM-5192-2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/08/PXD023366/IVM-5192-2.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	6 ppm	20 ppm	in?vitro?maturation oocytes
PXD023366-Sample-19	Homo sapiens	in?vitro?maturation oocytes	not available	not available	not applicable	not available	not available	normal	7	cell	run 19	proteomic profiling by mass spectrometry	IVM-5193.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/08/PXD023366/IVM-5193.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	6 ppm	20 ppm	in?vitro?maturation oocytes
PXD023366-Sample-20	Homo sapiens	in?vitro?maturation oocytes	not available	not available	not applicable	not available	not available	normal	8	cell	run 20	proteomic profiling by mass spectrometry	IVM-5553-1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/08/PXD023366/IVM-5553-1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	6 ppm	20 ppm	in?vitro?maturation oocytes
PXD023366-Sample-21	Homo sapiens	in?vitro?maturation oocytes	not available	not available	not applicable	not available	not available	normal	9	cell	run 21	proteomic profiling by mass spectrometry	IVM-5553-2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/08/PXD023366/IVM-5553-2.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	6 ppm	20 ppm	in?vitro?maturation oocytes
PXD023366-Sample-22	Homo sapiens	in?vitro?maturation oocytes	not available	not available	not applicable	not available	not available	normal	10	cell	run 22	proteomic profiling by mass spectrometry	IVM-5689.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/08/PXD023366/IVM-5689.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	6 ppm	20 ppm	in?vitro?maturation oocytes
PXD023366-Sample-23	Homo sapiens	in?vitro?maturation oocytes	not available	not available	not applicable	not available	not available	normal	11	cell	run 23	proteomic profiling by mass spectrometry	IVM-5898.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/08/PXD023366/IVM-5898.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	6 ppm	20 ppm	in?vitro?maturation oocytes
PXD023366-Sample-24	Homo sapiens	in?vitro?maturation oocytes	not available	not available	not applicable	not available	not available	normal	12	cell	run 24	proteomic profiling by mass spectrometry	IVM-9432.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/08/PXD023366/IVM-9432.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	6 ppm	20 ppm	in?vitro?maturation oocytes
PXD023366-Sample-25	Homo sapiens	metaphase II oocytes	not available	not available	not applicable	not available	not available	normal	1	cell	run 25	proteomic profiling by mass spectrometry	MII-0620-1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/08/PXD023366/MII-0620-1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	6 ppm	20 ppm	metaphase II oocytes
PXD023366-Sample-26	Homo sapiens	metaphase II oocytes	not available	not available	not applicable	not available	not available	normal	2	cell	run 26	proteomic profiling by mass spectrometry	MII-0620-2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/08/PXD023366/MII-0620-2.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	6 ppm	20 ppm	metaphase II oocytes
PXD023366-Sample-27	Homo sapiens	metaphase II oocytes	not available	not available	not applicable	not available	not available	normal	3	cell	run 27	proteomic profiling by mass spectrometry	MII-0620-3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/08/PXD023366/MII-0620-3.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	6 ppm	20 ppm	metaphase II oocytes
PXD023366-Sample-28	Homo sapiens	metaphase II oocytes	not available	not available	not applicable	not available	not available	normal	4	cell	run 28	proteomic profiling by mass spectrometry	MII-0620-4.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/08/PXD023366/MII-0620-4.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	6 ppm	20 ppm	metaphase II oocytes
PXD023366-Sample-29	Homo sapiens	metaphase II oocytes	not available	not available	not applicable	not available	not available	normal	5	cell	run 29	proteomic profiling by mass spectrometry	MII-0620-5.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/08/PXD023366/MII-0620-5.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	6 ppm	20 ppm	metaphase II oocytes
PXD023366-Sample-30	Homo sapiens	metaphase II oocytes	not available	not available	not applicable	not available	not available	normal	6	cell	run 30	proteomic profiling by mass spectrometry	MII-0620-6.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/08/PXD023366/MII-0620-6.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	6 ppm	20 ppm	metaphase II oocytes
PXD023366-Sample-31	Homo sapiens	metaphase II oocytes	not available	not available	not applicable	not available	not available	normal	7	cell	run 31	proteomic profiling by mass spectrometry	MII-4152-1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/08/PXD023366/MII-4152-1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	6 ppm	20 ppm	metaphase II oocytes
PXD023366-Sample-32	Homo sapiens	metaphase II oocytes	not available	not available	not applicable	not available	not available	normal	8	cell	run 32	proteomic profiling by mass spectrometry	MII-4152-2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/08/PXD023366/MII-4152-2.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	6 ppm	20 ppm	metaphase II oocytes
PXD023366-Sample-33	Homo sapiens	metaphase II oocytes	not available	not available	not applicable	not available	not available	normal	9	cell	run 33	proteomic profiling by mass spectrometry	MII-4152-3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/08/PXD023366/MII-4152-3.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	6 ppm	20 ppm	metaphase II oocytes
PXD023366-Sample-34	Homo sapiens	metaphase II oocytes	not available	not available	not applicable	not available	not available	normal	10	cell	run 34	proteomic profiling by mass spectrometry	MII-4152-4.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/08/PXD023366/MII-4152-4.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	6 ppm	20 ppm	metaphase II oocytes
PXD023366-Sample-35	Homo sapiens	metaphase II oocytes	not available	not available	not applicable	not available	not available	normal	11	cell	run 35	proteomic profiling by mass spectrometry	MII-4152-5.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/08/PXD023366/MII-4152-5.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	6 ppm	20 ppm	metaphase II oocytes
PXD023366-Sample-36	Homo sapiens	metaphase II oocytes	not available	not available	not applicable	not available	not available	normal	12	cell	run 36	proteomic profiling by mass spectrometry	MII-4152-6.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/08/PXD023366/MII-4152-6.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	6 ppm	20 ppm	metaphase II oocytes
