source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[sex]	characteristics[age]	characteristics[cell type]	characteristics[ancestry category]	characteristics[Condition BioReplicate]	characteristics[biological replicate]	material type	assay name	technology type	comment[label]	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[Condition BioReplicate]
PXD001064-Sample-11	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-06-B	1	cell	run 11	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130211_013_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130211_013_SW.mzML	1	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-06-B
PXD001064-Sample-12	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-06-B	1	cell	run 12	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130313_036_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130313_036_SW.mzML	2	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-06-B
PXD001064-Sample-13	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-02-A	1	cell	run 13	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130313_018_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130313_018_SW.mzML	1	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-02-A
PXD001064-Sample-14	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-02-A	1	cell	run 14	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130124_020_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130124_020_SW.mzML	2	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-02-A
PXD001064-Sample-15	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-02-B	1	cell	run 15	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130313_021_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130313_021_SW.mzML	1	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-02-B
PXD001064-Sample-16	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-02-B	1	cell	run 16	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130308_022_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130308_022_SW.mzML	2	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-02-B
PXD001064-Sample-17	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-03-A	1	cell	run 17	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130116_015_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130116_015_SW.mzML	1	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-03-A
PXD001064-Sample-18	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-03-A	1	cell	run 18	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130116_012_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130116_012_SW.mzML	2	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-03-A
PXD001064-Sample-19	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-03-B	1	cell	run 19	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130116_018_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130116_018_SW.mzML	1	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-03-B
PXD001064-Sample-20	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-03-B	1	cell	run 20	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130116_013_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130116_013_SW.mzML	2	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-03-B
PXD001064-Sample-21	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-07-A	1	cell	run 21	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130308_018_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130308_018_SW.mzML	1	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-07-A
PXD001064-Sample-22	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-07-A	1	cell	run 22	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130109_018_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130109_018_SW.mzML	2	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-07-A
PXD001064-Sample-23	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-07-B	1	cell	run 23	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130308_019_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130308_019_SW.mzML	1	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-07-B
PXD001064-Sample-24	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-07-B	1	cell	run 24	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130109_019_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130109_019_SW.mzML	2	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-07-B
PXD001064-Sample-25	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-08-A	1	cell	run 25	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130313_001_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130313_001_SW.mzML	1	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-08-A
PXD001064-Sample-26	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-08-A	1	cell	run 26	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130313_031_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130313_031_SW.mzML	2	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-08-A
PXD001064-Sample-27	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-08-B	1	cell	run 27	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130313_002_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130313_002_SW.mzML	1	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-08-B
PXD001064-Sample-28	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-08-B	1	cell	run 28	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130313_032_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130313_032_SW.mzML	2	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-08-B
PXD001064-Sample-29	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-09-A	1	cell	run 29	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130313_009_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130313_009_SW.mzML	1	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-09-A
PXD001064-Sample-30	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-09-A	1	cell	run 30	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130313_011_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130313_011_SW.mzML	2	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-09-A
PXD001064-Sample-31	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-09-B	1	cell	run 31	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130313_010_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130313_010_SW.mzML	1	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-09-B
PXD001064-Sample-32	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-09-B	1	cell	run 32	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130313_012_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130313_012_SW.mzML	2	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-09-B
PXD001064-Sample-33	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-10-A	1	cell	run 33	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130220_007_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130220_007_SW.mzML	1	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-10-A
PXD001064-Sample-34	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-10-A	1	cell	run 34	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130220_002_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130220_002_SW.mzML	2	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-10-A
PXD001064-Sample-35	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-10-B	1	cell	run 35	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130220_008_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130220_008_SW.mzML	1	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-10-B
PXD001064-Sample-36	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-10-B	1	cell	run 36	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130220_010_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130220_010_SW.mzML	2	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-10-B
PXD001064-Sample-37	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-11-A	1	cell	run 37	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130503_001_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130503_001_SW.mzML	1	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-11-A
PXD001064-Sample-38	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-11-A	1	cell	run 38	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130313_024_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130313_024_SW.mzML	2	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-11-A
