source name	characteristics[organism]	characteristics[organism part]	characteristics[organism part]	characteristics[age]	characteristics[developmental stage]	characteristics[sex]	characteristics[ancestry category]	characteristics[cell type]	characteristics[cell line]	characteristics[disease]	characteristics[individual]	characteristics[biological replicate]	material type	assay name	technology type	comment[data file]	comment[file uri]	comment[proteomics data acquisition method]	comment[fractionation method]	comment[scan window lower limit]	comment[scan window upper limit]	comment[fraction identifier]	comment[label]	comment[technical replicate]	comment[cleavage agent details]	comment[ms2 mass analyzer]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD018678-Sample-11	Homo sapiens	heart	left ventricular	not available	not available	not available	not available	not available	not applicable	heart failure	not applicable	11	tissue	run 11	proteomic profiling by mass spectrometry	20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_14.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD018678/20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_14.raw	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	350 m/z	1650 m/z	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1000422;NT=HCD	27 NCE	20 ppm	20 ppm	heart
PXD018678-Sample-12	Homo sapiens	heart	left ventricular	not available	not available	not available	not available	not available	not applicable	heart failure	not applicable	12	tissue	run 12	proteomic profiling by mass spectrometry	20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_15.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD018678/20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_15.raw	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	350 m/z	1650 m/z	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1000422;NT=HCD	27 NCE	20 ppm	20 ppm	heart
PXD018678-Sample-13	Homo sapiens	heart	left ventricular	not available	not available	not available	not available	not available	not applicable	heart failure	not applicable	13	tissue	run 13	proteomic profiling by mass spectrometry	20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_19.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD018678/20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_19.raw	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	350 m/z	1650 m/z	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1000422;NT=HCD	27 NCE	20 ppm	20 ppm	heart
PXD018678-Sample-14	Homo sapiens	heart	left ventricular	not available	not available	not available	not available	not available	not applicable	heart failure	not applicable	14	tissue	run 14	proteomic profiling by mass spectrometry	20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_20.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD018678/20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_20.raw	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	350 m/z	1650 m/z	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1000422;NT=HCD	27 NCE	20 ppm	20 ppm	heart
PXD018678-Sample-15	Homo sapiens	heart	left ventricular	not available	not available	not available	not available	not available	not applicable	heart failure	not applicable	15	tissue	run 15	proteomic profiling by mass spectrometry	20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_22.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD018678/20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_22.raw	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	350 m/z	1650 m/z	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1000422;NT=HCD	27 NCE	20 ppm	20 ppm	heart
PXD018678-Sample-16	Homo sapiens	heart	left ventricular	not available	not available	not available	not available	not available	not applicable	heart failure	not applicable	16	tissue	run 16	proteomic profiling by mass spectrometry	20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_28.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD018678/20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_28.raw	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	350 m/z	1650 m/z	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1000422;NT=HCD	27 NCE	20 ppm	20 ppm	heart
PXD018678-Sample-17	Homo sapiens	heart	left ventricular	not available	not available	not available	not available	not available	not applicable	heart failure	not applicable	17	tissue	run 17	proteomic profiling by mass spectrometry	20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_32.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD018678/20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_32.raw	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	350 m/z	1650 m/z	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1000422;NT=HCD	27 NCE	20 ppm	20 ppm	heart
PXD018678-Sample-18	Homo sapiens	heart	left ventricular	not available	not available	not available	not available	not available	not applicable	heart failure	not applicable	18	tissue	run 18	proteomic profiling by mass spectrometry	20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_39.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD018678/20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_39.raw	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	350 m/z	1650 m/z	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1000422;NT=HCD	27 NCE	20 ppm	20 ppm	heart
PXD018678-Sample-19	Homo sapiens	heart	left ventricular	not available	not available	not available	not available	not available	not applicable	heart failure	not applicable	19	tissue	run 19	proteomic profiling by mass spectrometry	20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_40.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD018678/20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_40.raw	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	350 m/z	1650 m/z	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1000422;NT=HCD	27 NCE	20 ppm	20 ppm	heart
PXD018678-Sample-20	Homo sapiens	heart	left ventricular	not available	not available	not available	not available	not available	not applicable	heart failure	not applicable	20	tissue	run 20	proteomic profiling by mass spectrometry	20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_43.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD018678/20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_43.raw	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	350 m/z	1650 m/z	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1000422;NT=HCD	27 NCE	20 ppm	20 ppm	heart
PXD018678-Sample-21	Homo sapiens	heart	left ventricular	not available	not available	not available	not available	not available	not applicable	heart failure	not applicable	21	tissue	run 21	proteomic profiling by mass spectrometry	20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_45.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD018678/20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_45.raw	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	350 m/z	1650 m/z	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1000422;NT=HCD	27 NCE	20 ppm	20 ppm	heart
PXD018678-Sample-22	Homo sapiens	heart	left ventricular	not available	not available	not available	not available	not available	not applicable	heart failure	not applicable	22	tissue	run 22	proteomic profiling by mass spectrometry	20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_47.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD018678/20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_47.raw	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	350 m/z	1650 m/z	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1000422;NT=HCD	27 NCE	20 ppm	20 ppm	heart
PXD018678-Sample-23	Homo sapiens	heart	left ventricular	not available	not available	not available	not available	not available	not applicable	heart failure	not applicable	23	tissue	run 23	proteomic profiling by mass spectrometry	20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_48.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD018678/20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_48.raw	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	350 m/z	1650 m/z	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1000422;NT=HCD	27 NCE	20 ppm	20 ppm	heart
PXD018678-Sample-24	Homo sapiens	heart	left ventricular	not available	not available	not available	not available	not available	not applicable	heart failure	not applicable	24	tissue	run 24	proteomic profiling by mass spectrometry	20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_49.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD018678/20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_49.raw	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	350 m/z	1650 m/z	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1000422;NT=HCD	27 NCE	20 ppm	20 ppm	heart
PXD018678-Sample-25	Homo sapiens	heart	left ventricular	not available	not available	not available	not available	not available	not applicable	heart failure	not applicable	25	tissue	run 25	proteomic profiling by mass spectrometry	20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_51.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD018678/20181116_QEHFX3_BP_RSLCcap_hHeart_DIA_51.raw	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	350 m/z	1650 m/z	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1000422;NT=HCD	27 NCE	20 ppm	20 ppm	heart
