Source Name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[developmental stage]	characteristics[ancestry category]	characteristics[cell line]	characteristics[cell type]	characteristics[sex]	characteristics[disease]	characteristics[enrichment method]	characteristics[enrichment process]	characteristics[synthetic peptide]	characteristics[biological replicate]	assay name	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[cell line]
PXD002255-Sample-1	Homo sapiens	uterine cervix	31Y	adult	black	HeLa	not applicable	female	cervical cancer	ChIRP	enrichment of mRNA binding protein	no synthetic	1	run 184	ES_XP_MB_397.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_MB_397.raw	23	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	HeLa
PXD002255-Sample-1	Homo sapiens	uterine cervix	31Y	adult	black	HeLa	not applicable	female	cervical cancer	ChIRP	enrichment of mRNA binding protein	no synthetic	1	run 185	ES_XP_MB_398.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_MB_398.raw	24	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	HeLa
PXD002255-Sample-1	Homo sapiens	uterine cervix	31Y	adult	black	HeLa	not applicable	female	cervical cancer	ChIRP	enrichment of mRNA binding protein	no synthetic	1	run 186	ES_XP_MB_399.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_MB_399.raw	25	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	HeLa
PXD002255-Sample-1	Homo sapiens	uterine cervix	31Y	adult	black	HeLa	not applicable	female	cervical cancer	ChIRP	enrichment of mRNA binding protein	no synthetic	1	run 187	ES_XP_MB_400.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_MB_400.raw	26	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	HeLa
PXD002255-Sample-1	Homo sapiens	uterine cervix	31Y	adult	black	HeLa	not applicable	female	cervical cancer	ChIRP	enrichment of mRNA binding protein	no synthetic	1	run 188	ES_XP_MB_401.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_MB_401.raw	27	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	HeLa
PXD002255-Sample-1	Homo sapiens	uterine cervix	31Y	adult	black	HeLa	not applicable	female	cervical cancer	ChIRP	enrichment of mRNA binding protein	no synthetic	1	run 189	ES_XP_MB_402.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_MB_402.raw	28	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	HeLa
PXD002255-Sample-1	Homo sapiens	uterine cervix	31Y	adult	black	HeLa	not applicable	female	cervical cancer	ChIRP	enrichment of mRNA binding protein	no synthetic	1	run 190	ES_XP_MB_403.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_MB_403.raw	29	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	HeLa
PXD002255-Sample-1	Homo sapiens	uterine cervix	31Y	adult	black	HeLa	not applicable	female	cervical cancer	ChIRP	enrichment of mRNA binding protein	no synthetic	1	run 191	ES_XP_MB_404.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_MB_404.raw	30	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	HeLa
PXD002255-Sample-1	Homo sapiens	uterine cervix	31Y	adult	black	HeLa	not applicable	female	cervical cancer	ChIRP	enrichment of mRNA binding protein	no synthetic	1	run 192	ES_XP_MB_405.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_MB_405.raw	31	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	HeLa
PXD002255-Sample-1	Homo sapiens	uterine cervix	31Y	adult	black	HeLa	not applicable	female	cervical cancer	ChIRP	enrichment of mRNA binding protein	no synthetic	1	run 193	ES_XP_MB_406.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_MB_406.raw	32	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	HeLa
PXD002255-Sample-1	Homo sapiens	uterine cervix	31Y	adult	black	HeLa	not applicable	female	cervical cancer	ChIRP	enrichment of mRNA binding protein	no synthetic	1	run 194	ES_XP_MB_407.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_MB_407.raw	33	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	HeLa
PXD002255-Sample-1	Homo sapiens	uterine cervix	31Y	adult	black	HeLa	not applicable	female	cervical cancer	ChIRP	enrichment of mRNA binding protein	no synthetic	1	run 195	ES_XP_MB_408.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_MB_408.raw	34	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	HeLa
PXD002255-Sample-1	Homo sapiens	uterine cervix	31Y	adult	black	HeLa	not applicable	female	cervical cancer	ChIRP	enrichment of mRNA binding protein	no synthetic	1	run 196	ES_XP_MB_409.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_MB_409.raw	35	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	HeLa
PXD002255-Sample-1	Homo sapiens	uterine cervix	31Y	adult	black	HeLa	not applicable	female	cervical cancer	ChIRP	enrichment of mRNA binding protein	no synthetic	1	run 197	ES_XP_MB_410.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_MB_410.raw	36	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	HeLa
PXD002255-Sample-1	Homo sapiens	uterine cervix	31Y	adult	black	HeLa	not applicable	female	cervical cancer	ChIRP	enrichment of mRNA binding protein	no synthetic	1	run 198	ES_XP_MB_411.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_MB_411.raw	37	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	HeLa
PXD002255-Sample-1	Homo sapiens	uterine cervix	31Y	adult	black	HeLa	not applicable	female	cervical cancer	ChIRP	enrichment of mRNA binding protein	no synthetic	1	run 199	ES_XP_MB_412.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_MB_412.raw	38	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	HeLa
PXD002255-Sample-1	Homo sapiens	uterine cervix	31Y	adult	black	HeLa	not applicable	female	cervical cancer	ChIRP	enrichment of mRNA binding protein	no synthetic	1	run 200	ES_XP_MB_413.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_MB_413.raw	39	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	HeLa
PXD002255-Sample-1	Homo sapiens	uterine cervix	31Y	adult	black	HeLa	not applicable	female	cervical cancer	ChIRP	enrichment of mRNA binding protein	no synthetic	1	run 201	ES_XP_MB_414.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_MB_414.raw	40	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	HeLa
