Source Name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[developmental stage]	characteristics[ancestry category]	characteristics[cell line]	characteristics[cell type]	characteristics[sex]	characteristics[disease]	characteristics[biological replicate]	characteristics[enrichment method]	characteristics[enrichment process]	characteristics[synthetic peptide]	assay name	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[technical replicate]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD002255-Sample-5	Homo sapiens	Blood serum	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	normal	1	ProteoMiner	enrichment of low molecular weight Protein	not synthetic	run 235	ES_XP_LMW_Proteominer_201.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_LMW_Proteominer_201.raw	1	20	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	Blood serum
PXD002255-Sample-5	Homo sapiens	Blood serum	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	normal	1	ProteoMiner	enrichment of low molecular weight Protein	not synthetic	run 236	ES_XP_LMW_Proteominer_202.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_LMW_Proteominer_202.raw	1	21	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	Blood serum
PXD002255-Sample-5	Homo sapiens	Blood serum	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	normal	1	ProteoMiner	enrichment of low molecular weight Protein	not synthetic	run 237	ES_XP_LMW_Proteominer_203.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_LMW_Proteominer_203.raw	1	22	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	Blood serum
PXD002255-Sample-5	Homo sapiens	Blood serum	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	normal	1	ProteoMiner	enrichment of low molecular weight Protein	not synthetic	run 238	ES_XP_LMW_Proteominer_204.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_LMW_Proteominer_204.raw	1	23	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	Blood serum
PXD002255-Sample-5	Homo sapiens	Blood serum	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	normal	1	ProteoMiner	enrichment of low molecular weight Protein	not synthetic	run 239	ES_XP_LMW_Proteominer_205.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_LMW_Proteominer_205.raw	1	24	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	Blood serum
PXD002255-Sample-5	Homo sapiens	Blood serum	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	normal	1	ProteoMiner	enrichment of low molecular weight Protein	not synthetic	run 240	ES_XP_LMW_Proteominer_206.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_LMW_Proteominer_206.raw	1	25	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	Blood serum
PXD002255-Sample-5	Homo sapiens	Blood serum	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	normal	1	ProteoMiner	enrichment of low molecular weight Protein	not synthetic	run 241	ES_XP_LMW_Proteominer_207.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_LMW_Proteominer_207.raw	1	26	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	Blood serum
PXD002255-Sample-5	Homo sapiens	Blood serum	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	normal	1	ProteoMiner	enrichment of low molecular weight Protein	not synthetic	run 242	ES_XP_LMW_Proteominer_208.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_LMW_Proteominer_208.raw	1	27	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	Blood serum
PXD002255-Sample-5	Homo sapiens	Blood serum	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	normal	1	ProteoMiner	enrichment of low molecular weight Protein	not synthetic	run 243	ES_XP_LMW_Proteominer_209.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_LMW_Proteominer_209.raw	1	28	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	Blood serum
PXD002255-Sample-5	Homo sapiens	Blood serum	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	normal	1	ProteoMiner	enrichment of low molecular weight Protein	not synthetic	run 244	ES_XP_LMW_Proteominer_210.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_LMW_Proteominer_210.raw	1	29	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	Blood serum
PXD002255-Sample-5	Homo sapiens	Blood serum	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	normal	1	ProteoMiner	enrichment of low molecular weight Protein	not synthetic	run 245	ES_XP_LMW_Proteominer_211.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_LMW_Proteominer_211.raw	1	30	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	Blood serum
PXD002255-Sample-5	Homo sapiens	Blood serum	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	normal	1	ProteoMiner	enrichment of low molecular weight Protein	not synthetic	run 246	ES_XP_LMW_Proteominer_212.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_LMW_Proteominer_212.raw	1	31	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	Blood serum
PXD002255-Sample-5	Homo sapiens	Blood serum	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	normal	1	ProteoMiner	enrichment of low molecular weight Protein	not synthetic	run 247	ES_XP_LMW_Proteominer_213.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_LMW_Proteominer_213.raw	1	32	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	Blood serum
PXD002255-Sample-5	Homo sapiens	Blood serum	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	normal	1	protein denaturation	enrichment of low molecular weight Protein	not synthetic	run 248	ES_XP_LMW_Glycine_SDS_PAGE_001.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_LMW_Glycine_SDS_PAGE_001.raw	1	33	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	Blood serum
PXD002255-Sample-5	Homo sapiens	Blood serum	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	normal	1	protein denaturation	enrichment of low molecular weight Protein	not synthetic	run 249	ES_XP_LMW_Glycine_SDS_PAGE_002.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_LMW_Glycine_SDS_PAGE_002.raw	1	34	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	Blood serum
